[66.152] vovovoooooo: ぐへへ
[370.463] akiaki0612: 無理やりグラブルやるよりスト5楽しんで欲しいねぇ
[370.586] cashafter: Goodmorning
[370.839] mikurut: スト５やるウメハラ、さすがや
[373.846] 雨男: 髪切った？
[375.961] 寝るポイント: ほら穴はここですか？
[379.324] nx009s: おはようございます
[380.220] kimie_white: そのヘッドホン付ける時がうるさいです
[381.640] あかの: ウメしぃ～おはよー
[381.644] sh1zuku716: 寝起き？
[385.531] (S)poki35: ウメちゃんおはよー
[385.634] muryokuka: 草
[395.493] betty032: 昨日はレッドブルの仕事？
[395.811] シシガバ: 眠そう
[396.011] (S)MadEggMania: グラブルうおおおお
[396.615] mikurut: ストリートファイターのウメハラだわやっぱ
[396.859] ninjin_v: おはようございまする
[397.829] (S)nhhhe: グラブル発売日にスト５するウメちゃんすき
[400.237] akiaki0612: 昨日はお疲れ様でした
[402.424] umetoki55: 日に日に痩せてきてる
[411.220] 023023: グラブルの開発に少しは関わったんですか？
[413.393] balthazar000: 中野までダッシュ？
[420.186] (S)wahaha7788: グラブルけっこうおもしろい
[420.598] (S)hatano_kuboya: レッドブルアスリートの集合写真見たよー
[429.147] kanegon7237: ウメさんおはようございまーーす^o^
[430.618] (S)多抜深夜: 硬派やなぁ
[433.929] meganesandesuyo: 今日スト5やるのは流石に硬派
[441.994] muryokuka: スポンサーのゲーム発売日に別ゲーやるのは流石に笑う
[443.799] balthazar000: あの写真のウメさんカッコ良かった
[446.080] nefilia: グラブルかと思ったらスト5だった
[447.755] (S)acdcfandesu: 今日の用事は確認済み？
[451.450] girotin89: ヘッドセット脱着時のすごいノイズはもはや名物
[455.489] シシガバ: スト5しますbot好き
[457.476] gedow_nukky: 神ゲーきｔらああああああああああ
[457.529] genocidekis: 硬派ハラ
[461.189] kaigaizei: 昨日の用事大丈夫だったの
[468.407] 寝るポイント: 今日中野でなんかあるの？
[469.352] たあぼ0126: おはようございます
[469.621] vainamo1: ウメちゃんおはよう！！
[474.380] TA_MA_MA: さすがにサイゲに首きられんかこれは
[477.119] mikurut: グラブルしてもももちに視聴者数勝てないからスト５にしたとかではないよね？
[477.741] dsadsa454654: スト5モチベどうなってんのこの人
[478.334] akiaki0612: 別の格ゲーあんまやらん人だからねぇ
[483.502] lucentsnow: ウメちゃんおはよう
[490.409] one596: あまりにも硬派なストV
[491.633] シシガバ: 浮気しないから
[492.438] たあぼ0126: 本業が忙しいのだ
[502.335] chekirara: コーナーで差をつけるスト５
[503.244] myonchan_daisuki: ウメハラだから許される
[503.985] sh1zuku716: うめさんが視聴者気にすると思う？
[506.658] ぱぱすぬわ: ウメハラ以外なら首飛ぶだろうけど、この人だけは多分特別
[526.407] akiaki0612: さっき猫の鳴き声でグラブルがどうたら…って聞こえたのは秘密だよ！
[526.920] mameneko1124: てかウメさんのプレイが見れれば何でもいいわ
[528.515] Sorachan1144: 案件は懲りごり…
[533.233] ninjin_v: グラブルみたけりゃ他行きな
[534.769] vainamo1: 面白くなってきたらやるっしょ普通に
[546.794] 雨男: ウメちゃんならなんでもいい
[560.656] kanegon7237: ウメさんの配信見れるのは貴重やわ
[564.558] gypsy2603: 視聴者数気にしてる人は半年もトラキアやらんわな
[567.632] genocidekis: ふーきゅんはやるっぽいな
[574.629] シシガバ: 猫何匹飼ってるんだ
[593.664] (S)koakoa4649: ウメちゃんの硬派なストV
[593.980] ホナウド: 昨日は大丈夫でしたか？かなり焦ってましたけど
[602.857] akiaki0612: 1人だけスト5やってるとfurious兄さんにネタにされるよ！
[605.476] myonchan_daisuki: 寝起きって反応速度遅れたりしますか？
[611.260] (S)highspeedwarakia2: 昨日の端密着屈小pソニ始動から3大k当たらないキャラ調べました、半分くらいのキャラが起き上りには軸ずれするので空振るです
[615.284] (S)32mame: 間に合った？
[615.392] burisuke: ボンちゃんに上着借りたでしょ！
[620.244] balthazar000: 間に合ったか
[624.396] lucentsnow: REDBULLのイベントだったの
[626.901] varoshi: そうそう、びっくりしたわ。
[634.489] balthazar000: ギリギリ？ アウト？
[637.416] 快楽天ビ一スト: グラブルやらんでええの？！
[637.836] akiaki0612: 完全に忘れてた？
[638.077] jt3781: Guile 💪👍
[639.033] sh1zuku716: 昨日ブルアスリートの集まり遅刻したの？
[639.950] mikurut: しょうへい、ずっと彼女といちゃいちゃ配信してましたよ・・・。
[643.075] (S)koakoa4649: でも校長は寝起きにガイルの中足蹴るから
[647.253] OmaeWaMouuShindeiru: LUL
[664.144] シシガバ: 夜行性
[665.283] (S)MadEggMania: ブルアスリートは？ほかは？
[667.248] 寝るポイント: ブルアスリート”は”
[670.166] woodmud: おはようございます
[671.650] (S)ポンポン: ウメちゃーー
[671.670] akiaki0612: 開発部ワラキア兄
[671.828] (S)とぅーにー: shyouhShowHey
[674.322] (S)wahaha7788: レッドブルの写真めっちゃ腹出てない？
[683.121] (S)highspeedwarakia2: 因みに立小k始動にするか3大k前に微歩き入れれば大丈夫です
[684.025] サラバア: なおくんがダウンしてるみたいで心配です…
[688.562] balthazar000: って事はその前のはちこ、、、
[696.894] akiaki0612: 今日は何時まで？
[701.087] ジュン0408: こんにちは
[705.069] mikurut: たぬかなちゃん、ウメの写り悪いのに画像アップしてていらついた。常識ないんだろうねあの人
[714.711] dsadsa454654: マサ トパリーグ出ないんだね
[732.315] シシガバ: 攻めガイル見れます？
[736.875] myonchan_daisuki: 女性は自分の写りしか見てない←
[756.839] shupii0907: タゲコン使いたいよね
[757.211] sh1zuku716: ｗｗｗ
[762.819] twtchid: ｗｗｗ
[764.944] lun__01: ウメちゃんが写真写り気にするわけあらず
[765.887] (S)tatsu1090: まあねｗ
[771.690] サラバア: 騒ぐのは周りだけw
[772.304] issyy8: ww
[772.581] girotin89: ｗｗｗｗｗ
[778.010] あいばにーず: 草
[780.521] kumanobed: でしょうねw
[782.475] sh1zuku716: せやなｗ
[783.010] (S)MadEggMania: なんでお前がいらつくんだよｗ
[783.522] balthazar000: この器の広さがダイゴ
[786.162] ホナウド: 寝てた
[788.109] (S)koakoa4649: ウメ信ブチ切れ案件
[788.692] 雨男: 草
[789.611] (S)poki35: 半目のやつか
[789.725] サラバア: 目つぶってた
[789.855] (S)wahaha7788: 目閉じてただけ
[789.907] girotin89: むっつりしとったね
[791.731] 座陰くん: けっこう
[792.327] ぜんちゃん: 周りがイラつくの笑う
[792.731] 山田たろう太郎: 目がほとんど開いてないねｗ
[792.921] twtchid: 寝てた
[793.635] apapa1031: 正直悪かったw
[794.593] mikurut: 悪い
[797.911] (S)acdcfandesu: beast
[798.208] 88ctr: 取り巻きがイライラしてるのほんま滑稽
[799.188] myonchan_daisuki: ほっこり！
[799.408] (S)nhhhe: www
[800.018] prisira: sakoさんがスマホ開けないほどのダウンしてる
[800.126] phillip38: 腹も出てたしな
[801.322] (S)highspeedwarakia2: むしろ眠そうな顔のが梅原さんぽいので良くない？
[802.533] ジュン0408: 見てくるw
[802.963] meganesandesuyo: 38のおっちゃんに何を期待してるww
[803.748] sh1zuku716: 良くわない
[804.603] balthazar000: 見てみません？
[805.715] kumanobed: 半目だった
[807.095] beastbeast: でも面白かったからOKｗ
[808.500] sdy_hs: 人が怒るほど映り悪い
[809.830] TeabaggingScorpion: is daigo not gonna try granblue fantasy?
[810.791] (S)feel2525: 一人だけ私服着てるのかと思った
[811.158] apapa1031: ウメちゃんのそういうとこ好き
[811.380] ぱぱすぬわ: それだけ言われるとそりゃ気になる
[814.688] myonchan_daisuki: 半目は草
[815.372] akiaki0612: 高木ブーみたいだった
[818.061] ぜんちゃん: ｗｗｗｗｗ
[818.226] igor_umechanchin: チャック開いててもOKだろう
[821.143] apapa1031: 草
[821.720] twtchid: ｗｗｗ
[821.997] 斉川: umeYay
[825.464] (S)xystm: マサの姿勢の良さが面白い
[825.795] (S)32mame: ww
[826.077] サラバア: プンプン！
[826.281] あかの: ぷんぷんうめちゃん
[826.952] シシガバ: 笑う
[827.363] (S)wahaha7788: 腹が出てるのか服のせいなのか
[828.634] meganesandesuyo: これから痩せるから
[829.311] (S)koakoa4649: 人付き合い詰めてるねぇ
[831.190] myonchan_daisuki: #まぁええよ
[833.047] uroitann: プンプンするよ
[833.161] kanegon7237: ええよ
[833.294] ninjin_v: 写ってればok
[835.377] balthazar000: フリ
[843.671] mirutan_mk3: 優しい
[845.998] yoshikawa_yo: ぷんぷん
[847.995] sdy_hs: うちのリスナーがさ 俺はいいよ？
[849.693] (S)booby_one: にこにこぷん
[859.153] kanegon7237: 意地悪やなぁウメちゃん
[864.464] ジュン0408: 見てきた！目つむってたw
[869.120] Nishi_Poteto: このやろ〜(おこ
[875.123] 寝るポイント: 写真のウメちゃん、半目だね
[875.375] シシガバ: 圧かけてこ
[880.026] kaigaizei: 怒ってるけど許したことにすれば格が上がるからな
[886.331] akiaki0612: ちょっとーたぬぅー
[887.541] sareezy76: STR
[891.997] kaname019: Hello Daigo!
[913.813] kaname019: 😍
[923.524] 斉川: たぬのウメ写真ワロタ
[929.367] (S)wahaha7788: 配信で見るとほっそりしてるのに写真で見るとまだぽっちゃりしてる
[938.426] khide05: グラブルは新鮮だけど、スト５はスト５で実家のような安心感がある
[938.481] vainamo1: なんかスト5安心感はんぱねーなｗ
[942.239] daniellxavier: TANAKA'S MOVE
[948.023] (S)soboroyoshihiro: 昨日何があったの？
[948.192] (S)zappnn: え
[949.317] akiaki0612: 昨日はマネージャーさんから『仕事入ってますよ！』って来たの？
[950.649] kaname019: 🙌
[956.493] kaname019: Yey! 😍
[957.482] ジュン0408: ウメちゃん立ちながら寝てる説
[957.903] varoshi: うめちゃん、不機嫌になると、どんな感じになるの？
[958.892] lun__01: 端にいるからレンズ効果で広がって見えるウメちゃん
[960.948] sh1zuku716: CAG / RB / たぬかな 自分の写りしか見てなかったから、梅原さん目つぶってた... 😎 すまねーーーー
[965.371] vainamo1: 同じこと思ってるやついてワロタ
[969.028] balthazar000: 顔まわりがシュっもしているだけで、大分変わるね。
[969.180] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[979.670] ~MISSING_COMMENTER_INFO~: ウメちゃんあまりにも硬派
[982.455] shupii0907: たぬかなはしっかり嫌いにさせてくれる
[1005.368] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1009.438] 寝るポイント: CAG / RB / たぬかな @kana_xiao 自分の写りしか見てなかったから、梅原さん目つぶってた... 😎 すまねーーーー
[1020.946] オシュ: 何キロ痩せるのが目標ですか？
[1023.286] (S)koakoa4649: ウメちゃん怒鳴って怒ったことあるの？
[1024.603] 壱万円札: 冬眠途中で起こされた獣見てきました
[1025.357] 寝るポイント: ホントに自分の写りしか見てなかったｗ
[1028.794] kumanobed: タイトルsf5じゃなくてst5なんすねw
[1036.926] balthazar000: スト
[1038.190] jt3781: umeGuile_TK
[1039.128] kaname019: 🤗
[1039.577] akiaki0612: たぬの集合写真ツイートのリプ、ウメさんのことばっかじゃねーかw
[1044.708] 斉川: umeYung
[1044.980] kaname019: 🥰
[1045.620] pageopageo: 見てきたけどウメちゃんの顔にイラついた
[1046.010] ~MISSING_COMMENTER_INFO~: たぬかなで思い出したけどゆうゆうさんがめちゃくちゃ気持ち悪いツイートしてたけどあれいいんか
[1047.451] (S)Ganondorf_nulvi: umeCat2
[1047.508] umetoki55: 10㌔
[1050.420] あかの: 10kgは楽しみすぎる
[1053.067] AdrianoHirai: 20いこう
[1056.857] 88ctr: ウメが不機嫌になると周りの酔いが消し飛ぶ
[1060.241] kaname019: 👏
[1063.967] varoshi: そんなにやせたら、プレイにも影響でない？
[1066.597] kaname019: 🥰
[1070.752] ぬっきー: なんでグラブルから逃げてるの？
[1072.531] sh1zuku716: ｗｗ
[1074.986] 斉川: ｗｗｗｗ
[1076.203] akiaki0612: 5キロ以降キツイだろうなー
[1077.189] kanegon7237: シシシシ
[1083.269] (S)feel2525: 大ダメージ
[1087.969] sh1zuku716: 配信もっとマイナスだと思うｗ
[1089.268] prisira: ツイッターでプラスなることある？
[1091.062] 入間ルマ: 昔は常に不機嫌みたいな顔してたのにね
[1091.787] meganesandesuyo: いい感じにアンチも集まってきたね
[1095.909] (S)wahaha7788: 10キロやせるのは大変だ
[1097.676] hitohiranomaruki: あららー
[1099.120] オシュ: 体型全盛期のウメちゃんには何キロ痩せればたどり着くのだろう
[1105.072] wsryd: たぬかなツイッターマイナスはどぐらも言ってた気がする
[1108.521] yoshikawa_yo: すげえ向いてないんだろねw
[1120.727] 斉川: ときどさんのツイッター見習っていけ
[1121.580] (S)koakoa4649: いや？さすがに？
[1128.498] mikurut: たぬかなちゃんは気が強すぎる。あれじゃ結婚できないとおもう
[1129.744] umetoki55: LUL
[1134.197] (S)32mame: ええ返し
[1134.250] balthazar000: ベガは押されるなぁ
[1137.475] 寝るポイント: やっぱり最適なツイッターの使い方は「スト５やります」
[1138.203] sdy_hs: 鉄拳しますbotになればいいのに
[1139.564] kaname019: 👏👏👏
[1143.096] kaname019: 🥰
[1146.656] kaname019: 😍
[1149.490] シシガバ: やっぱスト5しますbotが最強よ
[1151.924] (S)acdcfandesu: さすがに？
[1154.816] balthazar000: でも勝ちパターンに嵌めれば関係なかった
[1157.330] 寝るポイント: あとひといきだね
[1157.463] dsadsa454654: きちいｗ
[1159.865] (S)zappnn: 余裕だね
[1160.459] OmaeWaMouuShindeiru: LUL
[1161.034] (S)masmas999: もう？
[1161.045] twtchid: 3キロは誤差
[1164.443] girotin89: 脱おじ
[1166.760] meganesandesuyo: そんなにww
[1168.024] akiaki0612: 『鉄拳7やります』だけつぶやいときゃいいんだよ
[1168.547] (S)wahaha7788: 月3キロくらいで落とすのがいいよ
[1168.553] ぬっきー: 今90kgってことか
[1177.437] balthazar000: 後5倍
[1180.843] apapa1031: 最初の3キロがきついからいける
[1182.357] (S)麻雀打ち: 昔は何か運動してたの？何もせずに普通に痩せてた？
[1182.530] umetoki55: 少しゆっくり落としたほうが
[1184.268] (S)多抜深夜: 双子でも入ってるの？
[1190.365] ジュン0408: MAXとの早食い対決で体重増えるね
[1193.588] tkcu8811: いまのウメちゃんもカッコイイよー🐴
[1196.964] (S)zappnn: 結構重いんだね
[1199.559] umesyuki2: うめちゃんスト５好きだねー
[1202.828] gajpmwtdpw: みんなグラブルやってるなか、黙々とスト5やってるウメちゃん
[1207.974] balthazar000: 今は今でいいと思うけどな
[1208.229] シシガバ: ジムとか行ってるんですか？
[1232.115] (S)masmas999: サイゲはゲームソフト送ってくれないの？
[1233.179] 寝るポイント: もうしぬっほど言われてると思うけど、早食いは確実に太るよ
[1234.481] (S)nisikigoi7: ウメザップ実行中
[1238.074] meganesandesuyo: 食事だけだと痩せるのはかなり厳しいね筋トレしないと
[1241.537] yoshikawa_yo: なるべく軽くするために石油王スタイル導入するか
[1248.546] 斉川: 痩せてパーマかけてウメちゃん
[1257.602] ホナウド: 昨日の朝は、しのさんから連絡があって気付いたの？
[1258.224] (S)highspeedwarakia2: 調べたらベガにも6大p振るとガード後弱昇竜反撃みたいに立小kダブルニー反撃受けるみたいです
[1261.092] mikurut: 筋トレしたら、身体でかくなって体重増えるよ
[1261.324] akiaki0612: ときどさんとダイエット話とかするの？
[1263.306] (S)やーちゃん: やーちゃん subscribed at Tier 1. They've subscribed for 11 months! 
[1263.407] (M)Moobot: @YAEGASHI62045さん、サブスク登録11ヶ月目！
[1268.438] (S)多抜深夜: でもこういう本職に一途なとこが信頼度を生むんだよなぁ
[1269.065] hachi_mitsu: おお！
[1269.382] オシュ: ヘップレ潰せるの強ない？
[1269.953] kaname019: 😍
[1273.209] gabrielforever: that was really good.
[1276.071] kaname019: 🙌🙌😍
[1277.709] hachi_mitsu: そんな対策が
[1279.622] kaname019: 🥰
[1279.888] HiFightTH: sajamTasty
[1282.931] kaname019: ☺️
[1290.549] kaname019: 😍
[1292.983] (S)Ganondorf_nulvi: umeShave
[1294.460] realStudoggydogg: hello Daigo where is Nao Kun?
[1295.109] tabibitox: ハイファイトミテル
[1297.395] gajpmwtdpw: ハイファイト
[1298.482] (S)Ganondorf_nulvi: umeCat2
[1303.783] (S)多抜深夜: ハイファイトにぃいたぁ
[1307.818] kaname019: 😍😍
[1311.909] shupii0907: 使えないでしょ
[1314.048] beastbeast: この配信はハイファイトが監視してます。
[1323.901] shupii0907: 空ぶったら反撃もらうのはね
[1327.195] ジュン0408: まだラーメン柄のシャツって持ってるんですか？
[1327.461] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[1335.453] シシガバ: 空振りがきつい
[1338.948] ymd1222: 昨日のブルの集合写真一人だけワンカップ大関持ってるとか言われててワロタ
[1356.949] kaname019: 🤗
[1364.392] myonchan_daisuki: あれ？鼻声？
[1372.061] (S)Ganondorf_nulvi: dio cane
[1375.320] wsryd: 見たいなー見たいな―
[1376.017] 寝るポイント: ちなみにたぬかなさんの写りはめっちゃいいですｗ
[1389.968] akiaki0612: 激怒
[1400.132] lun__01: ワンカップ大関持って立ちながら寝る男ウメハラ
[1400.240] tabibitox: まぁこのペースで半年がんばればEVOにはカッコイイウメちゃんが戻ってるよｗ
[1402.238] cocolo33322: ウメさんは今後グラブル配信とかやる予定ありますか？
[1402.701] mikurut: たぬかなは自分がかわいいと勘違いしてる
[1403.337] 000105: 出来の悪いウインクだった
[1408.030] あいばにーず: 外人にDaigo寝てるように見えるって言われてて草
[1418.213] ジュン0408: たぬかなかわいくない
[1418.423] myonchan_daisuki: 逆にたぬかなが半目を出してたら推すわwww
[1424.684] (S)koakoa4649: たぬかなルックス良いと思います
[1437.545] kaname019: 😍
[1438.404] 寝るポイント: ボンちゃんだいぶ太ってきてない？
[1442.610] kaname019: 🥰
[1447.783] 将門ゴルゴロ: 昨日のやっべはブルのイベントだったのね。
[1455.478] mirutan_mk3: ボンちゃんぱっつぱつ
[1465.395] tabibitox: 皆さんmikurutって方はひたすら他の配信者やプレイヤーをけなしてる荒らしだからスルーした方がいいですよ。
[1469.273] シシガバ: ぼんちゃん幸せ太り？
[1477.209] balthazar000: 子育てに忙しいんかね。
[1478.290] (S)LucySundae: LucySundae subscribed with Twitch Prime. 
[1478.393] (M)Moobot: @LUCYSUNDAE with the Prime sub!
[1485.986] vainamo1: ウメちゃん強くなってるな…まぁじで
[1488.642] umesyuki2: ぼんちゃんは妊娠したんだよ
[1498.107] beastbeast: ほんま、ここで他プレイヤーを叩くのはやめてほしいね
[1503.298] meganesandesuyo: 荒らしってのは多分みんな気付いてると思う
[1506.971] kokuyoshi: マサトパチャン出ないってね
[1509.605] myonchan_daisuki: ボンちゃんは女だったのか……
[1514.178] sh1zuku716: mikurutは他の配信でも目に付くコメントしてるね
[1514.481] kaname019: 👏
[1517.601] kaname019: 😍
[1519.891] kaname019: 🥰
[1523.439] kaname019: 👍
[1524.547] (S)islerotwitch: tourbillonner subscribed with Twitch Prime. They've subscribed for 4 months! おはよございます
[1524.664] (M)Moobot: @TOURBILLONNERさん、サブスク登録4ヶ月目！
[1534.368] kaname019: 😍
[1536.244] yoshikawa_yo: あたふた
[1537.931] kaname019: 🤗
[1547.364] シシガバ: シュワちゃんも妊娠するしボンちゃんも妊娠するべよ
[1547.593] tk3333: ボンちゃん太ってるは荒らし？
[1558.122] twtchid: ごまかし
[1563.297] SquallAdv: ｗｗｗ
[1571.169] girotin89: あうあー
[1581.960] 寝るポイント: こんなお礼許されるのウメハラ以外におる？？
[1582.136] balthazar000: ビリオネア？
[1592.293] balthazar000: 違うか
[1596.398] akiaki0612: レッドブル写真、雀荘の人が両サイド固めてると思うと熱い
[1596.522] yoshikawa_yo: 無敵だなその発声法
[1609.915] (S)nisikigoi7: 小野聞いてるか！ ダルシム位長くだぞ！
[1637.569] SquallAdv: gift me a sub, no, you don't have a choice.
[1643.714] (S)totomaru_chan: おはようございます！
[1645.175] OmaeWaMouuShindeiru: LUL
[1647.288] apapa1031: どんな方法でダイエットしてるんですか？
[1647.320] (S)多抜深夜: 昨日のトパンガキャラランク見ました？
[1652.543] umesyuki2: うめあまりに強すぎる
[1658.322] kageuraiceman: ヌキさんが今もまだ可愛いキャラ気取ってますが昔からですか？
[1667.524] sh1zuku716: まごさんツイートしてたよ
[1673.974] tabibitox: ガイルは2列目になってましたな
[1678.888] (S)多抜深夜: 豪鬼最強らしいですｗ
[1682.400] niemalsaufgeben: おはよう
[1683.719] meganesandesuyo: ガイル5強じゃなかった
[1687.339] igor_umechanchin: リュウ最下層やった
[1689.255] sruott: 豪鬼春麗最強です
[1695.311] SquallAdv: @OmaeWaMouuShindeiru nice nick 
[1703.929] (S)ricardopara: umeMad
[1703.946] niemalsaufgeben: ゴウキは胴着でまだ最強だし
[1723.752] (S)dustblowers: 豪鬼はときどさんが譲らなかった
[1723.924] PowHammer: @DaigoTheBeasTV hello Daigo :}
[1726.418] (S)islerotwitch: 相性悪いのが少ないのが上いった感じ
[1727.529] tabibitox: 上位をえらんで、上位同士の相性で豪鬼春麗が最強になってあ
[1732.927] Ryotv: @omaewamouushindeiru nani?!
[1733.887] nepentheses: サガット 使わないんですか？
[1734.158] kumanobed: 右側に別枠で6強が書いてた
[1734.836] シシガバ: 攻めガイルの思考錯誤楽しそう
[1736.716] balthazar000: 天上界の奴ら
[1751.360] makurag: ときどが自分基準で軒並み豪鬼有利と言っちゃうからねえ
[1755.732] sh1zuku716: ごうきはときどが何でも五分かイケルっていうからあーいう結果になった
[1777.479] akiaki0612: キャミィ強いんか
[1780.542] balthazar000: 仕方ない
[1785.396] dsadsa454654: 勝ててもしんどいなら不利ってマゴ目線がよくわからんかったなー
[1787.267] tabibitox: まぁ実際上位同士の相性だけならあんな感じかも。でもそれいったらガイルは上位なんだよなぁ・・・
[1791.632] (S)millioniwashi: 豪鬼がいけない組み合わせって言われてもなかなか難しいのは確か
[1796.984] ResFGC: PogChamp
[1802.844] 寝るポイント: ガチくん早く帰ってファイファンやりたそうだった
[1809.974] nepentheses: つっよw
[1814.588] satiro528: omg
[1823.435] (S)だいこん_: umeMad
[1824.828] mikurut: 勝ててもしんどいって人間性能でかってるだけだからね。同じ人間性能なら負けてるから
[1834.990] (S)highspeedwarakia2: 豪鬼は正直屈中pとかちょい弱くなったとかくらいでそこまで弱くなってない体感
[1848.587] (S)SpectacleRock31: 1337 viewers 
[1859.039] tabibitox: ウメちゃんは気にしなくていいかもｗ
[1861.388] Ryotv: おはようだいごさん
[1876.144] ~MISSING_COMMENTER_INFO~: みんなグラブルやってる中、さすがのストⅤbot
[1876.314] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1877.332] (S)dustblowers: 欠点の体力が頑張ればなんとかなるって感じになるから豪鬼が上にいくしアビが下にいる印象
[1878.370] balthazar000: ウメさんは春困らない？
[1884.105] niemalsaufgeben: 今回、ときどは露骨な政治しなかったのえらい
[1885.642] シシガバ: 一気に株上がったね？
[1896.937] らみはい: ウメさんも春麗触ってみよう
[1901.509] igor_umechanchin: ヌキさんが遊ぶ＝春最強
[1904.813] (S)buretan555: あれはテレビの討論番組みたいなもんでしょｗ
[1905.992] thisisdoom2019: daigo, what's good bro
[1907.667] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1915.660] JaySingDreams: Hello, you wonderful people!
[1920.025] Qvoth: @DaigoTheBeasTV ウメハラさんグラブルやらない？
[1921.048] (S)totomaru_chan: 他プロとどう考えが違うのか単純に気になる
[1921.681] 斉川: AEのユンは最強ってすぐ気づいた？
[1929.032] 19ze: 春麗使ってるの見たことない
[1938.512] akiaki0612: Xの豪鬼やバルログぐらい極端じゃなきゃアリ系ですか？
[1944.309] thisisdoom2019: no English here?
[1945.782] 寝るポイント: 初日？
[1951.295] balthazar000: 各々の主観になるから比較どうだろうねぇ
[1951.632] apapa1031: 草
