[23.788] (S)かげでん: な、な、な、なぜ今ｗｗｗ
[320.792] クズ220: 聖戦の系譜の外伝的な作品
[323.401] (S)sango_sho: ロイとマルスは？
[326.876] konsatoshi: クッソおもろそう
[329.484] doyoubi256: 硬派すぎて息が詰まるな
[330.096] 106manK: ウメちゃんにトラキアは無理でしょ
[331.027] kiriwo777: 聖戦のスピンオフでパラレルだっけ
[333.670] kamisimeru: カプコンカップ前の調整
[336.036] (S)gogopimimi: 文章声に出して読んで
[337.463] (S)kumatedd: 凄く見たことがある画面
[344.216] ガイギー: ｗｗ
[352.811] (S)kumatedd: 苦手だわぁ
[364.604] ORANGE_KICKS: マジで最初から大事！コメント読まないで集中して！
[365.310] おじキッズ兄: かわゆ
[367.855] おいす_: 瀕死で特攻するNPC
[368.571] (S)kumatedd: 隠しキャラとか無視してガンガン進めてた記憶が…
[369.319] ガイギー: かわい～
[371.979] slavetolm: トラキアを何も知らずにやるのは大変
[373.523] (S)cherimoyavr: かっこいい
[374.013] 東北のスロカス: kita-
[375.433] (S)illmatic_buddha: 殺せばいいってもんじゃない
[386.801] hhopeug: 何のユニットがチート的に強いのよ
[394.251] gypsy2603: サイゲTシャツのブル仕様カッコイイ
[397.899] naosansan: マリータ
[398.879] (S)cherimoyavr: 敵おおくね？
[399.502] Ceciltaisa: ウメちゃんがトラキアとかビックリだわ
[401.191] (S)gengoro1198: ひさびさにファイアーエンブレムやりたくなってきた
[403.744] (S)kumatedd: ｗ
[408.591] (S)体調不良は背中をほぐせ: 多いな
[414.570] (S)ememeume: ウヨウヨ
[416.924] ナターシャ0083: トラキアはシリーズでもかなり難しいほう
[417.100] (S)suga8f: w
[420.094] (S)nukaduke91: んっ
[420.323] 魔法_少女: w
[424.185] えすけーえふ: 1-1
[424.850] (S)ttp_hayato: このCC前の時期に唐突にトラキア始まって草草の草
[432.588] (S)natoooji: 死んだらキャラロスト？
[434.975] (S)kumatedd: そういえばＣＣ前だったｗ
[437.009] (S)cherimoyavr: 鉢巻二人組弱そう
[440.674] そろもん1: お、いいね
[445.438] yuiyui1991: FEHだとトラキアのキャラ不遇だったなたしか
[447.430] (S)takeo_onakasuita: おもしろそう
[452.226] えすけーえふ: チュートリアルなど無いといわんばかりの
[463.425] naosansan: プージが超強い
[466.495] hibiki3232: なぜこのタイミングでトラキア
[470.195] shiroyashazd: おはよう ございます ただいま
[473.026] sunofo: 覚醒しかやったことないけど覚醒よりムズイの？
[476.287] moromororo: ここ大事
[480.470] shiroyashazd: GunRun
[484.582] 魔法_少女: これもCCの作戦のうちよ…
[485.553] poto2panapa: 三すくみ「剣＞斧＞槍＞剣」あるよね？トラキア。
[489.687] (S)henrietta19: トラキアって見て来たけどホントに776やんのwww
[492.483] (S)cherimoyavr: 体力残す感じ？
[494.151] (S)gengoro1198: これ何でやってるの？ バーチャルコンソール？
[495.416] クズ220: 捕らえる ←大事
[496.092] (S)varoshi: うめちゃん、武器をできる限りうばってね！
[496.620] pukeshi: 今日はルーラで帰ったの？
[501.258] (S)suga8f: VoHiYo
[505.100] (S)IKEPON_: ファイアーエムブレムシリーズやったことあるの？
[507.985] 106manK: エーヴェルおばかわゆ～
[508.315] Ceciltaisa: さぁ盗賊団いくぞ！
[510.716] ororoin: 殺さずにフルトン回収すると仲間になる
[512.310] kiriwo777: 捕らえて武器奪うのが基本
[517.995] えすけーえふ: 敵多いな
[521.093] dswlm: むずかしーなー
[521.816] (S)やさいもん: システム理解してないとトラキア辛いよ
[532.667] prodougazei: トラキアって難易度高いんだっけ
[533.578] (S)icyblue1985: こんばんは、ウメちゃんＦＥやってたの？
[534.324] (S)king_katsuhisa: 散歩しながらやろうぜ
[537.648] (S)ememeume: どうやって奪うのかな
[540.782] moromororo: なるべく殺さず武器とか奪っていこう
[543.384] (S)henrietta19: 超大事。それにはキャラの体格が重要だったはず
[543.798] (S)cherimoyavr: 説明書ほしーね
[544.148] 106manK: すんドめハラ
[544.722] ask4exe: 梅原の寸止め配信
[546.458] (S)IKEPON_: 寸止めっ
[550.540] (S)atsu_240: ファイヤーエンブレム知らないけど、すごい難しそうだ。。
[551.923] kotonekoko: あれか、スパロボみたいな感じか？
[555.042] (M)ayuha167: 無理ゲーじゃないですか
[555.874] tetunari: ジョギングしよーぜ
[564.923] doyoubi256: コンボフィーンド！武器を奪ってくれ！！
[566.900] (S)varoshi: 最後まで金ないから、弱めて、とらえて、武器奪うのが必須。
[567.478] (S)cherimoyavr: いきなりレベル10
[567.549] (S)IKEPON_: たーのしそー
[567.794] hondata12: ニンテンドーパワー
[580.574] naosansan: 最初の方は殺しながら学ぼう
[585.422] (S)varoshi: まず、弱めて。
[587.859] kiriwo777: 攻撃コマンドの亜種みたいな感じで選べる
[588.578] (S)henrietta19: 戦う選択肢に出てきますよ
[595.054] クズ220: 相手より体格が高いとコマンドが出る
[596.961] いえもん1009: 最初は気にせずやるべき
[599.401] (S)kumatedd: このちまちました感じが苦手でクリアできなかったな
[601.161] テッドよしぞう: トラキアってローソンでカセットに書き込みして売ってたやつ？
[602.446] gazesd: やってみよう
[609.493] おいす_: てやりなつかしい
[609.493] teketekeaf: 初でトラキア・・・？
[611.441] loq901: トラキアって難しいんじゃなかったっけ？
[616.384] (S)prisira: リセットしまくった記憶しかないわｗ
[616.698] えすけーえふ: 最初は思うがままにいこう
[618.096] (S)henrietta19: 単独はきつい
[618.858] inubow: 指示待ち人間かこれー
[619.082] (S)shomarusan: ゆっくりやってこう
[620.921] (S)kinpren: ファイアーエムブレム？
[620.963] ガイギー: 最初は手探りでいいけど、本当にこれ難しいよｗ
[621.861] Ceciltaisa: チュートリアルな内容、初見で押さえていけ
[622.082] (S)kumatedd: 好きにおやりよ
[624.210] (S)cherimoyavr: FEは初じゃないよ
[624.971] scottiever06: 初でトラキアは死ねる
[625.387] ksk_is_not_god: これやったことないや
[630.008] yuiyui1991: おいおいビビって質問しまくってるやんｗウメちゃんｗ
[630.549] terrabattle: 職業の相性あるから、ステ見てるだけだと即死させられたりするよ
[630.855] jyube99: 梅原さんなんでいきなりトラキアを、❔w
[634.787] (S)henrietta19: 投げやりあるよ
[645.694] magnolia0120: FEで一番初見殺しが多い気がする
[646.722] (S)cherimoyavr: 初代はやりこんだってさっき言ってました
[652.048] athos19: ROYS OUR BOY
[660.373] (S)ememeume: ゲームってやっぱり頭良くないとできないんだなー。既に難しい、、
[672.655] loq901: トラキアって３すくみあるの？
[679.465] naosansan: エーヴェルは序盤のお助けキャラだからあんまり育てない方が
[681.353] jyube99: ある
[683.613] inubow: 前後の概念はないんか
[684.832] gazesd: この女
[685.805] ksk_is_not_god: ウメちゃんはちょうど初代FE世代か
[688.871] (S)henrietta19: ありえます
[690.048] (S)kumatedd: 条件満たすと仲間が増えるとかむずい…
[690.306] Ceciltaisa: ｗｗ
[691.178] (S)cherimoyavr: 命中１００オーバーってどういうこと？？
[691.739] (S)kumatedd: ｗ
[692.933] scottiever06: ３すくみは一応あるレベル
[693.382] gazesd: すーぐ殺す
[693.855] ガイギー: ｗｗ
[694.176] YamaoP: つよい
[694.956] (S)icyblue1985: フフッｗ
[695.327] おじキッズ兄: ワンパンｗ
[695.726] toriconbo: !?
[695.946] inubow: ナイスー
[696.171] sigano3123: はやすぎｗ
[696.456] shichousha72: ｗｗｗｗｗ
[697.093] asdfiodadfs: 草
[697.661] (S)tamachan0530: ｗｗｗｗ
[697.707] tatannta: リセット
[698.820] prodougazei: NotLikeThis
[700.453] ecoeco4: ｗｗｗｗ
[701.797] ガイギー: まままま、最初はね？ｗ
[701.819] 106manK: エーヴェルはお助けキャラ
[702.508] game_out: 10-0
[702.995] dswlm: 滅殺
[704.080] moromororo: ジェイガン ジェイガン
[704.387] ororoin: umeRoad
[706.870] (S)kanpell: これps4？
[706.926] (S)ぶどうぱん: umeFail
[707.520] gtm555: オワ
[708.554] ryuken93829: 経験値まっずうううううううう
[708.672] えすけーえふ: 最近のと違って戦闘予測無いからむずそうね
[709.515] YamaoP: 別にダメではないけど
[711.600] クズ220: 失敗
[712.775] えすけーえふ: wwwwwwwww
[712.914] (S)henrietta19: 続けてもいいけどあとが辛いよ
[712.935] Twiabc: 詰んだ
[713.646] ulbaha: うそでしょｗ
[714.373] (S)takeo_onakasuita: 多少は
[716.021] Ceciltaisa: １体目は遊ぶからな
[716.037] terrabattle: 下位
[716.660] (S)pontarou: リセットは甘え
[717.260] おいす_: リセマラ
[717.416] shochann: こんばんはー いきなりジェイガン臭のするキャラが動いたなＷ
[718.122] えすけーえふ: リセット
[718.839] (S)ememeume: umeFail
[718.842] dokkorashot: リセット前提のゲームやぞｗ
[719.163] マッコールさん: ストイックｗ
[722.739] ksk_is_not_god: これ綺麗なジェイガンなのか
[723.001] come2gou: 経験３はリセット
[726.430] 東北のスロカス: ナウマン以下の可能性
[728.014] loq901: 始まったと思ったら始まってなかったｗ
[730.175] (S)cherimoyavr: Wiiuか！
[731.369] YamaoP: wiiuだった
[731.578] scottiever06: えーヴェる産はよくあるお助けキャラです
[732.275] Taiki_Yamada: これの積み重ねで詰むｗ
[733.645] (S)prisira: 中断できるならリセットゲーできるなｗ
[734.367] fina_thankyou: WiiUだ
[734.584] ekus0y: なつかしーw
[735.441] denden173: あっ
[736.569] naosansan: だめじゃないよ
[736.706] (S)icyblue1985: クイックセーブ・リロードないの？
[738.484] ryuken93829: よし今から配信を始める
[739.882] inubow: ストイックすぎるだろこのゲーム
[741.650] samiel__belmont: daiguuuusamaa
[741.708] dswlm: ウメちゃんガチだね
[741.711] (S)henrietta19: RLスタートセレクトなかったっけ？
[742.907] kiriwo777: wiiu版か
[745.888] (S)oinari6: こ）Switch？
[745.952] gtm555: スイッチ？
[751.249] (S)cherimoyavr: クイックセーブできるから使ってこ
[751.877] cooper0201: なにこれ、オウガバトル的な感じ？？
[753.308] えすけーえふ: WiiUだ
[756.523] (S)varoshi: いかに、弱いメンバーを育てるかだよ。
[756.809] zenzen108: トラキアとかムズゲーやってんのかw
[759.860] ナターシャ0083: SwitchはVCできんよ
[773.727] gtm555: そーなんださんきゅー
[777.458] kiriwo777: その女はジェイガンです
[778.567] (S)icyblue1985: このスケ強いね
[783.641] ksk_is_not_god: パカラパカラって音好き
[787.518] jyube99: クリアしたわこのゲーム。
[788.982] (S)cherimoyavr: ジェイガンわかりやすいｗ
[789.896] pepusi2: この女よぉ
[789.933] miyaBM: えーウメちゃんリセットすんの？
[790.758] come2gou: ジェイガンつかえねー
[791.287] cooper0201: みんな、これ面白いの？？名作？
[791.912] ororoin: HotPokket
[792.549] マッコールさん: ぎんのやりｗ
[793.282] クズ220: エーヴェル強いからエーヴェルで捕えるといいよ
[793.907] ガイギー: ジェイガン呼びわかりやすいなｗ
[793.964] hosp1990: じぇいがん
[794.134] dokkorashot: 今までスト５でパナしたのと同じぐらいの回数リセットするぞ
[795.063] mamenoki: ジェイガン・・・
[797.832] scottiever06: この程度でリセットしてたらこの先地獄やでｗ
[800.044] ~MISSING_COMMENTER_INFO~: !uptime
[803.077] Ceciltaisa: ジェイガン・・・どうして・・・
[804.245] moromororo: ｗｗ
[804.465] poyoyon915: 紋章やったことあるのねw
[805.039] gazesd: こいつもよ～
[805.422] (S)kumatedd: ｗｗｗｗ
[805.969] otasarnohimechan: ｗｗｗ
[806.309] yuiyui1991: リセって甘えじゃない？ｗ
[806.523] shochann: ｗｗｗ
[806.766] ulbaha: ｗｗｗ
[806.841] おじキッズ兄: ｗｗｗ
[807.277] inubow: ナイスー
[808.063] (S)icyblue1985: あじでｗ
[809.584] (S)tamachan0530: ｗｗｗ
[809.845] (S)kumatedd: これだいじょううぶ？
[810.394] のら村長: ｗｗｗｗ
[810.411] shochann: オグマオグマ
[810.471] kiriwo777: 捕らえるコマンドありますよ
[811.189] (S)ぶどうぱん: umeFail
[811.554] (S)体調不良は背中をほぐせ: ｗｗｗｗｗ
[811.944] pepusi2: こいつらさー
[812.028] (S)nukaduke91: はーｗ
[812.299] ガイギー: 最初はいいでしょｗ
[814.120] ulbaha: 押して無い！
[816.989] shochann: ｗｗｗ
[818.914] denden173: あなたさぁ～
[819.179] hibiki3232: これを格げーの立ち回りに生かすきだね？
[820.719] GelidiumJellyCat: ワロタ
[822.582] (S)varoshi: 一人二人大丈夫だよ。
[822.684] makibisi8787: さっそく
[823.491] 中群かずふみ: やり込み・・・どうして・・・
[824.433] えすけーえふ: はいwwww
[825.376] dswlm: リセるねぇ～
[825.521] (S)cherimoyavr: 速さ見よ
[826.671] (S)takeo_onakasuita: www
[828.347] game_out: ッケイ！
[828.436] (S)domontyan: umeBoom
[828.450] (S)pontarou: コレ一生進まないでしょ
[829.388] (S)henrietta19: ソフトリセットなかったっけ
[830.418] おじキッズ兄: ポケモンみたいに弱らせる必要ないの？
[830.566] (S)prisira: キャラ差・・・
[830.668] (S)IKEPON_: 捕らえるコマンド！！！！！
[830.784] come2gou: 速さ3だか5以上差あったら2回攻撃やぞ
[830.962] noai1234: 虐殺
[833.178] いえもん1009: 最初はきにしなくていいってｗｗｗｗｗ
[834.796] prodougazei: リセット禁止にしようや
[834.824] naosansan: このゲームジェイガンも使ってかないと難しすぎる
[835.502] mcdowell123: 不殺のウメ
[837.418] えすけーえふ: クリボーつええなー！
[838.748] (S)gengoro1198: 速さを見ろ
[838.953] ksk_is_not_god: ここでリセット押さない奴が10先勝てんのかって話
[840.377] charcoal_filter: 3先だからね
[847.019] shochann: はやさ調べた方がいいとおもう
[847.871] (S)henrietta19: 無理だと思うよ
[848.057] harpoonspear: this game is hard af
[849.663] oinarisan123: 攻速が敵の攻速より４以上早ければ追撃
[849.888] mgs_faye: 何でトラキアやってるの！？
[852.815] mamenoki: これがCC向けの特訓か
[852.819] (S)takeo_onakasuita: 素早さの問題か
[852.954] yensama: いきなりトラキア？？
[853.550] kiku1133: !uptime
[854.747] scottiever06: 速さ3差で追撃だったっけな
[854.755] lavel214: 捕らえるは手加減こうげきです
[856.449] naosansan: 殺してもいいんだよ
[856.547] ksk_is_not_god: ブリーフ王子に見えた
[858.458] moromororo: トラキアはシステム理解しないと難しい
[860.711] inubow: １撃目は遊ぶからな
[862.602] (S)suginaka56: 今来たけどこのゲームは何？
[866.011] gazesd: 手加減できず
[867.404] (S)nukaduke91: クイックセーブしな？
[870.482] shichousha72: もう説明書読まない？？
[872.668] isfpnpvajpjof: うめちゃんFE初めて？トラキアはシリーズで上3くらい難しいよ
[876.269] (S)komine58: お、トアキアだ
[877.572] stvfang: シャイニング・フォースかと思った
[879.054] (S)kumanobed: ステータス見て攻撃するようにしないとキツいです
[879.697] shochann: はやさ20ｗ
[885.096] dswlm: ジェイガンはえ～
[890.798] tunopon: カプコンカップ前でも余裕の他ゲ
[896.462] zenzen108: 普通のFEやったほうがいいんじゃ
[897.404] scottiever06: 速さ４差か
[897.695] (S)henrietta19: 捕らえるは確か速さと技が半減した状態で戦闘になるはず
[898.916] poyoyon915: ジェイガン知ってるから初めてじゃないみたいね
[902.326] コル: まず相手に攻撃させて、反撃で削ったほうがええよ
[906.636] (S)varoshi: 槍を装備できるのはフィンのみだから、ショートランスは一本あればよいよ。
[907.568] YamaoP: 無理ではないが
[911.463] Ceciltaisa: 理解
[912.305] (S)komine58: 杖鍛えてね、詰むよ
[917.385] mgs_faye: トラキア普通にやった場合は一番ムズくない？
[919.992] クズ220: 別に全員捕らえなくてもいいよ
[923.375] (S)suginaka56: umeWhat
[923.418] sora_neko09: 相手に攻撃させたらいい
[932.696] kiriwo777: 反撃でも2回攻撃して殺しちゃうよ
[932.862] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[935.676] (S)henrietta19: 反撃でも追撃するよｗ
[938.770] nobuko_opera: ウメちゃんいきなりこんなむずいゲームやんの
[940.812] jyube99: FEの中で難易度高めです
[945.893] sora_neko09: まじか
