[24.046] kobayan86BRZ: 見れた
[876.007] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典があります → https://bit.ly/2YE2nLB
[892.576] xyz1648: 獣道開くとしたら、三太郎vsめいきょーでしょ
[915.392] ぼむむ: 大した因縁ないやん
[920.087] げのじ: ウメちゃん？
[932.971] (S)ぷりにゃん: matsuriPogoChamp
[934.974] CARNO_JPN: 三太郎さんはまず裏プロから卒業しましょう
[954.874] (S)leonard33333333: おはようございまーす
[956.428] かべ_娘は双子: 三太郎さん残ってほしかったなぁ
[968.461] g4teru: この画面のリュウずっとリーゼントやと思ってた
[969.507] lineqtxz: are you ok ?
[977.273] (S)yuukida39: こんにちはー！
[979.130] げのじ: 三太郎さんはそういう運命な感じ
[992.720] OKG_TWIN: リーゼントは後頭部の髪の形を指している（定期
[994.675] guilegairu: 今からササモレオ見てきます
[996.041] (S)ふぁんつい: リーゼントに見える呪いにかかってしまった
[1002.656] (S)tabibitox: 相手恐竜かよ
[1007.271] hisotensokuzei: 名前つえーなｗ
[1014.381] (S)日本語かな: ポンパドールや
[1015.177] シミズム: 強そう
[1018.122] (S)gorogorogorn: ウメちゃんもう日常に戻っちゃったんだね
[1027.346] (S)poto2panapa: ティラノサウルスもスト6する時代
[1028.820] harume_zz: ティラノサウルスでSMAPおもろい
[1031.632] manamolike: 名前、半グレかw
[1039.322] kusomegane123: シンプルなティラノはおもろい
[1045.968] toro0524: サーベルより強いティラノサウルス
[1057.997] manamolike: 称号が半グレかw
[1076.452] OKG_TWIN: 悲しすぎるジャスパ
[1084.827] シミズム: EWリュウで勝ってたのすごいね
[1088.493] かべ_娘は双子: 青ブリ投げ
[1090.181] ManikiGaming: ストリートファイターの初心者にやさしいいキャラ教えて頂けませんか？
[1090.476] 風水ライダー: こんにちわ
[1092.362] (S)日本語かな: ジャスパ取れてるのに確定反撃全部届かない技出してて悲しい
[1097.289] しすてむえらー: 無敗と言えば所沢タイソンも負けてた
[1098.353] (S)ぷりにゃん: おぉ
[1104.640] 風水ライダー: 昨日は盛り上がったなー
[1106.624] OKG_TWIN: モダンマリーザじゃない？
[1107.501] (S)tabibitox: マリーザ
[1127.622] かべ_娘は双子: モダンでいろいろと触ってみるといいかも
[1157.220] 今夜が山田ァ: ワラキアチャンス
[1169.426] kakane0908: モダンのマリーザかキャミィかなあ
[1180.736] kusomegane123: 回復した瞬間ええな
[1185.825] ミシェル鎌倉: リュウ殺意化してくんねぇかな
[1195.832] tugaru_san: モダンケンもいいですよ！
[1198.694] (S)little31: little31 subscribed at Tier 1. They've subscribed for 5 months! 
[1209.724] OKG_TWIN: 殺意化は要らないけど、竜爪が欲しいね
[1210.582] gatsbyin: 画面がうるさい
[1212.754] 風水ライダー: リュウは殺意克服しちゃったんじゃないの？
[1215.529] (S)日本語かな: ウメちゃん、リュウの波掌撃でフェイントかけるの嫌いなんだけど気持ち分かってくれる？
[1219.405] セツリ: hi diegooo
[1225.912] CARNO_JPN: 3rdみたいに電刃は相手のドライブゲージをごっそり削るようにしてほしい
[1226.117] (S)ぷりにゃん: ティラノ 
[1238.356] ilm0806: 1フレームを気にするウメちゃんが モダンはやったのかな
[1248.047] (S)kamiyamamulti: リュウ百鬼襲とか天魔空刃脚とか覚えてくれねえかな
[1254.077] OKG_TWIN: まぁミス待ちの一種だからねぇ
[1261.806] (S)日本語かな: そう、お願い行動嫌い
[1280.620] mashe1748: 頭突きでも減るんだからいいよね
[1284.935] tugaru_san: それくらいはほしいよね
[1285.881] LooseDash: 影ナル者くんの性能そのまんま殺意リュウでよかったのに
[1286.766] (S)tabibitox: 電刃でSA1だとガー不でいいと思う
[1287.170] レム__: 電刃はピヨり要素あったもんねぇ
[1290.393] (S)thraximundaru: 頭突きで1削れるのすんごい
[1319.710] (S)kimi_3_: 波掌撃は常に電刃状態だったら
[1321.148] OKG_TWIN: リュウさんもう少し弾けてても、誰も文句言わないよね
[1325.080] latenight000: 結局、「起き攻めしながら電刃溜めれる」じゃないと弱い
[1339.611] 風水ライダー: 開幕から強化ストックほしいわ
[1349.843] harume_zz: BibleThump
[1351.358] gatsbyin: くうきｗ
[1354.537] tugaru_san: それくらい突き抜けないときついね
[1357.839] (S)ドラキュラおじさん: スイーって前にすべりながら集中！ってできたらいいのに
[1357.897] レム__: くうき・・・
[1358.447] TB2117: カプコンさん見てますかー？
[1364.957] かべ_娘は双子: 結局リュウ使いが多いから強くするとリュウだらけになって困る、みたいな話が。
[1368.355] shellfish55: 調整年１まじでつまらんて
[1371.643] 1108044k: でも調整一年後♪
[1373.895] mendokusaiu: 意地でも強くしないという意思を感じる
[1373.916] goroutai: 大パン2回ガードさせたら電刃たまるとか
[1374.434] ミシェル鎌倉: ｗ
[1375.676] (S)dcdryuya404: LUL
[1376.419] (S)fikat_0702: ｗｗ
[1376.693] レム__: どう集中してんのよｗ
[1377.405] (S)thraximundaru: 波衝撃うちながら集中溜めてほしい
[1381.206] harume_zz: www
[1382.988] (S)kamiyamamulti: ジェイミーみたいにタゲコンで集中してくれるとか
[1383.279] 清和源氏: www
[1383.936] ミシェル鎌倉: 器用やなｗ
[1384.059] OKG_TWIN: 通常技キャンセル溜めで-2とかにならんかな
[1384.175] kusomegane123: 集中してないだろw
[1387.907] (S)matoo0777: マゴさんが育ててくれるはずや
[1389.272] LooseDash: 今のリュウとケンの関係は3rdのエレナと春麗っぽくない？
[1390.050] クヤタ: 陸上部みたい
[1390.508] lare153: 走りながら集中して技強化はそれもうケンだよ
[1390.951] みししっぴ1: 集中してくれw
[1391.947] goroutai: 絵面面白すぎる
[1394.119] 新ころりん: ヨガの極意かな？ｗ
[1395.498] (S)dokuyubi: 朝ランニングしてるおじさんじゃん
[1400.097] (S)日本語かな: 🏃‍♂️💨「集中！」
[1404.859] (S)gorogorogorn: そしたらリュウ使ってくれる？
[1409.252] latenight000: リュウに「集中ダッシュ」を追加しました。「Kボタン2つ押し」でダッシュしながら電刃を溜めます。
[1410.819] 今夜が山田ァ: 燃えるお兄さんじゃん
[1410.819] tamacho: 最初から集中して試合にでろ
[1410.979] goroutai: 奮迅集中
[1422.172] heroyan2: 集中のフェイント
[1425.496] 二丁目: 阿修羅モーションで集中
[1429.095] (S)u_tear: 阿修羅閃空を思い出しながら
[1430.484] ミシェル鎌倉: 最初から集中しろはほんとそうｗ
[1434.623] 1108044k: JPより火力ないの終わってるよね
[1449.407] レム__: ドライブラッシュ中に滑りながら集中して起き攻めもできる
[1449.821] latenight000: ジュリとか風波溜めながら起き攻めできるのにw
[1459.385] xyz1648: 阿修羅閃空しながら集中は、もう殺意目覚めちゃってる
[1468.785] shellfish55: ジェイミーは可能性かんじるけどリュウは…
[1471.041] (S)thraximundaru: 常時集中は炭治郎も苦戦してたから
[1475.972] (S)tabibitox: ジュリみたいにコンボの流れで溜めれるといいのにね
[1476.122] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[1479.966] one596: 昇龍当てたら自動で電刃溜まるとか
[1480.549] LooseDash: せっかく殺意克服して無の波動みたいな感じになってるんだし剛拳の技受け継いだらええんちゃう
[1487.581] ムエタイ: ガード有利の集中タックルつけるか
[1496.469] OKG_TWIN: やっぱり百鬼つけよう
[1497.511] ~MISSING_COMMENTER_INFO~: コロッケ！
[1507.456] xyz1648: 背水の逆転劇
[1509.257] 風水ライダー: 中パンにガードさせて有利返して
[1511.131] ゆきおん: ジェイミーは何やかんや酒飲みながら起き攻めできちゃうもんなぁ
[1532.403] (S)dokuyubi: リュウのことで頭がいっぱいすぎる
[1542.341] zolajin: 殺意克服したなら殺意と同じかそれ以上の技使えていいのにな
[1546.909] 超パンダ: レオ君てMRいくつなん？
[1546.975] (S)kamiyamamulti: 体力大幅にアドバンテージ取れる状況ならバーンアウトしてでも最大コンボ+sa3はありですか？
[1547.206] (S)gorogorogorn: 集中から派生技出て起き攻め出来たらいいのかなあ
[1551.243] OKG_TWIN: リュウにまだ見つけていない何かがあればねぇ
[1551.577] レム__: 集中ボタン長押しで何個かストックできるようにしよう
[1559.313] (S)日本語かな: 全ての必殺技ヒット時のみ着地硬直を電刃溜めでキャンセルできるように変更しました。
[1560.899] 1108044k: 本田も？
[1560.979] Aenge: Ryu is bad
[1563.765] 記入漏れ: スト５最終バージョンのリュウの方がよっぽど強かった。中堅あるいってる人は本気か疑う
[1564.086] greentea11111: 起き攻めに集中してくれ
[1567.962] hisotensokuzei: 集中しても波動１回我慢すればええかってなるからなぁ
[1573.557] migiriugachi: 集中で波動が多段で遅くなるとかは？
[1573.839] LooseDash: 集中の全体フレーム半分にするか
[1576.106] xyz1648: 気になってる元カノを街で見かけたレベルで話しこむ
[1578.790] shellfish55: リュウはクソ技追加しない限り弱いままだろうね
[1579.774] stnidic: そりゃあ試合中に集中とかいっちゃうの舐めてるよね
[1579.927] マイクハガー: 4回集中したら常に集中モード
[1581.010] かべ_娘は双子: 集中ボタン長押しいいね
[1581.088] (S)日本語かな: 電刃中の波動拳が膝崩れでラッシュ大パンから追撃できるようにさせて欲しい。でも、すでにOD波掌撃が膝崩れだから差別が難しい。
[1581.695] まるいとうふ: かっこよさはリュウ
[1583.824] (S)しゃくれ: マゴさんがリュウを見つけてくれるのを信じる
[1589.797] feel2525: リュウは来年に期待
[1592.353] ryuken_future: とりあえず中波動はフェイントに変えてもろて
[1593.284] tugaru_san: 集中したら三発くらい分くらいは錬気状態じゃないと釣り合わない気が
[1597.561] 河童の足枷: 龍爪つけて中段で有利取れるとかじゃ強くなりませんかね
[1600.777] 二丁目: 試合前にちゃんと集中してこないとか舐めてる
[1603.513] 1108044k: 体験版であれだけしゃぶりつくされたのになんか見つかるかなぁ・・・
[1609.252] TB2117: リュウはゴンのジャジャン拳みたいにオーラを拳に溜めた一撃を出してほしい
[1610.287] LooseDash: めっちゃつよい弱気功みたいな
[1617.703] (S)dcdryuya404: 強化できる技多いのになんかやったら消えるもんな
[1624.118] (S)thraximundaru: 攻撃しながらストック貯めるのはジュリもリリーもやってるじゃんねえ
[1624.488] shellfish55: リュウにはクソ要素が足りない
[1627.960] heijitusan: 本田は元々起き攻め捨てるとかじゃなく中央だと出来ないんだよ
[1631.596] novea19: 一応OD竜巻からラッシュしゃがみ中パン→集中ぅ！！で＋10F有利です（端限定）
[1642.563] (S)イエール: ウメちゃんヤッホイ 
[1644.874] OKG_TWIN: Hungry Now
[1651.925] (S)u_tear: 全て波動コンセプトが邪魔してる
[1655.954] LooseDash: 認定中と当たるんだ
[1656.310] kiyomo001: 集中に攻撃判定つけて始動技にしよう
[1658.093] (S)gorogorogorn: 足刀キャンセル集中とか
[1659.194] (S)tabibitox: 集中に無敵付けよう
[1663.823] shellfish55: 波動もういらんよ
[1664.122] (S)相田俊介: チャレンジャー
[1667.326] pochichan11: 集中に当身つけろ
[1670.796] hisotensokuzei: 集中もういらんやろｗ
[1674.140] (S)kimi_3_: 集中の隙もでかすぎよね
[1674.396] レム__: 集中に当たり判定つけよう
[1675.992] (S)dokuyubi: ルークのインパクトみるたびにレオくんの笑顔がちらつく
[1677.480] OKG_TWIN: スト１みたいに波動拳の威力2000ぐらいにしようぜ
[1679.200] heroyan2: 足刀の強がケンの竜尾みたいにプラス取れたら少しは強くならない？
[1679.817] ムエタイ: 電刃波動を超強くするしかないな ガードでドライブゲージ2本削れるとか
[1681.251] 記入漏れ: 集中がマジで技を縛ってる、強波動や波掌が電刃になってるぐらいでやっと食い込める
[1681.811] LooseDash: つうか普通に灼熱波動の見た目が電人になりましたでよくね
[1688.223] 風水ライダー: りりーみたくコンボに組み込めるとかあればなー
[1691.527] ロミヲ: RyuChamp
[1692.277] johndoe6523rp: 集中に攻撃判定ww
[1692.932] lutz001: 大足キャンセルで集中して起き攻めできれば
[1693.139] 1108044k: 普段集中できてなさそうでいやだよね
[1706.775] kusomegane123: パニカンで一個溜まるみたいなおまけシステムじゃないと一生弱そう
[1708.219] shellfish55: まぁリュウが強くなることはないだろうね
[1708.449] ノイきち: 集中やってる時完全無敵だったらおもろそう
[1713.866] sndkzfm1: 大企業は決裁承認まで長い
[1717.128] レム__: 集中がエレクトリックサンダーみたく相手が痺れるように
[1722.995] (S)相田俊介: リュウは普通にコンボ強化して飛び道具持ってるマリーザにすれば存在感出る
[1728.524] (S)gorogorogorn: 集中でDゲージ回復かな
[1733.213] (S)イエール: 確かに、仮面ライダーの変身中にショッカーは襲って来ないしなぁ
[1734.211] (S)tabibitox: 集中に回復付けていいんじゃない？ｗ
[1735.948] (S)日本語かな: 集中ストックを最大2個、集中状態でパンチ系の攻撃力強化（1で105%、2で110%）
[1749.467] 記入漏れ: まぁ例のごとくちょっとずつ毎年強化されてるんだけど全然追いつかなかったね。で終わると思う
[1752.582] anaaka88: キンバリーの爆弾補充の方が弱くないですか？
[1762.409] (S)gularain: 門番のお仕事だった
[1762.551] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[1767.843] johndoe6523rp: ジャストパリィで電刃ストック溜まるとか
[1771.394] unlimited_teddy: 相手ダイヤになった
[1772.926] shellfish55: スト5終盤のリュウはなかなかいいポジションにいた
[1775.556] sndkzfm1: カプコンがリュウを強くする気がないからしゃーない
[1777.617] Goodwisp: そもそも爆弾補充する？
[1778.783] gatsbyin: 集中一回でずっとでんじんついてDゲージ回復
[1780.768] taroru3: 戦ってんだから常に集中してろ
[1782.910] 風水ライダー: 爆弾開幕から持ってていいじゃ
[1784.119] hisotensokuzei: ブランカちゃん人形補充も使われたこと無い
[1786.161] ryuken_future: 波動撃意外と隙あって波動フェイントしても狩られるときあるのもクソ
[1786.690] 550a: 爆弾補充は起き攻め捨ててないよ
[1786.845] ムエタイ: リュウも酒飲む仕様にかえるか・・・
[1787.321] ミシェル鎌倉: ダイヤ２であたるんか
[1788.897] ぼんじゅ: なんでダイヤ？
[1789.291] Moneybagzzzzzzz: Daigo's frame kills are insane
[1790.417] (S)tabibitox: そもそも補充しないし、最初から持ってるし
[1797.567] (M)(S)gameinntwitch: おはようございます。特にトラブル無さそうですかね？
[1798.483] 1108044k: 雑念に塗れたリュウ
[1802.068] (S)イエール: 集中してから戦いに臨めw
[1804.582] stnidic: 別にリュウ強くなくてもいいっとことなんだろストV初期以外こんなんだし
[1805.621] slmeret: ハングリーナウってぷんこ？
[1808.299] Canta888: １戦目は認定戦だったから
[1808.772] unlimited_teddy: 認定戦ちょうど終わったんでしょ
[1811.742] (S)日本語かな: メンおじお疲れ様です。今の所ないです。
[1812.110] novea19: じゃあリュウも初回ｘｎ無料で電刃撃てるようにしてくれ…
[1812.367] ロミヲ: 相手壊れちゃうよぉ
[1815.358] ryuken_future: メンおじありがとー
[1819.111] (S)gorogorogorn: 初回特典ｗ
[1822.999] hisotensokuzei: 全然変わらんｗ
[1823.477] latenight000: まぁそれでも使わないけどねリュウw
[1826.988] kurobedam: OD昇竜後に自動で集中
[1828.792] (S)kimi_3_: 試合中に何度も集中する中年男性
[1831.941] ~MISSING_COMMENTER_INFO~: てかリュウ最初から集中しとけよ。勝負舐めてるんか
[1832.511] ミシェル鎌倉: プライム特典
[1834.075] (S)hanageeee: 初回特典でも物足りない感あるけどｗ
[1835.706] 風水ライダー: 開幕ログインボーナス
[1835.707] kusomegane123: ジャスパで補充にしたらどうなるのかは気になるな
[1837.641] shellfish55: てか来年豪鬼でるしもうリュウは…
[1840.861] arotadiph: 時間経過で集中が勝手に溜まるとか
[1844.693] レム__: OD昇龍の下りで集中するとか
[1846.660] 1108044k: この道であってるのか不安になってるんだなリュウ
[1846.670] (S)オワオワタ: その辺の特殊ゲージ見直してくれるだけで大分バランス変わりそうだね
[1853.226] kiyomo001: ３個ぐらい最初からあってもよいやん
[1853.403] ロミヲ: ワンボタン瞬獄殺
[1853.469] (S)日本語かな: 弱いっしょ
[1854.027] heijitusan: リュウも集中止めて人形作って起き攻め強化しろ
[1856.629] yaki_purin: 集中に判定付けてコンボに組み込もう
[1857.364] のな: いやーいうて
[1858.646] (S)tabibitox: 開幕弾が安全
[1865.742] 記入漏れ: いうて、それでも強くはないでしょ。起き攻め捨てるまでもない強化技である以上
[1865.782] ノイきち: バーンアウトしたらずっと集中状態とか良さそう
[1869.175] 1108044k: 同じだし
[1870.469] (S)matoo0777: 微妙
[1871.387] tarako7016: 集中してます！
[1873.165] (S)hanageeee: 集中ゲージができるといい
[1876.032] shellfish55: 技追加しかないよ…
[1876.567] いぶんくる: 最初だけだしな
[1879.433] stnidic: 殺意は来ないのかな
[1879.938] (S)オワオワタ: ほんとリュウの調整難しいわ
[1880.758] ムエタイ: てか通常時のリュウって集中してないってこと？ｗ
[1882.074] ぼんじゅ: 集中したら３回強化波動はどうですか？
[1882.344] (S)GG_sensay: 開幕演出で集中
[1882.479] (S)やまゆ: 波動拳！おわり
[1886.150] (S)nagasaki3662: 集中してるのに、どうして…
[1886.656] レム__: 集中ゲージって普段集中してないみたいだなｗ
[1887.724] (S)イエール: 集中メダル
[1887.825] kusomegane123: 今まで集中してなかったのってなる
[1888.223] 超パンダ: 死合してんだから常に集中しとけよ
[1888.228] Hagimagi_14: 最初から集中しとけって話
[1890.163] ryuken_future: 2000与被ダメごとに集中プレゼントにしよう 集中最大5ストックぐらいできるようにして
[1890.561] TB2117: いまだに飛ばせて落とすリュウが好きな人いるのかな
[1891.435] woodmud: ルークいるからスタンダードじゃなくてもいい
[1895.291] (S)gorogorogorn: 集中を時間持続制に
[1898.057] unlimited_teddy: バーンアウトしたら強くなるキャラとかいたら面白そうなんだけど
[1898.138] のな: 集中をストック制にしたらワンチャン
[1898.183] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1901.164] takossshi: SA3使ったら一生集中モードとか
[1902.235] lesame: 集中できるルートが増えるとかのが良いか
[1902.907] 1108044k: もういいよ主人公じゃないし殺意の波動に堕ちてもろて
[1907.545] 今夜が山田ァ: 最初から油塗ってます的な
[1908.700] ミスターポポ: もう試合中に3回集中できたら無条件でリュウの勝ちとかにしないと
[1909.403] novea19: リュウの鉄板が試合開始とともに初手ＯＤ波動だからそこで終わりそう…
[1914.392] kanatazx: 波動拳プラスフレームにした方が面白そうですね
[1915.123] (S)matoo0777: 破衝撃は電刃でいいじゃん
[1915.286] kurobedam: 集中したら相手の技全部+10フレ
[1915.514] kuniojd: 電刃波動削除でいいから集中溜めやすくしてほしい
[1921.023] shellfish55: スト7にはリュウいなそう
[1926.180] hisotensokuzei: ガルツさん
[1927.122] ~MISSING_COMMENTER_INFO~: リュウは格ゲーチュートリアルキャラ
[1927.176] Goodwisp: もうハショウゲキを消してコマ投げにしてくれ
[1927.784] レム__: キンバリーみたく永続バフか
[1931.643] はっぴーたいむ: 集中１５秒にして使い切りではなく 持っとけないってのは
[1935.394] heijitusan: 集中で体力1000回復は流石に強い？
[1936.896] のな: これが6のベガですか
[1942.766] Moneybagzzzzzzz: has daigo even touched another character since he started maining ken? lol
[1944.130] (S)u_tear: リュウさん達人枠で解説とかしてそう
[1945.197] ロミヲ: 集中するとメダルがたまって５つ溜まると殺意とか
[1946.971] kusomegane123: 永続バフはさすがに人口増える
[1949.387] gatsbyin: ぶっちゃけリュウより豪鬼の開発に力入れてほしい
[1950.823] (S)あでぅ: 集中したら足刀でしばらく壁にめり込みます
[1953.017] sndkzfm1: スト7ではゴウケンみたいなリュウが出てくる
[1955.182] TB2117: やっぱ主人公だから変えにくいのかな
[1961.301] 越智18ーおち: 元５LP全一さん
[1965.922] ムエタイ: ガルツさん
[1972.442] ryuken_future: 豪鬼どうなるんだろうね 壊れになるのかなｗ
[1978.845] 風水ライダー: ガルツさんてそうなのか
[1982.528] 記入漏れ: 豪鬼も正直ケンより弱い、になりそうだ。ケンより強かったら洒落にならんし
[1992.315] shellfish55: リュウはいいけど弱い豪鬼は見たくない
[1992.962] (S)hanageeee: 起き攻め拒否を納得できるぐらいのバフがかかればええんかな
[1996.109] クヤタ: ラシード見る感じかなり調整は慎重にやってる
[1997.271] (S)イエール: 集中or殺意ルートを設けるとか
[1999.251] ミスターポポ: 電人モードになったらガードさせて相手のDゲージ削る性能アップしよ
[1999.269] 1108044k: 瞬獄の調整難しそう
[1999.434] 超パンダ: 集中したらジャスパリ猶予プラス1F
[2002.278] novea19: じゃあＳＡ１の威力ちょっと減少させて集中プレゼント
[2007.297] ~MISSING_COMMENTER_INFO~: 集中した時に回復しちゃおうか
[2010.735] unlimited_teddy: ガルツさんってグッデイにいた人かな
[2013.461] zolajin: 斬空あって弱いキャラって想像しにくいんよね
[2014.933] instawww: うますんぎ
[2017.159] kusomegane123: 対空昇竜、ジャスパ、インパクト返しで補充とかで丁度よいのでは
[2021.492] 風水ライダー: 豪鬼はケンとは差別化できるんじゃないかなあ
[2034.655] stnidic: でもリュウは使用率は高いから...
[2040.685] (S)日本語かな: ジェイミー使いも起き攻め拒否納得してないで。常にタゲコン使わせろって言ってる。それでも弱いけど。
[2044.844] chinnen1: リュウに斬空と阿修羅つくだけで強そうだからゴウキは流石に強い
[2047.255] sndkzfm1: 単純にケンより強いキャラはヤバいって話やろ
[2048.225] (S)オワオワタ: 開発陣も頭悩ませてるだろうなリュウの処遇に
[2048.243] Goodwisp: どうせ百鬼が竜巻ぐらい運ぶだろなぁ
[2049.031] (S)GG_sensay: ジャスパで集中とか熱いな
[2053.551] syura26syusyu: 豪鬼って今まで低耐久の代わりに許されてた部分があったから6でどう調整されるのか気になる
[2054.377] かべ_娘は双子: すげーヒットバックしたな
[2060.671] いぶんくる: 豪鬼は体力少し減らして性能バカみたいに尖らしてほしい
[2061.619] shellfish55: このゲームの豪鬼どう考えても強いｗ
[2076.596] 1108044k: 単純に馬鹿火力でいいのにマリーザみたいなの出すから完全に・・・
[2078.699] ロミヲ: M豪鬼に震えろ
[2080.221] ミシェル鎌倉: うま
[2082.592] (S)tabibitox: 斬空がパニカンになってなんかつながる未来
[2083.624] レム__: 今のところ低体力はいないのよね
[2091.126] 超パンダ: 鬼をも屠る滅の拳
[2092.574] 越智18ーおち: 豪鬼に阿修羅があるのかどうか
[2096.629] heroyan2: 波動拳を溝口のタイガーバズーカに変更
[2099.232] シミズム: ワンボタン瞬獄
[2100.490] TB2117: リュウはぶっ飛んでいいと思うけどなぁｗ
[2100.844] (S)shiitake4698: 一回集中したら２０秒持続は強すぎかな？
[2103.126] johndoe6523rp: 豪鬼は適当にゲージ吐いてワンボタン阿修羅で逃げまくるキャラです
[2103.596] 1108044k: 瞬獄って投げ扱い？
[2107.420] servphe: exemClap
[2109.767] injaaRL: you are insane
[2111.041] ミシェル鎌倉: きれい
[2111.247] 風水ライダー: 百鬼で崩せるの楽しそうだね
[2115.393] かべ_娘は双子: 確かに火力高くて耐久力低かったらマリーザでいいじゃんてなりそう
[2116.574] クレちゃ: すんご
[2118.142] ノイきち: スパイアジャスパうますぎるー
[2121.814] (S)日本語かな: 打ち放題
[2123.826] uwbxlwyhsiqj: キンバリーの軌道変化ですらちょっときついのに豪鬼怖すぎる
[2127.858] rinnjiy: リーサル完璧
[2132.172] novea19: ガイルのＳＡ２レベルやんｗ
[2132.939] sndkzfm1: リュウは使用率3位の人気キャラ
[2133.191] (S)とまとたいがー: 強足刀にアーマー付与
[2134.292] stnidic: やることガイルになるだけ
[2135.556] Radio_hitd: Aweome Daigo senseeeeeei
[2137.231] レム__: でも強すぎと思えるくらいじゃないと戦えないんじゃないか
[2138.601] (S)kimi_3_: 集中波掌のコンボも火力高いもんね
[2140.481] (S)dcdryuya404: いいじゃんね
[2141.688] ryuken_future: 豪鬼壊れでいいけどね 弱い豪鬼は見たくないｗ
[2144.630] (S)tabibitox: 無個性なのがいけないしな
[2145.933] junkyard_dave: Hello from Canada! Good luck Daigo.
[2146.580] Radio_hitd: Awesome*
[2147.643] 今夜が山田ァ: クソの押し付け合い
[2151.137] ロミヲ: JP「君もクソになろう」
[2151.528] TB2117: クソ要素が足りん！ｗ
[2153.284] (S)merkava_mk2: そう、リュウにはクソ要素がない
[2154.298] shellfish55: リュウは真面目すぎる
[2154.359] 風水ライダー: マリーザ化
[2154.532] SILENT__NL: forsenOkay
[2154.866] prisira: 足刀アーマーついてもいいでしょｗ
[2156.853] Opening_Runner: 集中のイントネーションを変にしてイラっとさせる
[2157.692] ミシェル鎌倉: リュウは優等生でもないよね？
[2158.680] taroru3: せめてリュウビに匹敵する技を///
[2159.195] (S)あでぅ: 波動拳の横幅が大きくなる
[2161.202] novea19: もうＳＡ２いらないからダメージ無しの集中ｘ５でいこう
[2164.239] クヤタ: ウンコの投げ合い、BBかな？
[2164.489] (S)とまとたいがー: やっぱ波動コマ投げですか
[2165.516] kskskn: 投げたらメダル拾えばいいんじゃない？
[2166.786] (S)thraximundaru: アッパー調整するって言ってますしね
[2167.095] 1108044k: 大ゴスにアーマーつけるか
[2167.738] gisvmpwf: モダンリュウ一気につよなる笑
[2168.999] (S)GG_sensay: リュウだけキレイに戦ってるという開発の意図か？
[2169.432] zoeyan: 各キャラクソ要素で尖ってた方がいい
