[14.698] ちくお: っわこらだ
[89.759] runa_xx1023: radaoOme
[89.793] (S)るきち: おめでとう 
[90.152] picari_: わこらだ20万人おめ
[90.446] (S)ミヤチ: radaoOme
[90.483] もじゅべ: radaoOme
[90.708] mira_889: radaoOme
[90.942] ponharu: おめ
[90.946] kuroro0705: さすがだな
[91.140] よわはと: radaoOme
[91.355] かりんりんだよぅ: エペ見たい
[91.978] sai_ironi11: わこらだ～！
[92.181] yuki_snowdrop: わこらだ
[92.248] harayukisachiko: haraharayuki subscribed at Tier 1. They've subscribed for 19 months! 20万人おめ！
[92.505] on_mame: わこらだ
[92.550] (S)poncho_popo: 20万おめだー
[92.701] mikankan693: おめでとう！！！！！！
[92.932] ネコねこ: radaoOme
[93.177] (S)goodfriends02: radaoOme
[93.546] chiwa_0227: ないすだ
[94.151] enpt___qmq: radaoOme
[94.268] runa_xx1023: radaoOme
[94.298] いちざら: おめでとう！
[94.677] りなちｬ: おめ
[94.873] on_mame: おめ！
[94.893] えびとまと: radaoOme
[94.928] みるくるぴるくる: ホラーやってほしいw
[94.929] bamubamu_baamu: おめでとー
[94.938] あらんえむかーびぃ: 20万人ぽめ！！ 
[95.021] えにー: おめ
[95.269] syokka_kazuho: わこらだおめでとう！
[95.293] milkcocoa821: わこらだ～おめ！！
[95.798] sai_ironi11: おめでとう！
[95.868] (S)もふ_00: radaoOme
[95.897] (S)ゆう77: おめでとう 
[96.029] たか野: radaoOme
[96.200] kainn_1114: おめ！
[96.937] riin_2020: 20万人おめー！
[96.965] riririnn0701: わこらだおめでとー
[97.528] えびとまと: めでてえ
[97.872] yukkin_rarara: yukkin_rarara subscribed at Tier 3. They've subscribed for 15 months! おめでとうございます！！
[97.882] mira_889: わこらだ 
[98.074] shi_o: おめでとう 
[98.221] yoiko_chan: ワコラダ
[98.282] runa_xx1023: radaoOme
[98.417] (S)mikuru_minto75: radaoOme
[99.761] 緑髪りょくがみ: おめでとうございます🍾
[99.895] (S)みずきはな: radaoWakotu
[100.232] もすちょこ: わこらだ
[100.778] hi_oyu: radaoPikon
[101.283] runa_xx1023: radaoOme
[101.306] 梨一: わこらだ
[101.605] たか野: おめ
[101.668] jyuna0312: radaoOme
[102.022] (S)miki___24: わこらだ
[102.194] にちゃん: radaoOme
[102.243] (S)fuwaru_4128: わこらだおめでと 
[102.821] kohakuuu1123: わこらだ
[103.033] zane417: わこらだおめ
[103.401] yua0027: おめでとうございます！
[103.630] (S)みみと: radaoOme
[103.673] amy31077: radaoPikon
[103.711] saki_kagura28: わこらだ！
[103.824] (M)Nightbot: らっだぁ切り抜きチャンネルはこちら→https://www.youtube.com/channel/UCh-qC7-Ru8a54apFdHnASsA/
[103.871] アオブル: わこらだおめでとう
[103.973] (S)すぃま: わこらだ
[104.042] runa_xx1023: radaoOme
[104.064] (S)藤之助: 今来たわこらだ20万人おめぇぇぇぇ 
[104.657] (S)pelex_dayo: radaoPikon
[105.401] (S)sumeshi0213: radaoOme
[105.696] tsukiha_10: わこらだ
[106.409] (S)みみと: radaoPikon
[106.505] nomal527: radaoOme
[106.618] zomukyo_i: ふうーにすごい
[106.949] huku_mm0v0: 今北わこらだ
[107.074] おうじ_: わこらだ
[107.177] まなえ: わこらだ
[107.392] みきな: わこらだ
[107.418] すいぺりあ: radaoOme
[108.029] kino_35: わこらだーおめでとう！
[108.423] (S)atuono: でっかくなったね
[108.516] pu_tyan: radaoOme
[108.642] mimitabu_92: おめでとう
[108.650] 角角家: シャワー中じゃw
[109.221] chibimame_: おめ
[109.366] (S)4waiyo: わこらだ
[110.125] blaze9710: おめでとう！！！
[110.172] もすちょこ: 改めておめでとう！！！
[110.539] rz_rilu: わこらだ〜おめでと
[110.802] yu_urarua_oO: らだおめ！！
[111.043] (S)PEI_OwO_: めでたい 
[112.011] (S)すぃま: radaoOme
[112.317] neko_moti: おめ
[112.526] (S)moimo_moi: radaoOme
[112.685] (S)こまし: 地元の人口じゃん
[112.850] (S)haluto0225: radaoOme
[113.736] am4kumo: oudon extended their Tier 1 subscription through July! 
[113.786] みるくるぴるくる: すごー！
[113.796] (S)miki___24: radaoOme
[114.021] みつおうぎ: わこらだ
[114.566] (S)sumeshi0213: radaoKansya
[114.700] (S)がっちょ: おめでとう
[114.748] (S)ゆきとよ: ゆきとよ subscribed at Tier 1. They've subscribed for 7 months! わこらだおめでとう～
[114.828] tokotto: わこらだめでたい
[114.897] masa0763: おめ
[115.019] mikan_san: 20万人って何万人だよ…
[115.091] (S)aina___10812: わこらだ！おめでとう！！
[115.435] (S)ponzuneko2: 20万人おめ
[116.044] rm__chan: radaoOme
[116.359] amy31077: おめでと～
[116.820] arasin2157: わこらだ
[116.851] (S)おじょーー: わこらだ 
[116.852] とらい_27: わこらだ
[117.286] akauoooo: おめでとうございます㊗️🎉アペやろ！
[117.476] (S)nasino_123: nasino_123 extended their Tier 1 subscription through July! 
[117.513] kuirid: 次は30万だね‼︎
[117.835] 豊田育斗: わこらだ〜
[117.970] (S)みみと: わこらだ！おめ！
[118.130] (S)4waiyo: おめでとう！！
[118.534] yuki_snowdrop: おめー 
[119.981] chai_latte3: すごい
[120.014] (S)rinnne_1220: radaoOme
[121.148] (S)daizu___mame: radaoOme
[121.400] ta_tago: radaoOme
[121.954] ツキミコ: radaoOme
[123.163] haru_anura: おめー
[123.175] mucha_1018: わこらだ
[123.398] すいぺりあ: ついっちで20万はすごいよ
[123.594] kelutan_1128: わこらだおめー
[124.026] もか2680: radaoOme
[124.041] sai_ironi11: YouTubeの1/3よりちょっと上くらい？
[124.357] (M)おいしいりんご: わこらだ 
[125.209] rila26: おめでとう！！！
[125.398] takukenpi: つべ勢だけどおめ
[125.617] arasin2157: radaoOme
[125.765] らずらむ: radaoWakotu
[125.784] (S)dokokara_dokomade: radaoOme
[125.894] kinusaya38: わこらだ
[126.374] (S)ミヤチ: radaoOme
[127.008] みるくるぴるくる: 20万人だよw
[127.225] おうへろ: わこらだ
[127.235] (S)いんてるいんてる: 戦争起こせる
[127.686] (S)rioniku1515: これが本当の視聴者数…あっ
[127.736] (S)karako2070: わこらだ
[128.610] (S)netaiyo: radaoOme
[128.839] neu_rose: すごいやーん
[129.620] yuna_aaaaaaaaa: おめ！
[130.307] (S)nasino_123: radaoOme
[130.539] rrr_rion__04: わこらだ
[130.843] runa_xx1023: やっぱさすがらっだぁだよ！！
[131.311] huku_mm0v0: 20万はやばいね
[131.452] mifwa39: わこらだ
[131.493] neu_rose: radaoOme
[131.630] kinari_iro_: わこらだ。おめ！
[131.737] にちゃん: 20万おめでたい 
[131.954] あおは_: わこらだ
[132.274] otux2_0205: わこらだ
[132.438] hotaru3301: わこらだ
[132.482] yukinakomochi: わこらだ
[132.852] かりんりんだよぅ: やたー！
[132.960] (S)せあくん: radaoOme
[134.236] radodo26: 100万人おめでとう！
[134.383] hatiti88: わこらだおめ
[134.570] tyasiki_02: わこらだ
[134.800] (S)karako2070: radaoOme
[134.813] hi_oyu: 20万人って何万人だよ
[134.816] (S)dokokara_dokomade: わこらだ オメーー
[135.646] のゐ: わこらだ！おめでとう！！！！！！！！！
[136.040] (S)rioniku1515: radaoNice
[136.128] 枯木です: わこらだおめでとう🎉🎉
[136.299] rrr_rion__04: おめでとう
[136.579] (S)karako2070: radaoOme
[136.718] ふれーく: radaoOme
[137.261] nakanokun_chan: わこらだー！
[137.458] amaebi____: おめ
[138.498] sakasa_n: わこらだ
[138.750] tsukiha_10: おめでと！
[139.725] もぎ: わこらだ
[139.757] komasannsann: わこらだおめ
[140.215] rin_0505: おめー
[140.421] takeru1104: おめでとう🎉🎉🎉
[140.456] hotaru3301: おめ
[141.019] _さらん_: すごい！
[141.157] (S)こぺと: わこらだ
[141.592] mikan_san: あ
[141.809] (S)rioniku1515: radaoOme
[142.365] 114iMUSE: おめでとう
[143.732] shachi_taroo: radaoOme
[144.052] akai_nea: わこらだ
[144.175] hairuru_: わこらだーー
[144.755] am4kumo: radaoOme
[145.220] ruu_ha: わこらだ
[145.530] (S)hoozuki05: わこらだ
[145.586] nakanokun_chan: おめでとーう！！！！
[145.633] はむおくん: わこらだ大手ツイッチ配信者だね
[145.693] mifwa39: おめでと👏🏻🤍
[145.927] mimi_fuwa1489: わこらだ
[146.156] (S)こぺと: radaoOme
[146.288] rila26: 20万人はすげぇ！！
[146.350] (S)pelex_dayo: 普通にすげー
[146.355] tyasiki_02: おめでとー
[146.381] (S)midmid803: radaoOme
[147.338] kakeru_829: おめっと！
[147.508] もすちょこ: radaoOme
[147.627] runa_xx1023: 私は見る
[148.555] (S)するとば: radaoOme
[149.191] ta_tago: radaoYatta
[149.453] ふれーく: 1600人
[149.820] もすちょこ: radaoOme
[149.903] kazeto0261: わこらだ
[150.066] えびとまと: 地元の人数の3倍で草
[150.438] mimi_fuwa1489: おめでとう！
[151.595] sakasa_n: 20万ってすごいよなぁ
[151.637] runa_xx1023: radaoOme
[151.871] はなきち: わこらだ
[152.088] もすちょこ: radaoOme
[152.100] (S)ﾏｲﾁｮ: わこらだ
[153.970] (S)pinkinu: おめでとうございます 
[154.221] ame_ume: わこらだ
[154.308] (S)PEI_OwO_: 普通にすごいじゃん！
[154.462] winwindows01: わこらだ おめでとう
[154.494] rin7331: わこらだ20万おめ
[154.575] kohakuuu1123: おめでとう！！！！
[154.667] (S)uta_0713: radaoOme
[155.183] ドロッと食感: 重要なのはアクティブ数
[155.187] (S)おじょーー: radaoOme
[155.360] torikera0124: わこらふぁ
[155.406] (S)daizu___mame: 少なくとも毎回5000人以上は見てくれてるよ
[156.044] kazeto0261: おめでとう！
[156.935] 光龍: わこらだ
[157.144] そぉらぁ: わこらだ
[157.336] にゃんねね: わこらだ
[157.420] (S)ろみ_63: わこらだ
[157.644] mikan_san: まぁそれはそう
[158.767] anzu_eichi: わこらだ
[158.913] ~MISSING_COMMENTER_INFO~: いやあ凄い
[158.925] ponpoko_no_pon: おめ！
[158.964] blue_tooth33: おめでとおおおおおおおおおお
[158.968] mariaaaaacha: わこらだ
[159.774] wasurete_shimae: おめめ
[159.905] みつおうぎ: 見ます
[160.009] アストモ: わこらだ
[160.263] やくとみ: わこらだ
[160.263] torikera0124: おめでとう🎊🎊🎊
[160.276] FUUU888888: わこらだ
[160.289] かりんりんだよぅ: せやね
[160.512] (S)atuono: いっつも見てるよ
[160.629] umime: わこらだ
[161.071] misa___20822: わこらだ
[161.097] (M)Nightbot: サブスクdiscordの入り方はこちら→https://twitter.com/rader2525/status/1167079316754067456
[161.173] tubakuro2019: わこらだ
[161.290] ぷゆーー: わこらだ！
[161.292] ame_ume: おめでとうー！！！
[161.295] yuriri0323: 昨日のポキ農カタン面白すぎて巨漢カタン見直してきたよ！
[161.368] ha_1_: わこらだ
[161.534] nobume0v0: わこらだ
[161.743] mattya157: わこらだ
[162.013] waiyuppu: わこらだ
[162.025] mkmk0608: わこらだぁぁぁぁ
[162.042] azumikan_l: わこらだ
[162.111] (S)hara_punch: わこらだ
[162.122] huku_mm0v0: アーカイブで見る人多そうw
[162.124] kend5656: わこらだ
[162.223] はるきち02: わこらだー
[162.463] きのお: 見てるから大丈夫
[162.687] あおは_: radaoOme
[162.687] くろやぎちゃん: わこらだ
[162.695] rest113: わこらだ
[162.702] りっとるくん: わこらだ
[162.774] 光龍: おめでとう!!!!!!
[162.903] pen_ako3: わこらだ
[162.944] lapan7200: おめでとう！！！
[163.034] うるうるふ: わこらだ
[163.053] app_825: わこらだおめでと
[163.605] (S)あおちゃんぬ: わこらだ
[163.910] runa_xx1023: じーーーーー
[164.128] りっとるくん: おめ
[164.166] takeshi_no_tamago: わこらだ
[164.196] (S)ぱんだぁぁぁ: パンダぁ subscribed at Tier 1. They've subscribed for 9 months! わこらだ
[164.360] イヲタ: わこらだ
[164.405] nametooisii: わこらだ
[164.518] shinobino_: わこらだ
[164.595] gang_dodosuko: わこらだ
[164.605] (S)のこ汰: わこらだ
[164.689] (S)ramune_ko___: わこらだ
[164.910] nemugonta_6241: わこらだ
[164.926] gaogao66: わこらだ
[165.011] ren3990: わこらだ
[165.113] たほ: わこらだ
[165.237] kazusuna: わこらだ
[165.428] xhi3: わらこだ
[165.492] loupe_5385: でもらっでぃ同接多いじゃん
[165.688] ankormoch1_38: わこらだ！
[165.915] adjmwt: わこらだ
[166.152] vananua: おめわこらだ〜〜〜！！
[166.643] venibear3466: わこらだ！
[167.101] ren3990: おめでと！
[167.177] (S)aya_ncha: わこらだおめ
[167.253] 100baiusumetaayataka: わこらだ
[167.309] (S)rioniku1515: YouTubeよりは視聴者ハッキリするよね
[167.320] (S)tedoo89: わこらだおめでとう🎊
[167.404] はるきち02: おめでとー！
[167.410] (S)ろみ_63: おめでとう
[167.451] (S)mochimochiku: わこらだ
[167.493] とっとこみんたろう: おめでとう
[167.496] byakuya_557: わこらだ
[167.509] mariaaaaacha: おめでと
[167.546] アストモ: おめでとう！
[167.633] taki_tubo: わこらだ
[167.686] tkmof: わこらだ
[167.715] moko_jiro: わこらだ！！
[167.752] やし_: わこらだ
[167.756] mochiiita: わこらだ！
[167.883] riririnn0701: もっとポジティブに
[167.884] yuma1115: わこらだ
[167.904] dt_apa: わこらだ
[168.079] yozora_0923: わこらだ
[168.255] (S)にぃぃぃ: わこらだ
[168.303] nqta_coconut: わこらだ
[168.470] solto1007: わこらだおめでと
[168.695] (S)toooh_4: わこらだ
[169.175] runa_xx1023: じーーー
[169.295] 氷火: わこらだ
[169.389] kaiya_karumeyaki: わこらだ
[169.401] mpru: おっめえ
[169.406] shiromi0125: わこらだ
[169.418] futunooryo: わこらだ
[169.482] oyasaitaberu___: わこらだ
[169.601] (S)ほいほい511: わこらだ
[169.644] (S)beat6767: 多い方じゃないの？
[169.879] ひのした: わこらだ
[169.882] あさ1945: わこらだ
[170.243] ryu_2121: わこらだ
[170.450] amaebi____: いつも見てるぞ
[170.469] さかのうえ: はじめまして
[170.537] lui_pucci: おめでと〜(๑´ω`ﾉﾉﾞ
[170.615] anon_0816: わこらだ
[170.634] omuraisu_nana10: わこらだ！
[170.638] miimii1225: わこらだ
[170.665] もっちりとろーる: わっこい！！！
[170.719] ベニマル: わこらだ
[170.818] にわすずめ: わこらだ
[170.834] (S)藤之助: 毎回見てるよ
[170.890] そらあま: わこらだ
[170.908] (S)あおふろォ: わこらだおめでとおおおおお！！！
[170.942] (S)つかえない: わこらだ
[171.017] rujyuimo: わこらだ( ˙꒳˙)
[171.030] ゆるぺり: おめらだ
[171.086] WAON1111: わこらだ
[171.284] (S)しょうろんぽウ: わこらだ
[171.287] ぴっくる: わこらだ
[171.313] (S)マシュマロ: わこらだ
[171.454] (S)ruchi_13: わこらだ
[171.589] (S)椋榎: わこらだ
[171.690] (S)もっちにあ: 同接多いよ！！
[171.806] nodoka111: おめでとう🎉
[171.896] pino_utsugi: わこらだ
[171.929] ma_f1003: ｻｽｶﾞﾀﾞ
[171.949] 尺八様: おめでとうございます！！
[172.194] (S)ミラティブ: わこらだ！！
[172.258] n_paa: わこらだ
[172.336] (S)佐須: わこらだ
