[10.153] (S)くろばれお: わこさかーーーー
[67.541] (S)kii_25: わこさかー
[67.640] tisei0901: わこさか
[67.930] m2oe2: わこさかー！！！
[68.635] (S)siyure_cu: siyure_cu subscribed with Prime. 
[69.220] うほにゃん: OW感謝します！
[69.937] (S)brocco_lin: わこさかー！
[72.697] m2oe2: ow嬉しい！！！！！
[74.897] hollowjello: ow嬉しい!
[75.136] (S)ぱらぱら__: ow嬉しい！！
[75.671] お_か_ら: こんばんは
[76.315] jun4167: わこさか〜
[77.677] (S)ふき__: ぶいすぽの新人さんだ！
[77.876] (S)ひつじのたれ: わこさかー！
[78.946] sapiiiiio: わこさかでーす！
[79.768] matti_suiso: わこさかー
[80.402] matsu1004: こんばんは
[80.751] (S)sazanami28: わこさか〜
[81.284] (S)96wuroncha: すごいメンバーだ！
[81.493] (S)maga_1897: わこさかです
[81.959] (S)くりーみーじぇのべーぜ: わこさか〜
[82.064] mizunaaan: わこさかー
[82.818] (S)もちもちのぐち: わこさかー！
[84.117] yas_009: こん、
[84.961] (S)七志の杜: こんばんは〜！
[87.544] wakaba1014: わこわこ
[88.365] naru_naruto: こかげちゃんいる！
[89.125] kao_ria825: わこさかです〜
[90.837] myoba0913: わこさかー
[93.677] (S)michikaaa_: しすぷてow部だ～
[95.308] (S)グリシー: ギアさん寝起き？
[95.676] (S)kosunako: わこさかー
[95.698] (S)maga_1897: ギアさんいるー
[96.036] (S)かるぼなーら: ｗｗｗｗ
[96.247] (S)ksnt007: ざまぁw
[96.357] (S)はるさんさん_: こかげちゃんだ！
[96.428] (S)wadd___: わこさかー！
[96.505] (S)ゆうひ__: wwww
[96.883] (S)りあ㌨: wwww
[97.120] (S)くりーみーじぇのべーぜ: こかげちゃんと初絡みかな？？
[98.925] (S)まこよ: wwwww
[100.345] (S)sudachim: 切れ味良すぎん？ww
[101.424] (S)___みー: OW部！たのしみ～
[102.820] (S)おるた_: wwww
[103.499] (S)なかじ___: わこさか〜
[103.741] gemarurampage: 新入生ですか
[104.496] saki082828: ざまあwww
[106.209] nagi_IK: わこさか！
[108.800] (S)ksnt007: めっちゃ近くにアンチいたw
[109.551] (S)kuro_nekotan: すげー人と噂の新人さん！？
[111.024] nekoze_nekojita: わこさか〜
[112.676] たまごろん: わこさかー
[113.080] (S)まめ___: ww
[114.052] うめちー115: わこさか〜
[120.162] お_か_ら: 言葉キツwww
[120.784] (S)みにとーま: わこさかー
[125.682] (S)Sekiha_C: Cheer100
[126.686] kanda_sora: わこさかー
[132.598] tekutek77: Cheer1000
[132.852] (S)kuro_nekotan: はじめまして〜
[134.756] はっっっちゃん: わこさかー
[134.818] (S)はるさんさん_: www
[136.562] oki4353: わこさかー
[138.337] saria_0302: わこさかー
[139.372] (S)まこよ: 気まずwww
[141.123] (S)ぱらぱら__: www
[141.751] (S)96wuroncha: www
[142.557] (S)youazz4242: Www
[144.986] (S)neet_master: ｗｗｗｗｗｗｗｗ
[148.454] (S)かぐらちゃん_: wwwww
[149.127] (S)kuro_nekotan: wwww
[149.388] (S)おるた_: お手本おねしゃす！
[151.436] (S)みか_미카: ww
[152.018] saria_0302: wwww
[153.107] oki4353: wwwww
[153.203] (S)yukkeke__: wwwwwwwwwwww
[153.423] arima_fps: わこさか！！！
[153.533] さく茶: www
[154.406] (S)まめ___: wwww
[154.824] sapiiiiio: 𝗐𝗐𝗐
[154.826] (S)brocco_lin: wwww
[155.432] (S)くろぉばぁぁ: wwwww
[156.606] _ひゅーす: wwww
[157.146] (S)まこよ: wwwww
[158.878] (S)ksnt007: そーだー！そーだ！
[160.166] (S)sudachim: シスがやれよぉ！！！
[160.289] (S)maru_a_s_: こんばんは！
[161.662] (S)サナ93: サナ93 subscribed with Prime. They've subscribed for 16 months! 
[162.118] saki082828: シスコさん全方面から言われてんの
[162.724] (S)みにとーま: www
[163.977] saria_0302: 矛先向いてる〜www
[164.502] (S)おるた_: たしかにww
[164.669] りよーか: わこさか〜
[167.273] (S)ksnt007: たしかにw
[170.348] (S)ゆうひ__: お風呂に入らないと噂の新人さんだっけ
[174.197] shirogitsune215: こんばんは！
[180.361] (S)kuro_nekotan: 勉強になるな〜
[184.385] (S)neet_master: ｗｗｗｗｗｗ
[185.715] (S)グリシー: シスさん味方いね〜
[187.656] (S)io_ne55428: わこさかです
[189.262] (S)kuro_nekotan: wwww
[189.928] suguro32: わこさか〜
[191.344] (S)96wuroncha: wwww
[193.656] (S)くりーみーじぇのべーぜ: www
[195.265] yuusya_sama: わこさか〜！
[195.318] (S)まこよ: wwwww
[197.945] ryokucha47: こんばんはです！
[198.368] (S)chachamaru23: chachamaru23 subscribed with Prime. 
[198.715] (S)kikaaze1477: わこさかー
[206.814] tk_77777: 会話の終わりにターンエンドは痛過ぎるw
[207.372] (S)daifuku9412: わこさか〜！こかげさんだ！！
[208.299] (S)neet_master: うざ絡みおもろいｗ
[209.407] しいかさん: わこさかー
[213.956] kaaaaa1024: わこさかー
[214.449] yatogachi: わこさか
[217.110] hound444: わこさか〜
[231.448] (S)くりーみーじぇのべーぜ: ぷてこかげいるから長時間配信期待してます！w
[249.984] semosemay: owも嬉しいし珍しいメンツもうれし〜〜〜
[250.765] ひとみ_13: わこさかー
[273.701] hamati__: owってスピード感すごいなぁ
[277.792] なあたん: わこさか
[279.747] (S)にゃるろーる: わこさかー
[280.967] (S)mochiwarabi_: わこさか〜！
[281.895] hnhdts: わこさか～
[286.167] (S)fucha1226: メンツすごいな
[290.176] サノウラ: OWまーじか、いいね
[291.108] くむねこ: わこさか〜！おかげちゃんいる〜！！！
[292.634] (S)fu4im1: わこさか〜 Cheer1000
[295.059] (S)ゆてぃ_: わこさか
[295.987] (S)グリシー: つよつよメンツすぎる
[296.525] (S)キレる17秒前: わこさかあああああ
[304.236] (S)saraudon4u: m!
[310.170] (S)柚_羽: こんばんはー
[313.703] semosemay: レートめっちゃ高そうなフルパだ
[324.089] ssdkouki: わこさかー
[337.988] (S)pui_hoshi: わこさかさん
[338.287] トリテイ: わこさか！
[344.598] (S)saraudon4u: m!member
[351.112] vert_bell: わこさか〜
[360.429] (S)momomochi_: わこさか~
[374.343] toma_ka43: わこさか！
[374.730] datemalu: わこさか！えー！めっちゃ楽しみ！！ふぁいてぃん！
[383.069] (S)saraudon4u: ふえん
[392.507] choe5858: エイムよ
[394.273] (S)ヴェネ: わこさか〜
[404.983] kaname_329: こんばんは~配信ありがとう！
[405.552] ssdkouki: めっちゃ当てる
[405.910] choe5858: ギアさんウルトはや！
[429.662] (S)らのんち: らのんち subscribed at Tier 1. They've subscribed for 16 months, currently on a 16 month streak! 
[465.801] 華山のる: !member
[465.910] Nightbot: しすこ、ギアさん、ぷてさん、紡木こかげさん
[489.193] kaname_329: ありぴ声変わった？
[505.428] (S)ゆてぃ_: ﾊｲ
[506.287] nangokuice: ﾊｲ
[509.792] ぼららす: ﾊｲ
[519.386] (S)megezoo: www
[521.215] _ひゅーす: www
[523.898] (S)ゆてぃ_: つんよww
[524.621] (S)___みー: ぎゃ～
[525.253] トリテイ: ｗｗｗ
[527.289] (S)まこよ: えぐwwww
[527.479] (S)りな__: わこさか〜
[529.854] (S)michikaaa_: wwww
[530.278] shunnaa7: おいwww
[531.958] (S)りあ㌨: wwww
[532.339] (S)おるた_: wwww
[533.284] (S)かぐらちゃん_: wwwww
[534.948] (S)Laguzawa: www
[535.655] (S)ゆてぃ_: wwwwww
[536.935] nikonico02: わこさか〜
[547.110] うしおねこ: わこさか~
[574.943] ruminbe3: こんばんは〜
[575.173] __紬: わこさか〜
[577.450] (S)misa0915: わこさか
[582.428] (S)momo0159: わこさか！
[601.558] yuzuriym: わこさかー！
[607.424] (S)たかたに: わこさかー
[626.236] (S)___みー: 相手も強いね
[644.142] (S)tora1113: こんばんはー
[651.702] sayachaanman: こんばんはー！
[656.008] choe5858: ソンブラあり！
[664.238] (S)o__m__i: わこさかー！
[665.002] ssdkouki: ドゥームえっぐいのおw
[678.534] kasumi_v2434: わこさか！
[697.744] ちょこんぶ: わこさかー
[703.290] (S)neet_master: ntgg
[704.741] (S)ゆてぃ_: まあまあまあ
[705.764] (S)ksnt007: 初戦はね！.
[706.225] トリテイ: ntgg
[709.190] (S)ぱらぱら__: nt
[711.087] (S)brocco_lin: nf
[711.096] choe5858: ないふぁい！
[719.979] choe5858: でもこれあと36時間続くけど！
[722.014] pesogiso_1111: わこさか！
[725.657] (S)りな__: nf
[727.922] (S)neet_master: 本人やあ
[728.697] aeiihfl: つんよいw
[728.769] (S)megezoo: nf
[729.527] papiko925: わこさかです
[735.192] (S)yuri_404n: wwwww
[735.316] (S)ぱらぱら__: めっちゃうまかった
[735.415] joockkey: わこさかー！
[736.938] (S)sudachim: 目が追いつかないww
[741.904] (S)ゆてぃ_: wwww
[749.016] tomam88: わこさか〜
[752.290] (S)michikaaa_: えぐww
[754.281] (S)ksnt007: え？
[755.874] (S)かぐらちゃん_: wwwwwwwwww
[756.094] __紬: やばw
[756.941] (S)neet_master: ｗｗｗｗｗ
[757.280] (S)youazz4242: 38？
[757.874] (S)にゃるろーる: えぐいwww
[759.111] (S)ksnt007: やばw
[759.892] トリテイ: やばすぎｗｗ
[760.374] ssdkouki: こっわw
[760.491] (S)ぱらぱら__: wwww
[762.099] (S)sudachim: すごいww
[763.026] (S)kuro_nekotan: やばいwww
[764.396] ぼららす: 36時間ずっとOW2やってるやつを見逃すわけがないんだよね
[765.256] (S)ゆてぃ_: えぐwwww
[765.956] (S)ゆうひ__: wwww
[767.492] (S)96wuroncha: wwww
[769.376] (S)megezoo: 36時間すごいな
[770.771] (S)neet_master: えっぐいｗｗｗｗｗｗ
[771.331] (S)にゃるろーる: おぼえてないんだよwww
[774.285] (S)brocco_lin: すごw
[775.410] (S)みにとーま: www
[775.661] (S)michikaaa_: 廃人やw
[781.962] choe5858: YouTube3枠ねw
[794.180] (S)ksnt007: ありさん今日36時間？w
[796.876] (S)nnk_pop: wwww
[805.067] (S)masahd55: masahd55 subscribed with Prime. 
[807.992] (S)ゆてぃ_: 聞かれる側なんだよww
[813.746] (S)michikaaa_: www
[814.222] (S)にゃるろーる: あ
[815.991] (S)okome_taberu: www
[816.769] (S)kuro_nekotan: ほぁww
[817.304] (S)ksnt007: www
[817.676] (S)neet_master: ｗｗｗｗ
[818.933] (S)___みー: あ
[832.054] (S)sudachim: シスドゥーム
[835.349] (S)ゆてぃ_: wwwww
[837.629] mea_863: www
[849.242] トリテイ: ｗｗｗｗ
[849.968] (S)megezoo: www
[850.331] (S)kuro_nekotan: wwwww
[851.102] (S)りあ㌨: wwww
[853.593] (S)brocco_lin: wwww
[853.618] __紬: wwwww
[853.807] (S)ぱらぱら__: wwwww
[854.550] (S)michikaaa_: ギスギスw
[856.410] choe5858: wwwww
[857.584] (S)おるた_: wwwww
[857.998] zuzun4567294: wwww
[864.761] (S)ゆてぃ_: ボコボコに言われてるwwww
[876.186] matiashigorou: わこさかです。こんばんは！配信ありがとねー
[877.922] mina_06060: わこさかん
[881.267] (S)かぐらちゃん_: wwwww
[883.815] tukiutai: ！member
[883.935] (S)sudachim: シスコ集中砲火
[885.888] なひいす3: ｗｗｗｗ
[890.125] tukiutai: !member
[890.227] Nightbot: しすこ、ギアさん、ぷてさん、紡木こかげさん
[896.827] トリテイ: あらら
[908.152] ぼららす: これで12時間以上出来るな！
[915.233] Jecikalba: axeumBlush
[915.446] (S)ksnt007: こかげさんはフルネームw
[965.399] (S)ゆてぃ_: wwwww
[966.010] (S)ぱらぱら__: wwww
[968.117] (S)misa0915: wwww
[1031.303] 월희ちゃん: わこさかー❣️❣️❣️
[1033.811] (S)海緒: わこさか〜
[1035.308] (S)うーーさ: わこさか〜ふぁいてぃーん
[1039.464] so0114: 阻害うま
[1040.841] tisei0901: 阻害えぐ
[1044.095] ちょこんぶ: ドュームの良い阻害だ
[1044.292] (S)ぱらぱら__: ないすー！
[1044.452] ssdkouki: なーいす
[1046.039] (S)brocco_lin: ないす
[1046.206] k4iry0ku: 神阻害きた
[1046.498] puririnnnnn: うま
[1048.585] hound444: ないす
[1066.576] (S)ksnt007: チーム友達w
[1076.830] choe5858: あったまってきた！
[1089.267] yuta8547: わこさか
[1105.867] meruboro: !member
[1105.980] Nightbot: しすこ、ギアさん、ぷてさん、紡木こかげさん
[1130.111] you0zeromus: トレゲンだからなぁ
[1139.689] (S)ゆてぃ_: ないすー！
[1139.818] (S)torotorotako: 上忍
[1141.020] (S)momochomo_: なーいすー
[1142.974] __紬: ないすー！
[1144.857] (S)megezoo: ないす
[1144.958] (S)しとろす: ナノ龍剣最高や
[1145.447] (S)まこよ: ないすー
[1145.553] you0zeromus: ないすう！
[1147.807] (S)brocco_lin: ないすー！
[1148.445] con1818: つよーい
[1148.622] (S)ゆてぃ_: wwwww
[1148.723] (S)ぱらぱら__: なーいす！
[1149.415] トリテイ: ｗｗ
[1149.472] (S)りあ㌨: wwww
[1149.529] ssdkouki: ギアさあああん！
[1149.725] ちもろーる: www
[1152.541] (S)nugget3150: wwwwwww
[1181.859] (S)しとろす: 木の葉マ？
[1185.894] ちょこんぶ: www
[1186.012] (S)megezoo: wwwwww
[1186.769] (S)にゃるろーる: ｗｗｗｗｗｗ
[1186.967] choe5858: ナイスドゥームwwww
[1187.029] (S)りあ㌨: wwwww
[1187.991] ちもろーる: www
[1188.054] (S)a1ten0: wwwwww
[1188.112] (S)ぱらぱら__: おおおお！！
[1188.393] (S)ゆてぃ_: wwwwwww
[1188.497] (S)nugget3150: ら
[1188.651] (S)07FZK: www
[1188.886] ssdkouki: wwww
[1189.101] 平凡なねぎ: www
[1189.163] (S)brocco_lin: wwwww
[1190.042] (S)まこよ: www
[1190.463] __紬: wwww
[1191.008] (S)nugget3150: wwwwwww
[1191.650] (S)ren4299: wwwww
[1191.781] (S)sudachim: ドゥームつんええやww
[1193.017] (S)b_chizu: wwwwww
[1193.120] (S)momochomo_: wwwwwwww
[1193.573] (S)ちゃらこ: www
[1194.445] tunakansalada24: 溜まるのはやw
[1225.562] アナベル_バトー: わこさか～
[1234.579] (S)ren4299: あw
[1235.427] (S)pi_enn: ん
[1235.936] con1818: ん？
[1236.438] (S)megezoo: ん？
[1237.761] (S)りあ㌨: ん
[1239.030] (S)brocco_lin: ん？
[1239.197] (S)neet_master: あｗ
[1240.747] (S)oavow: おや？
[1241.382] (S)megezoo: シス？
[1244.950] amagurinatto: わこさかー
[1247.059] タルタル99: ドゥームすげー。
[1251.644] (S)ぱらぱら__: wwww
[1252.436] (S)りあ㌨: wwwww
[1252.616] (S)ur0co: だよねw
[1253.458] ssdkouki: んw
[1254.254] __紬: www
[1255.018] (S)まこよ: wwww
[1255.667] (S)ふき__: www
[1255.896] (S)ksnt007: バグかw
[1259.112] (S)brocco_lin: www
[1270.489] (S)にゃるろーる: 自分バグｗｗ
[1324.548] さく_らば: わこさか
[1385.878] (S)haaine_: わこさか
[1398.583] まっすべ: 一生わからないイラリーのウルト
[1411.964] さく_らば: うっま
[1414.169] hound444: うま
[1417.458] ちょこんぶ: うま
[1423.470] 茶芝木: ゼニのヘッショ痛すぎ
[1435.987] (S)ゆてぃ_: wwwww
[1440.255] ojou_43: わこさかー！
[1447.824] (S)___みー: ちぎれるw
[1449.139] (S)sudachim: 充血する
[1451.497] sochimarunn: こんちゃっす
[1462.646] tunakansalada24: ハンゾー2体しかワンパン出来ないらしい
[1465.893] (S)ren4299: w
[1467.094] (S)にゃるろーる: ｗｗｗｗｗ
[1467.199] (S)りあ㌨: wwww
[1468.313] (S)ksnt007: 弓！
[1468.498] (S)michikaaa_: ww
[1469.874] (S)brocco_lin: wwwww
[1470.046] (S)b_chizu: wwww
[1476.298] (S)yum1xx0219: こんちゃー
[1482.552] (S)ゆてぃ_: wwwwww
[1486.172] kiruru_0315: こかげさんの声つなさんと星川さんの声を足した感じがする
[1489.952] ryoma199811: ぎ、む
[1505.751] (S)megezoo: www
[1506.780] naoya_0830: ありちゃん、今日は30時間コース？
[1509.228] (S)にゃるろーる: ｗｗｗｗｗ
[1509.543] (S)ゆうひ__: ｗｗｗ
[1509.647] (S)ren4299: www
[1510.880] sapiiiiio: 𝗐𝗐𝗐
[1510.958] さく_らば: 草
[1511.197] (S)ぱらぱら__: wwww
[1513.229] (S)sudachim: ダサいねえ
[1514.863] ponpocotanu: わこさかです〜！
[1515.448] まっすべ: トークで不和かかってるか？
[1516.149] con1818: うおお
[1516.343] merimeri25: わこさか〜
[1517.175] choe5858: 強いんだよwww
[1518.557] hound444: 勝てばいいから（震）
[1518.917] (S)ren4299: かっこよ
[1520.205] ryoma199811: 決めんだよ
[1520.987] (S)りあ㌨: wwww
[1522.094] (S)ちゃらこ: wwww
[1523.206] (S)かぐらちゃん_: wwwww
[1523.280] (S)sudachim: 煽られてますwww
[1524.013] (S)かるぼなーら: wwww
[1525.184] (S)にゃるろーる: ん～ｗｗｗ
[1525.385] (S)brocco_lin: wwww
[1526.024] (S)megezoo: プレッシャーがw
[1527.405] (S)ゆてぃ_: wwww
[1528.391] (S)まこよ: wwww
[1528.449] さく_らば: あおりよるｗｗ
[1560.056] huranq: ゼニヤッタゼニヤッタ
[1584.466] さく_らば: ｗｗｗｗｗ
[1598.428] (S)おるた_: wwwww
[1598.762] (S)neet_master: ｗｗｗｗｗｗｗｗ
[1598.762] (S)にゃるろーる: あｗｗｗ
[1599.661] you0zeromus: wwwwwww
[1600.286] (S)ksnt007: www
[1600.420] (S)ちゃらこ: wwwww
[1600.569] (S)maru_a_s_: www
[1601.435] (S)michikaaa_: www
[1601.648] (S)brocco_lin: wwwww
[1604.277] (S)megezoo: あれww
[1605.424] (S)ぱらぱら__: wwwww
[1607.892] (S)ゆてぃ_: あww
[1619.424] you0zeromus: ギャンブルやめるか
[1623.379] nannannanno: わこさか〜
[1625.603] aome1208: www
[1632.823] (S)ksnt007: 今日はギアさんと気があうねw
[1682.462] さく_らば: ないすー
[1688.802] asagi51: ないす
[1690.408] (S)megezoo: なーいす
[1691.900] (S)brocco_lin: ないす
[1695.932] アナベル_バトー: ないすぅ！
[1696.535] ssdkouki: ないす
[1700.994] (S)ぱらぱら__: wwww
[1701.402] (S)ren4299: キャスでいい
[1701.553] (S)にゃるろーる: ないすー！
[1703.415] _ひゅーす: wwww
[1703.493] puu_na: わこさか〜
[1707.793] (S)lemonster073: わこさか
[1708.189] (S)ゆてぃ_: wwwww
[1714.797] nemodesudoumo: ハンゾーとかしゃばいわこれw
[1715.224] aome1208: 半笑いw
[1716.500] nuhs_s: テンション高くない？笑
[1726.200] you0zeromus: ローリングかちかちおじさんは強い
[1780.466] (S)たかたに: こんなマップあった？
[1804.550] ayato_pop_: なんなら１からあった気がします
[1823.871] (S)たかたに: ミリしらすぎた…
[1856.601] you0zeromus: ソジョーン痛いねぇ
[1888.466] (S)ねるる__: こんばんわー
[1891.399] (S)ren4299: ？？？w
[1897.009] (S)にゃるろーる: 声がｗ
[1899.858] asagi51: ないす壁
[1901.627] (S)たかたに: いいね
[1903.128] (S)くろばれお: 声ww
[1910.132] (S)brocco_lin: 壁ないす
[1934.310] さく_らば: ないふぁい
[1936.153] (S)かるぼなーら: nt
[1939.446] (S)yum1xx0219: nt
[1940.244] (S)たかたに: nt
[1940.780] (S)くろばれお: ないふぁい
[1940.881] (S)まこよ: nt
[1941.985] アナベル_バトー: nt
[1941.996] (S)misa0915: nt
[1943.044] (S)ren4299: gg
[1943.184] (S)pi_enn: ん
[1943.398] ちょこんぶ: ntnt
[1943.456] (S)brocco_lin: nf
[1943.536] (S)ゆてぃ_: nf
[1943.674] (S)07FZK: nt
[1943.751] sapiiiiio: nj
[1943.957] puririnnnnn: nt
[1944.972] (S)ぱらぱら__: nt
[1945.985] (S)michikaaa_: nf
[1946.208] (S)にゃるろーる: nt
[1947.263] (S)ksnt007: nf
[1947.930] (S)おるた_: ntgg
[1949.381] (S)yukidayo8: ww
[1951.616] はっっっちゃん: nt
[1951.829] (S)nugget3150: wwwwwww
[1954.199] (S)ゆてぃ_: wwwwww
[1959.102] さく_らば: おー
[1963.663] mic_chon_key: 無言www
[1988.978] sapasa: わこさか
[1991.085] (S)亜弥ノエル: わこさかー
[1996.494] 10_10___shiell: ww
[1999.070] まっすべ: OWっぽい空気
[2000.001] (S)ksnt007: www
[2000.875] (S)くろばれお: www
[2001.918] __紬: www
[2001.955] (S)ぱらぱら__: www
[2003.481] (S)ゆてぃ_: wwwwww
[2003.650] (S)naruto_1968: わこさかー
[2011.297] ちょこんぶ: ありさん強いぞ
[2013.241] gigigiaru2525: ウィドウ環境になっちゃう
[2015.185] (S)ゆてぃ_: 今でもでかいのよww
[2026.237] (S)michikaaa_: えww
[2038.710] nuhs_s: ヴァロ強くねこの5人
[2040.175] (S)ksnt007: ヴァロやる？w
[2042.055] (S)ゆてぃ_: ほなヴァロか…
[2047.446] hound444: ow→ヴァロマ？www
[2047.880] (S)にゃるろーる: 今年はｗ
[2050.536] (S)omo_chi7: valo強いね
[2073.394] gigigiaru2525: ...
[2081.111] (S)Hooooooooootaru: なんか会話...
[2098.115] nami0609: 今弱いよ
[2107.089] warainusan: 無言長くて草なんだ
[2116.623] (S)亜弥ノエル: www
[2117.978] (S)ゆてぃ_: wwwww
[2119.045] ちょこんぶ: 最強では無いね
[2119.176] (S)ksnt007: www
[2120.953] さく_らば: ｗｗ
[2124.501] naki_blue: バフ来てるから強いっすよ
[2124.732] trysail111: 弱くなってまた強くなった
[2128.240] (S)しとろす: 調整入って扱いやすくはなった
[2128.667] masupan_wars: 弱くなってつよくなったよ
