[0.529] 凹しろへび: やっぱドコモ一択なのかな
[222.941] une3333: ちょっと危機感が足りないんじゃな〜い？
[225.963] sakai_jin2020: 小学生の遠足より遅そうなペース
[226.224] balthazar000: トイレ休憩が長過ぎた
[226.496] akasatana54095840: 自転車はっや
[230.443] Revelation3: まだまだで草
[233.736] puertoescondidomota: 車もあるんだし遅れて用が問題ないだろ
[234.366] wahaha7788: 時速3キロ
[234.851] ボッケリーニ: 雨降っても歩くんです？
[236.580] ウダガール: 危機感出てきたねえ
[236.916] itokou_1989: 今13.1kmぐらい
[238.377] (S)gyu_nyuu_pann: まだだなぁ
[238.883] Hitode_noko: まだ焦る時間じゃない
[240.413] chin_56_: ギアあげよ
[240.978] 記入漏れ: 前の人は96カフェさん
[247.838] ememeume: 戻ってきた！
[251.063] junjamaica: 行けるとき進んどいた方がいい
[252.664] hotokemax: 今のチャリンコ、クソ速かったな
[253.928] wahaha7788: 初日でこのペースはやばいね
[256.867] ~MISSING_COMMENTER_INFO~: 柏木ィ！
[257.635] (S)gyu_nyuu_pann: ギアあげろ！！
[257.881] (S)昼さん: おじがディスられる
[260.034] ボッケリーニ: 置いていこうぜ
[260.448] kazukitaiga: 日数があるんでね
[262.722] もきち555: ｗｗｗ
[264.833] mifune1046: ひでぇw
[264.908] sakai_jin2020: w
[270.626] kaomoji3: 草
[272.059] (S)hodanonn: 眼鏡クイッ
[272.729] 寝るポイント: バキで最初に死ぬ奴
[274.317] eremin_39: 大須さんに言われたらしい
[275.937] (S)gyu_nyuu_pann: www
[276.887] (S)dj0d4y4k4: 重量装備
[277.194] dorokumakun: そりゃいつもポットパイ作るわ
[278.138] sakai_jin2020: どっすん
[278.533] kaigaizei: おっそいローリングしか出来なくなってる
[279.765] v_harumi_v: 重くはないと思いますけどねぇ
[280.045] toro0524: ひでえｗ
[281.242] chin_56_: 見かけ倒し
[281.909] saitama_da: どっすんローリング
[287.620] (S)gyu_nyuu_pann: スラに向いてない
[288.044] 終わってるサイト: 考えどっちも対立しててうける
[289.144] iaheunanjda: 俺は10日後を見てるとかほざいてたよ
[291.597] keigunnoikkaku: 確かにさっき装備を自慢してたな
[291.620] ボッケリーニ: 登山するみたいな格好だしな
[294.078] mogai555: 野田は見た目気にするタイプだよな
[298.322] eremin_39: ｋｓｋくるぞ
[302.915] nihonsyu_: kskきてるｗ
[303.063] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[304.139] akasatana54095840: のどかやね
[305.253] Hitode_noko: ハベアールの騎士
[305.466] toro0524: アールもうめちゃんもお互いの装備含めて否定してるｗ
[307.195] junjamaica: カフェ強そう！
[307.973] sakuya122: 後ろに顔が来たぞ
[309.964] mifune1046: いや、装備は大事よ
[313.284] (S)しすてむえらー: 俺は１０日後を見てると言ってた
[313.437] kaigaizei: 後ろにシノギ接近中
[314.647] ty_tonkichi: ありがとう
[315.249] 記入漏れ: ナメきった半袖おじさんとなるか、重すぎ装備を笑い続けられる勝ち側でいられるか
[315.774] kaomoji3: ksk接近中
[318.164] 戸愚呂妹: ここは右側通行の方がよさそう
[320.919] rxz_2017: ギアあげてこ
[324.924] (S)gyu_nyuu_pann: ウーバーありがとー！
[329.409] une3333: お互い潰れたらおもしろいけどw
[337.109] mogai555: でもサポータは昨日の時点でつけておこうっていったよ？
[338.818] umesecond: KSKきたな
[339.606] 寝るポイント: 何しに？？
[341.927] mizu0525: なんでくるの？
[346.778] (S)gyu_nyuu_pann: どっちも歩き切ればええんや！！
[348.448] ememeume: 何しにw
[350.701] potetotetop: カフェさんが駅伝の白バイに見えてきた
[350.874] ~MISSING_COMMENTER_INFO~: ｗ
[351.101] nail06k: KSK居たぁ
[351.486] 寝るポイント: もう来なくていいよ？？
[352.488] nihonsyu_: ｗｗｗｗｗｗｗｗｗ
[352.830] げろげろまる: ウメハラ映しに
[354.951] (S)hiaaru: きたぁ
[355.999] eremin_39: ｗｗｗｗｗｗ
[356.114] だいこん_: ｽｰ
[356.737] (S)泣き虫サクラ: ここ住宅街だよ？
[357.014] puertoescondidomota: 通った
[357.310] プタゴラトン: きちゃあ
[359.941] une3333: ゆっくり通過
[365.177] yoshikawa_yo: www
[366.752] (S)ハルキ10: www
[368.492] たこま: 飯はkskにウーバーしてもらおう
[371.483] yuhi_N: KSKロケカー
[373.326] tsubame5204: umeSalute
[376.336] ゴン太マン: KSK車カットインの激熱演出来たね
[381.824] ~MISSING_COMMENTER_INFO~: ｋｓｋさんにメシ他のもう
[387.533] kana_kana1: 止まれないからね
[390.827] ペプシ男: シガーから充電のやつないの？
[392.201] ememeume: 路上止まれなそうだしね
[392.496] 笛ラムネ: 魁力屋あるよ
[396.781] kaigaizei: 先に行って飯食ってるらしいKSK
[397.500] une3333: 路駐はね
[400.002] Tsunameg: Tsunameg subscribed with Prime. 
[400.582] sistersguitarreplica: 走り出した車止まらない
[400.682] mako3jp: 飯食いに行くって言ってた
[402.854] (S)gyu_nyuu_pann: カフェさん早いねぇ
[405.861] ~MISSING_COMMENTER_INFO~: ｋｓｋさんに軽メシ買ってきてもらおう
[406.997] kana_kana1: どっかで美味しいもの食べるって
[409.355] 記入漏れ: 最悪、この桜を見た でノルマ達成だな
[410.734] (S)foo_twitch: この辺住宅エリアで停まれる場所なさそうです
[422.394] ememeume: 桜🌸
[424.026] 13th_arcadia: 青森は桜見ごろだねぇ
[430.103] kana_kana1: いいよねー
[434.367] (S)gyu_nyuu_pann: 綺麗ねぇ 関東は今しだれ桜の時期よ
[435.358] gugugu5432: 弁当買って公園で食べるのもいいな
[437.108] sakai_jin2020: 桜はマジでたくさんある
[438.357] usa451: だいごもきれいだ」
[440.292] (S)adamsky111: adamsky111 subscribed with Prime. 
[442.599] prisira: サクラキレイだけど家の近くにあると花びらまじで邪魔なんよなｗ
[444.247] medamaoyabun: 牛タン利久がある気がする
[449.444] なけと: パクパクメンマあった食べてみてほしいです
[453.550] きたぐに: 弘前、１２日満開らしい
[467.155] dungkung_nmk: この動画5000人も見てるって思うと日本は平和だなぁ
[475.292] sakai_jin2020: 桜前線北上中か
[479.880] haku_magot: Cheer100
[481.145] ememeume: さっき8000人くらい見てた
[482.253] usa451: ナウマン
[483.866] myodent21: 弘前の満開の桜が見れるなんて最高だなぁ
[487.478] une3333: お、床屋のぐるぐるまだあるんだ
[492.069] (S)redpeppar510: えいたはむりだなぁ
[494.890] 残り8万: あと4日
[495.211] (S)ぽむ山: サブスクギフト有り難うございます。
[498.697] 戸愚呂妹: うめちゃんだけならワンチャンw
[498.816] 13th_arcadia: テレワークにちょうどいい配信
[500.133] chin_56_: なんか近所に似てる
[500.561] v_harumi_v: 桜楽しみですねー
[501.682] totsugeki_180sx: それもう飛脚やね
[506.774] usa451: ワープ
[506.792] ememeume: みんなで大移動してる感じして良き
[506.974] patriot_ryoma: もう弘前は外堀はかなり咲いてるから急がないと
[508.511] 寝るポイント: 難波歩きでは？
[508.514] kana_kana1: 散り始めも良いじゃない
[509.314] incorocon: 桜たのしみやな
[509.624] (S)gyu_nyuu_pann: 作業にマジでちょうどいい
[513.687] usduh: あ
[514.830] dk_honda_twitch: なんの知識？w
[515.806] takeiteasy55: 弘前城の桜はすごいけど車で行くと渋滞もすごい
[516.612] sistersguitarreplica: 知識うまぶるな
[518.515] tarou316: 飯を全てコンビニおにぎりにして歩き続けてもきつい
[520.061] 戸愚呂妹: また嘘だろw
[520.532] ememeume: 物知りキャラ開拓
[520.816] 記入漏れ: 焼き鳥ぃ
[521.062] rxz_2017: うさんくせえｗ
[521.750] kogejirou: えいたは浅い
[522.652] ペプシ男: うさんくせえんだよなぁｗ
[523.009] パイモン狐村: 14日から弘前公園の桜、夜間ライトアップが始まりますよ〜
[523.641] twitchyarutch: 受け売りw
[524.931] (S)_ぷっちょ_: ぜーんぶYouTube
[524.983] (S)gyu_nyuu_pann: めちゃ漫画で知識拾ってそう
[525.822] (S)ハルキ10: うまぶり
[529.312] yuhi_N: えいた信仰ビルドじゃん
[529.489] mifune1046: 全部の知識が浅そう
[539.321] tarou316: 若い頃あるある
[539.657] kaigaizei: 浅瀬の王
[542.633] une3333: カフェさんは写真撮影に余念がないですな
[547.964] usa451: 低ユーモアと知識対決さて
[550.215] プリズムパワー: 浅い知識を我が物顔で言ってくるのが鼻についちゃうのかな
[557.465] ボッケリーニ: カフェさん元気
[568.045] 記入漏れ: 住宅街を怪しい集団でスワセ～ン
[582.374] (S)yaminoiiii: 脱落者はでるかな
[585.925] rias9121: カフェさんアメリカでも先導役だったし頼りになるな
[589.375] mifune1046: いま住所的にはどの辺なんだろう？？
[596.156] 記入漏れ: ２，３日目にどうなるかね
[598.432] maddy2623: まあまあ
[598.938] Papapadad: ウメちゃんの声が聴けてうれしいよ
[599.031] (S)gyu_nyuu_pann: 1時間くらいで交代か
[607.245] (S)えだいこ: パーティーで最強はカフェさんだな
[609.624] sakuya122: ハンサムが持つとカビてしまう
[610.262] ボッケリーニ: ハチに刺されて脱落もありうる
[613.343] prisira: 今こういう日本とか旅行する配信人気らしいよ
[617.006] taroumaruh: えいたくん需要わかってないねー
[618.643] (S)泣き虫サクラ: 強行突破
[620.077] prisira: ゲマビが言ってた
[620.958] ああいいうう: 富谷市
[627.952] uhpa84: ハンサムなんもできないからね
[630.555] une3333: 波がないですからね、見やすい
[649.500] gakisan01: 山道に入ったら熊とか大丈夫なん？
[657.324] patriot_ryoma: 今は宮城県富谷市
[664.556] mifune1046: 富谷市かー教えてくれた人ありがとー！
[668.897] 残り8万: 危ないとこは車で移動
[670.774] ~MISSING_COMMENTER_INFO~: この閑散とした住宅街の感じ好き
[671.541] bulikids: 晋平太みたい
[676.920] korekitwitch: タブレットで配信しようｗ
[682.623] une3333: 山は確かワープするはず
[683.331] (S)foo_twitch: 38.377507, 140.875509
[684.403] simamurer2: 海外の人見てるのかな
[684.786] pandadaiou23: Cheer100
[685.298] (S)yaminoiiii: やっぱり歩いてる人は全然いないね
[687.010] 寝るポイント: やさしい「そうだね」ｗ
[689.831] ~MISSING_COMMENTER_INFO~: 地元だからうれしいわ
[690.599] クラクラ777: あ
[691.731] brunoman1: まさか
[692.386] maddy2623: 妙だな・・・・・
[692.901] taku_yzfr1: 尾行
[693.610] varoshi: 追跡されてる？
[696.628] ememeume: 見守り隊？
[697.494] ねむってる: 凸
[699.075] shota3333: ｗｗｗ
[699.838] hikky722: こわ
[700.587] 戸愚呂妹: 応援してるな
[704.457] 13th_arcadia: 人気だねぇ
[704.682] ああいいうう: ここ4号から逸れた住宅街
[704.798] クラクラ777: 公安
[707.543] np2np: よくある車種やしな
[708.621] taku_yzfr1: 無限ループまで
[708.993] hotokemax: 仙台のベッドタウンみたいな感じなのかな？？
[709.978] げろげろまる: ストーカー?
[710.093] (S)泣き虫サクラ: 尾行されなれてるから
[710.299] ano_umineko: 王の気付き
[711.055] (S)gyu_nyuu_pann: ウメちゃんみたいー！
[711.835] きたぐに: スタンド攻撃
[714.366] 寝るポイント: 狂信者？
[715.157] varoshi: サトルじゃん
[716.412] showsbsp: 深淵の看視者
[718.127] ~MISSING_COMMENTER_INFO~: 応援ループ
[718.664] bouzz1mm: デジャヴ
[718.935] 5don: がんばえ〜
[723.492] hikky722: 1％の家族持ちリスナーぞ
[724.306] taku_yzfr1: 杜王町ちかい？
[726.357] pandadaiou23: 無限ループって怖くね
[731.539] rikkasan029: 雰囲気うちの近所に似てるわ
[732.883] 戸愚呂妹: うめちゃん子供のヒーローに
[733.791] simamurer2: 子供からは有名Youtuberと思われてるのかも
[737.090] 寝るポイント: シュート、身を投げ出せるのか？
[740.742] wahaha7788: カフェ氏の写真ええな
[740.917] kana_kana1: 橘高さん
[746.006] 5don: 第三支店
[750.771] さっぽさんぽ: 第三歯科 第一あるん
[753.492] taku_yzfr1: ひょうさつみるのたのしいよね
[753.941] balthazar000: 有名格ゲーマー
[755.658] aonisai507211: どこも家がでかいな
[762.072] chin_56_: 一生来ることないやろな
[765.616] (S)gyu_nyuu_pann: 今ウメちゃんの近くはえいたシューくん？
[767.797] ememeume: お昼どうするのかな
[770.139] kana_kana1: もう少しで4号合流かな
[770.821] mifune1046: 橘高だと読めないからひらがなにしたんだねきっと
[782.078] sodaigm: 仙台以外は急に田舎だからなー
[782.366] (S)一1990: 風の音すごい
[784.684] usa451: 昼飯は食わないパターンか？
[787.437] towai8: ウメハラを倒せば1億もらえると勘違いしてる人が突撃してくるかもしれない
[791.059] varoshi: 敷地広いねこの辺
[797.729] bakobakobus: 二番は神奈川よ
[799.574] np2np: 東京 神奈川 大阪
[801.309] uhpa84: 神奈川多いよ
[807.166] クラクラ777: え・
[809.612] hotokemax: はあ？w
[809.810] cdijomoj: 神奈川千葉埼玉って東京カウントなんだろうな
[815.385] (S)gyu_nyuu_pann: 神奈川2番なんだ
[817.853] wahaha7788: 一億ほしいならウメちゃん襲ったほうが速そうよね
[829.430] sakuya122: 神奈川と大阪が同じぐらいだったはず
[844.650] hotokemax: ウメちゃん襲えば、ついでにシュートも消せるしね😱
[846.657] pandadaiou23: 埼玉も多そう
[846.908] (S)gyu_nyuu_pann: 宮城普通に多そう
[874.660] une3333: いいなー牛タン
[874.855] patriot_ryoma: 牛タン、笹かま
[876.527] taku_yzfr1: 京都は観光客の方が多いかも
[879.525] げろげろまる: 宮城県は15位
[879.759] potetotetop: 神奈川から埼玉に移ったけど、子供の多さにビビった
[881.430] (S)gyu_nyuu_pann: 牛タンいいねぇ
[884.836] ~MISSING_COMMENTER_INFO~: 利久行こうまじでうまいよ
[886.003] マメダイフク: こんにちは！ウメちゃんがんばれー！
[886.985] akasatana54095840: 腹減ったな
[887.588] ヤーマニ: Cheer100 がんばってー！
[896.583] ふとんおーしゃん: 美味いもん食ってもろて
[904.442] 寝るポイント: 今の所、ヤバい狂信者きてない？
[911.511] へっちゃん: 利久はガチでうまい
[911.908] nidogami: まだ、脱落しそうなのはいない？
[915.034] beastbeast: 風の音がすごいね。風防ずれてると思う
[915.520] medamaoyabun: 牛タンシチューうまいよ
[915.843] itokou_1989: する
[916.545] np2np: してる
[916.759] sengoku_iori: します
[916.854] gettyozi: まだする
[916.913] (S)しすてむえらー: する
[917.157] クラクラ777: する
[917.213] balthazar000: する
[918.040] ememeume: してはいます
[918.293] simamurer2: かなりする
[918.400] patriot_ryoma: 結構風の音はする
[919.005] (S)gyu_nyuu_pann: 割としてる
[919.025] TUBE_MAN: 若干する
[919.077] yuhi_N: するよ
[919.159] プタゴラトン: してまーす
[919.260] ノア1844: まあまあしています
[919.897] (S)一1990: めっちゃする
[920.391] 売れないバンドマン41: そこそこ入ってる
[921.329] kaifu_08: かなりしてる
[922.076] milanor02: 時々するけど気にならない
[923.515] oisi_souzaipan: 結構してます！
[923.696] taku_yzfr1: する
[923.928] une3333: するけど気にはならないです
[924.060] (S)ハルキ10: ちょいちょいする
[924.809] 5don: 風の音「ボボボボ」
[924.869] towai8: ちょくちょくするけどら大丈夫かなー
[924.933] めそたん: ボボーいうてる
[925.844] tategami: まあまあブボってる
[926.610] papipopon: 結構してます
[928.448] oleo0227: 声普通に聞こえてるから余裕
[928.477] ty_tonkichi: 凄くはない
[929.817] (S)_ぷっちょ_: 声は全然聞き取れます
[929.940] balthazar000: 風の音しかしない
[930.159] sakai_jin2020: 結構してるよ
[935.471] nearco1935: こういった街並みって40～50年前に全国各地に作られた感
[936.420] weeep1: 信頼のティッシュ
[936.785] れく太: ティッシュ最強っす
[937.074] (S)やあああ: ティッシュにしてみるかー
[937.340] (S)えだいこ: 気にならないけどね
[937.532] taku_yzfr1: ティッシュ最強
[937.676] もきち555: ティッシュの安心感
[937.806] (S)gyu_nyuu_pann: するけどウメちゃんの声は問題なく聞こえる
[938.965] v_harumi_v: ティッシュでも良さそうですね
[941.028] (S)katuo3_: めっちゃ
[941.175] げろげろまる: ブボボボボ
[942.265] TUBE_MAN: えいたにもティッシュ風防付けさせてほしい
[944.036] ひろみつー: 雨降りそうやなー
[944.812] sengoku_iori: ティッシュで良さげ
[945.607] une3333: 声は全然聞こえるんで大丈夫ですけど
[945.919] chin_56_: ボーボボーボボーボボ
[947.096] めそたん: 桜きれい🌸
[947.413] フォグ: 風すごい
[947.893] teruharu_: ボボボ
[950.073] rikkasan029: ボボボボボ
[950.709] papipopon: 今かなり音してる
[952.075] (S)gyu_nyuu_pann: ティッシュのほうがいいかもね
[952.441] 寝るポイント: 風防してる音量じゃない
[952.541] beastbeast: アールさんが走ったときから、風の音が大きくなった
[954.260] ロンロ: いやこんなもんでしょｗ
[954.334] プタゴラトン: 強いｗ
[955.404] ememeume: 強いテッシュ
[955.993] もきち555: ウメは知っている
[956.551] mifune1046: 坂道つらそう
[958.172] simamurer2: 一応風防ついてるんだ
[958.255] ユーエル: 桜いいね～
[958.464] めそたん: ボボボーー
[959.835] ii76q: ティッシュ最強説
[960.758] (S)マタビー: 開けてていいっすね
[962.000] v_harumi_v: おおー
[962.781] クラクラ777: これいいね
[963.561] kanimayo1983: 桜咲いてんじゃーん
[963.792] ememeume: 素敵ー
[964.246] (S)gyu_nyuu_pann: 今は強いね
[965.281] rias9121: カフェさん元気やな
[966.105] v_harumi_v: 良い眺め
[966.377] めそたん: きれいだな〜🌸
[967.076] wahaha7788: ここでおにぎり食べよっか
[967.377] (S)gyu_nyuu_pann: あら綺麗
[967.980] teruharu_: いいね
[967.992] une3333: あーきれい
[968.378] ano_umineko: いいなー
[968.749] aranami0: 最高
[968.951] rikkasan029: おー
[970.567] akasanz3x: いい景色
[972.231] ggtabtab: いいね
[972.550] myodent21: いいねー
[973.126] chamomile21: きれい
[973.409] v_harumi_v: おお、きれー
[973.736] puertoescondidomota: 自前の畑
[974.083] maddy2623: いいの？
[974.671] jagajaga1943: 住むと地獄
[974.719] towai8: 田舎感出てきた
[975.023] tokage5577: のどか～～
[975.149] (S)gyu_nyuu_pann: うわぁ素敵
[976.304] nabe_labo: 観光地よりこういう風景のほうが楽しい
[977.343] balthazar000: マスクズレてたりしない？
[977.827] takeiteasy55: あらー素敵ねー
[978.869] めそたん: こっちは終わったから嬉しい🌸
[978.900] ウダガール: 景色映してくれるの助かる
[979.279] もきち555: 桜前線北上中
[980.302] ememeume: きれい！
[980.567] une3333: これ青森まで行く必要あるぅ？
[980.966] (S)chichichichiro: いい景色だなー
[982.451] えぐち: そのまま行けば牛たん利久がある
[983.288] GYAKUBANE: 東京はもう散ってるからなぁ
[983.808] taku_yzfr1: 自分の目で見るのとカメラ通すのでは違うからなぁ
[984.112] rockmantarou: 風強い？
[984.343] carb0nara77: のどか
[988.285] ユーエル: ここが地元だったら愛着すごそう
[991.400] (S)gyu_nyuu_pann: こういうの！こういうのよ
[991.555] v_harumi_v: 花びらの絨毯が素敵ね
[995.846] donder112: 丘の上の桜っていいね
[996.453] une3333: あー満開
[997.700] めそたん: きれい！
[998.356] taku_yzfr1: おけ
[998.807] ddb365: ちょうど満開時期かな？
[1002.276] vvvv102: 雲底低めだな
[1003.824] uguisupan1192: ストリートビューで追っかけるの楽し
[1004.262] fujimike: ウメちゃん両手に持ってるのか大変だな
[1010.450] medamaoyabun: もうちょい行ったらコンビニあるで
[1010.865] いぬみみ: 時間止まってるようにみえる
[1018.441] towai8: 疲れてる時に桜見つけたら「もうここで良くね？」とか言いそうw
[1027.133] さっぽさんぽ: ファミマあるな
[1030.380] yuhi_N: ストリートビューで現在地追えるの確かに楽しい
[1031.818] uroitann: 知らないとこ通るだけで結構楽しいしそこそこいい風景あると良いね
[1056.134] (S)gyu_nyuu_pann: 現在地ってどこ見ればわかるんです？
[1057.811] yusan090: いっこー
[1062.265] akasatana54095840: いっこう
[1067.517] rikkasan029: いっこー
[1069.074] (S)foo_twitch: 38.381908, 140.874191
[1076.630] (S)yaminoiiii: あれアールさんは？
[1080.622] balthazar000: たまーに緯度経度が流れてくる
[1081.251] (S)gyu_nyuu_pann: ありがとうございます！
[1087.124] patriot_ryoma: でもホテルでマッサージとか足をクッションで高くして寝たほうが良さげ
[1090.855] ememeume: 笑
[1091.634] une3333: ヘッドマウントカメラが一番いいのかな
[1102.758] ~MISSING_COMMENTER_INFO~: 桜きれいね
[1103.374] えぐち: 38.382473, 140.874636
[1107.695] mifune1046: えいた何なん？いまの
[1109.900] wahaha7788: いま半分くらいか
[1110.506] fujimike: バスなんて二時間に一本だぞ
[1112.889] nameless510: 緯度経度コメ草
[1119.438] (S)マタビー: Cheer100
[1122.532] taku_yzfr1: ラグビーの審判つけてるようなボディカメラ？導入
[1126.742] umesecond: 昼飯のオーラ来た？
[1127.787] (S)redpeppar510: ココイチ
[1129.465] yusan090: 目的地あるんす
[1130.916] taku_yzfr1: 家系ラーメンは地雷
[1135.609] えぐち: 牛たんあるぞ
[1138.681] medamaoyabun: そこに牛タンある
[1141.388] tabibitox: もうラーメンモードやな
[1142.870] めそたん: オーラとはww
[1146.852] discentrajp: 弘前に桜見に行くってことは四月下旬か五月上旬に到着予定ってことです？
[1147.928] (S)asksrg: 吐きそう
[1148.654] ememeume: お腹空いてる
[1150.481] fujimike: オーラあるか？
[1150.651] brutal9998: かいりきやは京都系
[1150.915] (S)m1s4m0: 食わないって言ってたのに
[1152.664] nearco1935: この時間帯は混んでそう
[1154.046] puertoescondidomota: 京都の背脂ラーメン
[1157.046] 終わってるサイト: 東北の家系は
[1158.091] 不渡哲也: ラーメン食って帰るかぁ！
[1158.717] (S)foo_twitch: 京都北白川ラーメン？
[1158.911] icyblue1985: 染み渡りそう
[1160.245] (S)redpeppar510: そういえば昨日もカレーだったな
[1167.104] ememeume: 即寝そうw
[1167.695] kana_kana1: ラーメンは重そう
[1171.230] (S)gorogorogorn: 桜きれい
[1171.436] さっぽさんぽ: ここ越えるとちょっと店なくなるな
[1172.208] (S)gyu_nyuu_pann: www
[1173.970] Hitode_noko: 「終わるか〜」
[1180.948] みえけん: 食いのものの話ばっかｗ
[1180.980] taku_yzfr1: 糖質スパイクすごそう
[1185.858] (S)hodanonn: 足の裏
[1187.724] une3333: 出発の時間日に日に遅くなってくんだろうなぁw
[1188.903] ノア1844: えいたさんも意外と元気そうですねｗ
[1189.595] 寝るポイント: 王の言葉「飢えろ。」
[1190.402] varoshi: なんですき家なんだよ
[1190.937] mifune1046: とんでもないバフ
[1194.471] taku_yzfr1: 血糖値スパイク
[1196.285] プタゴラトン: 渋いｗ
[1196.323] いぬみみ: 胃もたれないように気をつけないと腸内がトイレ行けってなるｗ
[1196.448] 寝るポイント: もやもやさまーず理論
[1198.190] nikorinko: 地域限定メニューとかあるからなあ
[1200.668] ememeume: 白飯が美味しそう
[1207.919] migiriugachi: 歩くなら炭水化物消化良いやろ
