[18.070] フﾄ: kokuji3Chu
[103.219] one596: なるほど、飲んで記憶ないのね
[109.162] roi3s: さっき起きたみたいな顔
[109.639] balthazar000: 毎日風呂入るって言ってたのに、、、
[112.595] teruharu_: 記憶が
[115.027] (S)ひまんちゅ: シャワー浴びといでよ
[117.846] だいこん_: ウメハラのジェイミーSA2
[120.828] ビフィダス: うめちゃ！
[123.451] kobetaf: 酒焼けの声なのか寝起きの声なのかｗ
[123.557] x_abu_xx: 飲んだと
[124.898] balthazar000: 一日二回の入浴どうして
[126.715] blackcoffee0821: またかよw
[126.799] (S)ringo_35: あららw
[127.453] GalleriaRow: 顔のむくみもやばいっす
[127.800] ponponguripon: 飲んでそのままはくさそう
[128.872] (S)ましゅダヨ: 記憶なくなるまで飲みましたか……
[129.650] Jasminexxx2525: 二日酔いのウメさんこんばんは～w
[129.720] (S)hoshi_boshi_0: こんばんはー
[130.328] leleira: 何飲んだの？
[132.767] (S)yut7xot8: 二日酔い？？
[134.961] (S)軽く捻るか: どんだけ飲んだんですか？ｗ
[136.385] だいこん_: 魅せるぜェ！
[140.111] v_harumi_v: 沢山飲んだのねー
[140.947] (S)ましゅダヨ: 二日酔いか～
[146.421] blackcoffee0821: ゲーム>>>>>>>>
[146.518] BBzRallya: 最近いつ見ても頭ボサボサやなｗ
[148.616] balthazar000: 覚えてないんだよね〜のヤバさよ
[149.037] youheiyokote: 水分摂りなよ
[149.954] (S)ringo_35: ww
[150.376] (S)ましゅダヨ: ふえー！！飲んだねえー！！
[151.924] okekke: また物無くしてない？
[152.177] (S)エムクロ: やっちまったかぁ
[155.570] ponponguripon: しかめっ面
[156.566] ビフィダス: 俺を獲れのデータの人がジェイミーのデータとって発表したの読みました？
[156.590] v_harumi_v: 頑張って配信開始して偉いですね
[157.235] tomohirom: もはや二日酔いを治すためにレッドブル飲んでるね
[158.404] GalleriaRow: 財布ある？
[158.831] Jasminexxx2525: 今日スカル大丈夫ですか？
[160.288] (S)hoshi_boshi_0: この時間まで寝てたんすか
[160.498] leleira: 覚えてないはやばい
[163.815] balthazar000: スマホ？
[167.550] x_abu_xx: かけたw
[170.770] kobetaf: 覚えてない！？また伝説が一つ生まれたな
[173.098] balthazar000: あたったぁ
[174.016] (S)mart_00_: 二日酔いかw
[174.478] consolastrovao: Good morning from Portugal!
[175.628] tabibitox: かけた
[181.172] Jasminexxx2525: まさかのスマホ！？
[183.367] one596: 当然のようにスマホは無い
[184.476] punpunjp_: スカル何時から？
[186.316] v_harumi_v: どんだけ💦
[189.316] (S)ましゅダヨ: もおおお心配するなあ！
[190.488] jojojoy001: え
[191.031] ponponguripon: 顔がw
[192.202] だいこん_: スマホくん何回迷子になるん
[196.299] ビフィダス: 誰と飲んだの
[202.270] balthazar000: ちなみに何飲んだか覚えてます？
[202.313] necoris_necoil: 頭ｗ
[203.647] (S)maya_g01: ウメちゃんこんちはー
[208.473] (S)firefly860130: こんにちはー
[212.114] tomohirom: 二日酔いのまま、りゅうせいを処理するのか
[215.376] (S)ましゅダヨ: その時間まで休まなくてええんか…
[216.447] (S)tsurioji_san: 顔色やばいぞい
[219.972] balthazar000: にゃんしとおしのさんだっけ？
[220.122] (S)4きね8: こんにちは
[221.473] sndkzfm1: お酒って怖いね
[224.191] v_harumi_v: アップルウォッチで探せないの？
[225.833] balthazar000: ショップ？ どうして？？
[226.724] methotrexate_aym: こんにちはー
[232.992] (S)johndoe6523rp: 何でそんなに飲んじゃうんすか
[235.729] (S)hoshi_boshi_0: 無くしたなーで済むのか笑
[236.680] balthazar000: ウメPhoneを探す
[238.191] GalleriaRow: 無くしてすぐ買いに行くのがスゲェ
[246.393] だいこん_: 探索機能か
[247.024] monpaka: ？
[251.928] sndkzfm1: あ、はい
[252.156] (S)ましゅダヨ: まだ酒残ってるように見えるわ
[254.699] GalleriaRow: え、そんなのやってくれるの？
[256.937] (S)ましゅダヨ: いうわけw
[264.443] chin_56_: ﾎﾟﾁﾎﾟﾁ
[267.847] ビフィダス: いうわけ
[271.215] だいこん_: ん？
[271.260] うどんチャン: その頭で行ったの！？
[272.590] (S)ringo_35: ww
[275.748] teruharu_: ｗｗｗｗ
[276.828] feel2525: ｗｗｗ
[278.381] (S)hoshi_boshi_0: ww
[278.683] okekke: ｗ
[279.680] sugata128: 知ってるww
[279.779] chin_56_: 大雑把
[280.628] (S)ましゅダヨ: www
[280.999] methotrexate_aym: ｗｗｗ
[286.292] (S)ましゅダヨ: なるほどね？w
[286.380] roi3s: 輩
[286.585] balthazar000: 1m単位では出ないんですよw
[291.334] (S)firefly860130: もしかしてw
[296.379] GalleriaRow: 逆ギレw
[298.445] (S)ましゅダヨ: さすがにw
[301.268] tabibitox: あ
[301.438] sndkzfm1: あれ？
[304.838] feel2525: まさか
[305.033] (S)hoshi_boshi_0: あれえ？
[305.428] ぜんでん坂人生: 酔ってもお酒の味の微妙なところってわかる？？？
[310.509] ビフィダス: まさか
[313.842] (S)ましゅダヨ: 二日酔いは嫌だねぇw
[325.915] だいこん_: あっ…
[325.926] balthazar000: つまり閉店後も飲み続け、、、
[325.987] (S)tamamichune: それで行ったの？ソフトバンク
[328.680] (S)hoshi_boshi_0: なんでww
[329.353] (S)ましゅダヨ: ？？る
[330.337] (S)4きね8: まさか
[330.790] ponponguripon: うける
[331.017] (S)ringo_35: www
[331.321] 503_win: ｗｗｗｗ
[333.488] aliyome: 草
[333.638] feel2525: あるー
[334.415] kawasak1n: 王、こんちわー
[334.877] (S)ringo_35: よかったですねww
[335.348] (S)日本語かな: 謝れやm
[335.419] (S)4きね8: うへ
[335.898] balthazar000: なぜにカーペットを？
[335.963] だるま屋ウィリー: ええ…
[337.183] kobetaf: アッー！
[337.285] Jeakfreet: www
[338.560] ぎんぎらぎん: ウメちゃん…
[338.801] watanabe0731: なんで？w
[338.829] ビフィダス: www
[339.600] クロおび: まず電話鳴らしな？
[340.266] v_harumi_v: みつかって良かったですねぇ
[340.383] tabibitox: 酒の勢いでカーペットを敷く男
[340.399] (S)yut7xot8: 飯は美味かった？？
[340.526] teruharu_: よかたあ
[340.770] tomohirom: 認知症かな
[341.488] (S)ましゅダヨ: ソフトバンクさんほんとすいません
[341.623] chin_56_: _( ┐ﾉε:)ﾉｽﾞｺｫｰ
[343.479] (S)firefly860130: やっぱりか
[343.764] だいこん_: あるあ…ねーよ
[343.995] 将門ゴルゴロ: まあ、そんな事だろうと思ってましたｗ
[344.076] MELCK2242: BibleThump
[344.396] (S)mart_00_: wwww
[344.557] mimi_good: ねえ
[344.793] (S)さえぐさたくま: ベース弾いたら頭に響いて痛そう
[344.828] sugata128: ww
[344.939] (S)ババシャツ: www
[345.332] (S)maya_g01: 敷いてた～
[346.963] leleira: こらっ♪www
[347.291] methotrexate_aym: 踏まなくてよかった
[347.646] leonard33333333: よっしゃうめちゃん
[349.326] rice1977: rice1977 subscribed with Prime. They've subscribed for 37 months! 
[350.192] balthazar000: せっかくのスカルなのにこの状態悲しい
[351.230] x_abu_xx: よっぱらい、カーペットを敷く
[353.501] ビフィダス: 壊れなくてよかった…
[354.874] (S)hoshi_boshi_0: スカルまでに回復すると良いね
[355.089] sndkzfm1: 皆さん、これがお酒の怖いところです
[357.031] loopy000401: ホビット配信が終わったのできましたウメちゃんおはよう
[357.295] okekke: 水いっぱいのんでもろて
[363.309] だいこん_: あ、今日スカルか！
[364.085] (S)ringo_35: w
[368.141] オシュ: ソフトバンクにありがとーー言った？
[368.549] balthazar000: 信じてる
[370.278] ビフィダス: 誰と飲んだの？
[370.724] (S)エムクロ: ハンデよ
[373.141] shoooookgo: 頑張ろー
[374.267] (S)ringo_35: スカル会楽しみです
[375.433] (S)すぎた_のり: こんにちは 
[376.628] muisgod1: ん今日スカルなんですか！
[378.359] uwbxlwyhsiqj: スカルどなたとやるの？
[380.086] (S)軽く捻るか: 今のうちに水飲みまくりましょう！
[381.488] ponponguripon: たくさん飲んだのね
[381.836] ara5588: お風呂入らなくて良いの？
[382.072] une3333: こんばんはー
[383.887] 000105: スカルのためでしょ逆に
[383.918] watanabe0731: 水飲んで風呂入ろう
[384.396] (S)ましゅダヨ: そうだよねいくらなんでもね
[384.408] shoooookgo: 楽しみだ
[385.200] tayue07: 私は冷蔵庫にスマホ入ってた事あったよ
[387.377] うどんチャン: この前初めてスカルやったけど超面白かった！！
[390.254] (S)ババシャツ: ８時からなんや
[390.822] muisgod1: 超楽しみや
[392.090] ビフィダス: www
[392.964] une3333: おお
[394.432] (S)johndoe6523rp: さっさと酒抜いてもろて
[395.896] 000105: トラボ 
[398.614] kobetaf: トラ・・・ハイタニ
[399.348] yano_mokuzu: ＆ﾄﾗﾎﾞ
[399.436] tanaka_cyclone: ト、ラボ
[399.457] だいこん_: ハイタニ(補欠トラボ)
[400.633] kiyosiro: 最近、翔さんの配信でりこち、というアカウントを見かけますが、見守りますか？
[405.801] (S)ringo_35: 結露してやばそうですね
[406.505] (S)ryokucha2000: ピンクマンではないか。
[409.703] une3333: 冷蔵庫にテレビのリモコン入れてたことはあります
[409.895] jhkkhfdathvd: こんにちは
[412.075] (S)たろう79: to
[413.831] だいこん_: umeNirami
[414.702] (S)firefly860130: スカル楽しみだ
[415.706] (S)ましゅダヨ: www
[416.433] Jeakfreet: 今日はNHKのゲームメーカーでスト6が出ますね
[416.949] (S)ババシャツ: あ
[418.564] x_abu_xx: りこちただのミーハーやん…
[419.292] (S)ringo_35: www
[419.362] (S)ryokucha2000: ｗｗｗｗ
[419.369] balthazar000: 目ぇ付けられたか
[419.967] (S)CampFire71: 翔…
[420.039] akiaki0612: akiaki0612 subscribed with Prime. They've subscribed for 42 months! 
[422.363] yama0283: まずいな
[423.661] mako_oswald: この前の鍵の話は本当に面白かった
[425.182] une3333: 他人の配信は知らんっ！
[425.615] (S)haicro_zm: 今かけるなんだね
[426.470] (S)maya_g01: そっと見守っておこう
[426.666] taroru3: 愛やよ
[426.999] balthazar000: 何飲みました？ 焼酎？
[428.083] feel2525: 新しい芽に
[428.248] ayataka33: 翔・・・
[430.153] (S)たろう79: 逃げてぇ
[432.104] uwbxlwyhsiqj: りこちは石井プロのことをシープと呼んでいる
[433.036] (S)sugi_tree3: 化け物
[434.505] teruharu_: umeSalute
[438.186] sndkzfm1: キングボンビーみたいな存在だよ
[440.083] kobetaf: りこちとジョ、ビンはどっちが強欲？
[440.929] シークレットファニーボーイ: 愛やよ
[441.732] (S)ましゅダヨ: あの人は色んなとこに行ってるからほんとにただのミーハーw
[441.784] tanaka_cyclone: あれで男なのほんとやばい
[442.920] leleira: カケル狙われとるやん。尻が、、、
[442.926] akiaki0612: 才能に惹かれる
[443.575] nengu4u: nengu4u subscribed at Tier 1. They've subscribed for 16 months! こんちはー
[445.769] だいこん_: ビールでそんなにか
[448.292] v_harumi_v: よく家に帰れましたね
[449.390] une3333: またなんかやったんですかw
[451.550] (S)ましゅダヨ: そうでしょうねw
[457.007] balthazar000: 記憶なくて、気づいたら寝起き って感じですか
[458.440] 戸愚呂妹: ホッピー苦手
[461.300] ufj_atm: 梅原さん酔っ払ってるんですか？
[462.319] (S)たろう79: めちゃ飲めるのすげ
[463.058] muisgod1: 誰と飲んだの
[464.547] une3333: ホッピーはアルコール強いんですか？
[466.446] (S)FilthyOjiChan: konichiwa
[471.001] akiaki0612: なぜホッピーなんて
[474.720] ayataka33: abara_bb subscribed with Prime. They've subscribed for 31 months, currently on a 1 month streak! 
[486.006] une3333: みずはきゅん
[486.726] sndkzfm1: ホッピーは中身薄めないとアルコール度数高いですからね
[487.669] balthazar000: 親友まで？
[490.358] (S)ましゅダヨ: 喋りたくねぇのに配信ありがとな……
[493.141] (S)vaio_95: 2日酔いする方？ウイスキーとか飲みがちなのかな
[495.560] muisgod1: ホッピーは完全に自分の匙加減で強さ決まる感じやね
[496.940] watanabe0731: しゅーとは？
[498.706] 戸愚呂妹: 水派に戦国時代してないよね！？
[499.121] ビフィダス: うわ、たのしそ
[499.226] balthazar000: 水派に何あったか聞くしかねぇ
[501.337] だいこん_: 戦国時代発動した可能性あるな
[512.136] tabibitox: きた
[512.280] (S)johndoe6523rp: おしのさんは元気ですか
[512.866] だいこん_: デイリーボス戦
[514.402] (S)firefly860130: どれぐらい飲んでんだw
[515.001] (S)vaio_95: 顔ｗｗ
[517.175] akiaki0612: 水派くんは大丈夫でしたか？
[517.448] sndkzfm1: 飲むものと飲み方よ
[517.569] (S)haicro_zm: いつもの飲みすぎ
[518.212] FAV_Ryusei: 三先3回頼ます！
[518.440] v_harumi_v: いつ頃から記憶ないのかしら？
[519.342] Yasushi_Yoshida: 二日酔いの度に一生酒飲まないってなるけど、また飲んでしまう
[519.715] (S)ましゅダヨ: スカルの動画みたわ、予習したわ
[520.314] (S)さえぐさたくま: あと３時間で抜けるかな
[524.456] ponponguripon: お
[525.865] mayo_030: www
[526.408] v_harumi_v: りゅうせいさん！
[528.033] une3333: 「...真面目にやってねぇな.....」
[528.175] balthazar000: こっちは真面目にやってるんでね って言われちゃう
[529.185] (S)たろう79: ホッピーって薄めるんすか！？
[529.232] one596: お、10先じゃない
[529.952] ayataka33: この状態で対戦できるんかｗ
[530.255] feel2525: りゅうてぃや
[532.098] x_abu_xx: 風呂入ったほうが良くない?w
[533.109] methotrexate_aym: 二日酔いでＪＰ
[533.330] ufj_atm: 二日酔いでスカルの読み合いできるのか
[534.160] tabibitox: 真面目にやってねーなと怒られそう
[535.883] okekke: 「うめさんもう一回やりましょう」
[538.244] teruharu_: りゅうてゃ
[538.696] (S)エムクロ: りゅうせいキレるか？w
[539.019] Jasminexxx2525: りゅうてゃ！
[539.073] (S)mart_00_: スカル無言はやめてくれなw
[539.473] une3333: 3先3回だそうです
[540.477] miyusayers: e-sportsやればね。抜けるかもね。
[541.116] (S)軽く捻るか: ガン処理されそうｗ
[541.154] (S)ましゅダヨ: がんばーれ！
[541.844] だいこん_: 水2リットル飲もう
[544.095] ぢょごぢゃん: ああ今日スカルか
[544.991] piyopiyomaru555: 湯船はいれば？
[545.437] (S)maya_g01: りゅうてゃ～
[549.427] (S)akatoki_mk1: どんな二日酔いでもデイリーはかかさないｗ
[556.826] balthazar000: 不真面目認定だったらもうワンセット
[558.300] (S)たろう79: シャワー浴びよう
[558.774] (S)firefly860130: デイリーりゅうせい
[564.499] tetsu000005: 今日のりゅうせいコーナー
[564.541] (S)さえぐさたくま: 二日酔いで湯船はちょっと怖い
[567.292] feel2525: 二日酔いで勝てるんか？
[569.436] une3333: 今一番強いんじゃないかFAVチーム
[572.209] one596: なんだかんだもう来週2ndステージか
[573.089] ponponguripon: デイリーのおかげで配信してくれてる
[575.366] sndkzfm1: チェイサーで水を飲むのが安定です
[577.665] (S)ましゅダヨ: 終わったらシャワーでも浴びて来たら酔い覚めるかもねw
[584.095] (S)hoshi_boshi_0: 出直しなさいが意味深に聞こえる
[586.956] une3333: ww4回目も来週？
[588.466] 綾鷹7777: 二日酔いで湯船は絶対ダメよ
[597.459] akiaki0612: どうやって帰ったか覚えてる？
[598.741] (S)ぺりんご: 波動拳どこにあたったんだ
[604.216] une3333: 「汚らわしい...」
[605.850] (S)ojiiisam: ojiiisam subscribed at Tier 1. They've subscribed for 7 months! 
[606.475] chin_56_: 汚らわしい
[608.383] (S)たろう79: 湯舟入ったら溺死しそう
[608.575] (S)ganaha5757: 一日水2リットル飲むようにしてから体調がいい
[633.803] (M)(S)gameinntwitch: おはようございます。特に問題無さそうですかね。
[640.966] hideto007: 生卵と梅昆布茶が二日酔いには効く
[643.976] (S)vaio_95: 使うんだ
[646.373] une3333: つかっていくー
[648.341] (S)kesigome: 水２リットルって水以外の飲み物飲める？
[648.419] 浅草ガッツマン: もしかしてウメちゃん毎日風呂入ってる？w
[650.819] akiaki0612: 問題は二日酔い
[652.660] tabibitox: ウメちゃんが二日酔い
[653.749] (S)ましゅダヨ: 問題大ありかも
[653.976] une3333: ウメちゃんの体調以外は問題なさそうですー
[656.019] v_harumi_v: メンおじさま、おはようございますー。二日酔い以外は問題なさそうですー
[658.076] one596: 配信は問題なし、本人に問題あり
[660.588] x_abu_xx: 機材は問題ないですw
[666.210] kakaowpgj: 一日3リットル以上飲んじゃうけど体に悪いんかな？喉乾いてしょうがない。
[679.777] (S)たろう79: めんおじさんこんばんは
[694.670] remryavka: それ糖尿病
[700.421] (S)vaio_95: 過ぎたるは猶及ばざるが如しとは言うもので
[700.738] 浅草ガッツマン: 酒やめてはどうでしょうか？
[705.570] x_abu_xx: 何飲んでるにせよ3リットルはもう肝臓が悲鳴上げるレベルだと思う
[715.737] one596: 食事以外で水分3リットルはやばそう
[717.827] pondenring0930: 二日酔いやめてね
[718.547] 国府田: おしゃれパーマなの？寝ぐせなの？
[722.909] (S)たろう79: あんまのど乾くのは糖尿かもよ
[724.169] plmqaz1982: 3リットル飲んで喉乾くなら糖尿の可能性が
[725.737] hideto007: 喉乾いてしょうがないのは一回病院行った方がいい。糖尿病の疑いがある
[728.422] m1s4m0: NUROのCMなんだこれ！
[729.999] hayabow_yossy: 糖尿病だと喉乾くから気をつけて！
[731.905] (S)エムクロ: 絶賛ねぐせ
[732.284] (S)ましゅダヨ: 水分は1日2L(食べ物等全部の摂取量こみで)がちょうどいいらしいです
[734.150] (S)さえぐさたくま: 水大量に飲むと腎臓に負担かけてないか心配になる
[747.193] kakaowpgj: マジかよ
[754.442] (S)ぺりんご: 夕べ一晩かけてセットした髪型
[759.239] m1s4m0: デイリーりゅうせいか
[762.139] sirokedama: ぷっさん応募したそうで楽しみ😊
[762.668] v_harumi_v: 寝ぐせの完成形よー
[764.101] akiaki0612: 定期検診は行ってるっぽい
[767.433] こたのすけ: 昨日に引き続きおしゃれな髪型ですね
[773.803] OKG_TWIN: いうて格ゲーずっとやってると喉乾くよね
[784.478] x_abu_xx: 年1で健康診断受けてる? 受けてないならマジで病院行って検査してみたほうがいいよ
[804.642] kakaowpgj: 毎日どんな寝癖になってるか楽しみ。
[806.607] (M)(S)gameinntwitch: スカルと時にやった方が良さそうな事あるのかな。ディスコアイコン無くても誰が喋ってるか分かるだろうしそのままで大丈夫そうかな
[817.328] ponponguripon: ちょっと目が開いてきた
[817.516] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[819.034] 子ぐま: 今日の髪の毛のセットも似合ってますね
[820.355] だいこん_: 格ゲーで喉乾く分かる。汗もめっちゃかく
[825.937] (S)ganaha5757: おしっこの泡立ちがビール見たいになったら糖尿病らしい
[841.253] さいくつ: オーバーレイ欲しいかも…
[849.069] umesecond: デイリーりゅうせい復活
[851.754] diediedying: 寝ぐセット
[866.445] (S)vaio_95: ラッキー
[870.231] yano_mokuzu: 今日はAKIやんないんかな
[872.507] (S)ましゅダヨ: 私もよく喉かわくなあ…糖尿病は遺伝も関係するから身内にいたら注意ですね
[877.737] (S)vaio_95: なんか色々あった
[877.849] (M)Moobot: ＊＊新ヘッドセット＊＊ HyperX Cloud III が ワイヤレスで登場！ → https://hyperx.gg/45bt2SJ
[879.052] jazzcat75: ottyVibe
[882.505] aranami0: おお
[885.851] friendbakery: 重ねむずいんかな
[889.942] 子ぐま: うおお
[891.438] kobetaf: 糖尿って遺伝関係するんか
[891.775] emaplusplus: あった
[892.178] (S)軽く捻るか: 目覚ましJP
[893.359] だいこん_: わちゃわちゃ
[912.188] plmqaz1982: 1型は遺伝、2型は生活習慣
[917.877] aranami0: 今日も寝癖でデイリーりゅうせい
[919.931] kobetaf: へー
[927.182] (S)vaio_95: ねー
[931.143] aranami0: 謎
[932.791] chinkalahoi: ほんまそれ
[936.488] だいこん_: カプコン見てるか
[938.529] (S)日本語かな: 仕様なんだろうね
[939.007] フﾄ: 技術的な問題なのかな
[941.775] 蝉時雨: ウメちゃんの寝癖で占いできそう
[947.053] tk5hs: 次回しれっと修正されてそう
[950.808] one596: なんか最近はもうそういう仕様にしてる話になってきてるよね
[954.785] hideto007: 意地でもリバサ無敵技は許さないスタンス
[958.318] vipperdeath: だいごの前髪、すち
[959.026] okekke: 要望多そうだしいつか直ると信じてる
[968.759] (S)軽く捻るか: P
[969.986] (S)ぺりんご: 次はエドの時か
[979.329] seiji141141: モダンがあるからとか…？
[983.547] (S)ましゅダヨ: エド楽しみ(((* ॑˘ ॑* ≡ * ॑˘ ॑*)))ｿﾜｿﾜ
[985.648] だいこん_: 初心者も気持ちよくパナせるように改善求む
[991.540] 蝉時雨: モダンやった事ないからわからんのだけどリバサが連打で出しやすくなったりするの？
[1002.370] aranami0: エド来年だっけ？どういう操作になるか楽しみだねぇ
[1003.427] OKG_TWIN: モダンでも出にくいよ…
[1013.397] (S)goto888: ここまで直さないと以後仕様ということで据え置かれそう
[1013.542] hideto007: パナシてガードされて負けるならいいけど、出ないで負けるのはめっちゃストレス
[1016.552] emaplusplus: うれしいときはうれしいって言うの大事なのかもね
[1020.187] (S)donekofg: 今日も乾かさないスタイルか
[1040.376] 蝉時雨: 出にくいんや、コマンドの問題じゃないんやなぁ
[1041.524] (M)(S)gameinntwitch: 因みにスカルって何時からなんだろ
[1044.758] (S)ましゅダヨ: 突然の名言
[1045.417] そうたマン: bday100
[1047.825] akubi33: akubi33 subscribed with Prime. They've subscribed for 28 months! 
[1052.540] (S)軽く捻るか: 今日は昨日からお風呂入っていないスタイルです
[1057.258] (S)donekofg: スカル8時とかじゃなかったけ
[1061.448] 蝉時雨: 熟成ウメハラ
[1061.465] diediedying: 20時らしいです
[1062.344] aranami0: 昨日は何時かまだわかってない感じだったけども
[1062.614] OKG_TWIN: コマンドっていうか、入力自体が上書きされるって話しだからね
[1068.324] (M)(S)gameinntwitch: どもども
[1073.296] v_harumi_v: umeYay
[1079.699] ponponguripon: たばこくさそう
[1080.826] (S)donekofg: ウメさん何故か常にシャワー浴びてるイメージだったわ
[1084.449] kakaowpgj: えぐ
[1086.712] (S)sumabufalcon: umeCossack
[1089.986] shellfish55: 早くエドのフリッカーでバカみたいにドライブゲージ削りてぇ
[1092.372] だいこん_: 先行入力効きすぎてやってねえ防止なんだろうけど、無敵技は例外にできないのかな
[1093.240] emaplusplus: コン！
[1109.068] pyamaaaa: ウメちゃんこんばんは〜
[1126.690] (S)donekofg: エドのフリッカー擦りたいけどスト6的にはマイナスフレームよね
[1128.756] (S)ましゅダヨ: まあ誰しもシャワー浴びれない時もある。例えば二日酔いとかね！
[1133.546] (S)軽く捻るか: うま
[1140.965] OKG_TWIN: 技の優先順位とか関係してそうだから、他への影響も考えながらだと直ぐには治せんのちゃうかな、知らんけど
[1149.911] みししっぴ1: りゅうせい、ウメちゃんとやりすぎて並のケンには負けなさそう
[1152.908] (S)ganaha5757: 寒くなってくるとシャワーだけがきつくなってくる
[1170.569] shellfish55: マイナスだろうけどフリッカー擦りてぇ
[1174.875] 戸愚呂妹: 酔拳で強くなってる
[1177.811] だいこん_: いいバクステ
[1178.571] OKG_TWIN: 今朝の気温差で喉をやられたわ、辛い
[1186.736] tsukikage_saga: ウメちゃんの髪がどんどんスタイリッシュになってきてる
[1189.750] aranami0: 今のインパクト返すの無理やろ
[1195.108] jazzcat75: FBRun
[1195.213] (S)ましゅダヨ: もう長野は最低気温が一桁になりました
[1203.779] yano_mokuzu: フリッカー逆に有利フレームになりそうな予感
[1205.198] (S)箸くれ: 今日も芸術的な髪
[1210.444] (S)すれいまん: 秋の気配が消えた
[1213.995] みししっぴ1: 脳「あ、インパクトや！」身体「…」
[1214.608] one596: -2でわろてる
[1218.376] (S)kesigome: バーンアウト中は狂ったようにフリッカーされんだろうな
[1221.934] tsukikage_saga: thenic5Kiss
[1235.647] よもぎです: へったーって笑いかな？
[1235.756] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1236.515] shellfish55: 123！
[1239.838] (S)すれいまん: 命を刈り取る角度
[1250.007] (S)ましゅダヨ: アキ実装されてから急に寒くなったな
[1251.160] OKG_TWIN: 身体はインパクト出せる構えになってないと、そもそもボタン押せないからなー
[1272.744] 36mgh: 地球「AKIに合わせて秋を実装しました」
[1275.875] (S)すれいまん: 26Fは人間の反応できるフレームじゃないよ！
[1282.544] (S)ganaha5757: バーンアウト中以外は返せないインパクトってない？
[1287.712] kakaowpgj: まずい
[1288.552] gyu_nyuu_pann: デイリーりゅうせいだ
[1292.594] OKG_TWIN: ﾜﾝﾂｰｽﾘｰ!ﾜﾝﾂｰｽﾘｰ!ﾜﾝﾂｰｽﾘｰ!ﾜﾝﾂｰｽﾘｰ!ﾜﾝﾂｰｽﾘｰ!
[1305.033] ame_do: ウメさん髪ボサボサね
[1309.762] gyu_nyuu_pann: gyu_nyuu_pann subscribed at Tier 1. They've subscribed for 9 months, currently on a 7 month streak! 
[1310.057] ビフィダス: あびゃ
[1317.369] (S)ましゅダヨ: 大自然が格ゲーを祝福してる
[1317.924] moppu_gake: スカル楽しみだなー
[1334.870] 子ぐま: スカル楽しみ
[1336.730] MetalMohawkMadness: I live in SW USA, and the weather temp went from 37c to 18c as soon as October started
[1339.668] (S)すれいまん: スカルってなんぞ。スカルガールか？
[1345.047] kakaowpgj: スカル強なのか
[1346.071] よもぎです: 昨日から髪が変わってないように見える
[1348.511] emaplusplus: はっきり注文するな
[1360.874] OKG_TWIN: ボードゲームじゃなかったっけ、スカル
[1361.960] (S)ましゅダヨ: スカル楽しみー！
