[21.185] (S)rin_aimer: radaoKitya
[43.480] mika_nn_: mika_nn_ subscribed at Tier 1. They've subscribed for 12 months! 
[43.546] みりまんじゅう: わこらだ
[43.610] こころ06: わこらだー
[43.851] Bachiru66: わあああ
[43.934] よっしぃぃ: radaoWakotu
[44.094] r4kki777: わこらだー
[44.216] Hamutyaro_126: わこらだ
[44.341] ringoame___0412: 無限自由配信編？！
[44.380] いちご味のらむね: わこらだ
[44.399] muru1113: わこらだ
[44.442] mattya_dau: わこらだ
[44.471] mono_0114: わこらだ
[44.746] kae_eeee: わこらだ！
[44.965] (S)とりにく1026: わこらだ
[44.971] ~MISSING_COMMENTER_INFO~: わこらだ
[45.041] (S)nakihai556: radaoWakotu
[45.190] tatetato: わこらだ！
[45.372] jt6jpagdtw: わらこだ
[45.420] (S)chocolate_zmd: わこらだ
[45.504] shumesi_: わこらだ
[45.637] いよかんちょこ: わこらだ
[45.861] nnaaaa: わこらだ！
[46.111] (S)べるな_: マイクラ大丈夫そう？
[46.614] am4kumo: radaoWakotu
[46.816] (S)t0_ukq: radaoWakotu
[46.943] AJCryukun: わこらだ
[47.177] (S)ほしちゃ: わこらだ
[47.251] mqyo88: わこらだ
[47.714] ryu2626: わこらだ
[47.777] reihahima: わこらだ
[47.855] Ashley_AI: わこらだ
[48.012] itoido: 今日早いね
[48.090] からたべ: radaoWakotu
[48.231] Ral_2525: わこらだ
[48.250] ko_do_1123: わこらだ
[48.255] いあら: わこらだ
[48.316] (S)usiuma: radaoWakotu
[48.735] milu_1728114: わこらだ
[48.931] カナバ: わこらだ
[49.061] 心咲花茶: わこらだ
[49.208] 琴ノ葉: わこらだ
[49.624] orio_1024: わこらだ
[49.635] yuuuma_s: わこらだ
[49.646] penntora_0604: わこらだ
[49.841] あらんえむかーびぃ: radaoWakotu
[49.851] (S)Oyu3255: radaoWakotu
[49.895] Amatsu_103155: わこらだ
[50.055] (S)そおお: radaoWakotu
[50.293] ame1859: わこらだ
[50.855] 五色椿: わこらだ
[50.905] (S)westy627: radaoWakotu
[50.942] (S)kiba_1129: radaoWakotu
[51.043] riku0572: わこらだぁー
[51.119] huku_mm: わこらだ
[51.517] マスクさん: わこらだ
[51.774] nairon_5102: わこらだ
[51.779] 嶺羅: わこらだ
[52.314] hana1274: わこらだ
[52.558] (S)haru_anura: わこらだ 
[52.598] mujica_chan: わこらだ
[52.792] (S)baberuboburu3939: radaoWakotu
[53.286] kumasan20: わこらだ
[53.297] ゆかりんりん: ゆかりんりん subscribed at Tier 1. They've subscribed for 24 months, currently on a 24 month streak! わこらだ！ 2年！！！！！
[53.440] (S)うるるら: radaoWakotu
[53.632] (S)はるるぴょん: わこらだ
[53.693] ゆふる: わこらだ
[53.826] (S)tamakooo__: わこらだ！！
[54.158] atush1_: わこらだ
[54.409] mirina017: わこらだ
[54.607] k_taronosuke: わこらだー
[54.621] sakuma_xxo: わこわこ
[54.762] (S)ri_1826: わこらだ
[54.947] (S)書写山: おはよ
[55.078] kuratuti: わこらだ
[55.557] (S)rsk010: radaoWakotu
[55.605] きのお: わこらだ
[56.126] mugii__12: わこらだ
[56.373] (S)PEI_OwO_: わこらだ
[57.114] シクラ: radaoWakotu
[57.255] (S)rinne1221: わこらだ
[57.398] amo_0723: わこらだ
[57.409] suibotu_: わこらだ
[57.616] (S)emitsubo723: わこらだ
[57.653] nirakki7577: おは
[58.115] ゆうがり: わこらだ！
[58.207] (S)ここねり: ねおき？
[58.395] (S)なつおよ: おはよ
[58.779] しゅがあ_: わこらだ
[59.071] kooridoufu: わこらだ
[59.305] (S)~MISSING_COMMENTER_INFO~: radaoWakotu
[59.350] (S)あさみや301: わこらだ
[59.528] yuu_915: わこらだ
[59.531] (S)4maten: radaoWakotu
[59.667] soraneeeeen: radaoWakotu
[59.779] (S)嵯峨蘭丸: radaoWakotu
[59.999] (S)かりんとう12: わこらだ
[60.246] kurage_mattya: わこらだ
[60.476] 夢川海月: よぉ
[60.690] ごみぱ: わこらだ
[61.343] yomogi_green: わこらだ
[61.573] おひとりらんらんるー: radaoWakotu
[62.110] hana1274: おはよー
[62.180] bamboos_sia2400: わこらだ
[62.181] (S)aya_2121: わこらだ
[62.319] (S)えりさ_: わこらだ 
[62.395] しおた_00: わこらだ
[62.423] ｱﾙｶﾘ: Alkali_1945 subscribed at Tier 1. They've subscribed for 14 months! 
[62.488] えむえにゃ: わこらだ
[62.502] (S)raynidayooo: わこらだーー
[62.641] (S)かりんとう12: おは
[63.174] (S)yuna_aaaaaaaaa: おは
[63.189] おそば0804: おは
[63.203] omottti: わこらだ
[63.281] (S)ryo_ngz: わこらだ
[63.444] (S)world_kohaku: わこらだ
[63.514] sora_0119: radaoWakotu
[63.538] (S)r0_0Ru_ruru: わこらだはやいな
[63.540] (S)れもんちぃ0: radaoWakotu
[63.903] (S)tanakaaa319: わこらだ
[65.081] (S)足し湯: わこらだ
[66.058] (S)あさみや301: radaoWakotu
[66.398] もんじゃ焼きたべたい: おはよ
[66.545] renoha_otaku: わこらだ
[66.604] (S)if0990: わこらだ
[66.809] わるた: わこらだ
[67.504] (S)ゆーーー_: わこらだ
[67.517] (S)わんわん1号: radaoWakotu
[67.637] (S)yoichimu: radaoWakotu
[68.024] (S)書写山: ナッシュたべよ
[68.232] ｱﾙｶﾘ: わこらだ
[68.676] (S)ほしちゃ: radaoWakotu
[68.703] すてらいつ: わこらだ、復活してよかった
[68.745] いのりさん: もう夕方よ
[68.904] たか野: radaoWakotu
[69.101] (S)raynidayooo: ｵﾊﾝﾖ
[69.325] 惰性さん: わこらだ！
[69.343] (S)rimirimi1205: 寝てた？笑
[69.644] hana1274: 短いね
[69.687] mikan_san: わこらだ
[70.085] hino__0712: おはよ
[70.177] hirunnkun: おはらだ
[70.399] yuimiti: ガチ寝起きやんw
[70.426] (S)みずいろか: radaoWakotu
[70.434] nirakki7577: ヨダレ汚そ
[70.630] ~MISSING_COMMENTER_INFO~: わこらだ
[70.680] (S)fuu_maru: おはよ
[70.933] (S)えりさ_: 声が寝起きww
[71.150] aren_crow: わこらだ
[71.216] (S)raaaa312: radaoWakotu
[71.416] itoido: おはよう
[71.464] (S)tanakaaa319: radaoWakotu
[71.477] りざき: radaoWakotu
[71.549] マスクさん: マスクさんだよ subscribed with Prime. They've subscribed for 19 months, currently on a 19 month streak! わこらだ
[72.071] ｻｧｻ: わこらだ
[72.306] kamimi339: わこらだ
[72.625] ねろりんご: わこらだ
[72.761] Shiraki1013: わこらだ
[72.998] うにぃぃぃぃ: らだおのぬいぐるみで寝てたらぺちゃんこらだおくんになってたわ
[73.240] てこくん: radaoWakotu
[73.251] (S)rinne1221: radaoWakotu
[73.254] basebooor: わこらだ
[73.903] zrs1111: わこらだ
[73.918] (S)yukichan2525: こんにはー
[74.147] もにゅぷぷ: わこらだ
[74.770] retasuuuu00: わこらだ
[74.786] mimoru_385: わこらだカラオケ楽しかった？
[74.822] 心咲: わこらだ
[74.961] rei5566: わこらだ
[75.520] tokumeikibou_t: わこらだ
[75.587] mirumiru_h: マイクラ大丈夫なの？
[75.735] kachiemon0408: わこらだ
[75.940] ふうぺん: わこらだ
[76.188] ゆきとよ: 寝起きやん
[76.254] haku1219: おはよ
[76.322] いちご味のらむね: おはよ
[76.389] (S)書写山: ちわー
[76.544] まいーー: わこらだ
[76.622] muu_rika: わこらだ
[76.676] もんじゃ焼きたべたい: 昼寝って幸せだよな
[76.695] aisu_0213: わこらだ
[76.753] ちくわぶ22: わこらだ
[76.777] wwobyhcddgobvir: わこらだ
[76.799] omame47453: おはよ
[76.996] chamomile2525: わこらだ
[77.062] famtarooo: わこらだ
[77.143] rooknn11_11: わこらだおー
[77.227] pinnochan: わこらだ
[77.233] yuna07210: わこらだ
[77.316] nemuluu: わこらだ
[77.549] shokuyokukun: わこらだ
[77.977] nickel_355: わこらだ
[77.996] (S)amadnm: も？
[78.097] megggggggg: わこらだ
[78.111] ryuhe37: わこらだ
[78.123] 消化器: わらこだー
[78.128] 青野くん: わこらだ
[78.207] いとーゑん: わこらだらだ
[78.573] kohana0d06: わこらだ
[78.760] konnit: わこらだ
[78.787] (S)ゆずかちゃん: radaoWakotu
[78.812] (S)alice__uxxu: わこらだ
[79.051] (S)azure_nekolife: じゃあたくさん配信できるね
[79.139] wasa_wasabineko: わこらだ
[79.266] yoruuuuuu_0826_: わこらだ
[79.284] azisai1111: わこらだ
[79.486] (S)rimirimi1205: おはよ
[79.607] rikutaronron: わこらだ
[79.710] hakusama_zo: わこらだ
[79.742] nairon_5102: ほんとに寝てた人の声やんwwwwwwwww
[79.867] _紅茶: わこらだ
[79.997] yuu62_o: わこらだ
[80.231] mitarashidaifuku: わこらだ
[80.329] tukinoyuo: わこらだ
[80.395] mizuiro_Y: わこらだ
[80.401] (S)箏奈: わこらだ
[80.463] atuono: 声がやばい
[80.513] (S)raaaa312: ゴリ寝てたヤツの声やん
[80.519] にぃぃぃ: わこらだ
[80.678] reku_3345: わこらだ
[80.694] nunuko66: わこらだ
[80.895] ryutan1352: わこらだ
[80.918] (S)にんじん10: この時間の配信嬉しい
[80.991] kiiroitori: おはよう
[81.107] jinkukki_: わこらだ
[81.314] (S)なおぽーん: わこらだ
[81.496] ばんぺいゆ: radaoWakotu
[81.551] huku_mm: こんばんはー
[81.554] itoido: ヨダレふけ
[81.561] yu_2525_: わこらだ
[81.567] (S)naniha_0728: radaoWakotu
[81.614] meimei_15: わらこだ
[81.710] mumei_0527: わこらだ
[81.792] 0秒: わこらだ！
[81.879] rincho22: わこらだ
[81.913] bannzupann: 声凄
[81.924] neko_trz: わこらだ〜！！！
[82.096] sonopiti: わこらだ
[82.096] amayu_9: わこらだ
[82.454] huka127: わこらだ
[82.613] nnaaaa: おはよ
[82.844] (S)shilas_1231: わこらだ
[82.852] ajataka66: わこらだ
[82.957] haui192: わこらだ
[83.193] ジャガイモの皮: わこらだ
[83.199] pasu0517: わこらだぁ
[83.291] 926286: わこらだ
[83.372] りな_1822: わこらだ
[83.404] ぼっち神: わこらだ
[83.408] yokotti415: わこらだ
[83.409] (S)family857: radaoWakotu
[83.541] riu_o3x: わこらだ
[83.699] いあら: 今からグッズちゅうもんするねー！！
[83.821] メープル羊: わこらだ
[83.916] clavis0222: わこらだ
[83.926] saku_048: わこらだ！
[84.094] gomoku1012: わこらだ
[84.164] papipo25: わこらだ
[84.353] さくららて: わこらだ
[84.391] aipiko13579: わこらだー
[84.542] hrht0323: わこらだー！
[84.583] kurui440: わこらだ
[84.625] sufuri3: わこらだ
[84.647] hairi29: わこらだ
[84.766] _紺碧_: わこらだ
[84.995] (S)RyvnD_rein: わこらだ
[85.086] poni_girazu: わこらだ
[85.203] やくとみ: わこらだ
[85.209] (S)yukichan2525: なんで？w
[85.229] kyo_kaaa: わこらだ
[85.236] karen__1121: わこらだ
[85.280] (S)sakusaku0113: わこらだ
[85.297] Amatsu_103155: おはらだ
[85.340] zikanman: もうお外暗くなったよ
[85.491] knowrta: わこらだ
[85.552] Amam1ya0000: わこらだー
[85.682] (S)toumyou_2525: radaoWakotu
[85.736] Utumiiiee: わこらだー
[85.877] (S)月藍ちゃん: わこらだ
[86.123] toremoro_san: わこらだ
[86.293] wasabi_kinako: わこらだ
[86.515] momo___ka: わこらだ
[86.549] (S)ちったむ: わこらだ
[86.564] solar_7221: わこらだ
[86.712] natubatch: わこらだ
[86.795] mpru: わこらだ
[86.926] まめぱと: わこらだ
[86.933] 1815ya: わこらだ
[87.035] (S)ne___mu: radaoWakotu
[87.161] (S)ぴっくる: radaoWakotu
[87.204] (M)Nightbot: サブスクdiscordの入り方はこちら→https://twitter.com/rader2525/status/1167079316754067456
[87.211] rilio_o: わこらだ〜
[87.216] ponteringu: わこらだ
[87.261] 黒崎ミルカ: わこらだ！
[87.262] シクラ: もっかい寝ようぜ
[87.396] (S)shilas_1231: どゆこと？
[87.433] (S)tsuki_pedia: わこらだ
[87.502] (S)uniyann0718: 無限配信編だと！？
[87.622] あるみ屋: わこらだ
[87.732] kamereon1122: わこらだー！、
[87.880] やくとみ: radaoWakotu
[88.138] nemulimuli: わこらだ
[88.326] fusedoumei: わこらだ！
[88.340] banapote64: わこらだぁ
[88.342] cotoro26: わこらだ
[88.568] 桜咲かそう: こんちゃ
[88.585] (S)hisoka_HyskoA0606: radaoWakotu
[88.657] ei_ae: わこらだ
[88.763] aisu_0213: わこーらだ
[88.788] おじょーー: わこらだ 
[88.831] eluu06: わこらだ
[88.850] (S)なおぽーん: radaoWakotu
[88.900] カオサン: わこらだ
[88.901] (S)ituki_kun: わこらだ
[89.264] nirakki7577: 俺も萎えた
[89.303] (S)rinne1221: なにしてたの？
[89.464] 2319886535: ワコラダ
[89.495] azuti0409: わこらだ！
[89.498] maromaro222: わこらだ
[89.535] meshida618: わこらだ
[89.650] しがー: わこらだぁ
[89.703] Diamond_4870: わこらだー
[89.718] (S)n0413taro: radaoWakotu
[89.731] (S)うもうくん: radaoWakotu
[89.780] ebimayou: わこらだ
[89.856] turning___: わこらだ
[89.868] (S)きなこもち46: わこらだ
[90.011] na0t1_16: わこらだ
[90.242] (S)paya_na: radaoWakotu
[90.295] (S)t_turtle: radaoWakotu
[90.421] ainob: わこらだ
[90.485] Rada_lop: わこらだ
[90.558] tukiiro_neko: わ！こ！ら！だ！
[90.658] (S)samemeshark: radaoWakotu
[90.739] neru_zingai: わこらだ
[90.769] 贄ﾁｬﾝ: わこらだ 
[90.823] (S)kanakana1225: わこらだ
[90.832] ara_poteto: わこらだ
[91.278] Sironoawa_: わこらだ
[91.333] ミィリス_0318: わこらだ
[91.410] ジャガイモの皮: おはよー
[91.499] アスクだよ: わこらだー！！
[91.502] もんじゃ焼きたべたい: 声ぶさいな
[91.511] ロクでなし: わこらだ
[91.527] uraki__: わこらだ
[91.624] kiiroitori: なんて？w
[91.707] (S)_イオ_: わこらだ
[91.727] shokuyokukun: だだだ
[91.843] (S)くろざき: radaoWakotu
[92.303] muutyo_io: わこらだ
[92.497] ねぎま__: wakorada
[92.502] highpine1397: わこらだ
[92.520] quick_0w0: わこらだ
[92.677] 一人称_: わこらだ
[92.719] たゆう_はね: わこらだぁぁ！！
[92.726] (S)kino__0826: ニート？
[92.750] Sa_mezame: わこらだ
[92.824] 2jqtpja: わこらだ
[92.937] rascal_techonol: わこらだ
[92.977] tubugu: わこらだ
[93.196] 鯉々: わこらだ
[93.248] mikan_san: お昼寝スヤスヤでワロタwwww
[93.280] torakichi_415315: radaoWakotu
[93.388] (S)nyaaikon: わこらだ
[93.389] (S)rrryu_ream_: わこらだ
[93.418] にぎり飯ぃ: わこらだ！！！！！！
[93.448] hatom_i1224: わこ！
[93.651] ryutan1352: わこらだお
[93.667] (S)non_0606: radaoWakotu
[93.742] (S)goodfriends02: わこらだ
[93.910] warabi_0917: わこらだ！
[94.535] riru1048576: わこらだ
[94.668] 贄ﾁｬﾝ: マイクラの脆弱性云々大変だったね
[94.737] ssss_ms: わこらだ
[94.743] momonozerii: わこらだ
[94.787] かなるる: わこらだ
[94.811] (S)piroropiro: radaoWakotu
[94.868] inasaku1739: マイク変えた？
[94.947] サンガリア: わこらだ
[95.054] unknown_ra: わこらだ
[95.083] jun89311005: わこらだ
[95.139] momomonga0002: わこらだ
[95.173] (S)y_yoshi_y: 今日ありさんとスマブラ？
[95.235] (S)きなこもち46: radaoWakotu
[95.399] hukutomii45: radaoWakotu
[95.643] (S)akkanvea: radaoNice
[95.670] 角角家: 無限？
[95.695] なるか3: radaoWakotu
[95.885] sizukutya_ra: わらこだ
[95.930] _紅茶: いいぞ
[96.092] aruto_1015: だだだ
[96.209] tyurosudayo: かすらだ
[96.243] ramune_013: わこらだ！
[96.270] (S)yukichan2525: いいよ
[96.302] (S)monsta_niji: わこらだ
[96.341] obakenoqchan: おっつぅ
[96.396] neko123123: らこらだ
[96.412] ぷゆーー: わこらだ
[96.629] riku0572: いいよ
[96.704] 五色椿: いいよ
[96.805] (S)siita0712: わこらだ
[96.818] rararango: わこら
[96.844] mirin_0318: わこらだ
[96.861] navyblue___: radaoWakotu
[96.878] きらり_ら: わこらだ
[97.079] kawaharaya: kawaharaya subscribed at Tier 1. They've subscribed for 26 months! 
[97.667] karinn0323: わこらだ
[97.823] sirokuma___: わこらだ
[97.874] あらんえむかーびぃ: いいよ
[98.044] KAKEO86: わこらだ
[98.064] (S)kom_koma_: 無限だと笑
[98.237] shion2221: わこらだ
[98.312] (S)tanu_1017: わこらだ
[98.379] poni_girazu: 寝てた？
[98.458] pikkorosan1783: スマブラはありますか？
[98.460] suzukadesu2: わこらだ！！
[98.491] ひのした: わこらだ
[98.500] こころ06: わこらだー
[98.540] 一举两得: わこらだ
[98.611] shokuyokukun: おはよー
[98.654] (S)roy_rag: radaoWakotu
[98.819] (S)ker0_pp1: radaoWakotu
[99.052] leo0401_: どゆこと？
[99.054] yuzuno0226: わこらだ！
[99.081] やくとみ: おはよう
[99.187] minibanbi: わこらだ
[99.257] ゎゅ: わこらだん
[99.272] nirakki7577: ええで
[99.295] (S)Pear10257: わこらだ
[99.296] ruupi0312: わこらだ
[99.312] しゃけやろうﾊーﾄ: わこらだ
[99.327] (S)くさったスイカ: radaoWakotu
[99.407] (S)タクトン: radaoWakotu
[99.410] toitoi_526: わこらだー
[99.488] (S)MORIYA_37: radaoWakotu
[99.507] kohana0d06: うん
[99.726] いのりさん: いいよ
[100.009] tunamayo1234: わこらだ
[100.060] ara_poteto: わかる
[100.123] aisu_0213: いいよ
[100.141] (S)fuu_maru: いいよ
[100.199] (S)きるた: radaoWakotu
[100.214] (S)marimoko6231: わこらだー
[100.285] arasin2157: わこらだ
[100.343] yokukieru_keshigomu: わこらだ！
[100.375] (S)しろいろいろ: shir0_lro subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! わこらだ！
[100.507] syugar1111: わこらだ
[100.513] oikaki: わこらだー
[100.736] uchichan_p: わこらだ
[100.884] sasami_0814: radaoWakotu
[101.154] (S)toumyou_2525: 今日スマブラ？
[101.170] そー司郎: わこらだ
[101.367] terabyte__o0: radaoWakotu
[101.412] カナバ: 1日無駄にした？
[101.453] rincho22: いよ
[101.618] なるか3: いいよ
[101.626] yutalu3773: Be
[101.686] neko_trz: ちょうどバイトおわったよーん♡
[101.819] なんじょー: なんじょー subscribed at Tier 1. They've subscribed for 14 months! 
[101.841] ra_cotton: わこらだ
[101.843] ra_930: わこらだ
[101.857] kuuuuuuuuchan: わこらだ
[101.866] AJCryukun: いいよ
[102.068] bunchaan: はやいね
[102.087] (S)tomotomi_: radaoWakotu
[102.317] (S)ももなっとう: radaoWakotu
[102.353] atama333: わこらだ
[102.392] (S)natune_0: わこらだ
[102.438] (S)ここねり: いいよ
[102.482] まこくん: わこらだ
[102.568] (S)ポテチの子: わこらだ
[102.584] yuimo_1823: わこらだ
[102.618] はちみつ666: はちみつ666 subscribed with Prime. They've subscribed for 24 months, currently on a 3 month streak! わこらだ
[102.783] (S)family857: 配信前にやれよ
[103.090] maruteaa: radaoWakotu
[103.093] (S)なつおよ: いいよ
[103.116] 惰性さん: いいぞ
[103.172] suibotu_: 時の流れ早いよね
[103.235] (S)kro_cat: radaoWakotu
[103.293] neke0514: わこらだ
[103.295] yurika412: radaoWakotu
[103.405] (S)そらじろろろろろ: radaoWakotu
[103.452] shouhei_25252: わこらだ
[103.614] k_ito38: わこらだ
[103.765] 椋榎: ぁぉはる subscribed at Tier 1. They've subscribed for 16 months, currently on a 14 month streak! わこらだ radaoWakotu
[103.789] mikan_san: おk
[103.793] (S)くろごま_: radaoWakotu
[103.844] haui192: おはよ
[103.847] 0秒: なえなえらだお
[104.305] わっふるるる: わこらだぁぁぁぁぁああああ
[104.437] cloverya: わこらだ
[104.530] (S)urunc96s: radaoWakotu
[104.532] マチュ: わこらだ
[104.550] ugei0013: わこらだ
[104.567] obakenoqchan: わここ
[104.581] 村長の孫の嫁: わこらだ
[104.675] KEI2019: わこらだ
[104.728] wasabi1125: わこらだ
[104.746] (S)hanahout: うぇい
[104.755] (S)ナラ抹茶: いいぞ
[104.805] hotaru3301: わこらだ
[104.826] (S)Yukimaru__31: radaoWakotu
[104.914] 五色椿: やりな
[105.481] ゆんちゃん〇: radaoWakotu
[105.590] (S)怪盗キッド三世: わこらだ
[105.594] koukoukoy: わこらだ
[105.672] りっとるくん: わらこだ
[105.725] (S)15milk_4517: わこらだ
[105.783] ぜつ_03: わこらだ
[105.828] (S)if0990: ニート生活満喫してんねぇ
[105.877] aren1109: わこらだ
[105.916] mope716: わこらだ
[106.367] ちくわぶ22: いいよ
