[29.608] kurayanmx5: ちす
[1433.301] (S)高宮ゆの: UKさんがプレイしてるゲームのディスコマッチとかしてトップの人がUKさんと一緒にできるとかだったら死ぬ気でヴァロ練習します
[1440.385] (S)ryosang: 後は、貴方のファンが沢山入るので貴方の好きな物を共有してくれると私たちは喜びます
[1473.707] (S)nyanrz: ご無沙汰してててててます！！！！
[1480.303] (S)nyanrz: !rank
[1491.765] queeenez: おはよう
[1508.713] (S)nyanrz: ukさん今日もイケメンです！
[1523.526] こったんだお: わっさー
[1551.459] (S)nyanrz: サンセットの攻め、未だに難しいし、わけわからんです。
[1594.273] (S)nyanrz: 味方外人ですか？
[1606.885] (S)taru_0706: こんばんは！3日目初めて彼女できました！！
[1621.616] (S)taru_0706: 3日前の間違えです笑
[1670.488] えっっっくす: こんばんは！久ヴぁ！
[1708.617] __ひびき: めでたい🌸
[1733.413] えっっっくす: フルパ後、1-2週間でゴル2まですっと上がりました！武者修行のお陰です！！
[1817.444] (S)高宮ゆの: ファイファイじゃないｗｗｗ
[1934.714] えっっっくす: ｗｗｗｗ
[1991.249] (S)ryosang: Not manner
[2008.427] (S)uta_0929_: 今のは嬉しいね！
[2027.323] (S)高宮ゆの: うまぁ
[2033.251] えっっっくす: ないすリコイル！
[2061.167] unk0123456789: うま
[2109.373] (S)高宮ゆの: UKさんキーボード何使ってますか？
[2132.682] (S)ryosang: 貴方の感度はいくつですか?
[2144.943] (S)高宮ゆの: うーてぃん買うか・・・！
[2426.152] (S)高宮ゆの: 野良は沼ｗｗ
[2477.933] えっっっくす: ｗｗｗｗｗ
[2481.586] satolucky777: wwww
[2502.319] (S)uta_0929_: 優しさが出てしまうUK
[2630.147] satolucky777: ボトムレイナに武器乞食されても絶対にわたさん
[2661.398] yasudatada: UKはワンマン以外はライブで喋らないの？
[2729.129] (S)高宮ゆの: 見えなかったなあ
[2790.497] yasudatada: SUPER BEAVERとやった時ワンマン以外で初めて口を開いた！って記事になってた
[2834.694] (S)uta_0929_: 喋ってた！
[2906.372] kai_yukihiko: なんか以前、鎮座DOPENESSさんとの対バンでも機材トラブルの合間にトークしてましたね
[2958.424] nuo_love: ライブのチケット取れない……夜に路上ライブしてるのを立ちんぼで見てみたい。tomorrowのMVみたいに
[2971.715] (S)taru_0706: クール
[3007.737] yasudatada: 集中しないと弾けないよね
[3057.482] (S)taru_0706: ライブ行きたい〜、
[3097.173] (S)高宮ゆの: gg
[3098.127] えっっっくす: ｇｇｇ
[3113.441] __ひびき: gg
[3128.647] satolucky777: ｇｇ
[3144.694] kai_yukihiko: 2連勝でプラ3いくくらいか
[3157.403] (S)ryosang: ncgame
[3160.168] (S)zDahlia: ukさんも普通のサーバーでrustやってほしいー
[3163.744] __ひびき: ゆず
[3164.512] satolucky777: あいみょんとか
[3169.930] (S)uta_0929_: コブクロ？
[3171.460] えっっっくす: ゆずYUI？
[3171.895] nuo_love: コブクロとか
[3210.858] (S)uta_0929_: 中学生の頃Leadの路上ライブは見に言ってた
[3240.896] (S)zDahlia: リスナーの原人がいっぱいいるよ
[3249.077] __ひびき: 編成イマイチなときは流そ
[3259.357] (S)ryosang: ぜひ機会があればまたカスタムをして遊びましょう
[3269.302] kai_yukihiko: 流しすぎるとどんなペナあるの？
[3321.025] __ひびき: iPhoneのロック番号間違えたときみたいな
[3323.364] kai_yukihiko: 賢者タイムか
[3381.562] (S)でぃーとえんじょい: salad bowlのメロディよすぎる
[3385.262] えっっっくす: ナイトマーケットやっぱり５３でしたか？
[3414.830] (S)Lxharl: それすき
[3418.153] (S)でぃーとえんじょい: ナイトマーケットみせて
[3431.928] nuo_love: DTMに触れることありますか？ぼくは一周して結局生音のアコギとクラリネットに行き着いた
[3451.852] satolucky777: これやりすぎると懲罰マッチくらうから、俺トロールってさけんでほかのひとに流してもらってる。
[3452.338] (S)zDahlia: 自分のギターテク自慢するときどの曲弾く？
[3471.250] tnaka007: ネプチューンショーティー音好き
[3484.426] えっっっくす: 買わないです...
[3493.280] コンソメあいく: 💩スキン
[3553.426] __ひびき: アイボだ
[3616.288] fukatanii: こんばんはー マウス、SL2調子どうですか？アプデあったみたいですけど
[3623.774] (S)uta_0929_: LIVEの日のギター動画嬉しい
[3655.415] kai_yukihiko: 珍しくアイボ流れなかった
[3669.766] (S)bluesky_86: レアなスキンって当時人気ないってことだよね
[3677.183] (S)zDahlia: やばそうなやつおったな
[3729.427] (S)zDahlia: うっま
[3734.450] えっっっくす: えぐフリック
[3762.517] fukatanii: 裏ケアって言った瞬間３人ぐらい行っちゃいましたねｗ
[3899.127] yaseig777: こんばんわ〜！腰は良くなりましたか？
[3924.581] nuo_love: アニメやら映画やら見ますか？
[3953.706] nuo_love: そいえば、明日2回目のWILL見に行きます
[3973.552] fukatanii: 報告いいね
[4001.810] fukatanii: つよ
[4006.768] yaseig777: 最強！
[4138.790] yaseig777: おっし〜
[4147.731] fukatanii: ナイストライ・・・？
[4156.991] fukatanii: あっ時間か
[4368.008] (S)高宮ゆの: ゲッコー選んだときの「わーっちょりうぇーい」ってなんて言ってるんですかね
[4380.290] yaseig777: 勝てる試合な気はするw
[4386.564] (S)Lxharl: わっちゃりうぇい
[4475.200] yaseig777: ハチャメチャだw
[4483.942] fukatanii: まじか
[4484.212] nuo_love: しつもーん。チケット取れない代わりに一旦投げ銭するなら、twitch or Youtube どっちがよいですか？
[4531.640] (S)高宮ゆの: 5キル取って勝つことしか知らない説
[4664.872] えっっっくす: @高宮ゆの スペイン語のメキシコ方言で、wathc out dude(気をつけろよ)みたいなこと言ってるらしいです
[4685.060] fukatanii: ソーヴァさんの動きがよくなった
[4699.633] (S)高宮ゆの: @えっっっくす うおーなるほど！ありがとうございます
[4762.647] えっっっくす: nt 
[4816.293] (S)uta_0929_: 1回ミュートで奇声発してストレス発散しとく？
[4835.615] kai_yukihiko: なんか勝てそうなんだけどね
[4918.381] yaseig777: 普通にフィジカルは勝ってる感じするんだがなw
[4937.977] (S)bucca_boo: こんばんは
[4950.026] fukatanii: なんかファントム使用率高いな
[5001.542] (S)uta_0929_: 格好よすぎ！
[5007.528] fukatanii: 十分すぎるぐらい仕事した
[5044.713] えっっっくす: うぃなぼー！
[5050.651] fukatanii: 強気でいこ！
[5316.612] yaseig777: 勝てる勝てる
[5384.282] yaseig777: ｷﾝﾓｰですこれ
[5404.335] (S)uta_0929_: 流石にVALOでは「あぶねぇい」出ないね
[5439.700] えっっっくす: あぶぬぇい出たときにはもう…笑
[5457.284] (S)uta_0929_: ↑↑↑ 確かに(笑)
[5498.065] yaseig777: 捲くったりましょう
[5531.675] fukatanii: ｗｗｗ
[5538.140] yaseig777: わからせたぁ！
[5570.894] (S)uta_0929_: 相手マッチポイントからのUKのキル気持ち良すぎ
[5571.227] yaseig777: 最強！
[5573.836] Ryer4V: wow
[5578.563] えっっっくす: くあどらああああああ
[5607.873] (S)めめもも: こんばんは
[5621.694] えっっっくす: Ryerくんの観戦パワー説 最強づお
[5625.432] yaseig777: 味方助けて！
[5678.419] (S)めめもも: gg
[5685.449] yaseig777: 最初のタイムオーバー勿体なかったねぇ…gg
[5688.900] えっっっくす: ggwp
[5692.771] fukatanii: 最近スト６やってますか？
[5696.775] (S)めめもも: つよ21キル
[5717.770] yaseig777: やっぱプラチナマッチではなかったかw
[5738.157] yaseig777: そういや、OW新シーズンきたけど触りました？
[5752.685] kai_yukihiko: カレーと予想
[5766.219] (S)uta_0929_: ブリーズ好きねぇ
[5771.146] (S)めめもも: 松屋ないからいいな
[5830.739] えっっっくす: えっっっくす gifted a Tier 1 sub to yaseig777! They have given 67 Gift Subs in the channel! 
[5846.480] (S)yaseig777: えっっっくすさんあざます
[5851.990] えっっっくす: fmlchRoll
[5893.305] (S)yaseig777: ！？！？
[5907.264] (S)高宮ゆの: LINEかかってきて草
[5956.896] kai_yukihiko: 誰か読唇術できない？
[6003.838] えっっっくす: 新作のホール買いませんか？っていう裏ルートの営業電話
[6014.384] (S)yaseig777: 深刻そうな電話じゃなくて安心したw
[6042.673] kai_yukihiko: @x_100348にしては長ぇな
[6059.947] えっっっくす: なんかカスタマイズ出来るらしい
[6121.981] __ひびき: 自分も明日朝の新幹線で広島です
[6152.627] (S)uta_0929_: 出先からの配信？！
[6158.169] (S)めめもも: ライブですか？
[6160.604] yasudatada: もう大体日本全国回った？
[6167.077] えっっっくす: おーアセント！
[6177.923] kai_yukihiko: またプラモ期待してる
[6181.754] (S)めめもも: 頑張ってください！
[6200.897] (S)めめもも: ライブにはいけないけど応援してます📣
[6213.631] (S)yaseig777: 松山いいっすねぇ〜、温泉ありますよ
[6242.797] (S)めめもも: 休みとライブが合えば行きたいですね
[6293.609] (S)yaseig777: それはすげぇ
[6296.211] yasudatada: ライブ続くと痩せちゃうんじゃない？
[6313.259] kai_yukihiko: 島根鳥取は？
[6325.128] (S)yaseig777: 岐阜 ;  ;(地元)
[6392.474] (S)yaseig777: 岐阜は行けそうで行きにくいのはそれはそうw
[6450.941] えっっっくす: fmlchShake
[6457.456] (S)yaseig777: これはいい試合になりそうな予感
[6459.334] (S)めめもも: ライブ行けるってなったら人生初ライブはモロハさんになりますね
[6464.637] (S)めめもも: fmlchShake
[6490.309] kai_yukihiko: UKさんの初ライブは？
[6496.157] (S)めめもも: ライブ行ったことないんです
[6540.041] fukatanii: ライヴめちゃ暑いんで薄着必須
[6551.991] えっっっくす: フォーセイクンのクロスヘアってYouTubeとかで紹介されてます
[6564.911] えっっっくす: いつ使ってたのか知らないけど…
[6567.391] kai_yukihiko: 渋い！
[6579.753] fukatanii: 今の若い子なごり雪知ってるかな
[6611.341] kai_yukihiko: 今音楽の教科書になごり雪ないのかな？
[6613.722] (S)yaseig777: なごり雪ってイルカさんのやつか、作曲してる感じ？
[6666.159] (S)yaseig777: なるなる、後で聴いてみます！
[6715.712] fukatanii: うま
[6765.930] (S)めめもも: ないす
[6781.283] kai_yukihiko: アリス九號って戦国無双のパチンコとタイアップしてたな
[6786.273] yasudatada: ライブハウスでBRAHMAN行った時怖かった
[6878.227] (S)yaseig777: いやぁおしぃ〜
[6904.728] えっっっくす: エコだったからかな
[6999.714] (S)めめもも: キツイね
[7023.080] (S)めめもも: つよそば
[7038.779] (S)めめもも: 彼を止めなくては
[7084.041] えっっっくす: えっっっくす gifted a Tier 1 sub to Ryer4V! They have given 68 Gift Subs in the channel! 
[7136.557] Ryer4V: fmlchKaitenn
[7168.104] えっっっくす: fmlchKaitenn
[7176.164] (S)yaseig777: ジェットもうめぇ〜
[7186.134] えっっっくす: トレードマーク、メタルプッシュ怖いな
[7199.281] (S)yaseig777: ピネガキなっつ
[7205.256] (S)高宮ゆの: UKさんからピネガキ語録出るとは思ってなかった
[7214.122] kai_yukihiko: ディックチーズっすね
[7229.154] (S)めめもも: 攻めキツイか
[7233.534] (S)高宮ゆの: またピネだ！！！！
[7279.878] (S)でぃーとえんじょい: なにこのガン置きの王
[7310.040] (S)yaseig777: 気持ちよくなってますこれ
[7369.141] (S)めめもも: ブリーズチェンバーまじでキツイと思ってる
[7374.595] fukatanii: かめｒ
[7380.059] fukatanii: あったかな
[7522.389] fukatanii: いいぞぉ
[7524.891] (S)めめもも: あぶね
[7534.432] (S)高宮ゆの: 勝つと反射的にncってコメントしそうになる
[7540.124] (S)めめもも: ちんばーくんこわい
[7555.618] (S)yaseig777: これ勝ったらあちぃ
[7567.651] (S)めめもも: つよおおお
[7581.622] (S)高宮ゆの: nv
[7583.205] (S)高宮ゆの: nc
[7587.554] (S)yaseig777: 流れきてますこれ！
[7599.571] (S)めめもも: 守りで逆転できるよ
[7601.660] (S)uta_0929_: わからせていこう
[7699.767] (S)高宮ゆの: nt
[7708.578] えっっっくす: nt
[7797.163] fukatanii: うま
[7806.629] fukatanii: うますぎ
[7807.296] (S)高宮ゆの: nc
[7813.114] (S)yaseig777: ありがとおおおお
[7817.431] (S)めめもも: ナイス！！
[7894.147] (S)高宮ゆの: nc
[7898.594] (S)めめもも: 死角
[7902.333] (S)yaseig777: nc!
[7968.832] (S)yaseig777: そこいるのは偉いなぁ
[7983.773] (S)yaseig777: nt
[8047.515] (S)高宮ゆの: nc
[8094.395] えっっっくす: CTからBメインへのモク定点だけど、ジャンプ投げミスるとあそこに乗って回収不能になっちゃいます笑
[8192.597] えっっっくす: そうです笑
[8309.161] (S)高宮ゆの: nt
[8315.965] (S)yaseig777: nt
[8379.092] (S)yaseig777: ナイスゥ！
[8383.315] (S)高宮ゆの: nc
[8410.975] (S)yaseig777: ノリノリUK
[8539.315] (S)高宮ゆの: nc
[8540.594] (S)yaseig777: あぶぬぇい！
[8653.666] (S)高宮ゆの: nc!
[8664.404] (S)yaseig777: 見応えあるぅ〜！
[8669.504] えっっっくす: ないっすーーー！
[8761.944] (S)高宮ゆの: nt
[8780.695] (S)uta_0929_: さぁ行こう！！
[8862.109] (S)yaseig777: いやぁgg
[8862.385] (S)高宮ゆの: gg nt!
[8871.336] (S)高宮ゆの: おしかった！！！
[8883.945] (S)yaseig777: いい試合やったねぇ
[8914.107] えっっっくす: Uber忘れてたwww
[8934.112] __ひびき: ウーバー頼んでたねそういえばw
[8971.972] __ひびき: 今日は麺類じゃない？大丈夫？
[9028.647] (S)uta_0929_: この前置き配頼んでインターホン鳴ってしばらくしてから取りに行ったら玄関の前に配達員いて床に置いた商品指さしながら「置き配しました！」って元気よく言われた、置き配とは…
[9035.773] (S)高宮ゆの: ケミカル丼に聞こえて笑った
[9065.734] (S)yaseig777: ケミカル丼、忍殺みを感じるw
[9071.962] (S)高宮ゆの: 合ってたのか・・・
[9072.785] (S)uta_0929_: いや、彼は10分は玄関前で待っていた
[9097.468] __ひびき: ヒマかよ…待ってんなよ怖いから…
[9145.993] __ひびき: 強そうな名前にするといいって聞いた
[9158.138] (S)yaseig777: 森剛www
[9165.957] えっっっくす: UKさんが配達員だったら最中何日間まで張り込めますか？
[9174.016] (S)uta_0929_: Uberの名前ツトムとかに変えるかぁ
[9204.488] えっっっくす: 普通に出会うwwww
[9206.555] fukatanii: そういやuberの配達員さん同じ人来たことない
[9208.086] (S)yaseig777: これからは本田豪三郎でいきます
[9234.276] kai_yukihiko: 知り合いに鬼澤って人いて名前だけで恐れられてた
[9261.649] (S)yaseig777: 鬼熊www
[9265.261] kai_yukihiko: つええ
[9266.960] fukatanii: マタギ？
[9270.399] (S)高宮ゆの: エニグマみたい
[9272.057] __ひびき: 強そうw
[9273.399] えっっっくす: 俺の街ってカッコいいな
[9287.398] (S)yaseig777: 先祖がバケモンなんだろうなw
[9291.230] kai_yukihiko: 鬼のバフ強えよな
[9334.738] (S)yaseig777: それか自分で鬼熊名乗ったかw、どちらにせよ強者w
[9338.309] fukatanii: 鬼灯とか？
[9339.907] __ひびき: 北海道はわりと熊谷さん多い
[9374.015] (S)高宮ゆの: 鬼頭 意味でggったら◯ン◯の先端って出てきて画面殴りそうになった
[9375.899] xxqq: 後ろのダイバージェンスメーター風の時計はどこで買ったんですか？
[9397.739] fukatanii: サムライの武者？
[9417.710] __ひびき: 苗字が武者なのかっこよすぎる
[9431.454] __ひびき: 画面は悪くないやろwww
[9434.582] (S)高宮ゆの: 角生えてそう
[9450.000] (S)yaseig777: 鬼熊さん、調べたら全国に90人しかいないらしくて笑った
[9478.677] fukatanii: へえ～おもろ
[9479.119] (S)高宮ゆの: 武捨かっけええ
[9487.116] __ひびき: かっこよ
[9525.268] fukatanii: ギターうまそう
[9563.445] kai_yukihiko: 武捨は350人
[9591.920] (S)yaseig777: 六文銭にも縁があるんやなぁ
[9603.575] (S)uta_0929_: ユキムラになってたらUMだったのかな
[9616.628] fukatanii: 姓じゃなくて名がユキムラは見たことない
[9631.020] (S)高宮ゆの: 親に今の名前のもう一つの案が「たけこれ」だったって言われてビビった
[9637.256] __ひびき: 幸村でもギリUKいけるか
[9658.292] kai_yukihiko: 上田市に180人
[9667.316] momonoki1: 前の職場のスキンヘッドでコワモテの上司が武者さんだった笑
[9682.664] (S)yaseig777: たけのこコレクションしか思い浮かばない
[9739.423] (S)uta_0929_: 親が離婚する前の苗字が全国で400人で一族以外の同じ苗字の人出逢った事無い
[9742.701] (S)yaseig777: 一本槍かっけぇ
[9744.993] __ひびき: 槍強かったんだろな
[9761.252] kai_yukihiko: 一本槍さんが器用だと複雑な気持ちになるな
[9762.135] (S)soralira: 超絶ありふれた苗字だから変わった苗字憧れちゃう
[9787.497] (S)yaseig777: 一本槍さん、全国10人だからホントにその一族だけなんだろうな
[9810.360] fukatanii: うちは百姓で米俵で名前売ってもらったって聞いた もとの名前は別だなぁ
[9815.142] (S)uta_0929_: 絶滅危惧種だ
[9815.615] (S)高宮ゆの: 名字と名前のバランス崩れてると生きるのだるいからそこも大事
[9826.257] kai_yukihiko: 名字由来netってサイトでおよそ10人って名字見つけるとあがる
[9877.001] (S)yaseig777: 確かになぁ、その辺はありそう
[9908.355] __ひびき: 結婚して苗字かえるの続けたら最後は佐藤さんだけになるとかなんとか
[9914.091] momonoki1: 一本槍さんレベルだったら苗字変えてって言われなくても自ら奥さんの苗字になりたくなっちゃいそう
[9934.637] fukatanii: 外国人増えるだろうしもっと苗字増えそうね
[9942.425] (S)yaseig777: でも女の子生まれたら自由に生きてほしいって自分が親なら思っちゃうかもw
[10001.756] (S)yaseig777: wwww
[10036.583] (S)yaseig777: フェンシングはUKさんの中で槍扱いなのかw
[10047.645] kai_yukihiko: 自分の父方も長野の武士出身らしいが、親戚ダメ人間多いから滅びていいと思ってる
[10079.145] (S)yaseig777: wwww
[10086.629] (S)yaseig777: それは真理です
[10144.526] (S)yaseig777: うちの檀家の坊さんが浮気して一悶着あったときマジで下らねぇなっておもいましたw
[10254.255] (S)uta_0929_: 雪の降る地域はそこが大変よね
[10262.914] (S)yaseig777: ありますねぇ
[10273.865] (S)高宮ゆの: それで万が一があったらどこが責任取るねんって感じですよね
[10308.516] fukatanii: 囚人のジレンマｗ
[10340.270] (S)yaseig777: その辺は徐々に公務で担えるようになるのが理想ですねぇ
[10392.144] (S)uta_0929_: おばあちゃんとこの町内会の祭りの当番で焼きそばの屋台する為に関西から関東まで行った😑
[10404.932] (S)yaseig777: 田舎は死んでも田舎、至言
[10487.061] (S)yaseig777: コビー助けて！
[10495.148] kai_yukihiko: 俺も今住んでるとこが地主が幅きかせてるとこだから、町内会やめたいけど子供が小さいうちは抜けづらいよねー
[10515.348] (S)高宮ゆの: この話聞くとなんか上京タワーの歌詞がより現実味を帯びてくる
[10542.970] (S)yaseig777: 田舎3大組織、町内会、消防団、寺の檀家群
[10554.644] (S)高宮ゆの: よろしくおねがいしまああああす
[10564.916] fukatanii: 押井守
[10571.816] (S)高宮ゆの: 細田守
[10578.077] __ひびき: 細田守
[10586.162] fukatanii: あっごめん 攻殻機動隊か
[10589.669] (S)yaseig777: 押井守はパプリカとかの人やなw
[10614.417] __ひびき: パプリカは今敏やね
[10660.593] (S)yaseig777: 今敏そうやん！ごっちゃになるなw
[10693.603] (S)yaseig777: はえ〜
[10713.489] にゃこまう: こんばんは🌙
[10736.973] fukatanii: 俺の地元も細田監督に舞台にされたなぁ
[10792.718] fukatanii: サマーウォーズの雰囲気好き
[10830.891] (S)yaseig777: wwww
[10837.269] kai_yukihiko: 不思議なのは、田舎の閉鎖的なのを嫌ってた若者が年取ると同じようなこと言い出すのよね
[10851.604] (S)高宮ゆの: 夏休みに一瞬だけ行ってみたい
[10887.858] (S)yaseig777: そのうち田舎は人が消えて別荘地とかになるんすかねぇ
[10927.557] fukatanii: うわ今年タラの芽食ってねえ
[10968.509] kai_yukihiko: けど東出くんのYouTubeみると田舎の年寄りともうまくやっててスゲーと思う
[11099.805] (S)yaseig777: それはむじぃ〜
[11144.446] __ひびき: 普段都会に住んでて親の実家が田舎ってのが一番いいと思う
[11165.092] fukatanii: 地方都市いいですよ
[11185.371] (S)yaseig777: 生活環境はメンタリティにめっちゃ影響しますからねぇ
[11267.373] fukatanii: 老後は田舎きついんじゃないかなぁ 買い物とかできないし
[11269.007] (S)yaseig777: 複雑ぅ〜
[11331.604] (S)yaseig777: マジでそこは取捨選択だよなぁ
[11331.715] kai_yukihiko: 武道館の電話聞いて雅子って話し方上品だなって思った
[11383.116] fukatanii: うちは不動産屋が管理してくれてます
[11395.288] __ひびき: UKさんもそういうことで悩むんだなぁ
[11455.107] (S)yaseig777: wwww
[11485.415] (S)yaseig777: 上品さと無骨さを併せ持つ男UK
[11651.356] (S)yaseig777: 試しに旅行とかで都会に数週間お誘いしてみてもよいかもねw
[11661.121] fukatanii: 人間って適応力高いのに変化嫌うとこあるよねぇ
[11709.097] (S)yaseig777: 公文なっつ
[11724.254] (S)yucukkk: UKが長野で一緒に住む説？w
[11731.048] kai_yukihiko: 孫と離れるのは寂しいでしょ
[11735.227] __ひびき: お孫さんの近くにいたいのかもしれんし
[11780.468] (S)uta_0929_: 土地に対する愛着よりきっと一緒に過ごした時間がつまってて離れ難いのもあるかもね
[11784.764] __ひびき: 旦那さんと一緒に住んでた家を離れがたいのもちょっとわかるよ
[11790.354] (S)yaseig777: wwww
[11800.017] kai_yukihiko: あと、朝方まで配信してる家が果たして住みやすいかどうかだな
[11829.425] (S)yucukkk: 祖父母が責任ないから孫ぐらいがいいと言ってたよwww
[11874.134] kai_yukihiko: 隣の家から夜な夜なタイミングぅとか聞こえてくる
[11881.521] (S)yaseig777: 朝型まで配信してる、息子のディルドの型があるお家…アリ、か
[11886.639] (S)uta_0929_: 息子が隣の部屋でワイワイオナホの話してるのは確かに聞きたくないだろなぁ、
[11932.920] __ひびき: wwwww
[11936.128] (S)yucukkk: オープンwww
[11945.291] (S)soralira: 自分の型があるんですか！？！？！？？？！
[11961.259] (S)yaseig777: 流石UK
[11993.590] (S)yucukkk: むしろ配信聞けるしねwww
[12010.237] (S)yaseig777: まさこおおおお、ありがとおおおお
[12021.568] えっっっくす: もうそんな時間か
[12026.193] fukatanii: コンペいくど！
[12036.515] kai_yukihiko: あとお母さんってなんで部屋の掃除した時のエロ本を見て見ぬふりしてくんないのかね
[12051.851] __ひびき: 雅子さんいつも息子さんに大変お世話になってます
[12065.232] (S)yaseig777: 明日何時起き？w
[12077.060] (S)高宮ゆの: 明日休みだからとことんまでUKさんの配信見ることにした
[12079.210] (S)yaseig777: ！？！？
[12097.398] fukatanii: discoつながないんすか？
[12242.639] (S)高宮ゆの: ｗｗｗｗｗｗ
[12245.085] (S)yaseig777: fight〜！
[12247.749] __ひびき: www
[12248.500] (S)yaseig777: wwww
[12327.771] fukatanii: ないすぅ
[12331.494] (S)高宮ゆの: nc
[12512.734] (S)高宮ゆの: nc!
[12534.754] (S)uta_0929_: 片目でも勝てます
[12552.848] (S)高宮ゆの: コンタクトガンク
[12662.028] (S)高宮ゆの: nt
[12746.244] (S)高宮ゆの: nt
[12815.822] (S)こよ111: やあ
[12833.657] (S)高宮ゆの: nt
[12834.018] (S)yaseig777: おしぃ〜
[12853.474] kai_yukihiko: 今日ダイヤ耐久？もしそうなら俺も寝ない体制ととのえる
[12868.445] (S)yaseig777: 明日広島でダイヤ耐久！？
[12935.604] あかいとんぼ: こんばんは
[12939.575] (S)高宮ゆの: nt
[13077.937] (S)高宮ゆの: nc
[13185.532] あかいとんぼ: なんだこの知性を全く感じられない空気笑
[13224.757] (S)yaseig777: www
[13246.149] (S)高宮ゆの: ないすとらい
[13365.574] (S)高宮ゆの: ぶっすぎって聞こえましたね
[13423.273] (S)yaseig777: うま！
[13488.167] (S)高宮ゆの: nc
[13549.471] (S)高宮ゆの: うまあああ
[13552.876] fukatanii: 今のレイナのヘッドなんだ
[13702.430] (S)高宮ゆの: nt
[13837.368] (S)ygarshy: こんばんは！ヴァロ、久しぶりですね！
[13891.785] (S)yaseig777: 終わったw
[13900.087] えっっっくす: 終わったww
[14094.848] (S)高宮ゆの: nt
[14106.984] (S)yaseig777: www
[14122.695] iosefka411: valo長時間やれるのすごい
[14221.413] (S)高宮ゆの: nc
[14250.316] (S)yaseig777: 勝って気持ちよく広島行くぺこよ〜
[14299.331] (S)yaseig777: www
[14323.242] (S)yaseig777: あぶぬぇい！
[14423.384] えっっっくす: fmlchGG
[14491.788] (S)yaseig777: chill chillだから落ち着けってことやなw
[14544.967] (S)yaseig777: www
[14594.815] (S)yaseig777: 最強！
[14705.708] えっっっくす: fmlchGG
[14788.279] (S)yaseig777: ﾁﾙﾁﾙﾁﾙ!
[14793.704] (S)高宮ゆの: めっちゃチル推奨で草
[14816.107] えっっっくす: ジェットさんあんまりWキー押し続けないでほしい
[14839.229] (S)yaseig777: 海外ペクスかってくらいﾁﾙって単語連呼してるの笑う
[14859.011] えっっっくす: あかん、このオペ、Wゲーミングだ笑
[14938.462] (S)yaseig777: 絶対は信じるなwwww
[15061.318] (S)yaseig777: 最強！
[15079.060] えっっっくす: 最強！
[15097.423] はるるちゃん: こんばんは～～
[15097.578] (S)yaseig777: www
