[30.205] okaka_iq200: おいす
[607.804] (S)hikarubundoki: スト6の豪鬼、今までの豪鬼の中でも特に楽しそうですね…！難しそうですが…
[625.132] koga_rashi: 瞬獄タイム
[626.381] あぱれる君: 瞬獄チャンス
[635.747] falcanon: 相手きんちょーるさんか
[642.820] niemalsaufgeben: 硬派な
[655.886] yut7xot8: うめちゃんがんばれ〜
[675.318] kawasak1n: 王、大会がんばってね 
[760.955] pakorepukins: 出発まだなんだね
[779.346] takikomi_kopan: 1試合目からまだSA使うとこ見てないのはそういう縛りでの練習かな？
[815.012] naginagi99: ラッシュ中段・・・
[816.653] tabibitox: 中段みづらい
[819.486] (S)guriko_ww: guriko_ww subscribed with Prime. 
[831.479] 戦う山田: おじハンター
[832.775] あぱれる君: べてぃちゃん
[835.803] tabibitox: おじハントされちまう
[840.353] (S)kakutora_no_o: おじハンターきたこれ
[846.585] あぱれる君: ；；
[847.215] kaguratinzuri: リュウはいつ見れるの
[849.228] (S)kakutora_no_o: www
[851.066] naginagi99: まじハンターの人だ
[851.801] ka_z_ha: ｗｗｗ
[852.129] illDamage: TriHard
[852.959] wz_ryan: www
[869.305] rdstus: ウメちゃんハントされないで
[871.165] niemalsaufgeben: おじハント
[875.966] 軽く捻るか: おじハントされちゃう！
[888.823] (S)kakutora_no_o: これは狩人
[891.008] あぱれる君: こぼしたか
[891.137] ゴン攻め: ウメちゃん頭すごいことに
[891.691] hukohuko: これならプロハンターになれるよ
[892.958] ryuhe1: おじハント完了
[893.017] ka_z_ha: おじ狩りされてら
[895.092] mart_00_: 狩られた
[898.174] pakorepukins: 狩られる！
[901.961] artri4: おぢ狩り
[906.702] fourper212: 全然仕上がってないのに行っても意味あるの
[920.753] sei_6: おじハントされちまう
[921.488] potocki1810: ご配信ありがたやーうれしー 
[927.344] gabe00093: おじハント番外戦マジ？
[931.471] 衛絵須士: うおお
[941.032] niemalsaufgeben: 石井、KSK、折笠は狩られた
[949.734] スタガフェイド: おじハントのラスボスだろこれ
[953.777] pakorepukins: 眠たそうな顔すぎる
[971.321] nekota_the_ichiaki: (꜆꜄꜆˙꒳˙)꜆꜄꜆ ｵﾂｵﾂｵﾂｵﾂ
[981.507] (S)kakutora_no_o: 弾がつーよい
[991.901] (S)noi2102: ここがホームだと思うなよ
[1015.325] pakorepukins: 豪鬼のパリィ回し受けで好き
[1029.863] (S)AnarchyPhD: AnarchyPhD subscribed with Prime. 
[1036.354] bushman0913: 朝飯前とはこのことか。
[1084.248] 軽く捻るか: 大会ってPS5環境なのかなあ
[1094.895] moscat0c7: Ｄリバしないか
[1108.468] (S)kakutora_no_o: 大足なーがい
[1115.438] shinryu8_: nuckleduHI
[1122.951] niemalsaufgeben: 一年で伸びたな
[1127.421] koga_rashi: ウメ豪鬼完成まで過程を観れると考えたらありがたい配信よ
[1129.516] rdstus: あ
[1131.208] 軽く捻るか: あらー
[1132.062] ゴン攻め: 狩られたー
[1132.534] kawasak1n: くー
[1132.854] オワオワタ: ウメちゃんもおじリーガーの仲間入りか
[1133.088] kumoso52: ハントされた
[1133.511] kaban1192: おじがあああああ
[1138.755] Sonic73131: どうして…
[1141.378] tabibitox: 中段全部当たるｗ
[1142.403] rdstus: おじ・・
[1145.952] DancingSheep1119: ええ....
[1147.620] nekota_the_ichiaki: ☆安定準最大コンボ☆大金剛(パニカン)〜屈大P〜OD金剛〜引き大K〜OD灼熱〜生ラッシュ屈大P〜中竜巻〜弱昇竜〜CA  ダメ6900
[1147.863] takeda_miki: っぱ中段よ
[1150.232] paperXone: Dale Daigo, animo, eres mi padre
[1150.604] naginagi99: おじ、中段、、、
[1153.164] torochansan: おじハントかぁ
[1153.653] (S)kakutora_no_o: 狩猟民族べてぃちゃん
[1162.090] nekota_the_ichiaki: 既出ならすんません
[1163.933] yut7xot8: おじハント企画終了のお知らせ
[1169.569] burisuke: 中段全然立てない
[1176.971] hukohuko: 次はライセンス持ちを狩る企画にしよう
[1181.205] myodent21: 今日は一際髪型が凝ってるね
[1182.013] ChurroEmiliano: Umehara 
[1184.992] (S)ponponguripon: ☆☆☆
[1189.621] son_gokutsubushi: え〜おじプロハント
[1190.505] ChurroEmiliano: messatsu 
[1197.186] ababanobaba: 中段で倒してるからよりおじハント感出てる
[1204.202] shinryu8_: stahp 
[1215.335] (S)kakutora_no_o: すげぇなんか意味ありそうな名前してる
[1215.646] (S)AnarchyPhD: umeBoom
[1215.799] _素朴: ウメハラさんレベルになると1戦1戦というかは何千何万のレベルの大局観で勝負考えるんだろうな
[1227.568] super_fluo: ガイルテーマきた
[1237.648] オワオワタ: ウメハラのテーマといってもいい
[1239.241] 戦う山田: 読めないけどなんとなく意味がわかる名前
[1240.794] Youhei6251: 王の配信始まってた〜
[1248.254] naginagi99: 端はいいんだよね。やはり中央か
[1261.384] ゴン攻め: 裏目ったー
[1270.792] kawasak1n: わーお
[1271.132] (S)メロンパンを極めし者: こんにちわー 配信始まってたうれしい！
[1271.487] 軽く捻るか: おお
[1271.672] b4d4ss1337: このゲームは鉄拳 8 に比べて見るのがとても退屈です 😂
[1278.832] niemalsaufgeben: よくでた
[1279.652] 衛絵須士: おお…こういう使い方
[1282.812] artwex: WutFace
[1302.006] CybranDemon: Daigo the beast
[1302.225] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1307.122] potocki1810: コンボ成功したーｗ
[1315.382] avareinu: こんばんはー！
[1328.983] pepepe393: ゴミコンボじゃなくなってきてる
[1337.647] ゴン攻め: いってぇ
[1346.181] (S)メロンパンを極めし者: うおおおお
[1348.089] pakorepukins: うおー
[1351.510] kawasak1n: おっけい
[1357.112] d_1098: あぶ
[1365.565] (S)lsrock674: lsrock674 subscribed at Tier 1. 
[1370.070] pakorepukins: オサレBGM
[1376.916] niemalsaufgeben: この組み合わせスリリング
[1387.054] b4d4ss1337: Akuma にはさらに大きなムーブリストが必要です
[1388.642] Youhei6251: DJのテーマとは思えない落ち着きよう、それがいい
[1391.970] 総フロ: 体力ない分ぐいぐい押されるとやはりきつい
[1406.855] jjwick7: f?
[1410.806] (S)メロンパンを極めし者: 11000VS9000
[1414.610] 衛絵須士: 真豪鬼はやはりネタだね実戦じゃおにぎり食う時間ないよな
[1422.616] une3333: こんばんは、頭がモッサモサになってるw
[1424.498] pepepe393: マリーザは10500じゃないっけ
[1426.032] yut7xot8: 髪型まで豪鬼によせてきたか
[1427.391] オワオワタ: マリーザって1万じゃないのか はじめて知った
[1429.169] blackcoffee0821: 音数少ないのもなんかいい
[1429.448] 蝉時雨: ピヨらせてもおにぎり食えないっしょ？
[1436.316] ゴン攻め: わお
[1441.323] shinryu8_: amazing how the pros convert counterhit light attacks
[1443.187] (S)メロンパンを極めし者: まちがえました：：
[1446.732] (S)kakutora_no_o: 1800Fぐらいかかるからねおにぎり
[1453.779] naginagi99: ネタになるようにちゃんと時間かかるようにしてる
[1455.326] niemalsaufgeben: ピヨっても間に合わない
[1457.656] (S)lsrock674: 1800笑笑
[1462.545] sanada7140: そんな分かりきった事を今さら
[1462.619] 蝉時雨: 1800フレはおもろお
[1471.138] shinryu8_: into big damage
[1476.767] れの__: 30秒やぞw
[1478.048] naginagi99: てかリュウもネタで殺意あったらいいのにｗ
[1479.146] totoro2680: 豪鬼は現状下がった方が強いでしょうか？
[1481.554] kawasak1n: あいーーー
[1481.892] inev1table__: anybody know what buttons diago use??
[1494.053] 戦う山田: 1800Fあったらウメちゃんカップ麺食える
[1496.581] Youhei6251: 実戦でダブル斬空使えたら流石にたわけっす
[1496.931] (S)yamagotham: yamagotham subscribed at Tier 1. 
[1504.041] TeamWorkTom: @inev1table__ probably whatever the new hitbox buttons are since he sponsored
[1520.223] nanakusan793: ウメちゃんの髪も豪鬼化してる
[1527.297] (S)nyctomek: No he has custom buttons
[1536.600] CybranDemon: his hitbox is customied, not sure how much customized.
[1539.854] Sonic73131: 火力差でマリーザきつい説ありそう
[1546.220] 蝉時雨: 豪鬼対ウメハラ、おにぎりとカップラーメンの異種早食い対決
[1555.001] (S)nyctomek: Last I heard they were gravity buttons but could be wrong or changed
[1555.060] pakorepukins: 儚い…
[1557.692] inev1table__: yea I think he got custom just wanna find out what he use lol
[1557.856] n4n4si: みんな見てるとマリーザには苦戦してる
[1558.288] pepepe393: それきちー
[1559.823] Sonic73131: 体力低いからマリーザのワンタッチがなぁ…
[1562.589] ｾｲ: 一瞬で４ぬな
[1565.666] lucky7404: マリーザきつい説はマジである
[1567.324] 戦う山田: 殺意は克服したから電刃がどうたら
[1576.900] naginagi99: マリちゃんでかいの２回通せばいいからな
[1597.156] 蝉時雨: 克服したくせにわざわざ集中しないといけないの悲しくなるよな
[1599.143] (S)lsrock674: 1ダウンで50%の確率で終わるはさすがに、、
[1604.856] kaban1192: 消し飛んだ
[1614.539] inev1table__: @nyctomek I think they might be
[1619.118] totoro2680: 豪鬼は現状下がった方が強いですか？
[1620.934] 蝉時雨: 克服で手に入れたのは風の力だから関係ないんだっけ？
[1624.365] 吉田じんぎ: 豪鬼楽しいけど疲れる
[1624.871] sanada7140: 牽制の長さ的に波動撃ちたそうな組み合わせだけどマリーザが波動に強いんよな
[1626.489] にゃんだろーりんぐ: こんにちは〜
[1631.407] n4n4si: ﾜﾝﾁｬﾝｱﾚﾊﾞｶﾃﾙｰ
[1635.258] s1mple3639: 竜爪使わせて
[1638.993] Youhei6251: ウメちゃん、PRしてた枕買おうか迷ってるよ
[1644.418] niemalsaufgeben: 外国の言語の人は遠慮なく何でもやってくるの面白い
[1645.682] fourper212: 入れ替えないから下がるときつそうだけど
[1662.355] kurobedam: アメリカはケンで行くの？
[1668.443] muck_339: 豪鬼割と息苦しそう
[1682.994] tabibitox: 今バージョンのケンは触ってない、それが答え
[1691.950] Youhei6251: コンボゴミおじさんじゃなくなってる？！
[1700.165] (S)kakutora_no_o: 現状は弾と斬空と速い歩きでジリジリ押して端で倒すキャラっぽい
[1703.847] guilegairu: 豪鬼強いかもだけどなんか疲れない？
[1722.533] akichi018: AKIが強そうで、弾がAKIに効かなそうな名
[1733.440] 吉田じんぎ: 結局通常技がなー
[1741.070] reyamadadotcom: あ
[1764.270] 蝉時雨: 斬空に大足ってなんか懐かしさを感じる
[1765.736] 吉田じんぎ: 大足じゃなくても中足なら中金剛とかいけるよ
[1780.901] tabibitox: 斬空弱い
[1787.387] 吉田じんぎ: いや大金剛でいけたか
[1804.208] Youhei6251: ジュリのテーマ、ロックマン感あるんよなぁ
[1805.127] れの__: 使うと弱く感じる技あるよね
[1821.342] (S)nobunobu493: 端金剛のあと追撃入らなかったっけ？
[1832.884] shoooookgo: 大会は豪鬼ででるのかな？
[1865.730] shinryu8_: alright king, alright chat, have a good one, abayo 
[1874.054] LylahX: Judo
[1874.585] (S)kakutora_no_o: 波動は強いけど飛び噛み合ったら半死という疲れる性能してる
[1886.021] akichi018: 豪鬼が多すぎて不利キャラとの対戦があまり出来てないのが怖め
[1891.521] 蝉時雨: もうキスの距離やん
[1894.126] (S)えむたんぁ: えむたんぁ subscribed with Prime. 
[1899.879] naginagi99: まあスト６の9000が思ってた以上に紙ってのはあるかもｗ
[1907.446] Sumouchan: 豪鬼みたいな髪型してますね
[1920.347] ゴン攻め: ほんとだ
[1921.935] potocki1810: ｗ
[1933.995] ましゅダヨ: うめちゃんおはよぉー
[1937.496] lobelia_c: こうやって俺も近くで戦いたいけど被弾を押されて意味のない強波動うっちゃう
[1980.826] 吉田じんぎ: 飛ばれる度にグラップ後に2度と波動は撃たないと心に誓うよな
[1985.625] (S)nobunobu493: 今日もこんにちはぁ。
[1992.608] (S)メロンパンを極めし者: 朧拒否
[1997.491] 6らま3: すげえ攻防
[1998.101] ましゅダヨ: 髪型も豪鬼になってきたねって打とうと思ったら他の人も言ってたやw
[2001.031] potocki1810: ｗｗｗｗｗ
[2003.160] hiaaru: 草
[2004.887] ミジンコ隊長: はじめてみた
[2005.198] オワオワタ: そんな技あるのか
[2008.404] Youhei6251: 学び
[2015.392] muck_339: 生でも減るなぁ
[2018.633] 蝉時雨: それ連ガならまぁまぁ嫌やww
[2029.413] (S)kakutora_no_o: ひゃあーー
[2030.408] potocki1810: ｗｗｗｗ
[2030.623] 吉田じんぎ: ぴゃー
[2030.968] ミジンコ隊長: umeYay
[2031.592] delinger723: ｽｲｰ
[2033.162] underground0714: あっ
[2033.332] 軽く捻るか: ぴゃー
[2034.035] あぱれる君: ；；
[2034.049] ただのぶいすぽ好き: www
[2034.392] kaban1192: ｗ
[2035.391] kawasak1n: umeYay
[2037.698] 総フロ: ピーー
[2040.730] ましゅダヨ: ひゃぁーーーー
[2041.481] Dainase: さすがに
[2044.178] ｾｲ: 無念
[2045.044] muck_339: 見てから飛ばれるの悲しい
[2050.906] (S)メロンパンを極めし者: 今日のチャレンジ
[2052.319] kento_15467: レジェンドの人たちがあまりOD斬空を使わないのは何故なんでしょうか？垂直から出せて重宝しているのですが……
[2054.943] (S)nobunobu493: コパラッシュ瞬獄殺？
[2056.802] 吉田じんぎ: 3ゲージ自殺
[2061.183] イエール: ウメちゃんこんちゃよーー
[2061.302] fractal_s: 6中Kはあまり使わないんですね
[2062.814] meganesandesuyo: 結構あたらんすね瞬獄
[2066.264] s1mple3639: 百鬼弱い？
[2077.197] (S)9z_Ryu: ウメちゃんこんにちはー
[2077.726] kawasak1n: お相撲さん
[2085.510] イエール: 頭が羊みたいになっとる🐏
[2089.578] n4n4si: バカンス力士
[2099.747] 吉田じんぎ: 次はどう飛ばれたら死ぬ
[2102.042] (S)メロンパンを極めし者: どぉーすこぉい
[2102.140] kaban1192: かっこいい
[2104.717] pakorepukins: ほんとにド密着じゃないと確定しないねえ瞬獄
[2110.283] akichi018: ぱっと見AKIの弱蛇軽功で待たれたらなんにも出来なそうに見えるけど、どうするんだろ
[2116.772] イエール: 本田キツい節
[2119.097] tabibitox: しぬんかー
[2120.569] kaban1192: 本田有利なのか
[2131.557] 吉田じんぎ: さっきのはキャンセルで出しちゃったから100ぱー当たんないやつだよ
[2132.638] daylami1994: パーマかかってるね
[2137.680] ましゅダヨ: ねむそ…
[2167.208] pakorepukins: あ
[2170.562] (S)marvolo6: 相手を画面端にもっていきたいけど、豪鬼だとなかなか難しいっていう
[2176.903] kaban1192: えげつねぇ
[2178.485] ましゅダヨ: ホンダオラオラばっかやなw
[2181.367] muck_339: ちゃんこ減るぅ
[2182.160] gondawaragon: くわんかーい！
[2183.219] (S)ZettonMS: この「まじか」は気持ちが分かるｗ
[2186.628] (S)ponponguripon: ちゃんこねじ込まれた
[2188.504] 戦う山田: あれフレーム消費なのかw
[2192.243] taiga424: インチキ過ぎるw
[2198.247] イエール: クリーン力士
[2199.847] pakorepukins: 本田強くなった
[2204.537] sphere0315: どういう寝癖w
[2207.932] (S)メロンパンを極めし者: DinoDance
[2211.862] ただのぶいすぽ好き: 本田は強くなったから
[2213.417] (S)kakutora_no_o: 足長いw
[2214.892] kaban1192: 間違いなく光の戦士
[2215.630] 戦う山田: 本田のローキックすご
[2218.318] (S)ZettonMS: パリィ弱体化で相対的に強化された力士
[2219.107] ｾｲ: つええな足ｗ
[2221.691] fractal_s: いい本田だ
[2227.908] tanaka_cyclone: 本田がちゃんとしたキャラに見える
[2227.980] Dainase: 執拗に脛を狙う力士の鏡
[2228.164] kench__345: ジュリくらい長いんじゃないか
[2229.964] ましゅダヨ: なんだこいつ(本田)wwwww
[2230.516] monpaka: カーフキック
[2231.211] daylami1994: 中パンも長いっす
[2240.423] (S)atalumier: BGMたかし
[2250.879] kiton_taichi: 百鬼も使わずに凄いわ
[2254.632] (S)nobunobu493: 硬派なキャラ本田
[2261.815] (S)ZettonMS: 垂直を大Ｐで落とす職人技
[2263.999] muck_339: ワンコンとちゃんこが痛くてコワイ本田
[2271.871] ましゅダヨ: ひきつけた？
[2294.705] ましゅダヨ: けりけり
[2300.642] bushman0913: もうケンはせんのか？
[2303.650] korosukenari01: うめちゃん寝起き？
[2311.865] kaban1192: これがSUMOU
[2318.813] イエール: ケンのトレモは流石にめっちゃやってそう
[2322.679] sphere0315: ゴウキヘア
[2322.872] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[2331.466] おどる: つよ
[2335.571] 蝉時雨: 最近みんな段々と豪鬼マジックが解けてきてるイメージあるけど、どうなるんやろうか
[2338.565] 吉田じんぎ: 本田のコパンガチで強い
[2378.649] kiton_taichi: ストーム久保さんは動きのパターンが少ない豪鬼には本田イケるとツイートしてたね
[2379.606] syamunuko: 豪鬼側もまだ散らせて無いから言うてじゃないかな
[2381.012] wednes12: ワイも戦ってて本田マジで強くなってると思う
[2385.156] fujimike: レジェンドから落ちてるのか
[2414.853] muck_339: 弾無敵じゃなかった
[2422.282] (S)メロンパンを極めし者: ぺちぺち
[2423.494] 戦う山田: 強化点・・・
[2425.669] ponokakillme: 顔ペチ
[2426.407] blueplanet96: 寝起き？
[2435.461] イカティィ: 最近パニカンSA1を狙うDJ多い気がするんだけどなんか凄いコンボあるん？
[2435.860] (S)ZettonMS: 美容に気遣ってる女子の動き
[2436.006] 蝉時雨: 実際リーグ豪鬼で行く人少ないんじゃないかと見てる
[2458.222] fourper212: ウメちゃん気合入れてくれ
[2464.618] kotyan107: あらレジェンドから落ちてる…
[2474.111] muck_339: 強いけどミスった時が豪鬼はきつそうで
[2478.035] fujimike: ときどはケン豪鬼のニキャラあるか？
[2483.405] keikohiro: ときどもケンで出るんかな
[2483.703] d_1098: ディージェイそんなに弱体くらったん？
[2485.353] takuboll: なんか今日髪の毛ふわっとしてますね
[2499.723] bobykins3: Has Daigo tried the Tanaka setup?
[2510.377] オワオワタ: ときどが判断基準になりそうやね
[2521.024] 蝉時雨: JPとDJが頭抜けて弱くなってるはず
[2528.710] akichi018: リーグはひかるAKIがかなり強そう
[2529.461] kawasak1n: umeYay
[2539.376] (S)ZettonMS: 資生堂のＣＭ狙ってるのかな
[2545.816] chicken_dumpling: @bobykins3 that was Kage
[2551.385] (M)gameinntwitch: 始まってた。問題無しかな
[2553.711] d_1098: 中K対空、、
[2554.983] (S)nyctomek: He is saving the Tanaka setup for dreamhack dallas
[2557.896] イエール: メンおじおつおつ
[2565.585] 軽く捻るか: メンおじさま、問題ないですよ！
[2575.711] kiton_taichi: シュートさんも1800台まで落ちてるし、豪鬼安定するの難しそう
[2577.547] kawasak1n: めんおじさま、問題なしです！
[2580.728] イエール: もんだなし。寝癖すげぇくらいかな？w
[2583.040] bobykins3: LUL
[2584.107] fourper212: SA1でいいような
[2584.669] (S)ZettonMS: 距離なのかしら
[2601.480] 蝉時雨: シュートそんな落ちてるの！？かなりタフやな
[2601.724] tsubame5204: umeSalute
[2602.030] hal0087: っぱ朧よ
[2611.883] (S)atalumier: メシ食べながら音だけ聴いてたけど、BGMのせいでステージの光景が浮かんでしまう
[2615.880] (S)ZettonMS: 阿修羅投げ決まった時のゲージの回収エグ
[2622.716] fujimike: やっぱ9000が相当効いてる
[2623.610] (S)メロンパンを極めし者: 本田にポイントを吸われている？
[2624.713] hal0087: さすがにｗ
[2629.231] unheil619: ぬーん
[2637.767] perfecttakahashi: このブランカBGMなんか好き
[2638.617] イエール: 言うてシュートくんもめっちゃ色んなこと試してそうだからまだよく分からない雰囲気ある
[2639.700] kannonsama: ｸﾞﾝﾅｲ
[2646.928] delinger723: ウメちゃん疲れてそう
[2647.246] イカティィ: レジェ2位から1800？まじ？
[2668.463] i_am_spartan300: みんな豪鬼に慣れてきたのかな
[2673.713] (S)drunkar621: drunkar621 subscribed at Tier 1. 
[2690.019] kiton_taichi: 確かにシュートさんも色々試してたってのもありそう
[2694.491] 墾田永年私財砲: 勝利ポーズの波動スラッシュかっこいいよね
[2698.139] tairahayashi: 無理せず頑張って欲しいです
[2701.470] perfecttakahashi: また何か試してるんじゃない？ ランクで一喜一憂する必要ないよ
[2702.771] kotyan107: この戦い方ってリュウじゃダメなの？
[2703.273] sanyokk784: ウメちゃんはなおーん式知ってます？
[2709.152] 吉田じんぎ: 豪鬼弾うぜーけど一回飛んだらもう勝ちじゃんみたいなとこ感じる
[2714.861] fourper212: こうなったら相当きつい
[2729.037] (S)ZettonMS: さすがのＤＪvs豪鬼の高速バトルｗ
[2732.763] une3333: へーる
[2744.841] 蝉時雨: −300って普通に驚いちゃうわ、絵面的な話で
[2767.427] s1mple3639: 朧使うと練習にならんか
[2773.867] (S)drunkar621: 差し合いの怖さがないよね 割と技おいてインパクトで勝てるときある
[2774.941] freehawk1: Is this really how japanese Dee Jay sounds like? Jesus christ
[2775.418] ouufaw: MR盛ることが目的じゃないからねプロは
[2798.046] kawasak1n: きたーーーー
[2798.960] muck_339: おー
[2799.356] (S)ZettonMS: 弾避けの残空は2年後の豪鬼の動き
[2802.574] merkava_mk2: 端はガチ
[2803.831] kiton_taichi: かっけぇ
[2808.352] 吉田じんぎ: OD金剛から端がちょい遠い時は前大p２段大昇竜あるよ
[2808.739] (S)メロンパンを極めし者: コンボが高い！
[2809.144] 蝉時雨: コンボやるおじきたーー
[2811.096] ｾｲ: いいコンボ
[2813.404] necomuraneco: リーサルナイスぅ
[2822.171] bobykins3: Japanese Dee Jay throw is the best: HHHHEY
[2843.404] freehawk1: "Gouki" then Dee Jays voice... the english version is superior
[2846.985] 蝉時雨: さとる！？
[2862.137] fujimike: エドってどういう位置に落ち着くんだ
[2867.268] 軽く捻るか: EDもやっているんだ
[2868.829] harusame1155: さとるくんエドやってんだ
[2873.687] kiton_taichi: ラシードのさとるさん？
[2879.825] tabibitox: ラシード辞めたとは思えんし、豪鬼大杉だからサブやってるとかかね
[2888.864] 蝉時雨: ジュリとかと同じ位置やと思ってる
[2918.822] (S)ZettonMS: 今はランクマに豪鬼が多いから、逆に豪鬼対策もできるってもんよ（適当
[2939.879] (S)atalumier: スト5の時みたいにカスタムに移行するのはまだ早いという判断？
[2955.526] muck_339: エドのSA2つよいわぁ……
[2969.960] フﾄ: ランクマが5より機能してるのも大きいと思う
[2970.179] 吉田じんぎ: 豪鬼はやっぱ暴れは膝がいいんかなー？
[2983.206] mimiprettybot: 瞬獄に機械割持ってかれてるのでは、、、
[2990.356] corydoras35p: 詐欺ってジャスパしても打撃で返せないんですかい？
[3014.070] keikohiro: そんなフリーズ待ちの鉄拳デビルみたいな、、
[3040.262] 吉田じんぎ: 5f詐欺をジャスパしたらプラス3にしかならないので確定はないよ
[3040.941] gondawaragon: 詐欺だろう？
[3040.983] (S)ZettonMS: 詐欺跳びへのジャスパからは確定ないね
[3052.102] kiton_taichi: へっる
[3060.682] battyo76: エドには裏回る百鬼がおすすめ、昇竜の高度より高いから空対空以外に負けない
[3073.033] corydoras35p: なるほど＞詐欺
[3073.628] bobykins3: That Ed outfit is ugly af
[3097.593] geriyaro: 阿修羅って無敵ないんだっけ？
