[13.129] 騙すカス鋼: にょっす
[412.795] ミジンコ隊長: ｗｗｗｗｗｗｗｗｗｗ
[413.780] 憂う者の弟子: たるんどる！！！
[420.084] (S)yukikaze083: メンおじ様ありがと～
[420.386] だいこん_: カメラすご！
[421.911] v_harumi_v: 自動追尾！ほんとだ。すごい
[422.938] ましゅダヨ: みんなで沈もうね〜
[424.015] goozy009: パスポートとは
[432.661] 5don: どんな技術！？
[433.599] ましゅダヨ: サッサっ
[435.212] ミジンコ隊長: ｗｗｗｗｗｗｗｗｗｗｗｗ
[437.468] sn0wf0x3: www
[437.560] 軽く捻るか: ｗｗｗｗ
[437.989] okiyoo000: ｗｗｗｗｗ
[438.572] firefly860130: www
[438.589] prosciu: wwwww
[438.693] v_harumi_v: もちろん、メンおじさまの力
[438.747] 箸くれ: きもちわるいｗｗｗ
[439.485] (S)noriyuki3: ウメザイル
[439.656] 皇帝ルル: ｗｗｗｗｗ
[440.324] tabibitox: 自分で設定できるわけあらず
[440.456] 5don: メンおじさんが手動で追いかけてる？？？
[441.057] hairi0610: チューチュートレイン
[441.559] 憂う者の弟子: はいてくだ
[443.498] ましゅダヨ: チューチュートレイン
[445.741] uridon123: めんおじありがとー
[446.685] higan1983: すげー
[448.577] meganesandesuyo: そんな設定できるわけあらず
[452.736] v_harumi_v: 多分ってｗｗｗｗ
[453.180] 箸くれ: こんなウメちゃん見たくなかったよ
[453.302] 5don: 遠隔操作ｗｗｗ
[456.054] (M)gameinntwitch: 元な画角が広すぎだから修正がてらね
[456.538] 千葉県おっさん: 多分ｗｗｗ
[461.603] sn0wf0x3: 多分ww
[461.917] goozy009: 最強の子ガメ
[464.851] ミジンコ隊長: めんおじありがとー
[479.276] ましゅダヨ: メンおじありがとー
[482.211] kyabetu_tarou4: こくって闇話題参加しないのかなー
[490.974] みっちゃん24: たけし配信してる？
[491.337] goozy009: 闇鍋
[491.908] ミジンコ隊長: ｗｗｗ
[492.292] TUBE_MAN: おじ雑でもいいよ
[501.045] tabibitox: 食う専
[501.361] sussy_int: なんとかなれの精神
[502.595] ませい: ウメちゃんダラスにいた筈なのに…
[504.916] (S)noriyuki3: 草
[505.860] sharks_up: 食材持ってきたフリ
[512.250] ましゅダヨ: 雑談でも闇に行きそうなおじ達
[521.294] derwace_lifolve: そこらで飛んでる昆虫を捕まえて鍋しようとしてる
[523.402] ましゅダヨ: フワッと始まる
[551.508] domontyan: うたにいいるやったああ
[553.500] v_harumi_v: どうしてｗ
[554.237] ミジンコ隊長: ｗｗｗｗｗｗｗｗｗ
[556.357] ましゅダヨ: ミートさんありがとー
[556.386] ddb365: ハンサムだらけ
[558.119] sn0wf0x3: www
[558.854] もきち555: ルーレットスタート！
[558.862] 皇帝ルル: ハンサムｗ
[572.384] higan1983: daugo
[572.460] v_harumi_v: 早速ｗ
[572.637] 千葉県おっさん: あ
[572.982] tabibitox: あ
[573.490] だいこん_: いきなりｗ
[574.245] 5don: 王！
[574.261] Nemu1010: 開幕
[574.506] neojapan01010: おお
[576.162] sn0wf0x3: あ
[577.739] ミジンコ隊長: いきなりかよぉ
[579.276] (S)feel2525: 話題がねえ！
[580.220] erisuk: ファーストキング
[584.835] もきち555: さてさて
[586.357] 5don: 最近なにかありましたか
[596.501] v_harumi_v: ふわふわ？
[632.498] (S)chiichan2222: すごい好奇心
[633.598] 勤務中: RPG的発想ではある
[634.695] 皇帝ルル: ふむふむ
[635.235] もきち555: パブリックビューイングもいってみた
[636.866] olka_kakuge: すごいわかる
[639.619] brunoman1: わかる
[641.152] maya_g01: おー
[641.245] hairi0610: わかるわー
[647.328] (S)noriyuki3: 子供の頃は思ってたな
[658.086] domontyan: ちょっとわかる
[660.408] sugi_tree3: 何か分かる
[665.370] monpiipop: へー…意外だな
[674.854] v_harumi_v: ｗ
[675.580] ミジンコ隊長: ｗｗｗｗｗｗｗｗ
[677.631] (S)feel2525: ｗｗｗ
[678.586] olka_kakuge: え
[679.305] tabibitox: 恐ろしい
[680.272] 皇帝ルル: ｗｗｗｗｗ
[680.556] v_harumi_v: さみしいなの
[680.665] maya_g01: ｗｗ
[682.247] だいこん_: あとは任せた
[682.789] sn0wf0x3: wwwwwwww
[685.788] ミジンコ隊長: さぁ膨らませて！
[688.160] sharks_up: いや広がるね
[690.528] jackeryna: どっか行こうじゃないのか
[692.793] (S)feel2525: 他力本願
[693.735] (S)potesaraudon: 散歩で制覇か
[705.942] erisuk: 海外の方が行ってる
[707.701] tabibitox: 47言えないので・・・
[729.434] ミジンコ隊長: あ
[731.291] 皇帝ルル: あ・・・
[733.176] maddy2623: 変な意味だろ！
[734.316] neojapan01010: まあねｗ
[735.270] (S)noriyuki3: 変な意味やろww
[735.627] erisuk: 弱いやつらのやること
[738.537] taroumaruh: （つえーやつは行かねえんだ）
[741.020] (S)feel2525: くんだり
[742.410] 箸くれ: くんだり
[742.539] hairi0610: くんだり言うなｗ
[742.575] ミジンコ隊長: くんだり？
[744.936] 勤務中: くんだりはだめだろｗ
[748.052] x_abu_xx: 沖縄代表(東京住み)
[755.901] yuhi_N: yuhi_N subscribed with Prime. They've subscribed for 35 months, currently on a 10 month streak! 
[759.176] こたろついっち: 「俺は」ね
[770.960] derwace_lifolve: 闘劇予選とかの侵略者の部類のあれか
[772.799] sn0wf0x3: wwww
[774.951] nepentes417: ちょうどいい
[794.110] (S)potesaraudon: なんで下の方
[806.197] ミジンコ隊長: きたぁ！
[810.122] ddb365: おお
[810.849] 箸くれ: 言ってたねｗ
[813.206] iwaisi: おー
[816.976] もきち555: Dがしゃべった
[821.671] hairi0610: 今日のDなんかダンディ
[821.815] slade_hauser: Dいたんか
[823.425] ミジンコ隊長: ｗｗｗ
[823.632] ましゅダヨ: wwwwww
[827.397] ミジンコ隊長: いっぱいいたあ！
[827.878] sn0wf0x3: wwww
[828.281] (S)noriyuki3: www
[828.771] ドリアンくん: 全国ツアー？
[830.462] iwaisi: ｗｗ
[831.611] balthazar000: 多くね？ｗ
[833.840] 霧月むげつ: ミュージシャンはね
[834.750] (S)potesaraudon: 透かし投げ
[835.388] mart_00_: www
[836.216] ましゅダヨ: 全くよぉー
[836.880] neojapan01010: 実はすごい人たくさんいたｗ
[837.126] tabibitox: そらツアーあるしな
[844.876] domontyan: すげえ
[846.163] ミジンコ隊長: すんごい
[849.777] (S)potesaraudon: すげ
[849.960] sn0wf0x3: すご
[850.937] 軽く捻るか: すごｗ
[851.953] toshio0224: すげえバイタリティだｗ
[852.295] もきち555: すーごい
[852.475] ましゅダヨ: ツアーだもんね
[854.653] iwaisi: まじかｗ
[857.853] Sunsun_the_Sunfish: 二人スルーでキラーパス通していくｗ
[859.944] erisuk: めっちゃ大変やん
[860.170] ましゅダヨ: 来てくれてありがとう…
[863.841] ましゅダヨ: あ
[864.206] ミジンコ隊長: ｗｗｗｗ
[866.486] sn0wf0x3: あ
[867.153] ましゅダヨ: どうして
[870.788] TUBE_MAN: 来てくれたのにｗ
[870.939] ミジンコ隊長: この船沈みそう
[878.446] ませい: ベース担いで全国まわるかー
[897.316] ましゅダヨ: それはわかるなあ
[902.890] olka_kakuge: みんなの初恋でも聞く？
[922.559] もきち555: 可愛いと思った子に声掛けないと
[927.428] ドリアンくん: あのウメちゃんが
[929.949] 箸くれ: 二度と人見知り名乗るんじゃねえぞ！
[944.802] ミジンコ隊長: あっ・・・
[945.271] (S)chiichan2222: ｗｗ
[945.959] tabibitox: 天気カード
[947.946] (S)potesaraudon: ww
[948.409] シミズム: あぁ…
[949.096] erisuk: 話損
[949.458] yoyo_443: ｗｗｗｗ
[949.538] ましゅダヨ: あーーーーー
[949.746] naginagi99: 天気の話はｗｗｗｗ
[950.329] sn0wf0x3: 天気デッキ
[952.186] neojapan01010: ｗｗｗ
[952.314] ミジンコ隊長: （なんだこいつ…
[952.378] kyabetu_tarou4: 天気デッキ発動
[955.046] 皇帝ルル: 天気デッキ
[958.218] depu: デッキがねえんだわｗ
[972.189] (S)feel2525: そのデッキ天気カードしかないよ
[972.853] 箸くれ: その日会った人に見せるカードねんだわｗ
[980.843] ミジンコ隊長: いきなり引き出せないｗ
[982.993] ましゅダヨ: 初対面でいきなり話さないしなぁ……
[1000.269] ましゅダヨ: あぁ、わかるw
[1010.403] ましゅダヨ: wwwwwww
[1017.621] v_harumi_v: それはやったことあるかもｗ
[1019.789] ましゅダヨ: 場所によるだろうな
[1019.886] olka_kakuge: ミートさんて街中で話しかけられることあんのかな
[1024.585] charyu10: タクシーの運転手とか高確率でいいストーリーもってる
[1029.035] 箸くれ: うちの地元割とあるそういうのｗ
[1029.281] (S)potesaraudon: 飲み屋ならなんとか
[1043.200] toshio0224: あー
[1046.129] ましゅダヨ: あーーーいるいる！！！
[1050.760] erisuk: バレてるかじゃないのか
[1052.436] v_harumi_v: わかるｗ
[1056.535] ミジンコ隊長: いかなそー
[1056.749] ましゅダヨ: 釣りはいかんww
[1061.354] neojapan01010: つまんないやつほどなー？ｗ
[1061.624] depu: 聞いてるやつもおもろいんじゃねえの感ｗ
[1091.855] シミズム: 地道な努力
[1094.595] ましゅダヨ: あーそうだよなあ……
[1124.375] ミジンコ隊長: ｗｗｗｗｗ
[1124.777] ましゅダヨ: wwwwwww
[1127.259] 赤髪_: ｗｗｗ
[1128.409] olka_kakuge: そらそうよ
[1129.955] 5don: ダフｗ
[1130.322] tabibitox: ダフ屋
[1130.737] kkshkk: 悲しい
[1131.258] (S)potesaraudon: なるほどねw
[1131.564] iwaisi: ｗｗｗｗ
[1131.584] v_harumi_v: ｗｗｗ
[1134.011] だいこん_: BibleThump
[1135.862] ミジンコ隊長: 用意できるよー？
[1135.944] v_harumi_v: 怪しまれたｗ
[1137.214] mart_00_: wwwww
[1139.538] sn0wf0x3: wwww
[1142.350] erisuk: しらねぇデブが話かけてきたらそりゃそうだろ
[1142.570] dasaku_yaniki: あやしいわそれ
[1145.074] ましゅダヨ: つれぇ……
[1147.308] 雑食: アメリカとかではありそうな話だけども
[1150.488] ミジンコ隊長: マスターありがとー
[1151.043] もきち555: 詐欺師ｗ
[1151.580] v_harumi_v: マスター優しい
[1152.420] ましゅダヨ: これはいかん！
[1160.648] depu: 裏がありそうｗ
[1166.771] neojapan01010: Ｄがなんで47都道府県制覇してるのかが気になる
[1170.492] agouwha: 人相悪いからなｗ
[1175.240] erisuk: そもそも関係者がやんじゃねぇって話
[1177.209] hal0087: ご、んた
[1178.878] ミジンコ隊長: ごんた
[1180.968] シミズム: あるある
[1204.031] 勤務中: そう考えるとゲーセンという空間は特殊だったんだな
[1205.168] ましゅダヨ: びっくりはするわな
[1229.668] 勤務中: 釣りも話しかけやすそう
[1233.605] 雑食: ちょっと怖くなる
[1239.020] (S)potesaraudon: たしかに
[1246.455] ミジンコ隊長: 絶対ある
[1272.457] バーニングチャーハン: ラーメンでスマホぽちぽちが結構幸せだったりする
[1284.395] olka_kakuge: ひっかかった
[1284.933] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1288.194] tabibitox: 間柄のカタチ
[1308.505] kanabuso: 使い勝手いいか？ｗｗｗ
[1331.985] ミジンコ隊長: 結局Ｄ何も言わなかったなｗ
[1345.130] kaban1192: ？
[1349.218] ましゅダヨ: 見て欲しいってこと？
[1365.283] (S)moppu_gake: PR？
[1371.145] higan1983: あたし？あたしゃ神だよ
[1416.553] シミズム: わかるわかる！
[1416.888] kaban1192: 日本中
[1420.998] ましゅダヨ: ナンデデスカー
[1422.249] hal0087: ロードトリップ！？
[1427.660] erisuk: 理由なしで割り込んできたか？
[1431.795] ミジンコ隊長: ｗ
[1447.103] ましゅダヨ: あーそれはわかるかも
[1450.651] (S)noriyuki3: そりゃなぁ
[1456.541] lobelia_c: ワンフォーオールオールフォーワンの精神
[1467.192] TUBE_MAN: 住んでる土地だって行ったことない所はあるしねぇ
[1472.619] SoV_ZS: Marhapa taiko hapipi
[1481.350] ましゅダヨ: 急に？
[1482.169] erisuk: 地元ですら回りきれてない
[1485.207] kaban1192: おじ散歩こい
[1486.094] hal0087: じじいの会話ｗ
[1497.605] v_harumi_v: ｗｗｗ
[1498.612] ミジンコ隊長: ｗｗｗｗｗ
[1499.580] taroumaruh: ｗ
[1501.385] ましゅダヨ: あーなるほどね！？そゆことか
[1502.699] 箸くれ: そんなばかなｗｗｗ
[1507.333] だいこん_: さすがに？ｗ
[1509.106] v_harumi_v: 銭湯って煙突とかないの？
[1511.642] sarah_0519: wwww
[1536.311] ミジンコ隊長: ｗ
[1557.392] ましゅダヨ: バズったりは必ずしもいい物でもないもんなあ
[1560.565] v_harumi_v: 調べたりしないかも
[1560.613] kaban1192: 調べちゃうよね
[1570.970] sharks_up: 結局他人の意見
[1572.374] hal0087: 否定ｗ
[1573.090] もきち555: 調べないかなー
[1575.633] kaban1192: それぞれだろｗ
[1581.673] v_harumi_v: うん
[1586.235] ミジンコ隊長: いーや限界だ調べるね！
[1588.071] ましゅダヨ: いちいち調べないな……
[1592.032] mako_oswald: だから味覚王
[1605.811] 雑食: あんま味がどうこうは見ないかなぁ メニューとかくらい
[1613.123] raurakd: わかる
[1615.930] もきち555: 店は大体うまい
[1617.738] ましゅダヨ: あーでも、人と食べる時は調べちゃうなー
[1623.733] v_harumi_v: 急にｗ
[1624.544] tabibitox: 小生
[1624.754] ましゅダヨ: 小生？
[1625.293] 5don: ！？
[1625.441] ミジンコ隊長: 小生
[1626.831] sarah_0519: 小生
[1629.081] taroumaruh: しょ、小生！？
[1630.170] sn0wf0x3: 小生ww
[1634.167] ippoppo724: 小生に持ってかれてインスト
[1634.981] ましゅダヨ: いるいる
[1637.403] derwace_lifolve: 急な小生
[1649.618] シミズム: 食べログ閉店扱いもいるね
[1662.359] ましゅダヨ: 隠れ家的にしたいとこもあるよね
[1670.624] 千葉県おっさん: 食べログの星はちょっとねぇ
[1677.581] ましゅダヨ: それある
[1686.311] taroumaruh: 食べログは星3ついてりゃ大体うまいしな
[1694.485] tabibitox: 情報食ってる
[1696.397] ミジンコ隊長: 情報を食ってる人
[1699.315] toshio0224: ラーメンハゲ
[1701.526] 勤務中: ラーメンハゲ
[1705.415] 軽く捻るか: www
[1718.685] derwace_lifolve: 味覚王の負債がミートさんに
[1736.245] erisuk: この後メインもない
[1745.849] v_harumi_v: 今日ははやい
[1748.697] v_harumi_v: ｗｗｗ
[1749.581] ましゅダヨ: ？？？
[1750.433] v_harumi_v: 即答ｗ
[1750.595] ミジンコ隊長: ｗｗ
[1751.614] njpw2017: 早めに来たな
[1752.562] だいこん_: umeWhat
[1753.208] taroumaruh: ええてｗ
[1759.156] smile9104: 食い気味にｗ
[1761.511] v_harumi_v: ちょっと赤い感じしますが
[1780.617] sugi_tree3: 揉め？
[1781.154] 雑食: ほう
[1787.127] ミジンコ隊長: なんでもめでとめるｗｗ
[1787.524] meshiuma3150: モメハラ
[1787.942] v_harumi_v: ｗ
[1788.606] (S)moppu_gake: 話させてやれw
[1789.960] toshio0224: ｗｗｗｗｗ
[1790.039] だいこん_: なんでだよｗ
[1794.590] hatomugi101: 入りは良い
[1796.312] udon_0122: 浅そう
[1799.245] w4m1_54: ｗ
[1799.722] toshio0224: 横やりやめて！！
[1801.239] ましゅダヨ: そこから〜？
[1806.486] くえんち: ｗｗｗｗｗ
[1806.594] v_harumi_v: ｗｗｗｗｗ
[1807.070] ましゅダヨ: ばれてるよ！
[1808.046] ミジンコ隊長: ｗｗｗｗｗｗｗｗ
[1808.825] taroumaruh: ｗ
[1809.899] mart_00_: wwwwwwww
[1811.595] maya_g01: ｗｗｗ
[1813.763] ミジンコ隊長: ｗｗｗｗ
[1815.743] kimie_white: ツメハラ
[1816.198] sistersguitarreplica: わろた
[1817.206] ましゅダヨ: wwwwww
[1818.240] v_harumi_v: 足の切ってる
[1820.851] mart_00_: 足ｗｗ
[1821.492] サラバア: ﾊﾟﾁﾝ
[1822.339] 箸くれ: 膝小僧
[1825.402] ミジンコ隊長: 興味ないのばれちゃった
[1842.391] (S)moppu_gake: じょ、びん
[1845.447] ミジンコ隊長: 売れちまった
[1845.596] udon_0122: 休憩じゃねえぞ！笑
[1846.174] yoyo_443: はえー
[1846.672] erisuk: はじまりからつまんねー題材を
[1847.070] TUBE_MAN: へえ
[1847.406] サラバア: たまらずミュート解除w
[1850.710] ましゅダヨ: これくらいの緩さでやりたい王
[1855.864] tabibitox: リュウさわってたぞ
[1862.274] Botamoti1: スト6配信もやってたぞ最近
[1864.692] kimie_white: 格ゲーに捨てられてよかったな
[1866.757] neojapan01010: ジョビンも売れてよかった
[1867.426] udon_0122: スト7まで大会でれないしな
[1875.038] sistersguitarreplica: 大会出れないから仕方ないね
[1892.751] lobelia_c: ｗｗ
[1895.703] (S)moppu_gake: キャットファイトとかも
[1900.714] derwace_lifolve: 例がデカすぎるw
[1906.612] ミジンコ隊長: ｋｓｋこく
[1912.406] sistersguitarreplica: あーたしかに
[1913.805] sharks_up: 変化が見たい
[1919.149] (S)moppu_gake: 面白いw
[1919.625] toshio0224: いい話題だ
[1924.042] kimie_white: 格闘技全般
[1926.988] lobelia_c: 内政？
[1937.422] depu: 内省
[1940.045] どぬどぬ: リアルファイターｗｗｗ
[1943.793] ましゅダヨ: として─────
[1943.934] ウダガール: PopNemo
[1948.183] nenzara: 和解よりも決着の方が見たいかも
[1956.749] shochann: ﾌｧｲ!!
[1970.138] ミジンコ隊長: ｗｗｗ
[1970.261] v_harumi_v: もめるつもりはないのに、もめちゃうってこと？
[1970.713] ましゅダヨ: wwwwwww
[1972.570] どぬどぬ: ききてぇｗｗｗｗｗｗ
[1972.934] matsupez: まずい
[1975.153] (S)moppu_gake: この歳でw
[1975.554] ミジンコ隊長: 言える？？
[1976.343] 箸くれ: 楽しそうｗ
[1979.010] tabibitox: モメ度チェック
[1979.115] prisira: ＫＳＫやん
[1980.705] derwace_lifolve: 良い年した大人がとww
[1981.879] ましゅダヨ: それはききたいかもw
[1983.446] kkshkk: その一言がもめを含んでる
[1983.978] kimie_white: ミートさんは・・・
[1985.323] nodo_amee: 言えねーだろ
[1985.521] サラバア: ミートさんは揉めようと仕掛けてるイメージあるw
[1985.537] sharks_up: ミートさんはいそうｗ
[1986.521] afuring: なるほどな
[1989.256] だいこん_: おもろいやーん
[1989.508] ヨコグシ: www
[1990.255] 5don: うおおお！！！
[1990.332] erisuk: それはあ良い内容かもしれん
[1990.506] lobelia_c: かなりいい。
[1990.553] toshio0224: 本当に
[1992.283] ましゅダヨ: おーーーーー
[1992.416] ミジンコ隊長: 話題◎
[1994.552] taroumaruh: もう酒のむなｗ
[1994.923] kaban1192: やっとわかったか
[1995.902] w4m1_54: 成長ｗ
[1996.051] shochann: 今年1番まである
[1996.140] TUBE_MAN: 非常に興味深い
[1997.402] v_harumi_v: ついに！
[1998.902] (S)chiichan2222: まともだった
[2001.912] toshio0224: なんなら全部の話題含めても相当上位よ
[2002.674] 5don: 最高峰
[2002.992] tabibitox: まだアルコールがまわってない
[2007.188] meganesandesuyo: 酒が問題だったか
[2010.018] keigunnoikkaku: ？が多かったからな
[2010.860] erisuk: 肉はつねにもめてるが他の人あるか？
[2011.657] kimie_white: 識者
[2013.191] どぬどぬ: みんな揉めてそうでｗｗｗ
[2014.257] v_harumi_v: ｗｗｗｗ
[2014.469] (S)feel2525: 温めてきた話題
[2014.661] 千葉県おっさん: おお
[2014.862] だいこん_: ｗｗｗ
[2015.474] lobelia_c: 序盤に振ればよくねーか
[2015.595] ミジンコ隊長: ｗｗｗ
[2016.119] taroumaruh: ｗｗｗｗｗ
[2016.547] (S)moppu_gake: ww
[2016.562] lobelia_c: ｗｗｗ
[2016.662] derwace_lifolve: www
[2017.686] toshio0224: ｗｗｗｗｗｗ
[2018.130] mart_00_: wwwwww
[2018.285] 5don: 知ってる名前だ
[2018.313] udon_0122: 酔っ払ってないし
[2019.519] v_harumi_v: 松浦さん💦
[2019.648] sistersguitarreplica: wwwwww
[2021.348] lobelia_c: ちっかｋっか
[2022.370] udon_0122: wwww
[2027.383] v_harumi_v: 最近だった
[2033.121] ヨコグシ: wwwwww
[2036.017] 雑食: ｗｗｗｗ
[2037.183] taroumaruh: あぶねー
[2038.296] lobelia_c: ガチな感じだ
[2041.890] v_harumi_v: 許可がね・・・
[2054.627] (M)rtmt: 許可はいるよね・・・・
[2055.479] どぬどぬ: ちゃんともめたｗｗｗｗ
[2060.347] kaban1192: え
[2063.541] (S)moppu_gake: 王の耳にもw
[2064.473] v_harumi_v: ご本人がｗ
[2067.639] kimie_white: 男マツウラ
[2081.136] ミジンコ隊長: ｗ
[2089.977] taroumaruh: 成長したねー
[2090.409] lobelia_c: あなたさぁ～
[2100.787] taroumaruh: あー・・・
[2101.370] sistersguitarreplica: あー
[2105.925] sarah_0519: あぁ
[2106.151] 箸くれ: ラインを確認したくなるって言ってたねｗ
[2111.872] lobelia_c: 降りてください
[2112.321] v_harumi_v: ｗｗｗ
[2114.198] ミジンコ隊長: ｗｗｗ
[2114.491] gularain: うわあ
[2115.952] taroumaruh: ダルいやつねぇ
[2115.981] 5don: ｗｗ
[2115.989] (S)feel2525: ねっとり
[2116.194] kimie_white: きっしょｗｗｗ
[2117.480] sistersguitarreplica: うわー
[2117.496] (S)chiichan2222: ｗｗ
[2118.697] erisuk: 一番くそだりぃやつ
[2119.305] ヨコグシ: www
[2119.425] (S)flashbacks18: めんどくせw
[2119.983] sarah_0519: キッツ
[2120.787] mart_00_: めんどくせえｗｗ
[2121.689] kentaro_3912: あー
[2123.373] もきち555: メンヘラｗ
[2145.588] バーニングチャーハン: ビジネス
[2168.995] ミジンコ隊長: あ
[2170.545] tabibitox: あ
[2170.601] gularain: あ
[2171.518] kaban1192: ｗｗｗｗ
[2171.729] toshio0224: ｗｗｗｗｗｗｗｗ
[2172.127] 96san_788: あ
[2172.242] 金ゆで玉太郎: あ
[2172.658] v_harumi_v: ！？
[2172.793] vungo_mr: やめよっか
[2172.904] iwaisi: あ
[2173.442] kimie_white: あ・・・
[2174.540] ykk19: 流した
[2178.146] pakupaku_koz: KSKはまずい
[2179.211] のうみそきんにくん: あ
[2179.685] TUBE_MAN: １００－０だしなぁ
[2180.399] cqc5555: カメラ止めろ！
[2180.562] シャンウー: 大人になってから今でもってことか
[2181.157] sistersguitarreplica: 揉んだ側やな
[2182.281] kaban1192: もめ広場
[2182.347] (S)noriyuki3: いやいや、怒られるぞ
[2182.605] tabibitox: 各所
[2186.212] nenzara: 草
[2187.583] afuring: 揉み散らかしてるだろ
[2190.425] 96san_788: 揉んだ
[2191.617] pupurasu: 揉んではいた
[2191.981] ミジンコ隊長: 🔥
[2194.194] Sunsun_the_Sunfish: なんでぶっこんだのかｗ
[2194.298] taroumaruh: 戦争の火種
