[24.164] トイメン: うぃーす
[305.845] (S)_おろ: VALOは？
[307.212] (S)emptyeyes666: OW友達増えたな
[311.998] ライム_: ありけんさんもOWランク低いのに誘ってくれたもんな
[312.130] (S)459dmaito: こくザクに完敗してたね
[315.532] (S)オルコッ党員: ほんと対戦回というなの雑談回だったの見ててホッコリしてたわ
[315.702] (S)creeeepycats: cityrights subscribed with Prime. They've subscribed for 5 months, currently on a 3 month streak! 
[320.516] sndkzfm1: 皆んな楽しそうで良かったね
[326.169] (S)亞ゼファー亞: なるおさんもっと配信で見たかったｗ
[327.007] カオカザリヒメフクロウ: 立川もow2始めたから一緒にやるか
[335.107] ねねと: ザクレイさんに壊されて釈迦さんに0-3つけられたこく
[336.611] (S)もふもふ食パン: 美しい鼻筋のなるちゃん、こんにちは～('w'*)
[337.753] (S)TNTNBRN: 対戦会盛り上がってたねぇ〜
[338.018] 大失言: 飯ドカ食いした？
[339.178] (S)井上リ: ザクレイと対戦しとったな
[341.233] thefrozensun_: かじゅも来てほしかったなあ
[341.251] 緊那羅: パンクとは戦ったの？
[341.363] ponponpawn: 関さんいないのは残念だった
[343.059] (S)じめさぎまん: ザクレイめちゃ上手かったね
[347.831] (S)tec_0419: よーあのメンバー集まったよね
[349.148] サーラ_スペースアヒージョ: 格ゲーからどんどん世界が広がってる感じ。
[355.648] sndkzfm1: こくじんくん負けてたね
[356.457] gumi69: ザクさん成長しすぎぃ
[358.438] Elaiza04: プロゲーマーやらストリーマーやら格ゲーマーいっぱい
[359.659] (S)亞ゼファー亞: ザクレイくん強かった
[363.435] ビープ: ZETAオフィスって喫煙所あった？
[363.484] (S)nanno114: 遊びに行ってたおっちゃん
[364.340] (S)オルコッ党員: ほんと平日なのによく集まったよね
[365.208] love_2nd: 初めて半年でpunkからから1取れる高木すごない？
[365.916] どらひあ: あ～～～パンクにかちて～
[368.403] カオカザリヒメフクロウ: 飯食いに行ったのか？
[368.703] (S)亞ゼファー亞: wwww
[370.799] (S)arunn___: arunn___ subscribed at Tier 1. 
[371.320] (S)井上リ: ps5は行けそうか？
[373.666] びーさん_: PS5慣れできず
[374.033] ライム_: ゲーセンしゃべりにくる人
[374.152] sndkzfm1: まぁ営業でしょ
[374.641] (S)TNTNBRN: 遊びに行ってた無職
[377.199] (S)スピしし: タダ飯食いに行ってたんです？
[380.607] (S)もぶ氏: 遅刻もするし対戦はしない
[381.546] hs19840706: ゲーセンみたいな感じでしたね～
[382.045] (S)亞ゼファー亞: へー
[382.174] (S)めしをくえ: あの場にいないかじゅの話題を出すパンク
[383.158] (S)くろめ62: かじゅの言ってた通りか
[384.135] gumi69: ピザパーティー
[385.135] (S)亞ゼファー亞: いいね！
[385.516] (S)ctama999: 高木のジャパニーズぱなしに爆笑してたパンク
[385.857] (S)nononono_uhoho: 芸能人やね
[386.580] (S)ｸﾙﾐｯｯ: 優しい世界
[392.019] (S)henya1210: タダ飯
[392.042] カオカザリヒメフクロウ: 遅刻してただ飯食いに行った無職
[392.058] mishirannuko: めっちゃ良い雰囲気だったよね
[395.649] (S)亞ゼファー亞: アメリカンだなぁ
[395.825] (S)もふもふ食パン: お腹いっぱいは幸せ('w'*)
[397.301] (S)オルコッ党員: ご飯食べてーゲームしてー喋ってー 良い休日やんけ
[400.335] (S)lovepeace369: ボリューミーな企画でしたと
[401.160] (S)もぶ氏: 初めて話した人とかいました？？
[408.622] hamham9999: 無料のピザはうまかったか？
[419.697] sndkzfm1: スト6ありがとー！て感じやね
[421.639] tunguska97: 結局差し入れは何持ってった？
[424.455] (S)emptyeyes666: 社交パーティーに混ざる無職
[426.567] (S)馬娘で破算した男: ザクも話したことあったの?
[428.030] (S)みなぷ080821_: ゼータの人に名刺わたした？
[428.157] cvvcwc: みんな楽しそうな雰囲気が伝わってきたわ
[430.101] (S)すぐるん: ザクレイさんとかも話したことあるの？
[431.173] sasamizawa: punkと話した？
[431.212] (S)亞ゼファー亞: なるおさんあくびしてたねｗ
[432.184] カオカザリヒメフクロウ: あ
[432.965] saibabasan: これなんて言ってたの？, https://clips.twitch.tv/RudeTemperedDootFailFish-qSFDjE2pM7DBps85
[432.981] (S)いーすとまん: ザクレイさん上手でしたね
[438.190] (S)くらげ1030: くらげ1030 subscribed with Prime. They've subscribed for 6 months, currently on a 6 month streak! 対戦会見てて面白かったっす
[438.805] natsume1313: 今日解説の練習すんの？
[440.879] (S)otera_8989: 配信に映らないのに笑い声だけよく聞こえてきてたwww
[456.575] カオカザリヒメフクロウ: 音ないぞ
[458.114] (S)TNTNBRN: 聞こえんが
[461.987] (S)雑食: 音ないな
[463.732] ギガゾンビ: はいゆー、実況じゃないの？
[470.398] hamham9999: わかんねーや
[470.558] カオカザリヒメフクロウ: なにしてんの
[479.764] (S)いーすとまん: ？？？？？
[482.994] (S)みなぷ080821_: 見ていい画面？
[484.587] (S)TNTNBRN: naru04NHK
[486.231] ライム_: ほよー？
[487.099] Baalzebub1111: なんかこええw
[488.206] (S)henya1210: その画面こわいぞ
[492.315] (S)とみーる: たまにクリップ音ない時ある
[496.549] abyss5555: がっつりメールアドレス見えてるよ
[496.653] (S)Till4850: PC本名登録ってまじ？
[496.741] (S)とみーる: 治し方はわからん
[499.443] (S)ctama999: こわいこわい
[500.376] (S)もふもふ食パン: 昨日の配信コメでなるちゃんの鼻筋が“美しい鼻筋”って絶賛されてた!!
[502.213] じゅに0406: メールアドレスみえてるよ
[505.470] 桂歌丸: いや、音あったよ
[507.342] (S)雑食: なんか言ってるけどわかんねぇｗ
[508.744] (S)emptyeyes666: いや音あるやろこれ
[514.077] tunguska97: リロードしたら？
[514.973] (S)カニが好きだと叫びたい: カニが好きだと叫びたい subscribed at Tier 1. They've subscribed for 3 months! 
[516.392] moppu_gake: いいっすw
[529.086] (S)kame3_shun: スマホから見たらきこえたぞ
[529.781] (S)dook_dokidoki: 解説のなるおさん
[532.500] (S)NebaNebaNatto: たわけ
[532.717] (S)TNTNBRN: あ
[533.587] manuke_saya: EVOJで解説するの？
[535.521] (S)オルコッ党員: そこでした、と
[546.073] (S)オルコッ党員: おっけ
[548.817] (S)くらげ1030: 音きたあ
[550.810] loot446: 出場はしないの？解説だけ？
[563.516] peruperu4558: なるおTGSで解説してなかった
[566.993] (S)みなぷ080821_: ありけん痩せたなあ
[573.845] shapurasu: ｗｗｗｗｗｗｗ
[574.757] (S)nononono_uhoho: ｗｗ
[575.076] XTVYVTX: www
[575.532] (S)雑食: ｗｗｗｗｗ
[575.819] ライム_: きっつｗｗｗｗ
[575.899] (S)kiryuu27: ｗｗｗｗｗｗｗｗｗｗ
[575.964] (S)亞ゼファー亞: wwwwwww
[577.468] (S)スピしし: wwww
[577.824] (S)dook_dokidoki: きっしょ
[577.931] (S)kame3_shun: きっしょ
[578.083] tamano12321: 草
[580.328] (S)もふもふ食パン: wwww
[580.487] (S)オルコッ党員: うぜええwww
[580.536] SANA10023: えぐいw
[581.502] (S)すぐるん: wwwwww
[581.533] カオカザリヒメフクロウ: うっざ
[581.944] (S)otera_8989: wwwww
[582.058] (S)10jqka: www
[582.158] (S)そあ1524: www
[583.900] (S)TNTNBRN: 叩かれてるw
[584.139] hamham9999: きもｗ
[584.657] sndkzfm1: きんも
[585.094] (S)亞ゼファー亞: なにそれｗｗｗｗ
[585.130] (S)けめこ___: www
[585.859] (S)めしをくえ: 声色きもいわｗ
[586.168] (S)とみーる: だるw
[586.691] (S)takasi4649: www
[586.742] (S)bwjwkkk: きも
[586.745] (S)kanetsucross: うぜえw
[587.450] 緊那羅: うるさいって言われたのかｗ
[588.725] (S)モレオ: ｗｗ
[590.943] チャミさん: そりゃ言われるわw
[591.168] (S)lovepeace369: そーれおもろいっすwww
[591.341] (S)オンブルー: staygold771 subscribed with Prime. They've subscribed for 7 months, currently on a 6 month streak! 
[591.390] (S)くらげ1030: www
[591.530] mishirannuko: きしょいけど楽しそう
[591.532] tomiku444: ww
[591.665] (S)ctama999: そりゃ叩かれるｗ
[593.407] (S)MasudaTheMenace: ファンガみたいで草
[594.557] (S)けろろがめ: れんくんがツボったやつね
[595.410] (S)459dmaito: 分からんやん
[596.705] (S)マラリンティウス: そらはたかれるわ
[597.244] (S)亞ゼファー亞: おもろｗｗｗｗ
[598.171] sndkzfm1: うざすぎるだろw
[603.188] (S)henya1210: だるおじ
[603.696] (S)maddy2623: なるおドラフト1位だよ すごいね
[603.898] (S)テレポートできないケーシィ: 釈迦が叩くの珍しい気がする
[606.497] (S)あやたかたか: プレイ中周り気にできるタイプは少ないぞお
[606.758] gumi69: はとぽんしてぇ～
[607.510] (S)nattounever: ゲーセンでわちゃわちゃしてるみたいでいいね
[607.564] thefrozensun_: 釈迦さんの良い兄ちゃん感すきw
[610.454] (S)カニが好きだと叫びたい: 釈迦さんの方が年下？？
[611.030] asbr_j: naru04Ohayu
[612.582] lucky_shocker: Qさんとの試合もおもろかったな
[613.888] (S)オルコッ党員: またこういうの呼ばれたいね
[615.283] (S)もじゃ変人: 昨日おつかれなるお 
[617.109] (S)くらげ1030: PS5環境のルークめちゃやりづらそうだった
[621.960] カオカザリヒメフクロウ: ん？
[623.792] hamham9999: えっ
[626.798] カチコール徴収委員会: こんちわ
[628.272] びーさん_: ドラフトあったんだよ
[628.654] (S)けろろがめ: いや、まえにCRカップで同じようなこと言ってたじゃん
[629.461] (S)にしん__: ドラフト
[629.954] mishirannuko: ドラフト
[630.610] (S)nononono_uhoho: ドラフトがあった
[632.898] sndkzfm1: ドラフトしてた
[633.501] (S)Ganata_6251: ドラフトで4人選ぶ
[634.261] ライム_: ストリーマー2人とプロ2人を選ぶの
[634.325] (S)もじゃ変人: リーダードラフト
[635.601] (S)maddy2623: ストリーマー枠でなるおさんいいっすか？でドラフト1位
[635.791] moppu_gake: 企画があってー
[636.801] (S)ctama999: なるおストリーマー枠おかしいだろ！無職だぞ！って言われてたな
[637.361] はなお0505: こんちはーーーー！
[639.580] (S)~MISSING_COMMENTER_INFO~: 釈迦の1番が なるお
[641.560] カオカザリヒメフクロウ: なーんもしらんやん
[647.291] ギガゾンビ: 一位指名なるお
[648.476] Baalzebub1111: 最初に指名されてたで
[648.710] (S)オルコッ党員: へーそうなんだ
[648.852] ponponpawn: 釈迦さん結構なるちゃん呼びしてたね
[649.426] びーさん_: 最初ストリーマーから選ぶからなるおとハイタニが速攻で選ばれた
[651.341] (S)もじゃ変人: そうだよ
[653.177] (S)雑食: 釈迦っちが選んでくれた
[655.412] moppu_gake: 釈迦一位指名なるお
[656.254] (S)459dmaito: 一巡一位指名よ
[657.035] sndkzfm1: 良かったね
[657.082] (S)オルコッ党員: 嬉しいねえ
[658.572] (S)井上リ: 最初に無職枠でなる遠賀指名された
[658.631] (S)テレポートできないケーシィ: ハイタニもストリーマー枠だったし
[658.706] (S)すぐるん: 釈迦さんのオキニってことね
[660.261] (S)けめこ___: 釈迦さん大好きじゃん
[661.610] (S)みなぷ080821_: むしろ無職だからこそストリーマー枠でしょ
[661.833] onrinr: 1番人気だった
[662.110] ライム_: 釈迦さんは1巡目の1番になるおを選んだわけ
[662.573] (S)kame3_shun: なるおがストリーマー枠なのせこいだろ
[663.266] (S)そあ1524: もうズッ友やね
[663.323] (S)TNTNBRN: 選択希望選手 無職 なるお
[664.537] metrocityclub: おいなるお、最近れんくんに「〇〇して～」ってなるおの口癖移ってて俺悲しいよ
[665.220] (S)kiryuu27: たいじさんとは話しました？
[665.477] (S)あやたかたか: 選んでくれてハートマークっす
[666.906] 桂歌丸: なるちゃんハリケーンって呼ばれてたよ
[668.457] (S)bwjwkkk: naru04ATM
[674.236] (S)otera_8989: 釈迦チームのストリーマー枠の一位指名だよ
[676.584] (S)maddy2623: あの人ストリーマー枠はずるいだろ！って言われてた
[677.588] nakao86: いつの間に釈迦ファミリーに
[682.017] (S)けろろがめ: なるおはストリーマー枠かプロ枠かで議論になって結論、無職扱いになった
[682.361] (S)tec_0419: ドラ一の男
[683.138] asbr_j: DinoDance
[683.217] sndkzfm1: 釈迦さんは何故かなるおの切り抜きを見てるらしいからな
[685.133] (S)もじゃ変人: Qさんとも距離縮まったな
[687.000] (S)takasi4649: naru04ATM
[687.076] びーさん_: XQQ「なるおさん2000あるんすか？」
[689.787] (S)オルコッ党員: ドラ1ですか
[692.879] ごたんだーぐ: 関係ないけど、ネモさんが結婚報告しとる
[693.140] (S)まろ助: こんにちは！！
[698.170] (S)Airu_TR8: Airu_TR8 subscribed with Prime. 
[698.229] カオカザリヒメフクロウ: 釈迦〝くん〟な
[699.447] (S)TNTNBRN: え！？
[699.493] (S)すぐるん: ネモさん再婚！？
[701.397] mishirannuko: あ
[702.469] hamham9999: ！？
[703.053] (S)雑食: えｗ
[703.089] (S)banzokuu: ！？
[703.575] ライム_: え？！
[703.775] (S)そあ1524: え！？
[704.744] (S)henya1210: 結婚！？
[704.783] Deaxxaed: ??
[704.952] gumi69: E！？・
[705.195] カチコール徴収委員会: え？
[705.411] (S)日本語かな: まじ！？
[705.839] カオカザリヒメフクロウ: へー
[706.077] loot446: え？
[706.080] (S)yukapero_14: ま？
[706.291] (S)オルコッ党員: 結婚！？！？
[706.752] (S)kanetsucross: え
[706.879] (S)lovepeace369: ま？
[707.261] pyokotan_insitao: まーじか！
[707.881] (S)i2ha_a6: 再婚まじか
[708.010] (S)とみーる: うえ！？
[708.095] はなお0505: ！？？？！
[708.096] (S)459dmaito: 緊急やん
[708.388] Asch1729: え！？
[708.759] feel2525: まじか
[708.846] (S)10jqka: まじ？
[709.180] うーたんんんっ: え？
[709.560] サラバア: ええやん
[709.692] (S)ctama999: え！？
[709.847] cvvcwc: ！？
[710.406] (S)オルコッ党員: ブランカと？
[710.423] Asch1729: がち？
[710.605] (S)maddy2623: 誰と？
[710.962] TUBE_MAN: マジ？
[711.359] じゅに0406: ま
[712.593] (S)tec_0419: まーじ！？
[712.703] カオカザリヒメフクロウ: おめでとう
[713.151] (S)スピしし: 緊急！？
[713.259] サラバア: めでたい
[713.520] (S)くらげ1030: うおお
[713.926] (S)TNTNBRN: マージか！めでたい🎉
[714.743] loot446: 緊急動画じゃん
[715.122] hs19840706: マ?
[715.196] (S)lovepeace369: 嘘やろ?
[715.259] kano_yumeyume: 緊急？
[715.737] (S)ogaworld_8: https://twitter.com/GOOD_NEMO/status/1783002771337462205?s=19
[716.089] (S)がすいんニキ: マジか！
[716.304] kei_8_: 再婚めでて
[716.900] tororogohan3: 俺以外の奴と？
[717.115] (S)otera_8989: マジかよ
[718.183] (S)めしをくえ: 板ザンと？
[719.395] nakao86: 緊急動画
[720.937] (S)マラリンティウス: まーじか！ おめでとー
[720.943] nikoumi000: ザンギと？
[722.858] (S)dook_dokidoki: おめ
[724.184] (S)あやたかたか: おめでとう
[724.707] Baalzebub1111: 2分前とな
[724.999] (S)tec_0419: めでてぇ！
[726.789] 粉シタン: 緊急動画まだ？
[727.027] mishirannuko: ガチじゃん
[727.492] selionb: それは流石に緊急だな
[727.985] (S)kame3_shun: おめでとー！
[728.620] (S)takasi4649: おめでた
[729.673] 桂歌丸: まじか！
[729.707] sndkzfm1: めでたいね
[730.227] (S)すぐるん: ほんまやん！！！
[730.415] gumi69: 緊急動画
[731.888] サラバア: あのTシャツ発表しといてかw
[732.648] (S)日本語かな: おめでとう
[733.955] (S)けろろがめ: 再婚じゃん
[734.233] (S)kanimiso747: まーーーーーーじか
[734.663] (S)みなぷ080821_: 板ザン「結婚したのか…、俺以外の男と！」
[734.716] nabushigatashi: 俺と？
[735.648] (S)nononono_uhoho: マジかめでてぇな
[736.239] 桂歌丸: 再婚？
[737.713] ｾｲ: まじじゃんｗ
[738.280] gumi69: ねもと なおき
[739.110] jamxqc: ザンギとマリーザ？
[739.309] (S)lovepeace369: けっ、結婚しつるー！
[740.468] tamano12321: 指輪並べてなくて安心した
[740.703] (S)めしをくえ: 字へたくそだなｗ
[741.564] (S)すぐるん: ネモさん再婚かぁ
[741.869] ringfit_norimitsu: 緊急動画
[741.925] ソフィーノイエンミュラー: フォローしてないんだ
[742.844] (S)dook_dokidoki: 板ザンか？
[743.340] (S)henya1210: おー
[743.567] ハゲエギル: めでたい
[745.603] efupobu: 俺とかもしれえない
[746.918] pappi0117: くまだひろきと？
[748.262] びーさん_: 結婚記念Tシャツってこと…？ https://x.com/mgaming_jp/status/1782960410750267670
[750.612] selionb: やっぱ嫁さんもザンギアンチなのかなぁ
[751.445] 俺が一郎: してなかったんだ
[751.634] (S)けろろがめ: その下、熊田ひろみきって書いてない？
[752.911] (S)TNTNBRN: 熊田とは遊びだったって…コト！？
[753.745] Deaxxaed: 緊急
[753.840] (S)けめこ___: おめでたいねえ
[754.331] カオカザリヒメフクロウ: 字へったw
[756.165] hamham9999: ネモさん １抜けっす
[758.016] (S)nattounever: イケメン長身はさすがやで
[760.314] おかあさんいつも: モテるねぇ
[761.462] (S)オルコッ党員: その再婚は逆にすげえよ
[761.524] (S)雑食: ｗ
[763.789] れんぞね: ｗ
[763.969] intaisita: ｗｗ
[765.184] (S)henya1210: 熊田直樹になるのか
[765.314] loot446: 熊田って書いてない？
[765.388] (S)TNTNBRN: 緊急
[765.540] (S)i2ha_a6: これめっちゃほしい
[765.580] (S)nononono_uhoho: 誰が買うん
[766.609] ギガゾンビ: こーれは緊急
[767.175] カチコール徴収委員会: 結婚記念Tシャツは草
[767.287] (S)ｸﾙﾐｯｯ: www
[767.381] (S)すぐるん: これ出して再婚ですか
[767.422] Baalzebub1111: 売れるぞ〜
[767.788] jackpot_jp: これちょっと欲しい
[767.881] (S)もじゃ変人: wwwwww
[768.599] (S)takasi4649: www
[768.697] gumi69: ｗｗｗ
[769.073] 犬舐めんなよ: イジられてんじゃん
[769.227] (S)bwjwkkk: こわ
[769.388] (S)kanimiso747: えぐｗｗｗｗｗｗｗｗｗ
[769.636] (S)もぶ氏: ｗｗｗ
[769.873] SANA10023: w
[769.991] (S)kiryuu27: 何これｗｗｗ
[770.568] (S)くらげ1030: www
[771.293] mituya_no_cyder: 買います
[771.305] (S)スピしし: wwwwww
[771.544] hamham9999: ん！
[771.696] (S)雑食: これ欲しい
[771.792] mishirannuko: ちょっとほしい
[771.870] soichi007: 下にスライドして、相手が「なるお」って書いてあったら笑う
[771.993] (S)lovepeace369: いいなこれw
[772.083] (S)オルコッ党員: だせえwww
[772.403] tororogohan3: 指名手配みたいｗ
[772.836] (S)10jqka: これすごいよな
[772.849] (S)tec_0419: ヤバい欲しい
[773.056] 水増し: www
[773.833] (S)mayuge_dimension: これは売れるな
[773.902] (S)もじゃ変人: いじりやんもう
[774.052] (S)kanetsucross: え？
[774.297] (S)ctama999: 投げキャラいいなｗ
[774.359] feel2525: これは売れ・・・
[774.400] (S)dook_dokidoki: ちょっとほしい
[774.708] サラバア: これ引き出物にしてほしい
[774.873] ライム_: 結婚緊急動画出せ
[775.427] nakao86: ｗ
[775.515] jennifer2penguin: 買うしかねえか
[777.543] loot446: これが伏線だったんだよね
[777.725] カオカザリヒメフクロウ: 板ザンしかかわねーだろ
[778.191] (S)みなぷ080821_: www
[778.459] (S)けろろがめ: これほしい
[779.269] Yuuuu1105: ちょっと欲しい
