[23.083] rilakkuman: てゃ
[141.836] んゆたろう: オシャレ盛り～～～～
[144.007] (S)mashirochan___: ビタミンえらい
[144.458] イガ: イガ subscribed with Prime. They've subscribed for 29 months, currently on a 1 month streak! 体調大丈夫です？
[145.304] v_harumi_v: 水分も獲れるし良いですね
[146.820] Phenomer: いつ食べてんる？も
[148.888] (S)日本語かな: 🍊 
[149.376] 5don: おいしいやつだ
[149.665] (S)ましゅダヨ: あ、いいね
[149.790] johndoe6523rp: お疲れ様です
[152.408] (S)こねこ__: 頭痛良くなりました？
[152.584] tabibitox: たいむ
[152.623] (S)イエール: いいね！！
[153.189] poyoyon915: アデノ、コロナ、インフル全部また流行ってるねぇ 
[153.728] (S)軽く捻るか: ビタミン取れますね
[159.202] casita226: ウメちゃんも勤労に感謝して
[166.169] 5don: 文字が
[167.660] danny_love_danny: ビタミン大事
[169.373] (S)ましゅダヨ: 人がw
[169.846] teruharu_: ビタミン補給
[170.564] higan1983: higan1983 subscribed at Tier 1. They've subscribed for 92 months! 
[171.901] たまゆららん: 文字ね
[171.919] johndoe6523rp: いいっすね〜
[172.618] んゆたろう: 文字が
[172.957] bec118_japan: おはざす！！！！
[173.738] ぬーぼー2: 文字風情が
[173.830] bushman0913: 体調大丈夫なん？
[174.099] 売れないバンドマン41: シャインマスカットって皮も食うもんじゃないん
[176.770] Ceciltaisa: ウメちゃん暖かい時間に散歩せんの？
[176.812] ベビちゃむ: めっちゃあせかいてないか？？？”
[177.140] despera_lk: umeNeko
[178.608] balthazar000: 風邪の時の果物は鉄板
[180.178] danny_love_danny: 文字さすがあ
[181.099] BISAI3: 文字がだね
[182.254] tabibitox: ビタミンいっぱい
[182.273] poyoyon915: 文字の集合知
[183.485] ドラキュラおじさん: クエン酸と果糖！
[183.777] prosciu: 文字です
[185.881] (S)ましゅダヨ: うん、大事よ
[186.876] simatarow: 免疫力向上ですよー
[187.682] (S)セルベリア: 風邪は大丈夫ですか？
[188.107] raurakd: 文字がね
[191.804] DudleySF6: DudleySF6 subscribed with Prime. They've subscribed for 38 months! 
[192.566] balthazar000: 半袖寒くないですか？
[198.757] んゆたろう: りゅうてぇ
[201.817] v_harumi_v: りゅうてゃさん
[202.582] (S)イエール: りゅうたw
[203.286] 5don: 今日も練習！
[204.231] たくあんどす: りゅうた
[205.119] maddy2623: 俺の本名言うなよ！
[205.308] kimie_white: りゅうたｗ
[208.644] Ceciltaisa: りゅうたいうん
[208.652] v_harumi_v: はいですー
[211.087] domontyan: りゅうた
[211.663] だいこん_: umeSalute
[211.963] (S)日本語かな: 14キロの砂糖水、良いですよ〜
[212.063] balthazar000: イベント云々はこれからか
[212.495] 成吉大: 気温が乱高下するから体調崩しやすいよね
[214.274] bec118_japan: 僕は寝る時に靴下履きます
[215.550] Ceciltaisa: 出かけるのか
[218.503] 5don: 長袖を着ると、あったかくなりますよ〜
[222.550] (S)ましゅダヨ: りゅうた対戦お願いしやす
[226.580] (S)firefly860130: はーい
[230.336] (S)ganmodoki_umee: ganmodoki_umee subscribed with Prime. 
[230.499] (S)イエール: 伊藤りゅうたになっちゃったw
[231.409] ジャック275: おはよーございます！
[234.612] sdy_hs: どんだけ遠いところいくんだろ
[238.418] グレンシア: お嬢おすすめの靴下買ったの？
[245.699] johndoe6523rp: すいません、俺を獲れは何時からでしょうか？
[245.874] (S)ましゅダヨ: 暖かくしていってね🥲
[246.932] ポンポン: うめぇ
[256.190] kurobedam: りゅうきちとnobleのどっちかが今日散るのか
[258.996] simatarow: わかる、だからみかんの方が好き
[267.997] えいた: 124 raiders from えいた have joined! 
[270.050] maddy2623: 目下JP最強という噂のりゅうせい
[274.480] v_harumi_v: 俺獲れは20：00～かな
[275.199] (S)イエール: マジで納豆もええぞ......。
[276.246] (S)ましゅダヨ: えいたあああ
[277.017] tabibitox: 邪神レイド
[277.260] blackcoffee0821: えいたさん
[277.315] ぬーぼー2: えいたん
[279.723] v_harumi_v: えいたさん、レイドありがとーー
[280.934] kern_tucker: えいたありがと～
[281.518] johndoe6523rp: ありがとうございます
[287.474] Ceciltaisa: 俺を獲れ今日か
[287.619] (S)すぎた_のり: すぎた_のり subscribed with Prime. They've subscribed for 6 months! 
[290.411] クラクラ777: ｗ
[291.108] 5don: お。
[292.826] (S)日本語かな: ここでw
[293.299] ぬーぼー2: えいた”さん”
[294.358] kimie_white: ヒマです
[294.580] Ceciltaisa: えいたさん！？
[294.956] v_harumi_v: ここで
[295.474] (S)ましゅダヨ: えいたさん〜w
[297.851] (S)ましゅダヨ: いま！？
[299.206] Ceciltaisa: 暇だよ
[300.631] v_harumi_v: えいたさーん
[301.641] casita226: 最近アキやってますか？
[302.377] sato77777: ヨバンデイイ
[302.585] despera_lk: えいたさん誘われてるぞ
[303.509] laorao0: えいた暇あるんか
[304.797] クラクラ777: ごほうびきたああああ
[305.406] blackcoffee0821: ビーストカップか
[306.863] domontyan: ビジネス
[307.326] hoihoi101010: エイタサン
[307.899] 000105: 産まれてる可能性あるよね
[309.431] Ceciltaisa: いつも暇だもん
[310.955] えいた: あけます
[313.030] feel2525: 直オファー
[313.897] ~MISSING_COMMENTER_INFO~: 逆になんか仕事してんの？
[313.990] だいこん_: 暇だな！
[314.970] danny_love_danny: もう臨月でしょ？
[316.714] maddy2623: 内容言わずに暇か聞くのってかなりやべぇ
[318.366] prosciu: あけますw
[318.481] tabibitox: あけます
[319.257] mandomddd: あけますｗ
[319.560] casita226: あけます
[323.606] 5don: えいたさん「空けます」
[323.686] kimie_white: 強制ｗ
[324.235] んゆたろう: あけますｗ
[325.153] kern_tucker: あけますｗｗｗ
[328.697] 5don: すごいw
[329.078] sdy_hs: ここで仕事の依頼は草なんよ
[329.107] Ceciltaisa: あぁ産まれたら無理か
[330.842] 星の子ザック: 圧
[331.117] (S)ましゅダヨ: あけますw
[332.558] blackcoffee0821: 大丈夫か？w
[333.122] takahashiseigi: えいたは今日奥さんが臨月みたいです
[336.850] 5don: 王勅の威力たるや
[337.307] (S)firefly860130: あけますw
[338.854] raurakd: 王圧に屈した形
[345.198] despera_lk: えいたはいつも暇だよなぁ！？
[346.710] v_harumi_v: えいた (eitanotwitch): あけます
[349.630] Ceciltaisa: 産まれたらさすがにあかんのではw
[351.148] une3333: こんにちはー
[351.757] ぬーぼー2: 王の勅命ぞ
[354.139] (S)ましゅダヨ: 出産無事祝ってます
[355.892] ベビちゃむ: ｗｗｗｗｗｗｗｗ
[356.833] だいこん_: LUL
[356.859] (S)日本語かな: ありがとー
[358.242] v_harumi_v: ありがとー
[358.458] blackcoffee0821: w
[358.784] une3333: えいたさんもうすぐパパになるのかぁ
[361.840] Phenomer: ！？
[362.202] ベビちゃむ: やっすｗｗ
[362.228] (S)ましゅダヨ: wwwwww
[362.418] (S)日本語かな: どんぐりw
[363.617] kern_tucker: お子さんもうすぐなのね～おめでたい
[363.763] kimie_white: どんぐりやったー
[364.302] poyoyon915: 何個？
[364.400] balthazar000: 埋まってたんだ、、、
[365.399] danny_love_danny: やったー
[365.485] Ceciltaisa: 王の圧
[365.669] (S)セルベリア: ギャラ、どんぐり
[365.850] (S)dokuyubi: うおおおおお
[366.433] ~MISSING_COMMENTER_INFO~: ドングリ
[367.390] (S)ましゅダヨ: リスかな？
[367.587] 5don: どんぐり、皮むいといてもらって
[367.694] だいこん_: 🐿
[367.704] sdy_hs: くまかな？
[368.708] (S)sugi_tree3: なめてるw
[368.790] Ceciltaisa: やったあああ
[369.248] chikachikabonito: umeYay
[369.924] yanbowy: どんぐりw
[370.139] blackcoffee0821: どんぐりうおおおおお
[370.159] yakisobadaisuki: やさしい
[370.226] dyechi: よかったねえいた
[371.368] derwace_lifolve: えいた＝まめスパ説
[372.326] prosciu: どんなどんぐりなのかなー
[372.785] ぬーぼー2: 家宝のどんぐり
[372.984] (S)軽く捻るか: やったー
[373.263] ぢょごぢゃん: 豆スパと一緒…
[373.481] カブトシロ: モモンガかな？
[373.815] johndoe6523rp: 褒美ｗw
[375.249] feel2525: 冬越えれるな
[375.779] Ceciltaisa: 王のどんぐり
[376.987] maddy2623: 煮てアク抜くとウメェんだわ どんぐり
[377.300] んゆたろう: どんぐりよかったな！
[378.361] despera_lk: どんぐりあげんのか！やさしいなぁウメさんは
[379.675] (S)dokuyubi: 庭に埋めてもいい？
[381.044] danny_love_danny: どんぐりｳﾏｳﾏ
[381.479] v_harumi_v: 冬眠しても、どんぐりあったら安心
[382.063] ド森林: 王が褒美とらすっつってどんぐりなことある？
[382.227] タマゴォーン: umeFail
[386.766] flashbacks18: ウメからのドングリほすぃ‼︎
[390.014] (S)ましゅダヨ: 草食動物である王
[391.931] poyoyon915: 4個以上はあげないとダメだよ
[392.553] hodanonn: 圧
[393.179] 売れないバンドマン41: 東京でドングリ逆に難しいだろ・・・
[394.515] tanikame: 今年不作だから高いよー
[396.318] あび_あび: 風邪の時だけビタミンを摂っても即効性の効果はないという研究結果が出てます。
[399.759] johndoe6523rp: 金平糖あげよう
[402.722] simatarow: どんぐりが通過の国に住んでるの？
[404.312] (S)イエール: どんぐりで買い物してそうw
[406.063] 000105: 熊が嫉妬する
[408.219] tsubame0614: 「どんぐり」は隠語で1本のこと
[412.360] myamuis: ウメちゃんこんにちは
[421.879] Ceciltaisa: 昔の国ならどんぐり報酬にしてそう
[424.329] teruharu_: 隠語ｗ
[434.595] takahashiseigi: 12/10はBeastCupか、えいたは皆勤賞
[441.994] ぬーぼー2: 1本て・・何本！？
[442.644] casita226: せめて松ぼっくりにしようや
[449.711] (S)ましゅダヨ: つよ
[449.792] white_mantis: かっこいいね今日
[452.410] monen_tofu: こんにちはー
[454.763] akiaki0612: キレキレ
[457.001] (S)軽く捻るか: P
[478.533] (S)イエール: マリオとウメちゃんには髭が必要よ
[482.070] kino883: kino883 is gifting 5 Tier 1 Subs to DaigoTheBeasTV's community! They've gifted a total of 27 in the channel! 
[483.192] kino883: kino883 gifted a Tier 1 sub to ayataka33! 
[483.194] kino883: kino883 gifted a Tier 1 sub to MadEggMania! 
[483.212] kino883: kino883 gifted a Tier 1 sub to galuf0120! 
[483.226] kino883: kino883 gifted a Tier 1 sub to v401! 
[483.230] kino883: kino883 gifted a Tier 1 sub to イサミん! 
[487.389] (S)日本語かな: うおおおお
[490.065] 5don: ギフトありがとー！
[499.191] teruharu_: ありがと～！
[502.356] maddy2623: これが噂の低空百烈対策
[513.669] (S)ましゅダヨ: うおおおギフトありがとう〜！
[519.027] クラクラ777: ないすうう
[533.245] donekofg: イベントや取材の時の小綺麗ウメちゃんだ
[547.152] クラクラ777: 髪型きめてるね
[551.851] (S)日本語かな: 伊波嫉妬コン
[553.351] tsubame0614: いうてこの春麗も大K対空うまいな
[559.613] one596: ランクめっちゃ上がってね？昨日100台だったような
[559.785] 憂う者の弟子: Hi! Daigo San
[570.880] (S)ましゅダヨ: ナノイオンドライヤーに感謝
[577.962] potocki1810: ご配信ありがたやー
[586.643] 浅草ガッツマン: ウメちゃんリュウのコス見た？
[594.315] maddy2623: うまぁ
[594.351] monen_tofu: おー
[598.960] johndoe6523rp: 明日もスクリムあるんでしたっけ
[599.303] (S)軽く捻るか: ナイス！
[599.879] chikachikabonito: umeZen
[601.358] laorao0: うまーい
[601.702] Ceciltaisa: ッケイ
[608.523] (S)日本語かな: オレンジ補給
[617.329] 5don: 最強
[618.783] v_harumi_v: ｗ
[619.435] (S)ましゅダヨ: おれんじ♪♪
[620.046] one596: フルーツさいっきょ
[620.460] potocki1810: ｗｗｗｗ
[621.924] mandomddd: 自然の恵み
[624.085] (S)イエール: フルーツサイッキョ
[624.326] 浅草ガッツマン: いかれたやつら
[625.203] (S)ましゅダヨ: 自然の力
[625.442] (S)こねこ__: たしかにw
[627.334] v_harumi_v: いかれた美味しさ
[627.386] balthazar000: 品種改良頑張ってるんですよ
[629.180] raurakd: 逸材
[630.049] laorao0: 日本のフルーツは最強
[630.273] donekofg: 酸味と甘味サイッキョ
[630.494] クラクラ777: フルーツうまいよなぁ
[630.716] blackcoffee0821: 農家ありがとー
[630.910] teruharu_: 美味しいねえ
[630.952] 000105: いや品種改良してる
[631.936] rockriii: たしかに
[633.733] 成吉大: 野生のフルーツはエグ味がすんごいけどｗ
[634.569] ぬーぼー2: 農家の努力の味
[634.858] beberon: 果物の甘さって最強だよね 品種改良込みで猛者
[634.962] bec118_japan: 相当改造されてるけどww
[635.694] 売れないバンドマン41: 野菜でさえそれは難しい
[637.219] (S)日本語かな: ww
[638.154] toaluH2O: 品種改良死ぬほどしてます…
[639.009] ハパ八: ｗｗ
[639.854] (S)イエール: ww
[640.866] guestchan: 農家の人達ありがとー！
[641.296] 超ゲジゲジ: バナナとか持つとこあるしな
[644.221] (S)ましゅダヨ: 偉大なる大地の恵である
[644.933] (S)軽く捻るか: ばーけーもーのｗ
[645.403] (S)こねこ__: www 
[646.196] kurobedam: ビースト
[646.651] あぱれる君: amakipIen
[647.260] ド森林: どぐらバフやん
[647.430] v_harumi_v: オレンジは香りも良い
[649.156] potocki1810: 人に食べられるために生まれてきたんだね 
[655.156] Ceciltaisa: 品種改良技術はマジですごい
[655.854] (S)イエール: 品種改良した子たちも生まれて来たんや
[658.090] てゅぽーんかも: その辺になってるみかんはそんなうまくないｗ
[659.961] (S)tyanoha: tyanoha subscribed with Prime. 
[671.649] one596: まぁ食べられる為に生み出されてはいるw
[672.517] blackcoffee0821: ｶﾌﾟ
[672.766] bec118_japan: そう考えると魚はガチ
[679.979] Ceciltaisa: モグハラ
[681.004] (S)イエール: 魚はガチやねw
[694.922] hojihojidx: ケンの新コスかっこいいけどウメさんの好みとはちよっと違いそう
[695.036] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[700.058] tsubame0614: ハハハハフハハ
[701.798] (S)ましゅダヨ: ありがたいよねぇ。我が家も毎日フルーツ出る
[711.922] 憂う者の弟子: 愛媛の伊代柑いい予感
[723.800] takahashiseigi: ちなみにカイコも品種改良されて羽があるのに飛べなくなりました
[729.093] (S)ponponguripon: 今日デイリーあるんすか
[739.392] (S)日本語かな: あるらしい
[742.601] v_harumi_v: 13時～とのこと
[746.352] (S)イエール: おい、次ダジャレぶっこいたやつはペンギンにするぞ......。
[749.888] johndoe6523rp: りゅうせいくんSFL大活躍すね
[758.082] kunai_shirasaki: こんにちはディアゴ
[759.398] akiaki0612: 職人によりハイパースト2のケンのコンボが新たに発見され21コンボになったそうです
[773.360] (S)ponponguripon: 久々のデイリーうれしいなあ
[787.114] punipunitaru: このゲーム全然リュウ見ないですね
[796.704] DudleySF6: HypeMwah
[806.668] (S)日本語かな: リュウはラーメンでバイトしてるらしい🍜
[812.220] tabibitox: あいつはラーメン屋になったよ
[820.939] クラクラ777: いいタオルまいてたよあいつ
[821.893] v_harumi_v: Ｐ！
[825.534] ぢょごぢゃん: 葛葉カップもルークケンいっぱいいるけどリュウ0
[827.352] (S)軽く捻るか: P
[828.478] 浅草ガッツマン: p
[840.668] ぬーぼー2: 誰がリュウの救世主となるのか
[844.492] Ceciltaisa: リュウはスカジャンで少し話題になって終了したよ
[844.673] johndoe6523rp: ラーメン屋みたいなコススト４にもありましたね
[848.296] chanmipoin: ケンの新しい衣装見ました？
[862.832] (S)イエール: ウメちゃんもスカジャン買おう
[870.670] takahashiseigi: たかしは昇竜軒ってつけ麺屋の大将になった
[874.382] playatlas: 海馬瀬人
[876.860] (S)ましゅダヨ: リュウの衣装は温泉帰りで笑ったw
[882.399] (S)イエール: うおおお
[887.741] (S)イエール: DinoDance
[888.800] bec118_japan: 上の句だ！！
[890.414] (S)日本語かな: DinoDance
[891.019] furu13: 配信者的にはリュウ使うのおいしい状況だな
[891.249] クラクラ777: エンディングウォーカーのリュウめたくそつよなかった？？
[894.628] rebando: 体調の方は大丈夫でしょうかね？
[896.253] SOLAS1D: 昨日言ってた外出はもう終わりました？
[897.558] v_harumi_v: わー
[897.767] (S)日本語かな: たりねぇ！
[898.375] chikachikabonito: umeYay
[901.278] sh1zuku716: うめちゃんほど衣装に興味ない人いないじゃない？
[901.296] たくあんどす: あー
[903.509] (S)イエール: TwitchConHYPE
[903.870] (S)軽く捻るか: たりなかった
[904.500] (S)ponponguripon: ジーパンってあんな綺麗に色落ちするものなの
[915.969] maddy2623: 開幕インパクトは相当やってる
[916.662] Ceciltaisa: ちょっと欲張った
[921.844] playatlas: ストーリーのコスってのはわかるけど、ちょっと可哀想、リュウ
[925.699] やまゆ: ウメちゃんは結構見た目重視だよ
[926.055] 憂う者の弟子: やったか！？
[938.738] クラクラ777: 次のコスは総じてかっこいい
[941.370] (S)ぺりんご: 夜の俺を獲れじゃない？外出
[942.115] (S)軽く捻るか: おっけい！
[944.225] クラクラ777: ジュリはずるいぞぉ
[945.929] uwbxlwyhsiqj: っぱ迅雷よ
[950.334] (S)イエール: ガイルコスがガチすぎて
[954.336] casita226: 色によってはかっこいいと思えるかもしれない・・・龍
[957.058] okistay: マノンよかった
[957.177] SOLAS1D: リュウはもはや公式からもイジられてる気がする
[962.060] (S)ましゅダヨ: キンバリーは一気に武神流が出てて使いたいかも
[963.536] にんじん_: 俺をおれ今日か！忘れてた
[964.622] playatlas: ケンは足細いのがなぁ
[967.568] wasabi_tar: リュウのコスはダサくて逆にいい
[970.209] だいこん_: 本田KSK説
[971.398] (S)ponponguripon: マノン麗しかったね
[973.157] (S)イエール: 俺をおれてw
[976.808] Ceciltaisa: 今の公式、あまりリュウ好きじゃなさそうだしなー
[979.925] bec118_japan: ガイルJP春ジュリマノンだな
[984.624] paraparachahan2: リュウはオシャレじゃない方がいいでしょ
[989.219] warotyphoon: 俺昔からリリー好きだった気がする
[996.300] (S)ましゅダヨ: マノンあの衣装ずるいわ、美しすぎる
[999.510] teruharu_: 15時からりゅうせい
[999.622] クラクラ777: リリーいいよなぁ
[999.768] danny_love_danny: マノンはベルバラみあって素晴らしい
[999.834] casita226: SFLのトロフィーもリュウなのに・・・
[1003.747] playatlas: ボーイッシュまじ評判いいね
[1008.216] (S)日本語かな: リュウはもうネタに振り切って白鳥の湖のコス出してほしい
[1020.149] Goodwisp: ふざけたデザインの受け皿になっているリュウに感謝しような
[1021.267] potocki1810: タオルの上に眉毛が浮いてるんだよね＞リュウの新コス
[1021.358] (S)日本語かな: DinoDance
[1021.525] (S)イエール: DinoDance
[1027.821] casita226: ５でいいコスあったっけリュウ
[1030.351] sh1zuku716: リュウ衣装はスト５からネタ枠になってるから
[1035.751] (S)ponponguripon: 友達が髪型変えてドキッとすることあるよね…
[1040.127] kuuso1: マノン高見沢さんっぽい
[1040.404] kakane0908: マリーザもいいよね
[1044.228] takahashiseigi: 新コスtierランクでリュウはR(ラーメン)らしいw
[1047.547] maddy2623: ５のジンサオトメコスはよかった
[1048.983] warotyphoon: 4のボロ道着ほしいよ
[1051.271] bec118_japan: 山に籠もり続けて髪と髭が伸び放題になったリュウ見たい
[1063.273] クラクラ777: ガイルめちゃくちゃかっこいい９
[1066.398] (S)イエール: なんかブランドとコラボして欲しい
[1069.192] sh1zuku716: ももち愛用してるロックマンコスいいだろ
[1072.541] casita226: ボロ道着はデフォと若干被るからなあ
[1081.943] (S)ponponguripon: ジェイミーの別の髪型も見たかったな
[1084.974] SOLAS1D: 髪長くなったリュウはありかも
[1089.037] bon_100: でもリュウはあの鼻で笑われそうなダサさがあってこそだと思う……
[1107.632] (S)sugi_tree3: 美味しそう
[1108.309] (S)イエール: DIORコラボコス
[1116.742] (S)日本語かな: ジェイミーとか下手に髪型いじって短いとかだと相手が酔いレベル視認しずらいとかあるから
[1117.436] たくあんどす: ジェイミー今のコスとの違いが分からん
[1120.373] イガ: 美味そう
[1120.611] SOLAS1D: ウメちゃん体調はどうですか？
[1122.614] bec118_japan: 俺もみかん買お
[1123.544] v_harumi_v: うんうん
[1124.087] maddy2623: ウメちゃん1本とられたあとあっさり2つ取り返すこと多いよね
[1125.868] 5don: 最強
[1126.592] balthazar000: そうだね
[1127.385] (S)イエール: いいよね！
[1128.114] hakka_s: 風邪大丈夫？
[1128.311] 成吉大: 確かに
[1128.538] Ceciltaisa: うんうん
[1128.541] (S)ましゅダヨ: わかるうううう
[1130.669] だいこん_: そうだね🍊
[1131.951] (S)日本語かな: 体が受け入れる
[1134.006] クラクラ777: 喉痛いときは柑橘系はあかんよ
[1134.763] casita226: どの果物が一番好きですか
[1140.353] (S)軽く捻るか: 食べまくってください
[1141.430] v_harumi_v: 水分もとれて、良い感じよ
[1142.579] (S)ponponguripon: 子供の頃、風邪引くと食わされたな
[1143.776] (S)ましゅダヨ: むしろ欲するまである
[1146.591] (S)セルベリア: 果物の糖分は直ぐにエネルギーに変換されるからね
[1147.352] 新ころりん: 生のフルーツの欠点は体が冷える事っすね
[1150.373] riku_0726: ウメさん風邪が早く治りますように
[1150.563] (S)豚ああ: プリンたべよ
[1154.567] シミズム: コロナの時リンゴすりおろしばかり食ってた
[1155.975] (S)ましゅダヨ: うんうん！
[1158.088] chikachikabonito: PopNemo
[1159.787] uuzenn: リュウは龍が如く意識してるような気がする
[1159.865] (S)イエール: umeYay
[1164.244] Ceciltaisa: シャインマスカットはマジで発明よ
[1164.979] johndoe6523rp: みかんとか置いてあったらめっちゃ食べちゃう
[1169.477] v_harumi_v: 皮ごと食べれるブドウはお手軽に食べれる。
[1172.025] (S)ponponguripon: 皮をむかずに一口づつ食えるの強い
[1172.214] one596: 何か1回ラフランスにハマる時期ない？
[1174.823] teruharu_: 皮ごと食べられるのは強い
[1179.654] ranbin5656: バナナで快便よ
[1182.283] 憂う者の弟子: シャイマスは値段を10分の1にしたら買ってやろう
[1189.852] (S)hide4410: hide4410 is gifting 1 Tier 1 Subs to DaigoTheBeasTV's community! They've gifted a total of 1 in the channel! 
[1190.198] (S)hide4410: hide4410 gifted a Tier 1 sub to kokushimusou1600! 
[1190.328] Ceciltaisa: 果物王やれますねこれで
[1196.719] hakka_s: さっき八百屋でシャインマスカット美味しそうだった
[1197.006] カブトシロ: 普段あまり果物食べない。賞味期限がね。
[1197.222] (S)イエール: 今年はシャイマス結構安いよね
[1199.051] イガ: umeKazushi
[1199.381] 超ゲジゲジ: 皮ごと食えるって育てるの大変やろな
[1201.622] v_harumi_v: みかんもおススメだけども。
[1201.703] bobby_420x: 手が汚れないのもすごいよ
[1205.357] hakka_s: 今年は安い！
[1211.641] 成吉大: 今年は夏の暑さで果物が豊作だそうです
[1213.454] クラクラ777: 皮ごといけるんだ
[1218.817] (S)イエール: 輸出分が国内に流れてきとる説ある
[1224.617] aranami0: マスカットいいなぁ今日買ってこよう
[1228.537] シミズム: シャインマスカット出来すぎて余ってるとか
[1229.921] (S)ponponguripon: ひとぼベトベトにならんか
[1231.569] (S)ましゅダヨ: 普通にみかんを箱ごと愛媛から取り寄せて食べてたら風邪ひかないかも
[1234.793] 新ころりん: シャインマスカットは皮ごとイケルし最近のフルーツは皮ごとが多くなってる
[1238.068] 5don: 愛媛の紅まどんな チャンスあれば是非🍊
[1239.148] hakka_s: さっき買ってくれば良かったかも
[1241.534] johndoe6523rp: 皮を剥いたり切ったりするのめんどくせ！ってなりますよね
[1243.835] one596: 今年は安いけどそれでも果物としては良いお値段
[1255.881] hakka_s: 紅まどんな美味しいですね😋
[1255.911] (S)日本語かな: 品種改良ありがとー
[1258.366] クラクラ777: でも皮と実の間が栄養あっていいらしいね
[1261.258] (S)イエール: 確かに良いお値段よね。りんごとか気軽に買えるのに比較すると......。
[1261.696] Ceciltaisa: マンゴーよりはマシ
[1264.287] maddy2623: 波動拳追っかけられるのいいよね リュウはなんで無いの
[1267.029] 5don: ✌️
[1276.186] 憂う者の弟子: やっぱバナナよ 庶民の味方バナナ
[1285.293] (S)ましゅダヨ: ビタミンのサプリ飲み出してから調子良いよ
[1285.403] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1288.641] bec118_japan: 梨は虫が付きやすくて難しいらしいよ
[1289.189] aranami0: 1500円くらいだった記憶。
[1291.869] やまゆ: バナナは外れがないのが最強
[1292.586] v_harumi_v: バナナも良いですよね
