[34.119] kobi3070: ｳﾒﾁｬｱﾝ
[970.377] donekofg: ケン十連勝めざしてるんだっけ
[971.524] 風吹水面: ジェイミー言うほど弱くないな。
[974.553] dkozak: Didn’t he have level 3
[985.860] asseternum1: He did
[990.956] Yattin_z: こんにちわー
[1011.416] umesecond: なるおジェイミー見てたらめっちゃ強そうに見える
[1015.999] rasuan103: フレーム表見たらジェイミー酒ごとにフレーム変わってて結構キモめでした
[1016.890] (S)fahmy0825: Is that a crow sound?
[1024.410] nagasaki3662: 今日もウメケン見れて嬉しい
[1026.437] Blowthat: dont doubt daigo man
[1028.729] (S)Channingbomber: is Ken Top Tier? Daigo-sama
[1031.242] syo_tyo: メインケンで行く感じですか？
[1047.628] redbull_daisuki: こんちは！白ケンがカリッカリに仕上がるの楽しみ
[1048.314] vespa127g: Yes crow
[1056.511] asseternum1: Ken is good but i wouldn't say top teir
[1067.331] ちょうど良いです: 酒でフレーム変わるのって弱Pだけじゃないん？
[1068.101] 泣き虫サクラ: He thinks Ken is strong when he masters it.he says
[1075.555] aranami0: メンおじおらんかな。ゲーム音がちっちゃい
[1085.361] rairai46: ririloHuwa
[1096.405] dkozak: He’s getting smoked so far
[1097.530] 憂う者の弟子: あとは４飲みの烈火ガードだけだね 実際かわらない
[1101.816] dkozak: and I’m a Ken main
[1104.275] (S)fahmy0825: @vespa127g I see, I thought that was Jamie's bgm sound lol
[1113.037] redbull_daisuki: 相手、ももち家に養子入りしたこくじんみたいな名前の人やな
[1115.199] (S)manamolike: ケン使ってみたら納得する水準でやれなくてまだやりますって感じなんだよね？
[1121.843] ちょうど良いです: 4の烈火もか、ありがちょ
[1133.919] asseternum1: Bruh
[1138.236] (S)熱田神宮: 中昇竜締めできるとこしか入らないっす
[1140.275] TheMuzzTV: it’s okay daigo I drop combos too
[1148.188] hitorinoyoruu: 迅雷大大は弱昇龍のみ
[1158.497] asseternum1: My man still dropping combos
[1173.577] (S)咲パンマン: ２段目中段ですねー
[1185.964] aranami0: ｗ
[1187.429] (S)fahmy0825: Wahaha
[1190.527] tough_boy_: ﾌｺﾞｰ
[1191.516] (S)熱田神宮: 確定入らず
[1193.672] no_name__yet: 中段くらっちゃうね
[1197.443] agouwha: ワカラン殺しされてるｗ
[1205.686] Botamoti1: ランクマ10連勝したら次キャラ試したいなって感じらしい
[1212.836] ledlight9413: ウメハラ成長中
[1227.749] yusatteyonde: 中段ウル4のエレナくらい強い
[1227.824] 泣き虫サクラ: 数日前に言ってたけど未だその縛りなのか
[1232.283] rasuan103: 垂直しててもキレイに引っ掛かるマノン中段
[1241.348] takk_frosty: マノン足なげーなぁ
[1266.518] agouwha: 言われて一回で中段立つのやば
[1267.898] pettan_omochi: 10連勝はもうしてないっけ？
[1271.463] (S)pansollo: karubisDon
[1278.216] まるいとうふ: umeCat
[1278.445] まさく: ヒットボックス使えるのすごいなぁ！コマンドキャラなら尚更！
[1280.843] kak_999: メインキャラケンになったら嬉しい
[1283.364] junskywalke: モデルでバレリーナで柔道って設定好きｗｗｗ
[1296.134] miruujyu: ウメちゃん、ついにマスターに！
[1296.355] (M)(S)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1297.343] redbull_daisuki: karubisFurifurii
[1298.696] hojihojidx: マスター帯で１０連ってことでは
[1308.103] pomeharu: 次使うのって多分ガイルになるよね
[1311.339] (S)fahmy0825: Lol
[1311.631] monjafighterx: マスターで１０連してないかな
[1315.873] rasuan103: ケンのSA１は優秀うだなー
[1317.945] takk_frosty: takk_frosty subscribed at Tier 1. They've subscribed for 42 months! 
[1322.743] 1108044k: DJつってたけど
[1323.700] 泣き虫サクラ: 前に言ってたのは次はDJ
[1327.611] (S)fahmy0825: When in pinch, just SA1
[1332.664] akiaki0612: ガイルは飽きたらしい
[1344.867] asseternum1: He should buffer run after fireball to catch em jumping
[1348.255] rdstus: ワンチャンでモダンザンギ
[1350.900] ロケッティア: おはよー
[1353.726] rump_momo: 早めに触るなら難易度高い方がいいよね
[1355.669] vespa127g: ひぐちくんはまだガイル？
[1360.811] takk_frosty: まぁあんだけやってりゃねぇ
[1372.116] オワオワタ: 今プロの中でモダンが流行りつつあるらしいな
[1377.008] umesecond: 10連勝キャラ替えルールってまだ適用されてるの？
[1383.002] GG_sensay: 昔運動部でバレーやってる子いたんだけど、筋肉付きがバレーに影響するから運動部やめた
[1393.052] Strix_NY: He switched back to joystick from buttons?
[1395.149] Goodwisp: ガイルはモダンルークどうしようもなさそう。イメージだけど
[1396.745] 1108044k: とりあえずケンが完全に馴染むまでは次キャラは無いと思う
[1399.978] asseternum1: Nope
[1405.916] jagajaga1943: モダンは更に頭ぐちゃぐちゃになるw
[1407.446] fus1on85: @DaigoTheBeasTV Hello Daigo, Do you want to play a FT10 vs. FChamp ???
[1408.493] umesecond: だよね
[1411.427] GG_sensay: no he has a new hitbox with more buttons
[1412.005] uudege: モダンルークが大会荒らしまわるんだろうなあ
[1414.773] redbull_daisuki: ガイル最強格って言われてる割に使い手少ないよね、日本だとひぐちくらい？人気ないんかな
[1416.257] (S)fahmy0825: Psrfect
[1422.944] RottySC: hggGolazo
[1423.281] yusatteyonde: リーサルいけるんだ
[1438.822] akiaki0612: ケンがやりがいあり過ぎる気がする
[1439.410] まさく: 白ケンはホント嬉しい
[1440.222] ひろみつー: 久々にガイル
[1440.469] GG_sensay: fchampが対戦したいって
[1443.544] (S)fahmy0825: Master Guile!
[1444.541] iwaisi: むずｗ
[1451.214] 浣熊俠: peachh9Letsgo
[1453.140] icyblue1985: ウメちゃんおはよう！
[1454.796] asseternum1: Ey a guile haven't seen those
[1455.505] fus1on85: FCHAMP VS DAIGO ???
[1468.927] takarasann: ウメDJも最高に見たいけどな
[1472.371] sawa_sgr: チャンプコメネモさんのとこにもいたな
[1483.593] peperon17: お、ガイル
[1484.334] asseternum1: Shooting
[1489.583] poyoyon915: Fちゃんぷはダルシム？
[1499.877] (S)fahmy0825: Aww
[1501.602] odin0741: ケンは自分の練度あがると露骨に勝率あがるの楽しそう
[1503.063] akiaki0612: 今回のガイルはブレイドが楽しい
[1505.760] 浣熊俠: henyatHenyasweat
[1509.602] ロケッティア: しんじゃった
[1515.001] vespa127g: 運搬
[1532.175] tasukete: モニターそんな下の方にあるのか
[1534.945] デコ_: 今のとこケンで対策難しいキャラって誰ですか？
[1536.583] gorilla_osaka: ニーバズとリバスピのモーションに違和感
[1537.492] (S)latenight000: ソニック抜けれるの強い
[1539.236] まるいとうふ: 反応はや
[1539.387] (M)(S)Moobot: ＊HyperX Cloud 最新モデル＊ 6/12 発売予定！
[1552.770] Blowthat: red bull victory sip
[1553.497] asseternum1: Man love them ex dp
[1560.133] (S)yut7xot8: レッパ強いね
[1560.393] kazurock69: トップレベルのモダンルーク同キャラ、どんな感じになるのか…
[1561.228] (S)manamolike: SA2のODブレイド連射で3000ダメ以上いくの面白いよ
[1561.860] (S)SUGAKIYA: 昇竜の精度はまだ完璧ではないよなあ
[1562.725] poyoyon915: アメリカ勢も西海岸なら対戦全然できちゃうもんなー
[1569.736] (S)fahmy0825: This Guile move fast
[1569.816] tang_swi: 珍しく1P側
[1588.908] オワオワタ: ネット対戦環境はいうことないよな現状
[1603.792] (S)fahmy0825: Bro, this Guile wild
[1609.473] junskywalke: まじで快適だよなあ
[1612.660] tabibitox: ガイルさん、コパン暴れパニカン大足ニーバズで入れ替え可能な模様
[1614.444] デコ_: スト６もやっぱ無線のほうが人子自体は多いの？
[1616.909] Goodwisp: チーターも買い切りだから話聞かないしね
[1625.776] jagajaga1943: ガイルの動きがほぼスト5だな
[1630.317] (S)SUGAKIYA: こんなにキビキビ動くのかガイル
[1640.782] Damimunches: Aggresive Guile like Nuckledu
[1652.245] unlimited_teddy: PS5もネット対戦快適なのかな
[1663.947] オワオワタ: なんだかんだでガイルに落ち着きそうな予感
[1677.600] (S)SUGAKIYA: PC環境構築するのめんどくさいからPS5が快適ならありがたいな
[1683.912] junskywalke: PS5は遅延があるらしいけど、プロレベルの話だろうね
[1685.764] beubeurn: wshhh daigooooo coucou de france 
[1687.807] GG_sensay: ps5もネット変わらないよ
[1693.368] odin0741: おおいけるな
[1694.047] tang_swi: ガイルは足や腕の当たり判定がわかりづらくなった
[1701.408] redbull_daisuki: 元相棒つえーな 
[1703.887] オワオワタ: 箱勢はおらんの？
[1706.721] HIDESAN_: バクステきもちぃえー
[1709.050] SirVIP: PS5でいいぞ
[1712.527] impossibru: monkaS
[1717.138] ロケッティア: 全部通す
[1717.413] gomeeen: モダン人間いたぁ！
[1717.738] 茶臼山りんごちゃん: お見事
[1724.542] uudege: おーうまい
[1724.672] umesecond: えいたばりの弾抜け
[1725.262] asseternum1: Lets goooo
[1729.291] seikeihanaobasan: ps4いるからps対戦切ってる
[1730.080] まさく: ガイルって溜め時間でｿﾆｯｸﾌﾞｰﾑ言ったり、ｼｭｰﾃｨﾝｸﾞ？言ったりなんかな
[1731.804] (S)manamolike: めくりか表かわかりずらくなってサマー対空が難しくなった。
[1733.113] (S)SUGAKIYA: PS5がオフ環境も快適なら大会はPS5になるかもな
[1733.569] (S)tomodaachii: Is he still having troubles with the buttons?
[1735.095] vespa127g: Downloaded
[1735.227] RaoulDukeLivesAgain: Exciting
[1744.907] chipstar9: モダン人間されるとガイル苦しそう
[1746.666] iwaisi: 弾抜けつえーな
[1747.343] ~MISSING_COMMENTER_INFO~: ジャスト入力じゃね
[1747.826] eojnai: is daigo ken?
[1749.582] hojihojidx: ブレイドに大足は５から変わらんなーｗ
[1755.901] uudege: PSは遅延あるの？
[1756.400] tabibitox: ジャストでしゅーてぃんぐ
[1758.313] sugarsato_: ガイルのラッシュニーバズなんか見た目うぜえ
[1759.753] Yuppier: This Guile is agressive
[1760.100] asseternum1: @eojnai yes
[1760.356] mastersaruwatari6060: Diago hasn't come yet? He is still playing Guile it seems.
[1763.776] RaoulDukeLivesAgain: Yea
[1771.650] (S)manamolike: ソニックにもサマーにもジャスト入力があるから言うことが変わる
[1775.830] woodmud: pc民だけど㎰勢とも快適に対戦できるな
[1776.449] poyoyon915: PS5はほぼないと言っていいくらい快適
[1789.392] ebityper: ニーバズは昔のモーションに戻っただけ
[1798.770] SirVIP: 5万くらいでほぼpcと変わらん
[1810.195] (S)SUGAKIYA: 実際振ってないからわからんけどガイルの通常技なんか使いにくそう
[1814.445] SirVIP: pcだと2倍は最低する
[1814.774] 血塗られたトマト: ウメちゃんおはよー
[1819.139] SUUKUN_: そもそも招待制の小規模大会じゃない限りPCはムリ
[1820.547] たく家: これは10連勝目指してる感じ？
[1821.659] (S)manamolike: ニーバズ、前入れで出なくなったのは使いづらい
[1822.279] poyoyon915: PCの最適化された設定よりわずかに遅延あるくらいみたい
[1823.639] niemalsaufgeben: PS5でもマスターもいるし、どっちでもいける
[1823.686] putukun: 本当に重ねむずい
[1824.112] Damimunches: Good Guile
[1829.296] Goodwisp: 実際重ねるの難しくなったきがする
[1829.534] peko0816: えいたはガイルに奮迅置いて急停止か昇竜切り替えてた
[1831.073] don_taco555: 対空地獄
[1833.004] redbull_daisuki: モーションだけなら５のガイルのが好きだな
[1835.274] rasuan103: 竜巻の当たり方で終わるケンきつそう
[1838.390] (S)fahmy0825: Wild Guile, amazing
[1838.491] (S)toristeron: 見た目より起き上がりが早い気がする
[1840.403] SirVIP: ガイルつええなー
[1841.148] Amendobobo__: oii daigoo
[1842.868] daichan1200: Ps5にWindows入れれたらなぁ
[1845.320] fus1on85: @DaigoTheBeasTV FT10 vs FCHAMP
[1847.789] デコ_: ガイルやっぱつよいなぁ
[1847.937] (M)(S)Moobot: ＊ HyperX Cloud 3＊ 先行予約受付中！ → https://hyperx.gg/42XVwOf
[1852.543] dcdryuya404: 重ねにくいとかコンボ繋がりにくいのってモーション見慣れてないからなんかな ６マジで難しい
[1853.471] riahisama: THIS MAN MASHING 
[1853.479] unlimited_teddy: クロスプレイ対応してたら最高だったのにな
[1859.314] (S)SUGAKIYA: 理屈上はスト5の方が難しそうだが、慣れの問題かなぁ
[1863.626] poyoyon915: 対応してるぞ
[1864.460] (S)霞_: PS5って１５万くらいのPCと同じくらいの性能あるからなｗ
[1868.682] でおあっかーまん: 昨日PCもPS5両方遊んだけど体感変わらなかったなー！
[1873.554] yusatteyonde: スト5がヌルかったのかスト6が特別ムズいのかどっち？
[1873.987] niemalsaufgeben: まだ一週間くらいだからしょうがない
[1874.913] ort12345: PCとPSの安定性よりも無線の人とやっても回線安定してるのがかなりいい
[1875.597] unlimited_teddy: どっちも持ってるからストーリーはPS5 対戦はSteamとか分けたい
[1892.466] eojnai: @riahisama this man ragequitting
[1892.660] カブトシロ: スト６王への道は長い。
[1893.572] dcdryuya404: 大ゴスしゃが中Pとかめっちゃミスる
[1900.043] ~MISSING_COMMENTER_INFO~: PC持ってたらPS5いらんやろ
[1913.966] doduece1111: 格ゲー始めようとhitboxの値段調べたら泣いた
[1914.760] (S)SUGAKIYA: 両方持つ必要は無い気がするが
[1922.810] ホナウド: 分ける意味あんのか
[1924.041] (S)matsupez: ウメさんおはようございます
[1934.122] GG_sensay: PC起動とか面倒だわー
[1934.616] デコ_: ゲームするまでの値段とか敷居どんどんあがってくよなぁ
[1937.099] uudege: 最初はコントローラーでモダンでいいよ～
[1937.369] SirVIP: 3万円とかラケットやバットと変わらん
[1938.054] aranami0: PCだけだとFF16できないじゃん
[1938.291] (S)SUGAKIYA: うおおおお挨拶うおおおおお
[1940.840] daichan1200: 最近独占タイトルも少ないしな
[1943.833] taaa_1224: おはよう
[1946.793] icyblue1985: パッドでもええんやで
[1949.803] x_RX_x: we're in losing streak
[1950.364] niemalsaufgeben: 大規模大会はPS5だと思うよ。同じPC用意は大変
[1956.577] putukun: ってか皆さんつえーなぁ
[1957.297] オワオワタ: むしろ今はパッドが主流だぞ
[1958.950] (S)vivfiw: 今はパッドでいいでしょ
[1959.786] viewingdirt: ヒットボックス買う前にキーボードで遊んでからで良いぞ！
[1964.582] poyoyon915: パッドでいいから大丈夫だよ
[1969.399] eojnai: damn
[1971.104] dcdryuya404: 来年出るFF7Rebirthも最初はPS5だけっぽくて震えてる
[1972.250] unlimited_teddy: 居間で家族といる時はテレビでPS5 1人で対戦する時は別の部屋でSteamみたいな分け方したいんですよ
[1972.775] bosh001: oh my
[1977.561] lijiaqi: ????????????
[1979.113] (S)fahmy0825: Damn from dropped combo
[1981.520] yusatteyonde: ヴァロ大会はPC何台も準備出来るのに？
[1986.124] umesecond: ナウマンがケンはコンボ90個あるってツイートしててそりゃきついわって思った
[1988.195] uudege: ヒットボックスは格ゲー異常者むけ
[1991.803] masmas999: いつのまにかマスターになってる
[1997.198] SirVIP: ヴァロに大会はpc持ってきてんじゃない？
[2002.204] viewingdirt: スト６はゲーム側で入力制限してるからキーボードでもヒットボックスに近いよ
[2003.808] オワオワタ: PCでウメちゃんの配信見たいからPS5版にした
[2006.064] odin0741: また怪しくなってきたか
[2008.796] dcdryuya404: まずい
[2009.135] sndkzfm1: スクエニはソニーと時限式の独占契約してるんちゃう？
[2009.251] lijiaqi: ?????????
[2009.413] daichan1200: VALOは選択肢ないじゃん
[2009.628] v_harumi_v: あれれ
[2011.389] bosh001: maybe ken aint for daigo?
[2011.702] akiaki0612: 店員ー
[2011.981] niemalsaufgeben: EVOとかだとヴァロと参加者の桁が違うし
[2012.408] tabibitox: ナウマンは昨夜新たなドリームコンボツイートしてた
[2015.586] asseternum1: Juris dash is pretty much a free drive rush
[2017.519] カブトシロ: 謎が解けた！？
[2020.431] woodmud: 居間で家族いるとことで㎰5で格ゲーってなんかいいねｗ
[2024.019] まさく: あっｼﾞｬｽﾄ入力ねthx
[2026.988] けろろがめ: 最近はゲームもPCよりPS5とかの方がパフォーマンス出ることも多くて一概にPC一択とも言えないんだよね
[2030.929] たあぼ0126: ジュリの地上技強すぎない？
[2034.926] デコ_: １６より７の次作が楽しみ
[2036.649] putukun: 強K壊れた？
[2040.832] fus1on85: WE WANT DAIGO VS FCHAMP OR RIOT
[2043.419] (S)SUGAKIYA: 独占タイトルやりたい方の機種でいいかなという感じ
[2044.788] fus1on85: FeelsAmazingMan
[2053.164] デコ_: ジュリはなんで初代コスじゃなく５コスなん？
