[34.083] eren_ackerman: lets gooooooo\
[35.590] kiku1133: ちゃあああああん
[1013.188] げら: オーナー強かったなー
[1014.205] ray14777: 今日は確か夕方までしかゲーセンウメハラは開店出来ないはず
[1014.366] 3_dots: mornin diego sensei
[1026.199] prisira: 最強のウメ信者だからウメハウス来たいだろうなぁときどｗ
[1030.036] tw_numa: 今日ストVは格ゲー星人に制圧される日かもしれん
[1030.938] グレートドラ: 志郎さんって北斗でラオウ使ってた人だっけ
[1050.225] ゴン攻め: お、初めて見るお方だ
[1052.913] takahashiseigi: お互いバーンアウトは、スト2チックになるね…
[1058.533] chipstar9: ぶっぱな志郎 ラオウの人
[1067.311] ギアふっしー: ときどのゲーム
[1067.854] market_fujisaki: この完全に煮詰まったのに無敗はヤバすぎるんだよな、マジで
[1079.859] 戸愚呂妹: 確定！の人
[1080.224] sengoku_iori: ウメさんは打ち上げに呼ばれてるから夕方までなのかな？🤔
[1082.574] ノイきち: 格ゲー星人は打ち上げとか行かずに今日の夜には6やってそうだからなー
[1082.796] ray14777: 今日夕方までしか出来ないとか、もしかして店長、トパンガの打ち上げ呼ばれてる！？
[1084.604] kusogekun: ラオウかアベルで行こう
[1097.462] korekitwitch: ここぞの生インパクト
[1131.041] グレートドラ: 北斗勢はブースト差し込みみたいな感覚でラッシュ使ってきそう
[1216.761] niemalsaufgeben: スト6発売前に新宿のコラボカフェ行きたいな
[1223.071] (S)fahmy0825: Is that noble?
[1251.268] (S)一1990: p
[1253.505] nnmdfs: 今日も体験してるねー
[1264.136] tw_numa: つよい
[1269.988] yomogi0610: ウメさんレッドブル飲んで寝れました？
[1278.475] ぢょごぢゃん: 今日はうめさんがずっと座ってそう
[1282.971] balthazar000: 一週間先取り
[1285.612] hikky722: @FahmyAbdul0825 yes
[1287.785] グレートドラ: nobleさんの冷静な指摘
[1292.288] ノリントン: 今日のメンツはどんな感じなんだろ
[1294.351] takahashiseigi: 喉の調子悪そうで、心配ですね
[1294.497] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1296.573] (S)fahmy0825: @hikky722 I see, thanks
[1302.065] 超パンダ: ２人とも声ちっさ！！！
[1307.001] yuzubox: もう少しで１６キャラ追加や
[1310.009] tactics_shin: オフ対できる体験版でホントよかった感
[1315.415] tw_numa: コーリン出てもいいのに
[1321.480] x_abu_xx: 飛んで降りるしたい
[1326.370] prisira: ももちの配信でもまだ発売してないって話してたなｗ
[1328.164] (S)poto2panapa: ウメちゃん日に日に昇竜でるようになってるな。良かった。
[1331.532] sei_6: キンバはつよそうだよなー製品版でも、
[1334.910] balthazar000: 色の配置的にShutoに似ている
[1338.538] akinikuihuku: かける ささも じゃじぃ
[1342.999] manamolike: ノーブル君、以前はぼうずだったのにおしゃれな髪形になったなw
[1350.271] balthazar000: 設置と飛び込み持ちは強いんじゃないかなぁ
[1361.133] tw_numa: シュートの弟って言われても納得する
[1364.795] toyplastics: ももちは計算したら200時間以上体験してた
[1377.360] (S)マンゴスチン: きちゃ！
[1378.002] v_harumi_v: ご来店！
[1378.459] hikky722: jassy kakeru sasamo is coming
[1385.340] gorilla_osaka: 新人研修
[1385.457] (S)brutal9998: 早えな、誰だ
[1385.782] クレちゃ: 今回のCPU戦は波動撃ってるだけじゃ勝てないのが良い
[1387.178] 泣けるぜ: お
[1390.658] krs3737: 店長によるOJT
[1392.557] akasanz3x: らっしゃせー
[1394.302] kenitama: レクチャー
[1395.489] 墾田永年私財砲: 200時間ｗｗｗ
[1397.276] ノイきち: 業務内容の説明
[1398.377] blackie_1988: 従業員の仲間入り
[1400.458] (S)WhiteShoreDrive: 新人教育かな？
[1406.879] (S)brutal9998: かけるささもか
[1408.482] hitmehitme: いいですか－ｗ
[1411.827] gorilla_osaka: ささモン
[1411.955] tactics_shin: 交流の輪が広がるウメハウス
[1412.375] yomogi0610: 新人教育ｗ
[1430.280] shigepedia: OJT
[1440.526] ray14777: 諦めたらそこで試合終了ですよw
[1441.527] takahashiseigi: シノビ頭領はアレで、オフ対戦全然少なかったらしい、恐ろしい…
[1443.392] kusogekun: 発売後も月１くらいで良いからウメゲーセン見たいね
[1446.495] tw_numa: 諦めたらそこで
[1450.453] au0724: いぶし銀のメンバー やる気あっていいよねぇ
[1452.258] chipstar9: 諦めるんじゃねぇ！
[1457.960] market_fujisaki: ランクマとかならともかく相手がｗｗｗ
[1476.542] tasukete: SFLに参加できなかった人たちが毎日集まるんじゃない？
[1480.492] いちたすいちわ: スト4を1人で生き抜いた男はやはり違う
[1488.831] yomogi0610: ｗｗｗ
[1489.865] bunkichi23: ｗｗｗｗ
[1490.757] alice_in_jp: 草
[1492.855] ギアふっしー: 嫌味っぽいｗｗ
[1496.422] hitmehitme: 煽りか？ｗ
[1498.091] tsubame5204: umeYay
[1499.425] ゆるさな: 遠出しなくていいウメちゃんにとっても最高の環境だから続きそうだけどな
[1500.069] tw_numa: 画面端で止められる
[1506.073] nikorinko: うめさんが SFLのチーム探訪してほしいなあ
[1516.538] prisira: ささもくんきたー
[1518.324] yakizakanada: でかい
[1518.455] ギアふっしー: 椅子壊れちまう
[1518.955] akasanz3x: ささもにいい
[1519.498] (S)fahmy0825: sasamo boxer
[1519.592] lutz001: でかい
[1519.879] murmur2000: でかぁい
[1520.522] tw_numa: でっか
[1521.722] aranami0: デカイ！
[1522.310] alice_in_jp: 今日のささもTシャツはなんだ
[1522.395] blackie_1988: でけえ
[1522.823] ゆるさな: デッカ
[1523.512] いちたすいちわ: でかぁ
[1524.128] 戸愚呂妹: ごめんね画面端で。これは流行る
[1525.873] hitmehitme: えっど
[1525.975] x_abu_xx: 今日もでかい
[1529.532] esutark: 右の方は誰ですか？シュートくん？
[1530.980] toyplastics: 熱帯に問題なくてオンよりオフの方がいいってこともあるんかな、隠したい時くらい？
[1532.707] krs3737: 画面に収まらないささもにぃ
[1532.779] pandadaiou23: アビィ
[1534.169] ray14777: 店長はチームの垣根を超えて最強になって1億取る男になるな
[1534.195] prisira: メナとならんだら圧がすごそう
[1535.533] ゆるさな: Noble
[1535.791] グレートドラ: SFL始まってもこのゲーセン続いて欲しいよね
[1537.092] gorilla_osaka: 今日は割と普通のTシャツ
[1537.591] akasanz3x: ノーブルくん
[1538.787] (S)brutal9998: のーぶる
[1542.403] lutz001: 社会の窓あいてた
[1543.137] hsienOK: sumo
[1545.963] pondenring0930: 今日はだまらない
[1548.527] hikky722: go to the skate park
[1550.450] Goodwisp: 腰回りが日本人のそれではない
[1552.785] (S)マンゴスチン: GO TO THE SKATE PARK
[1553.318] (S)shinobuchan4649: そろそろ発売か
[1565.105] akasanz3x: もうスタンバイしとるｗ
[1568.080] hitmehitme: 本田いるって
[1570.432] tw_numa: ももち「実質もう発売日じゃん」
[1571.615] ギアふっしー: スタンバイはっやいｗ
[1575.287] Emilkof: who is the other player?
[1576.998] yomogi0610: ふとましい
[1580.896] すかんぽ: デッ！！！！
[1587.335] kusogekun: レバーちいさｗｗ
[1587.344] takahashiseigi: ももち曰く、少しでも前歩きしてるって攻略は、気づかなかった
[1588.870] esutark: ありがとう シュート君グレたかと思った
[1592.383] gorilla_osaka: 身長高すぎてうつりきってない
[1598.664] ノリントン: 土俵前
[1601.604] toyplastics: メナとササモで横対戦してほしい
[1607.806] (S)マンゴスチン: SASAMO
[1612.216] tasukete: ノーブルとささもとあとだれ？
[1616.981] (S)brutal9998: サンクチュアリの出演者かな？
[1621.753] ギアふっしー: みんなまずは店長と戦いたいんや
[1627.048] 36mgh: メナとササモ君に相撲取ってもらいてえ
[1637.141] rqdr1: they want to beat daigo??
[1638.208] au0724: かけるくんかな？
[1641.939] esutark: 店長というパンチングマシーン
[1655.019] merkava_mk2: バーディー来てるやん
[1657.667] 戸愚呂妹: メナ、七先の準備は出来たか？
[1665.269] ギアふっしー: ありまーす
[1674.172] takahashiseigi: 店長、明らかに青く光る回数増えてる
[1675.212] toyplastics: 弁当7先
[1680.169] hikky722: kakeru aka Uzura
[1680.876] prisira: 地上戦の駆け引きうますぎるな
[1690.648] ranbin5656: 粘りつぇえ
[1695.113] tw_numa: よかったのか？この体験版無料で
[1697.550] gorilla_osaka: ささモン今年頑張ってほしい
[1728.691] lutz001: 体験版の時が一番楽しかったとかありそう
[1743.164] mokkoritaishou: ささもでけええええええええええ
[1746.182] ノリントン: 土俵入
[1747.304] prisira: いやーＳＦＬまじ楽しみだな
[1751.295] ebiebi12: 店長強い日
[1752.276] shin_akito: まだ朝よ？！
[1752.454] Spike_rod: PS5起動しとこ
[1752.788] クレちゃ: ささもくんやん！頑張れよ！
[1754.192] ギアふっしー: 荷重限界になっちまう
[1754.604] ray14777: 店長、今日トパンガの打ち上げ参加するなら、海外勢ウメハウスに誘ってくれないかなw
[1754.792] daisan777: デカいやつ来たな
[1755.875] 戸愚呂妹: ノーブル君子供みたいだな
[1757.875] yomogi0610: でかい
[1763.575] kurone_2022: 画面がせまい
[1765.044] ~MISSING_COMMENTER_INFO~: 米あげて
[1765.388] shin_akito: ももち強かったですね
[1765.983] 超パンダ: 椅子大丈夫か？
[1768.408] tw_numa: 福島から来てるのか？
[1768.638] グレートドラ: 体験版のせいで製品版の期待値が爆上がりしてる感はある
[1768.697] matsukaze: メナが来たら面白いのに
[1781.285] いちたすいちわ: メナよりでかない？
[1782.637] chipstar9: ささもとメナで企画お願いします
[1784.122] 墾田永年私財砲: 期待値超えてくっからよ！
[1786.011] market_fujisaki: 製品版出る前に帰らないと帰りたくなくなりそうだなｗ
[1786.853] kanatazx: 今日は夜ウメさん人狼あるからね
[1791.625] ekusu00x: 金さんとどっちがでかい？
[1806.887] ~MISSING_COMMENTER_INFO~: 人狼あるの？やったー
[1813.358] mashe1748: 人狼今日？
[1813.603] kageuraiceman: 今回リュウとルーク使ってる人多いね
[1816.121] donekofg: 明日じゃない
[1817.342] hukohuko: 人狼もいぶし銀勢か
[1817.652] v_harumi_v: 人狼は明日の21：00～だったような
[1819.486] (M)(S)gameinntwitch: 人狼明日ですよね？
[1821.691] gorilla_osaka: 製品版バイソンいないけど何つかうんやろ
[1825.897] kanatazx: 明日でしたね
[1826.517] (S)brutal9998: 明日
[1828.425] yomogi0610: 明日か
[1831.087] 墾田永年私財砲: KOKU-NIがTwitterで告知してたよ
[1832.049] donekofg: 今日はトパチャン最終
[1834.629] v_harumi_v: メンおじさま、おはようございます。
[1836.177] takahashiseigi: 昨日シノビルーク経験して、攻略進んだね…
[1841.443] niemalsaufgeben: ちなみに、カプコンストアで今スト6体験できるけどな。昨日いった
[1844.189] りあ仮称: DJらしい
[1844.460] ギアふっしー: 今日は打ち上げ 明日が人狼 それでもゲーセンは開く店長の鏡
[1855.868] au0724: ささもくんはディージェイが気になってるらしいよ
[1859.546] prisira: 売れてる男の覇権配信
[1870.037] gomesu: 何の打ち上げ?
[1872.227] 墾田永年私財砲: ササモディージェイつよそう
[1875.010] グレートドラ: こくにいの企画で体重00kg以上の〜リーグ開かせよう
[1875.957] (S)brutal9998: ツネに騙されて波動拳が使えてなかったところまでワンセット
[1880.973] yuzubox: トパンガ打ち上げ
[1885.470] 戸愚呂妹: エンディングウォーカーの試合が面白すぎるわトパチャン
[1893.918] (S)一1990: 真空昇竜増えてる
[1902.250] gomesu: トパンガ打ち上げ、情報ありがとうございます！
[1904.293] jagajaga1943: エンディングウォーカーの雰囲気や戦い方が昔のウメちゃんっぽくて好き
[1906.458] maddy2623: 打ち上げ皆勤の王
[1911.489] あるくです: 金さんとささもにいぐらいしかでかい人思いつかない
[1912.140] 36mgh: エンディングウォーカーがコンビニで声かけられたってのが笑った
[1934.594] prisira: ＥＷトパチャン終わったあとときどに野良してたんだっけ？ｗ
[1934.845] ray14777: むしろトパンガ参加者全員を月曜日のウメハウスに誘ってくれー
[1937.870] 戸愚呂妹: ジャガジャガさんの分かる
[1948.560] takahashiseigi: EWは果たして陽キャなのか、隠キャなのか…
[1949.687] (S)matomona: 今日ゲスト解説で出るかと思ってました
[1956.404] matsukaze: ささもさんてブラジル人なんだ
[1971.974] toyplastics: エン兄のTwitter可愛過ぎる、ウメには無いもの持ってる
[1979.267] めたも: サブは稼働しない感じ？
[1984.920] RedmundR2: lukes super 2 is a cool animation tbh
[1987.432] (S)jigokunonekomatu: 鹿児島の人じゃないの？
[1989.589] tararanran: 呼んだところでVメインで対して6やってないのでは
[1989.824] グレートドラ: ハーフじゃないっけ
[1996.957] (S)mobageiskusoge: ササモくんのお母さんはブラジル人だとかなんとか
[2011.808] xNane3fs: let s go diego umehara
[2022.179] balthazar000: 苦しい、、、
[2037.611] niemalsaufgeben: ムズいとこが
[2048.972] (S)jigokunonekomatu: サブの二人誰ですか？
[2050.951] yuzubox: ｗｗ
[2052.844] gorilla_osaka: ｗｗｗｗ
[2053.607] グレートドラ: あのタイミングでダメなんだ
[2054.214] (S)一1990: ｗ
[2054.657] ギアふっしー: 俺ならいける！
[2072.870] tsubame5204: umeNirami
[2077.394] tasukete: ガチくん無理？ウメハラ無理？オレならいける！
[2086.340] takahashiseigi: ツネヒーローがふかしこいてたw
[2086.553] ギアふっしー: 格ゲーマーの朝は遅い
[2089.226] hojihojidx: 確らん系
[2091.027] market_fujisaki: 昨日ツネHEROもいたのか
[2097.385] 紅べこ: いまのは見てから？
[2100.035] (S)mobageiskusoge: サブの2人はかけると...？
[2103.054] jagajaga1943: サブ起動しないのかな
[2107.114] グレートドラ: ノーブル
[2108.313] クレちゃ: 頑張れささもん
[2119.825] au0724: 昨日はガチくん解説終わりに来てたね
[2123.496] (S)brutal9998: まず店長との面接対戦があるから
[2124.682] donekofg: 昨日のわや楽しかった
[2134.660] (S)jigokunonekomatu: ノーブルくんか。垢ぬけたね
[2137.086] あるくです: 優しいうめちゃん
[2137.721] ぢょごぢゃん: おじさんゲーマーじゃないとおじさんには勝ち越せない
[2142.004] toyplastics: ももちは昨日のウメ戦の感想で「急にスト2やらされる」って言ってた
[2149.607] ta2_tattuu: 2：2の4人だと固定されて回らないからね
[2150.355] (S)gazesd: 店長色々見てるな
[2151.699] グレートドラ: 完全にゲーセン店長の会話
[2151.821] (S)mobageiskusoge: あ、ノーブルくん
[2152.343] (S)一1990: これはたいへん
[2153.823] ギアふっしー: 店長のパンチングマシンによるスト６力測定があるから
[2154.851] (S)brutal9998: ツネはアレで何であんな強いんだw
[2161.865] (S)mobageiskusoge: サンキュー
[2165.833] (M)(S)gameinntwitch: 昨日のマイクエコー謎だな。長時間配信しすぎたか
[2168.716] tasukete: ウメももちは戦績的にどうだったの？
[2173.819] berurusuko: ｗｗｗ
[2175.985] iwaisi: ｗｗ
[2177.110] (S)brutal9998: ボロ負け
[2177.869] (S)WhiteShoreDrive: 結論ｗ
[2177.870] あるくです: ツネは格ゲー力でゴリ押してる感
[2182.313] 温かいやさむぎ: ささもくんですか？
[2192.210] hiroyaga: 昨日のガチくんは面白かった
[2192.554] takahashiseigi: ツネヒーローは、人間性能高い、あとはやり込みかな
[2195.940] dash_007: dash_007 subscribed with Prime. 
[2196.208] (S)brutal9998: でもプレイが変わって強くなったと喜んでた
[2199.580] ギアふっしー: ５－１３ぐらいで負けたんじゃない？
[2213.404] ギアふっしー: ｗｗ
[2219.496] sakazuki_gensui: Diego
[2220.310] iwaisi: ｗｗ
[2223.139] tasukete: SFL出ない間に追い越してほしいな
[2229.084] au0724: 8-15 か 8-16 くらいだったかな？
[2229.125] (S)aliyome: メンおじ、マイクをミキサーに繋いでからOBSに取り込むなら同期ズレしないけど、OBSで2入力を使ってる場合は配信が長引くと同期ズレ（片方の音源だけ遅延したりする）することがあるよ
[2238.946] げのじ: 若手をわからせていくおじ
[2242.894] ぢょごぢゃん: 今日は店長がメインday
[2244.512] rain_ford: 今日開店はえーなｗｗ
[2244.867] esutark: ウメももちは3回に1回かい勝てて終わった
[2246.464] nnmdfs: レッドブル飲んでからは2-0
[2249.691] (S)brutal9998: 眠くなってあからさまにプレイの質が落ちちゃったのが勿体無かったけどね
[2251.523] berurusuko: 日々成長
[2252.854] 36mgh: 若手に胸を貸す横綱って感じだ
[2253.729] sakazuki_gensui: なり君は？
[2256.140] TB2117: 今日はウメコーチになってるな
[2258.932] bunkichi23: ｗｗｗ
[2262.959] v_harumi_v: おぉ。詳しいお方が！
[2264.160] 紅べこ: リターンが全く違うけど、弾には打撃仕込みパリィなのかな
[2271.014] 温かいやさむぎ: なりくんってだれ
[2272.144] ギアふっしー: ６時過ぎたらウメちゃんめちゃくちゃ眠そうだったしｗ
[2272.453] jagajaga1943: ボタンがはじけるｗ
[2274.855] maddy2623: ももちはかなり文明が進んでた
[2277.196] SistemaUno: is sasamo half indian ?
[2281.708] ぢょごぢゃん: w
[2288.858] (S)brutal9998: 昨日はももちもそうだしツネのわやがやばすぎたw
[2289.207] Paizamx: that guy speaks nice Japanese
[2304.700] esutark: 8勝15敗かな
[2306.790] niemalsaufgeben: 速いゲームは疲労もはやい
[2306.844] sakazuki_gensui: ササモお前ストリーグ結果でない場合まず痩せろ
[2308.203] 戸愚呂妹: Brazil
[2308.967] au0724: 最後はウメさんが2連勝してたね
[2318.265] (S)jigokunonekomatu: だまれTシャツはお休みか
[2318.431] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[2331.221] maddy2623: ウメちゃん後半ブル決めたから
[2336.693] あるくです: うまい
[2337.638] takahashiseigi: シノビ頭領経験したら、そら攻略進むわね
[2344.141] ギアふっしー: PADモダンでやるつもりだけど、長時間やったら指痛くなるのがなー
[2349.662] (M)(S)gameinntwitch: なるほど。確かにマイク二つにしてから長時間配信したことないかもしれない。まぁマイク二つってのがそもそもその場しのぎ過ぎるからしゃーないか
[2352.738] ゆるさな: リュウ使いっぽい弾撃ち
[2354.182] スケ111111: わわわ
[2354.411] tasukete: ビーストってもうミルダムはスポンサー降りてるのよね？
[2356.904] tw_numa: ついにリュウ仲間が
[2362.444] jagajaga1943: モダンならそこまで指いたくならないんじゃない？
[2369.140] au0724: ブルきめた後のウメさん強かったねw
[2375.013] ギアふっしー: とりあえずあと１週間だしあまり気にしすぎないでいいんじゃないか
[2387.114] daisan777: サブ機能しない感じですか？
[2392.118] (S)brutal9998: でもマイク２つにしたことでサブ台の声も聞こえてよりゲーセン感が増した
[2392.737] 温かいやさむぎ: このゲージの管理がくそむずいし使い方もむずい
[2394.913] あるくです: パッドはどうしても親指痛くなるからモダンキーボードにした
[2405.869] 戸愚呂妹: パッドは十字キーだと指痛い
[2411.923] サーフイ: おはよう ウメちゃん
[2412.082] au0724: 4人だと対戦相手が固定になるからじゃないかな
[2413.126] 紅べこ: 高い！
[2413.687] ぢょごぢゃん: ももちゲージ管理うまかったなあ
[2418.310] tw_numa: 2カメ動いてるのこれw
[2420.580] JadenSmithEyes: plupSundayDrive
[2424.728] ~MISSING_COMMENTER_INFO~: 🤩🤩🤩
[2442.299] ギアふっしー: モダンでもできる時はコマンドでやってるからだんだん疲労していくんよね
[2447.015] ~MISSING_COMMENTER_INFO~: Nice comboooo
[2447.675] (S)Jasminexxx2525: 今日もたくさん来るのかな
[2454.128] (S)jigokunonekomatu: そこでファイティングコマンダーオクタですよ。指痛くなりにくいんだわ
[2458.554] niemalsaufgeben: パット勢にHORIパットがいいと聞いた
[2462.776] niko_with_attitude: Not speaking Japanese  
[2471.285] ぢょごぢゃん: 背面ボタンいらないんかな
[2474.329] クレちゃ: 今のうちウメさんと戦いたいシフトかな
[2479.912] JadenSmithEyes: plupYUMYUM
[2480.965] jagajaga1943: 背面ボタン付きファイティングコマンダー欲しいよね
[2481.337] au0724: あと 来るの じゃじいくんかな
[2483.708] lutz001: 指は２，３回皮めくったらガチガチになって痛くなくなる
[2485.584] iStormBlaze: bless you
[2485.969] Paizamx: omg covid...ggs
