[9.323] (S)ふれーく: わこらだ」
[58.270] (S)ヌメリ: わこらだ
[58.485] (S)tamakooo__: わこらだ！！！
[58.710] (S)スパーズ: radaoWakotu
[58.713] (S)わんと: わこらだ
[58.920] (S)空うさぎ: わこらだ！
[58.924] (S)rosemary0920: わこらたま
[58.942] (S)はるのてゃん: わこらだ
[59.924] (S)piroropiro: radaoWakotu
[60.174] ねねねい: わこらだ
[60.244] (S)とりにく1026: むちゃくちゃ嬉しい！
[60.452] pu_tyan: わこらだ
[60.671] (S)~MISSING_COMMENTER_INFO~: わこらだ 
[60.960] (S)きのこの炊き込みご飯: わこらだ！
[61.014] からたべ: わこらだ
[61.526] (S)あいざｻﾝ: わこらだ
[62.022] (S)ruan_mt9: radaoWakotu
[62.204] (S)ogapaka: わこらだ
[62.226] (S)netaiyo: わこらだ
[62.238] (S)ここねり: ゾムさん久しぶりだ〜
[62.255] (S)Riondam0626: わこらだ 
[62.457] (S)いざゆかん: わこらだ 
[63.125] (S)kikurinty: わこらだ
[63.178] atto224: わこらだ
[63.465] (S)himikokichi_06: わこらだ
[63.697] (S)mihhi_1126: わこらだ
[63.786] シヴ: わこらだ
[63.847] (S)oootyao: radaoWakotu
[64.563] (S)kaz19212: わこらだ
[64.572] (S)椎名奏雨: わこらだ
[64.764] (S)ほまれ: わこらだ
[65.039] (S)BONOBONO_K: わこらだ
[65.264] (S)oyasai_rc: わこらだ
[65.270] emuuun_04: わこらだ
[65.802] zusshin_sushi: わこらだ
[65.817] (S)nakihai556: わこらだ
[65.868] (S)nemu_rrr: わこらだ
[65.903] shimeno_n: わこらだ
[66.054] (S)nqta_coconut: わこらだ！
[66.075] (S)らふれ: radaoWakotu
[66.165] (S)うららかこ: わこらだ！！
[66.276] (S)ディンダン: radaoWakotu
[66.326] (S)ジンコ: わこらだ！
[66.651] salt_w12: わこらだ
[66.842] (S)shinichan227: !uptime
[67.050] (M)Nightbot: らっだぁ が配信を始めてから 1 minute 15 seconds 経過しています。
[67.053] アリーガちゃん: わこらだ
[67.255] (S)きのこの炊き込みご飯: このメンツ久々〜！
[67.372] 夏肆句: わこらだ 
[67.462] (S)guri_415: わこらだ
[67.508] (S)crazyhuton: わこらだ
[67.553] (S)akkanvea: わこ
[67.592] (S)atuono: わこらだ
[67.806] (S)riyuu25: わこらだ！
[67.996] (S)はちみつトマト: わこらだ
[68.011] まぁと: わこらだ
[68.186] (S)のこ汰: わこらだ
[68.409] (S)yona_0724: わこらだ
[68.479] 椋榎: わこらだ
[68.619] (S)buuuuusuka: わこらだ
[68.735] 角角家: わこらだ
[69.316] (S)box_tissue: わこらだ
[69.512] (S)かくはい: わこらだ
[69.517] (S)ももなっとう: わこらだ
[69.723] ニコ丸0429: ゾムさん久しぶりやね
[69.734] (S)uro_1604: わこらだ
[69.845] ねねねい: radaoWakotu
[69.903] (S)tomomo252: わこらだ 
[70.074] (S)gin_basket5: わこらだ
[70.097] おもち3333: わこらだ
[70.315] otenba_usagi: わこらだ！
[70.316] charosenpai: radaoWakotu
[70.373] unauna713: わこらだ
[70.513] matchamochi117: radaoWakotu
[70.807] (S)Shananbo: わこらだ
[71.530] (S)syao7893: わこらだ
[71.615] (S)pipu_bare: わこらだ
[71.730] (S)あム: わこらだ
[71.745] (S)ぴす615: わこらだ
[71.947] (S)らふれ: わこらだ
[71.973] truthdayo: わこらだ
[72.381] しかくのさんかく: わこらだ
[72.592] (S)marimoko6231: わこらだ
[72.666] mochiiita: ぞむお久しぶり
[72.945] ふーーーか: radaoWakotu
[73.150] (S)nashu_noike: わこらだ
[73.308] enpt___qmq: わこらだ
[73.534] akoakoko: わこらだ
[73.629] (S)数式記号: わこらだ
[73.692] (S)ki_tsuna: radaoWakotu
[73.756] (S)天童: わこらだ
[73.757] (S)とむこあ: わこらだ
[73.938] ずきゅきゅんた: このメンツ久しぶりだね
[74.148] (S)howlin_0: ゾム〜？？
[74.225] gawrib: わこらだー！！
[74.628] とりのすけ: とりのすけ subscribed at Tier 1. They've subscribed for 14 months! radaoWakotu
[74.751] kurumi0108: radaoWakotu
[74.808] ayunosioyaki0223: wwww
[74.838] ぶぶた: わこらだ
[75.135] (S)mohanan_139: わこらだ
[75.368] かなめーかなめー: わこらだ
[75.539] (M)BullchaN: radaoWakotu
[75.580] (S)k1444557: わこらだ
[75.799] たか野: radaoWakotu
[76.182] しなやかしょうゆ: わこらだ
[76.377] もじゅべ: わこらだ
[76.598] ryokiki: わこらだ
[76.830] mochiiita: わこらだー
[76.919] 梨一: wwww
[77.136] (S)potayu01: もしかして…
[77.154] が_じゅ: gaa_juu subscribed with Prime. They've subscribed for 20 months! わこらだ
[77.160] にぃぃぃ: わこらだ
[77.319] (S)saika00002: radaoWakotu
[77.906] ひのした: わこらだ
[78.127] (S)ぴす615: radaoWakotu
[78.360] (S)drem_chan: わこらだ
[78.437] satuki_mochi: わこらだ
[78.643] yoshinari1033: わこらだ
[79.114] ほたころ: わこらだー
[79.162] (S)ろみ_63: わこらだ
[79.261] pu_tyan: www
[80.485] mizuno0624: わこらだ
[80.586] otenba_usagi: www
[80.645] (S)Hinagon2: わこらだ
[80.654] くまべりー: わこらだ
[81.088] 胡桃柚子: わこらだ
[81.549] ~MISSING_COMMENTER_INFO~: わこらだ
[81.650] プラず: わこらだ
[81.680] (S)ほまれ: radaoWakotu
[81.688] acha0922: わこらだ
[82.517] (S)はとと: radaoWakotu
[82.653] (S)そふぃ3: わこらだー
[83.138] dairyu1128: わこらだ
[83.253] left_2_10: わこらだ
[83.807] shirohappa: shirohappa subscribed at Tier 1. They've subscribed for 15 months! 
[84.205] nanoEditore: わこらだ
[84.498] (S)oredayooo: わこらだ
[84.699] (S)うめきちさん: umekichi3 subscribed with Prime. They've subscribed for 7 months! 
[84.792] higiomi: わこらだ
[85.204] toitoi_526: わこらだ
[86.320] tanuki_pan: radaoWakotu
[86.352] ねここねる: radaoWakotu
[87.105] もくてんじん: またたび酒 subscribed at Tier 3. They've subscribed for 6 months, currently on a 6 month streak! わこらだ
[87.149] waraashi: わこらだ
[87.163] (S)yuuka_0223: わこらだこのメンツひさしぶり！
[87.372] (S)k1444557: 大好き！ゾム！！
[88.417] ~MISSING_COMMENTER_INFO~: radaoTrain
[88.683] (S)ruchi_13: わこらだ
[88.716] (S)ぴす615: www
[89.162] ノラネコ0817: radaoWakotu
[89.379] (S)快眠枕: わこらだ
[89.398] gawrib: ゾムさん久しぶりだなー！！
[89.562] kuru053: わこらだ
[90.541] (S)kotocha_: わこらだ！
[90.706] うゆり: わこらだ！！
[90.957] (S)tumugi_76: わこらだ
[91.190] (S)ｴﾘﾓﾄ: わこらだー
[91.207] (S)うめきちさん: わこらだ
[91.325] riku0572: わこらだー
[92.207] (S)nerogatto13: わこらだ
[92.253] raia_0711: わこらだ
[92.368] (S)drem_chan: radaoWakotu
[92.584] (S)ぴよきゃりー: わこらだ
[92.806] (S)riin_2020: わこらだ
[92.819] うゆり: 天才か！？
[93.315] nanoEditore: radaoWakotu
[94.002] mizuno0624: mizuno0624 subscribed at Tier 1. They've subscribed for 17 months, currently on a 3 month streak! 
[94.162] ずきゅきゅんた: radaoWakotu
[95.482] (S)haaayatee: わこらだー
[95.484] (S)so_ra__ra: わこらだ！
[96.238] (S)あんま: annma88 extended their Tier 1 subscription through September! 
[96.867] mamo_tarou: radaoWakotu
[97.100] (S)akane2012: お疲れ様です！
[97.907] ぴあす: わこらだ
[98.632] (S)あいざｻﾝ: radaoWakotu
[98.859] (S)misaki_568: わこらだ！
[99.002] toppy3939: radaoWakotu
[100.648] (S)Hinagon2: radaoWakotu
[100.751] (S)drem_chan: サブ限ありがとな
[101.831] shapu_meg: わこらだ
[102.070] (S)ちよらん: わこらだ！
[102.257] (S)あんま: わこらだ
[102.287] もろこっし: わこらだ
[102.479] (S)rimuruuu2020: radaoWakotu
[102.482] 深那: わこらだ
[103.095] ちよび: わこらだ〜
[103.400] (S)hakudesu117: nayukun117 extended their Tier 1 subscription through September! 
[103.651] ねここねる: わこらだ
[103.827] (S)tsubuanpaaaan: わこらだ
[104.274] (S)tumugi_76: 無限ｗｗｗ
[104.620] ayunosioyaki0223: シンデレラ死んだよ
[104.856] (S)nosuke0511: 久々だなあ
[104.975] (S)快眠枕: radaoWakotu
[105.012] mizuno0624: うれしいメンツ
[105.222] (S)ruchi_13: 無限列車
[105.949] ギンナン: わこらだ
[106.157] (S)howlin_0: 無敵の人だった、、、
[106.289] (S)shilva_0: わこらだ
[106.765] 大和1007: わこらだ
[106.841] (S)yaaaaaagi: yaaaaaagi subscribed with Prime. They've subscribed for 7 months, currently on a 7 month streak! 
[106.986] ゆうの: わこらだ
[107.198] (S)宮瀬: わこらだ
[107.354] ニコ丸0429: 無敵の人だね
[107.556] (S)毛玉たらこ: radaoWakotu
[107.570] matchamochi117: あ
[109.066] (S)peroki0531: あ
[109.658] (S)すずやんさん: わこらだ
[109.864] (S)かんころ丸: kankoromaru494990 subscribed at Tier 1. They've subscribed for 9 months! わこらだ
[109.885] (S)misaki_568: わこらだ
[110.148] chirol__: あ
[110.333] (S)ayamitsuuuuu: わこらだ〜
[110.373] (S)そふぃ3: 久しぶりのメンツだなぁ笑
[110.774] yuki_snowdrop: あ
[110.977] (S)tuki_41217: わこらだ
[111.133] ayunosioyaki0223: あぁ
[111.353] (S)himikokichi_06: あ
[111.792] ねここねる: あ
[111.972] (S)mikan_san: 無限らっだぁ編
[112.258] 梨一: あ
[112.267] 礼紋: わこらだ～～～
[112.370] ちよび: あ
[112.561] (S)たぴおか1267: わこらだ 
[112.830] (S)tempest0709: あ
[112.892] 紗弥0926: あ
[113.227] mizuno0624: あ
[113.490] ももお3125: あ
[113.653] 花くらげ: あ
[113.684] (S)ゆきとよ: あ
[113.725] せなお_: あ
[113.743] (S)shige__maru: あ
[113.860] (S)raki114514: わこらだ
[113.966] (S)mikan_san: あ
[114.168] ニコ丸0429: あっ
[114.168] (S)rosemary0920: あ
[114.379] kuru053: あ
[114.524] (S)すずやんさん: あ
[114.741] zusshin_sushi: あ
[114.956] (S)riyuu25: あ
[115.068] (S)yumemiruneco: わこらだ
[115.173] mjoy0911: あ
[115.881] 4toki22: あ
[115.966] (S)ねこすず: あ
[115.972] nanoEditore: あ
[116.012] (S)uta_0713: あ
[116.029] (S)kijinrin: あ
[116.694] soboroboso: あ
[116.736] (S)mohanan_139: あ
[116.829] (S)ぴす615: あ
[116.904] (S)やまちゃん丸: あ
[116.974] kuuhaku417: 無限らっだぁ
[117.078] (S)みずいろか: わこらだ
[117.143] ayunosioyaki0223: 察したwww
[117.232] (S)raki114514: あ
[117.289] ぴあす: あ
[117.292] (S)らふれ: あ
[117.381] 梨一: wwwww
[117.441] (S)きのこの炊き込みご飯: あ
[117.444] (S)kikurinty: あ
[117.564] (S)shilva_0: あ
[117.938] (S)tanpopo_po: あ
[118.471] (S)_ぜる: あ
[118.509] (S)yuuka_0223: wwwwwww
[118.517] (S)そふぃ3: ワロタwwwwww
[118.554] (S)tumugi_76: あ
[118.583] (S)goodfriends02: あ
[118.692] yuimo_1823: わこらだ
[118.956] (S)ほのぼの: あ
[119.467] (S)howlin_0: あっ(察)
[119.586] (S)スパーズ: あ
[120.012] (S)ruchi_13: ゾムさん素だったね
[120.081] (S)ogapaka: あ
[120.231] (S)快眠枕: あっ
[120.249] (S)ないんちゃん_ねこまんた: あ
[120.655] (S)sopomuisu: あ
[120.739] enpt___qmq: enpt___qmq extended their Tier 1 subscription through September! 
[120.814] pu_tyan: 朝4時までキャスやってたしね
[121.211] (S)aauauau: わこらだ
[121.481] KAKKO_7120: あ
[121.774] (S)バナナチ: radaoWakotu
[121.992] (S)syao7893: あ
[122.096] omuraisu0806: あ
[123.415] (S)umeo_ooh: ねえ
[123.537] usamaru_01: わこらだ
[123.617] (S)nullgodnull: あ
[123.920] (S)スパーズ: 禁忌に触れた
[124.071] pu_tyan: あ
[124.421] gawrib: あ……
[124.475] もじゅべ: あ
[124.625] (S)ちよらん: radaoWakotu
[124.700] (S)ayamitsuuuuu: あ
[124.918] kuru053: 素で
[124.920] もろこっし: あ
[125.034] (S)mikan_san: 自由の身って言い方よ
[125.134] (S)816_uti: radaoWakotu
[126.013] (S)321_dices: わこらだ
[126.149] (S)tamakooo__: あ
[126.237] (S)空うさぎ: あ
[126.358] (S)panndaman1: あ
[126.460] (S)そふぃ3: おっとぉw
[126.597] にぃぃぃ: あ
[127.131] (S)rikuo186: あ
[127.337] PASTA1256: わこらだ
[127.456] (S)ほのぼの: はい
[127.893] (S)~MISSING_COMMENTER_INFO~: kajime_ extended their Tier 1 subscription through September! 
[127.914] (S)そふぃ3: あ
[128.502] (S)椎名奏雨: あ
[128.530] (S)kikurinty: ゾムさん、、、
[128.542] enno_kun: あ
[128.618] (S)rins1d: わこらだ
[128.644] (S)alulu_16: わこらだ
[128.857] emuuun_04: あ
[129.061] nanoEditore: これはあうとｗ
[129.266] (S)チュチュンバー: わこらだ
[129.278] (S)kotocha_: あ
[129.477] (S)kijinrin: 踏み抜いていったなww
[129.663] (S)chisatooo_87: あ
[129.859] (S)はちみつトマト: 草
[130.076] (S)とりにく1026: あ
[130.102] (S)sutolaba: あ
[130.122] 五色椿: おっと
[130.376] shirohappa: 草
[130.564] (S)piroropiro: www
[130.606] しなやかしょうゆ: あ
[130.834] (S)はるのてゃん: あ
[131.044] (S)potayu01: ぞむさぁ
[131.395] (S)鳥野郎の蘭: あ
[131.567] (S)こばやし__: あ
[131.997] (S)ioo89: あ
[132.155] (S)空うさぎ: wwwwwww
[132.758] mope716: わこらだ
[133.084] (S)atuono: www
[133.575] (S)riyuu25: 草
[133.841] (S)mimi_fuwa1489: わこらだ
[133.929] (S)ta__mei: あ
[134.466] (S)ほのぼの: wwwwww
[134.688] (S)ayamitsuuuuu: やったなw
[135.521] sunomono8: わこらだ
[135.550] よわはと: www
[135.612] (S)sutolaba: wwww
[135.744] (S)haaayatee: あっ
[135.779] やくとみ: このメンツ久々！わこらだ
[137.076] (S)こぺと: 草
[137.244] (S)oldish_widow6: わこらだ
[137.873] せなお_: あぶないあぶない
[138.077] (S)shinichan227: ゾムそれはないわ、
[138.270] (S)kak1pi: radaoGahaha
[139.559] (S)fuucyann: wwwwwww
[140.273] (S)raki114514: w
[140.663] riku0572: あっ⋯⋯(察し)
[141.155] (S)そふぃ3: ゾムさん素のやつでたな？wwwwww
[141.388] (S)IMOSUBE: radaoWakotu
[141.610] (S)kikurinty: 地雷の踏み抜きが清々しい
[145.297] (S)アララギ: わこらだ
[145.326] (S)空うさぎ: おうたたすかる
[147.098] 夢飴わかな: わこらだ
[148.633] rekuron379: わこらだ
[150.622] せなお_: 素はしょうがない
[154.192] (S)howlin_0: もっとやれ
[156.002] (S)uw_azu_wu: わこらだ
[157.179] k00000000ta: radaoWakotu
[162.129] (S)限界大学院生チャンネル: わこらだ
[162.178] (S)ほのぼの: 綺麗に踏んでったねw
[162.528] (S)哀れな人の子: むしろあぺばっかしろ
[163.558] kyouka_ky: わこらだ
[164.244] (S)haaayatee: まぁべつに触れてもいい話題って本人言ってたからな
[164.693] (S)aina___10812: わこらだ
[165.471] (S)shinichan227: 青鬼したやん
[165.549] left_2_10: 素すぎて気づかなかった
[169.501] 梨一: それはまずいよ
[169.824] (S)raynidayooo: わこらだー
[171.605] (S)kijinrin: マイクラ実況者泣いてるぞ
[171.826] 大和1007: さすがに草
[172.034] (S)nanamekuji: わこらだ
[172.494] (S)さぼてん恐怖症: わこらだ
[173.808] (S)beef_lemon: マイクラ...
[174.238] (S)榊原とーげ: わこらだーーーーー‼️
[176.229] ルロア: わこらだ
[178.080] せなお_: しゃべクラ
[180.607] (S)とりーーも: わこらだー
[180.740] (S)himikokichi_06: え？
[180.929] (S)shilva_0: マイクラくん…
[182.877] kiita_rou: わこらだ
[183.167] mizuno0624: マイクラ界隈のくせに
[184.208] ずきゅきゅんた: マイクラくん泣いてるよ
[184.739] (S)howlin_0: あっ
[185.576] (S)atuono: 青鬼ごっこ
[186.359] (S)そふぃ3: ワロタ
[186.413] ねねねい: あ
[186.521] (S)Mac1919: わこらだ
[186.851] (S)はるのてゃん: マイクラ…
[187.249] ayunosioyaki0223: え
[187.428] (S)みそチョコ: わこらだ
[188.116] (S)ねこすず: あ
[188.328] motuni_day: わこらだ
[188.959] (S)ここねり: あ
[189.023] miki___24: あ
[189.187] やきにくううう: はやw
[189.474] (S)mikan_san: ブランディング！？
[189.967] (S)numawo_: あ
[190.524] k00000000ta: k00000000ta subscribed at Tier 1. They've subscribed for 12 months, currently on a 12 month streak! 顔面になってしまった
[190.787] (S)raki114514: マイクラが泣いてるぞ
[190.989] (S)アララギ: ん？
[191.012] (S)こばやし__: ん？
[191.968] たか野: 即答やん
[192.112] navyblue___: radaoWakotu
[192.207] 紗弥0926: エロゲ！？
[193.622] ちよび: radaoKonro
[193.693] (S)atuono: ん？
[194.616] higiomi: あ
[194.834] ギンナン: あ
[195.056] (S)raki114514: ん？
[195.343] (S)哀れな人の子: ｗ
[195.468] しかくのさんかく: 草
[195.603] chirol__: ｗｗｗ
[195.647] (S)スペルタン: あ
[195.722] (S)そらもふ: そらもふ subscribed at Tier 1. They've subscribed for 3 months! 
[196.560] (S)田中弐号機: わこらだ
[196.766] (S)shinichan227: おい
[196.811] (S)Mac1919: あ
[197.024] (S)himikokichi_06: ？？？
[197.585] gawrib: おい
[197.790] kuuhaku417: おっと
[198.316] まみまる: ん？
[198.480] pu_tyan: www
[199.672] (S)ねこすず: ん？？
[200.053] mizuno0624: え
[200.257] (S)kijinrin: リビングで聞いてた俺が馬鹿だった
[200.474] (S)アララギ: radaoKonro
[200.651] sunomono8: wwwwww
[200.676] (S)tamakooo__: おっと
[200.776] ayunosioyaki0223: wwwwww
[201.436] (S)mohanan_139: おっと？
[201.662] (S)そふぃ3: エロゲ？で草
[201.678] (S)ruchi_13: 伝道師w
[201.759] 梨一: エロゲマスターゾム
[202.620] kuru053: みんなイヤホンつけろー
[203.257] (S)numawo_: ww
[203.291] (S)tumugi_76: 苦だ
[203.647] kyouka_ky: www
[203.887] (S)tiger_bay: 配信じゃできねぇ・・・
[204.747] ねねねい: えろ小僧
[205.355] (S)哀れな人の子: そっすか…
[206.404] (S)se____jin: わこらだ
[207.699] foxy1003: ん？
[208.413] (S)Mac1919: 身軽な男
[208.571] せなお_: でた
[208.658] (S)ふぁる_: わこらだ
[209.125] (S)はなたに: krrr03 subscribed at Tier 1. 
[211.528] (S)そふぃ3: 身軽になったしwww
[211.686] (S)raki114514: エロ小僧
[212.979] (S)shinichan227: やめて
[213.200] (S)fuucyann: でた
[213.676] lara_3o: わこらだ〜 
[214.683] (S)_ぜる: らだおもエロゲやりなよ
[215.648] (S)スパーズ: リビングなんだが笑笑
[215.954] ごんのすけ: 伝道師www
[216.853] mjoy0911: まだ8時だぞ
[217.536] (S)ioo89: エロ小僧
[217.566] (S)chitan0: わこらだ
[218.226] (S)atuono: エロゲプレデターゾム
[219.054] mizuno0624: リビング勢終了のお知らせ
[219.725] suzuya_watanabe: radaoWakotu
[220.732] gawrib: ここリビングやぞ
[221.318] (S)himikokichi_06: なんて話してんだ
[222.094] (S)あさみや301: おい
[222.272] あきぬこ: radaoWakotu
[223.303] (S)numawo_: さすがエロ小僧
[223.516] (S)ioo89: ゴールデンタイムだぞ
[223.614] (S)akane2012: 流石エロ小僧ww
[223.760] (S)はなたに: わこらだ〜わこらだ〜
[225.066] (S)kotocha_: エロ小僧
[225.345] safbuker0295: ストーリーやz祖
[225.651] いのりさん: らっだぁは分からなくていいよ
[226.459] (S)ねこすず: リビングで見ててた自分無事終了
[226.733] (S)ここねり: おい
[227.127] (S)riyuu25: まだ8時やぞ
[227.835] (S)~MISSING_COMMENTER_INFO~: 草
[229.045] (S)そふぃ3: エロゲはおもろい
[229.264] (S)ちよらん: やめろリビング
[229.301] (S)とりーーも: おい
[229.487] (S)スペルタン: 45……
[230.149] mamo_tarou: まだ8時だよ
[230.531] (S)raynidayooo: エロ小僧だー
[232.250] (S)しらすいか: やばい事いってるww
[232.675] (S)nin__zin202: わこらだ
[233.089] kuuhaku417: 早くない？
